Parameters: 	Upper Cutoff:  500	Lower Cutoff: 0	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868	10/19/2017  17:42:42.647868
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:42:42.618041	-1.013660E+0	1.319332E-2	2.155331E-2	-1.014651E+1	1.712873E-2	1.946206E-2	7.714242E-2	2.401527E-2
10/19/2017  17:42:42.619041	4.543147E+0	5.561801E-3	1.391770E-2	-1.013378E+1	1.712873E-2	1.691808E-2	7.205661E-2	3.164702E-2
10/19/2017  17:42:42.620041	3.259438E+0	1.828100E-2	8.827299E-3	-1.013378E+1	2.987847E-2	2.709402E-2	6.951371E-2	2.910311E-2
10/19/2017  17:42:42.621041	-7.467505E-1	1.573716E-2	2.155331E-2	-1.013632E+1	2.222863E-2	1.946206E-2	8.222822E-2	2.910311E-2
10/19/2017  17:42:42.622041	-1.285654E+0	5.561801E-3	2.155331E-2	-1.014142E+1	2.222863E-2	1.691808E-2	7.205661E-2	3.673486E-2
10/19/2017  17:42:42.623041	1.040274E+0	1.828100E-2	1.137250E-2	-1.014651E+1	2.477858E-2	2.709402E-2	7.459952E-2	2.401527E-2
10/19/2017  17:42:42.624041	1.759946E-1	1.319332E-2	1.646291E-2	-1.013632E+1	1.457878E-2	1.946206E-2	8.731403E-2	3.164702E-2
10/19/2017  17:42:42.625041	7.174401E-1	1.064948E-2	2.409852E-2	-1.013632E+1	1.967868E-2	1.691808E-2	7.459952E-2	4.436661E-2
10/19/2017  17:42:42.626041	2.471419E+0	1.319332E-2	1.137250E-2	-1.011596E+1	2.222863E-2	2.963800E-2	7.459952E-2	2.910311E-2
10/19/2017  17:42:42.627041	-2.086383E+0	2.591253E-2	1.900811E-2	-1.014142E+1	1.202884E-2	2.709402E-2	7.714242E-2	3.164702E-2
10/19/2017  17:42:42.628041	1.124447E-1	5.561801E-3	1.646291E-2	-1.014396E+1	1.967868E-2	6.742135E-3	7.205661E-2	3.164702E-2
10/19/2017  17:42:42.629041	-9.984083E-1	5.561801E-3	1.391770E-2	-1.013632E+1	2.222863E-2	2.963800E-2	7.714242E-2	3.164702E-2
10/19/2017  17:42:42.630041	9.157160E-1	8.105642E-3	1.391770E-2	-1.013632E+1	1.967868E-2	2.200605E-2	8.477112E-2	2.910311E-2
10/19/2017  17:42:42.631041	2.987444E+0	5.561801E-3	6.282096E-3	-1.013123E+1	2.222863E-2	9.286120E-3	7.459952E-2	3.927877E-2
10/19/2017  17:42:42.632041	-3.781896E+0	1.064948E-2	1.137250E-2	-1.014905E+1	2.732853E-2	1.946206E-2	5.934210E-2	2.655919E-2
10/19/2017  17:42:42.633041	-4.925795E+0	2.082484E-2	3.936974E-2	-1.015669E+1	1.457878E-2	1.946206E-2	8.222822E-2	3.164702E-2
10/19/2017  17:42:42.634041	-2.188063E+0	1.319332E-2	2.155331E-2	-1.013123E+1	2.222863E-2	1.437409E-2	7.714242E-2	3.673486E-2
10/19/2017  17:42:42.635041	1.818125E+0	1.064948E-2	1.137250E-2	-1.013887E+1	3.497837E-2	1.946206E-2	6.442791E-2	3.419094E-2
10/19/2017  17:42:42.636041	-1.550022E+0	3.100021E-2	2.664372E-2	-1.013887E+1	1.457878E-2	2.963800E-2	7.714242E-2	2.910311E-2
10/19/2017  17:42:42.637041	2.041821E+0	5.561801E-3	2.155331E-2	-1.012359E+1	2.477858E-2	1.691808E-2	7.459952E-2	3.164702E-2
10/19/2017  17:42:42.638041	1.807957E+0	2.845637E-2	1.391770E-2	-1.013632E+1	1.967868E-2	1.946206E-2	6.951371E-2	3.164702E-2
10/19/2017  17:42:42.639041	8.222774E-3	1.064948E-2	2.409852E-2	-1.014142E+1	2.222863E-2	1.946206E-2	7.205661E-2	3.673486E-2
10/19/2017  17:42:42.640041	-2.053050E-1	-7.157401E-3	1.900811E-2	-1.013123E+1	9.478889E-3	1.691808E-2	6.951371E-2	3.419094E-2
10/19/2017  17:42:42.641041	-1.700000E+0	1.319332E-2	6.282096E-3	-1.014651E+1	2.987847E-2	2.709402E-2	7.205661E-2	2.401527E-2
10/19/2017  17:42:42.642041	6.767682E-1	1.828100E-2	2.155331E-2	-1.014651E+1	2.987847E-2	2.963800E-2	8.222822E-2	3.927877E-2
10/19/2017  17:42:42.643041	3.434836E+0	5.561801E-3	2.155331E-2	-1.011596E+1	1.967868E-2	1.946206E-2	7.459952E-2	2.910311E-2
10/19/2017  17:42:42.644041	1.040274E+0	1.064948E-2	1.137250E-2	-1.013632E+1	1.712873E-2	1.946206E-2	6.951371E-2	4.182269E-2
10/19/2017  17:42:42.645041	-2.002497E+0	1.064948E-2	1.391770E-2	-1.014651E+1	1.967868E-2	1.691808E-2	8.222822E-2	3.164702E-2
