Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 10	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:43:31.824206	3.667951E-1	9.204941E-3	1.642696E-3	4.001883E-3	9.188576E-3	1.703739E-3	9.127943E-3	7.149556E-3
10/19/2017  17:43:31.825206	1.875793E-1	6.568865E-4	3.079378E-3	1.105834E-2	4.039407E-3	3.698664E-3	5.447428E-3	6.046779E-3
10/19/2017  17:43:31.826206	2.868922E-1	8.952595E-3	7.028428E-3	2.861364E-3	8.171411E-3	6.379831E-3	7.108340E-3	6.685837E-3
10/19/2017  17:43:31.827206	4.436403E-1	7.624317E-3	8.492464E-3	9.961582E-3	1.678494E-4	5.486441E-3	8.098197E-3	3.351532E-3
10/19/2017  17:43:31.828206	4.012296E-1	2.973771E-3	7.288166E-3	8.843716E-3	4.894808E-3	1.408328E-2	2.167021E-3	6.547761E-3
10/19/2017  17:43:31.829206	1.278965E+0	1.662100E-2	5.548409E-3	7.796431E-3	9.946279E-3	2.386092E-3	5.232746E-3	8.033077E-4
10/19/2017  17:43:31.830206	1.094951E+0	7.156079E-3	2.306460E-3	2.563669E-3	3.622961E-3	1.695504E-2	4.415884E-3	4.086373E-3
10/19/2017  17:43:31.831206	2.436802E-1	5.558917E-3	7.507303E-3	1.213384E-2	1.118934E-2	2.699427E-3	8.051056E-3	1.184413E-3
10/19/2017  17:43:31.832206	9.651146E-1	2.215651E-3	1.672936E-3	1.004448E-3	2.215283E-3	2.348938E-2	2.038995E-4	8.421651E-3
10/19/2017  17:43:31.833206	4.252695E-1	1.340495E-2	3.302689E-3	1.079942E-2	5.323554E-4	1.457212E-3	9.544998E-3	6.611523E-5
10/19/2017  17:43:31.834206	1.131070E-1	1.008417E-2	4.537328E-4	4.258969E-4	5.099063E-4	1.090574E-2	3.735902E-3	4.305781E-6
10/19/2017  17:43:31.835206	8.497011E-1	6.469686E-3	3.778539E-4	5.259024E-3	7.532630E-3	4.634745E-3	5.597922E-3	1.176613E-2
10/19/2017  17:43:31.836206	1.795475E-3	3.329536E-3	5.000450E-3	4.606189E-3	5.394431E-3	9.937067E-4	6.940228E-3	5.148201E-4
10/19/2017  17:43:31.837206	4.109293E-1	5.314688E-3	5.164164E-4	8.684069E-3	4.841924E-3	1.082103E-3	1.089500E-3	4.358492E-3
10/19/2017  17:43:31.838206	2.826082E-1	9.485524E-5	2.847080E-3	2.040269E-3	1.721498E-3	1.154859E-3	1.555547E-3	1.414764E-3
10/19/2017  17:43:31.839206	1.234532E-1	7.032918E-3	4.788629E-3	6.031562E-4	7.998278E-3	1.212990E-3	3.237267E-3	3.440421E-3
10/19/2017  17:43:31.840206	4.879315E-1	3.618760E-3	8.718068E-3	4.859284E-4	2.642950E-3	1.297471E-2	2.265195E-4	8.890518E-3
10/19/2017  17:43:31.841206	5.380289E-1	6.715356E-4	2.139127E-4	1.209820E-2	4.592632E-3	5.321256E-3	7.027426E-3	7.529470E-3
10/19/2017  17:43:31.842206	2.766909E-1	6.530944E-3	7.015222E-3	5.372725E-3	5.557256E-3	4.372234E-3	3.291993E-3	5.437978E-3
10/19/2017  17:43:31.843206	1.681271E-1	8.523258E-3	1.307080E-2	5.109416E-3	9.613608E-6	1.055497E-2	2.866712E-4	4.713722E-3
10/19/2017  17:43:31.844206	2.883887E-1	4.782641E-3	5.396240E-3	1.120189E-4	7.046254E-3	3.389643E-4	1.867427E-2	5.480195E-3
10/19/2017  17:43:31.845206	8.671187E-1	8.042797E-4	6.931755E-3	1.667190E-4	3.499404E-3	2.029762E-4	6.003719E-4	7.034440E-3
10/19/2017  17:43:31.846206	1.046759E-2	5.546631E-3	3.578343E-3	2.764456E-3	7.710575E-3	2.260644E-3	1.226426E-2	3.452372E-3
10/19/2017  17:43:31.847206	3.101268E-1	4.548106E-3	1.802189E-2	2.606893E-3	5.253747E-3	9.011589E-3	9.240512E-4	7.623809E-3
10/19/2017  17:43:31.848206	8.746613E-2	8.361026E-3	9.487074E-4	4.802504E-3	4.444790E-3	8.808105E-3	1.105996E-2	7.679128E-3
10/19/2017  17:43:31.849206	8.286579E-1	7.267947E-3	5.010875E-4	7.450625E-3	1.274231E-2	6.643179E-3	1.395550E-5	1.119639E-2
10/19/2017  17:43:31.850206	1.431802E+0	1.108115E-2	1.162430E-2	8.057614E-3	3.679197E-3	5.609813E-3	2.330927E-3	7.053466E-3
10/19/2017  17:43:31.851206	4.639278E-1	2.214504E-3	6.352396E-3	7.061909E-3	8.759527E-3	2.887252E-5	9.764771E-3	6.054389E-3
10/19/2017  17:43:31.852206	5.845536E-1	4.088770E-3	5.103491E-3	5.584927E-3	1.685981E-2	7.163770E-3	3.509739E-3	8.926504E-3
10/19/2017  17:43:31.853206	2.293808E-1	3.754012E-3	1.010306E-2	1.810598E-4	7.016900E-3	1.416984E-3	6.530986E-3	7.464059E-3
10/19/2017  17:43:31.854206	5.389675E-1	3.688028E-3	8.828481E-3	2.739955E-3	5.687095E-3	3.474415E-3	3.261379E-3	1.028172E-2
10/19/2017  17:43:31.855206	2.251260E-1	1.769016E-3	1.731685E-3	1.998652E-4	4.644387E-3	1.795326E-3	6.580115E-3	4.129495E-3
10/19/2017  17:43:31.856206	9.519448E-1	6.388062E-3	1.059182E-3	1.132645E-2	5.704563E-3	6.248716E-3	6.234497E-3	1.138808E-3
								
10/19/2017  17:43:31.857206	1.321665E+0	8.631221E-4	1.267182E-3	1.564555E-4	7.379118E-3	5.779561E-4	2.978274E-3	6.124495E-3
10/19/2017  17:43:31.858206	1.259010E+0	6.172987E-3	1.471573E-3	1.226334E-2	4.017365E-3	4.454424E-4	2.164970E-3	5.182782E-3
10/19/2017  17:43:31.859206	1.118574E-1	6.687563E-3	6.129828E-3	8.086958E-3	1.230566E-3	4.359980E-3	2.866451E-3	9.743200E-3
10/19/2017  17:43:31.860206	4.288707E-1	3.465336E-3	1.001226E-2	5.248309E-3	3.730102E-3	9.909663E-4	4.756655E-3	8.175454E-3
10/19/2017  17:43:31.861206	5.575601E-1	3.993658E-3	3.228674E-3	2.120584E-2	3.197340E-3	3.852841E-3	1.478403E-2	4.531340E-3
10/19/2017  17:43:31.862206	9.941823E-2	1.448332E-3	1.208073E-2	6.859767E-4	4.341298E-3	3.225664E-3	3.072817E-3	1.033843E-2
10/19/2017  17:43:31.863206	1.045815E-1	6.054182E-3	6.820600E-4	4.893739E-4	1.060698E-3	6.725274E-3	4.565426E-3	6.033900E-4
10/19/2017  17:43:31.864206	2.301812E-1	5.178566E-4	1.603987E-2	6.722360E-3	5.632689E-3	8.344876E-3	6.309826E-3	2.850692E-3
10/19/2017  17:43:31.865206	4.183509E-1	6.527877E-3	7.480246E-3	8.069279E-3	7.001037E-3	2.276911E-3	1.571146E-2	2.308768E-3
10/19/2017  17:43:31.866206	6.388389E-1	6.324756E-3	1.093323E-2	4.962513E-3	8.239077E-3	5.251737E-3	1.403950E-3	9.002588E-3
10/19/2017  17:43:31.867206	7.994034E-1	7.529535E-4	3.457376E-4	1.892127E-3	2.561658E-3	2.208367E-3	8.421334E-3	1.835236E-3
10/19/2017  17:43:31.868206	7.825868E-1	6.325998E-3	2.887576E-3	3.079567E-3	4.385662E-5	1.947022E-3	4.949409E-3	6.326725E-3
10/19/2017  17:43:31.869206	3.872353E-1	1.352554E-2	4.361514E-3	2.566731E-3	4.597839E-3	2.981838E-3	5.081760E-3	1.655345E-3
10/19/2017  17:43:31.870206	1.439221E+0	2.592344E-4	1.273014E-3	2.595511E-3	3.346522E-3	1.180968E-2	5.212903E-3	6.063806E-3
10/19/2017  17:43:31.871206	6.331067E-1	1.195598E-2	1.073736E-2	2.258232E-3	1.475139E-2	6.633058E-3	4.517905E-3	2.695966E-3
10/19/2017  17:43:31.872206	1.128863E-1	1.701158E-3	2.229305E-3	9.778407E-3	6.288469E-3	1.223376E-3	5.496654E-3	2.544592E-3
10/19/2017  17:43:31.873206	1.150049E-1	1.327270E-2	3.263334E-4	1.102933E-3	1.701754E-2	1.508357E-3	4.814762E-3	4.750998E-3
10/19/2017  17:43:31.874206	5.071556E-1	1.836384E-3	6.889283E-3	3.936760E-3	9.330262E-3	1.473690E-3	6.479060E-3	1.502307E-3
10/19/2017  17:43:31.875206	3.890621E-1	7.896076E-3	1.203554E-3	1.051849E-2	1.748715E-2	3.252131E-3	3.903172E-3	1.061458E-3
10/19/2017  17:43:31.876206	5.761053E-1	2.686390E-3	8.084117E-3	6.596778E-3	7.029672E-4	1.819765E-4	3.730010E-3	3.007736E-3
10/19/2017  17:43:31.877206	5.127350E-1	8.592212E-5	6.782883E-3	1.503552E-3	2.889903E-3	4.779690E-3	1.484316E-2	7.106292E-3
10/19/2017  17:43:31.878206	4.202806E-1	7.127001E-3	7.928672E-3	1.539572E-2	6.034483E-6	6.596690E-3	6.560754E-4	8.580405E-3
10/19/2017  17:43:31.879206	1.123229E+0	1.297607E-3	1.231378E-2	3.498448E-3	7.145911E-3	5.719432E-3	9.061317E-3	1.604685E-2
10/19/2017  17:43:31.880206	7.975181E-1	6.009896E-3	5.816748E-3	2.418530E-2	5.660667E-3	2.123659E-3	8.561543E-3	5.443920E-3
10/19/2017  17:43:31.881206	3.962125E-1	6.610394E-3	4.704662E-3	7.811623E-3	1.023616E-5	4.064017E-3	2.638382E-5	1.893704E-2
10/19/2017  17:43:31.882206	7.970931E-1	3.852768E-3	8.036425E-3	1.141963E-2	7.140000E-3	1.309108E-2	2.999130E-4	9.681868E-3
10/19/2017  17:43:31.883206	1.615491E-1	1.268449E-2	2.351628E-3	2.683225E-4	8.017316E-3	6.395267E-3	4.142527E-3	3.649342E-3
10/19/2017  17:43:31.884206	8.524737E-1	5.759360E-3	1.441243E-4	4.870402E-3	1.983123E-3	6.401403E-3	1.557932E-2	7.889441E-3
10/19/2017  17:43:31.885206	4.034981E-1	2.548195E-4	1.416428E-2	4.019616E-3	1.527963E-3	3.125116E-3	8.708751E-3	2.671088E-3
10/19/2017  17:43:31.886206	7.510281E-1	9.101316E-3	4.341158E-3	1.450493E-3	1.113437E-3	6.721639E-3	1.909103E-3	2.227346E-3
10/19/2017  17:43:31.887206	9.150936E-1	5.168505E-4	3.572413E-3	1.392539E-3	6.309301E-3	5.616124E-3	1.522065E-3	5.206623E-3
10/19/2017  17:43:31.888206	5.158420E-1	6.784456E-3	4.166255E-3	1.334211E-3	7.840637E-3	4.773119E-3	8.199499E-3	6.761927E-3
10/19/2017  17:43:31.889206	2.960114E-1	3.498625E-3	1.311156E-3	5.966083E-3	2.697123E-3	9.896757E-3	4.777351E-5	8.411087E-3
								
10/19/2017  17:43:31.890206	1.089708E+0	9.829519E-3	5.810203E-3	4.470377E-4	2.491652E-3	8.252626E-3	7.045437E-3	4.590762E-3
10/19/2017  17:43:31.891206	3.595564E-2	8.365958E-3	2.294826E-3	4.238024E-3	2.169417E-3	9.246841E-3	1.181435E-3	1.087600E-2
10/19/2017  17:43:31.892206	5.916890E-1	1.668498E-2	9.153404E-3	1.060570E-2	6.569205E-3	2.879062E-3	6.156230E-3	9.711533E-3
10/19/2017  17:43:31.893206	1.566707E-1	2.452742E-3	3.890737E-3	3.792946E-4	6.221830E-3	2.575208E-3	4.087836E-3	3.635832E-3
10/19/2017  17:43:31.894206	7.253113E-1	2.062084E-3	8.388664E-4	4.375385E-3	5.254142E-3	9.530425E-3	3.669995E-3	3.902958E-3
10/19/2017  17:43:31.895206	8.327358E-1	7.669550E-3	4.112118E-3	1.318908E-3	5.031076E-3	1.078017E-3	8.402395E-4	1.470959E-3
10/19/2017  17:43:31.896206	3.185706E-1	5.258126E-3	1.233934E-3	1.051279E-3	9.001413E-3	1.660696E-3	8.597410E-3	8.041070E-3
10/19/2017  17:43:31.897206	4.401309E-2	6.790498E-3	1.124777E-3	3.152681E-3	1.836059E-3	1.334778E-2	9.813288E-5	6.630459E-3
10/19/2017  17:43:31.898206	1.012081E-1	3.317265E-3	1.021425E-3	2.012444E-4	5.429892E-3	3.297629E-4	9.463981E-3	1.692367E-3
10/19/2017  17:43:31.899206	7.858431E-1	6.706781E-3	1.079917E-2	4.657057E-3	2.570065E-3	4.899661E-3	3.618076E-3	8.748830E-3
10/19/2017  17:43:31.900206	1.296570E+0	5.760919E-3	5.100473E-3	1.691038E-3	6.382265E-5	6.606161E-4	6.174181E-4	5.799265E-4
10/19/2017  17:43:31.901206	1.915909E-1	2.142107E-3	9.157984E-3	1.022451E-2	4.642196E-3	5.375359E-3	1.365185E-2	1.662508E-3
10/19/2017  17:43:31.902206	4.053372E-1	4.134958E-3	3.112181E-3	3.786233E-3	3.281499E-3	2.404949E-3	2.519694E-3	8.182561E-3
10/19/2017  17:43:31.903206	4.846081E-1	3.600603E-3	4.401691E-3	1.734195E-3	7.622358E-3	9.772610E-3	2.160385E-3	3.986641E-5
10/19/2017  17:43:31.904206	3.728852E-1	7.488438E-4	6.033884E-3	6.408023E-3	5.227731E-3	3.580301E-3	2.853288E-3	4.520504E-3
10/19/2017  17:43:31.905206	4.768536E-3	3.007206E-3	6.726517E-3	6.113278E-3	4.318982E-3	4.066318E-3	4.156960E-5	5.733992E-3
10/19/2017  17:43:31.906206	7.442326E-1	4.885990E-3	5.972005E-3	4.453383E-3	1.530339E-2	1.134731E-3	7.034039E-3	2.654869E-3
10/19/2017  17:43:31.907206	7.211482E-1	1.730317E-3	4.430541E-3	3.993169E-3	1.118383E-3	3.707728E-3	1.101688E-3	7.015935E-3
10/19/2017  17:43:31.908206	5.218261E-2	9.735914E-4	5.550807E-3	1.215010E-3	5.644878E-3	1.332384E-2	5.648540E-3	1.068120E-3
10/19/2017  17:43:31.909206	1.952887E-1	3.769052E-3	2.463892E-3	1.151765E-3	1.930966E-5	1.833371E-3	6.408397E-5	8.688081E-3
10/19/2017  17:43:31.910206	1.251516E-2	1.632573E-3	2.484200E-3	6.240853E-3	1.180372E-2	3.256586E-3	4.679989E-3	4.620888E-4
10/19/2017  17:43:31.911206	1.384930E-1	2.260576E-2	2.730719E-3	3.059907E-3	8.847834E-3	7.538619E-3	7.190532E-4	5.106056E-4
10/19/2017  17:43:31.912206	2.609463E-2	4.401664E-3	2.251845E-3	3.242967E-4	2.774579E-3	6.385708E-4	1.738047E-3	7.579662E-3
