Parameters: 	Upper Cutoff:  500	Lower Cutoff: 10	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:43:20.274206	7.670509E-1	5.113198E-3	3.832349E-3	1.077279E-2	4.386562E-3	1.943819E-4	1.851466E-4	1.074459E-3
10/19/2017  17:43:20.275206	5.532561E-1	4.476827E-3	5.883956E-3	5.148083E-3	3.298217E-3	1.828918E-4	5.435861E-4	8.327269E-4
10/19/2017  17:43:20.276206	4.358590E-1	3.883805E-3	2.873504E-3	2.187687E-3	3.800531E-4	1.188700E-2	1.022737E-2	6.420082E-3
10/19/2017  17:43:20.277206	4.950790E-1	6.040844E-3	4.397436E-3	4.347186E-3	2.104442E-3	2.918514E-3	2.750899E-3	1.559887E-3
10/19/2017  17:43:20.278206	4.853676E-1	4.359774E-3	1.059755E-2	8.477423E-3	4.189622E-3	2.393975E-3	1.137547E-2	8.307565E-3
10/19/2017  17:43:20.279206	5.715148E-1	1.415664E-3	2.096114E-3	1.536940E-4	1.288330E-2	4.835264E-3	1.191533E-2	1.376857E-4
10/19/2017  17:43:20.280206	7.258781E-1	1.100831E-3	4.512066E-4	2.220552E-3	5.678521E-3	3.868474E-3	5.779984E-3	2.822536E-4
10/19/2017  17:43:20.281206	1.097353E+0	8.800574E-4	2.085034E-3	1.861364E-3	9.620168E-3	1.341776E-2	4.171891E-3	2.755085E-3
10/19/2017  17:43:20.282206	1.540132E+0	8.691152E-3	1.869233E-3	3.159325E-3	1.064240E-2	6.839443E-3	6.185499E-3	6.888116E-3
10/19/2017  17:43:20.283206	7.304386E-1	2.044395E-3	5.369502E-3	1.998382E-3	6.561609E-3	8.196183E-3	7.880305E-3	8.459606E-3
10/19/2017  17:43:20.284206	1.446524E+0	2.167279E-2	2.624484E-3	3.032435E-3	6.611141E-4	4.443026E-3	2.199215E-3	7.328453E-3
10/19/2017  17:43:20.285206	4.174991E-1	3.005112E-3	4.689202E-3	4.460832E-3	9.061449E-3	1.286732E-2	4.988278E-3	7.462747E-4
10/19/2017  17:43:20.286206	1.029574E+0	7.522105E-3	1.694725E-3	1.381026E-3	1.585301E-3	8.655981E-3	5.375649E-3	9.927754E-3
10/19/2017  17:43:20.287206	8.516005E-2	4.245811E-3	5.557538E-3	1.253362E-3	3.548030E-3	4.397941E-3	7.079496E-3	1.159486E-3
10/19/2017  17:43:20.288206	2.799969E+0	3.262683E-3	8.039357E-5	1.213216E-3	1.220948E-2	3.703347E-3	9.326587E-4	5.877069E-3
10/19/2017  17:43:20.289206	1.909599E+0	2.134053E-3	7.209617E-3	9.418802E-4	1.114039E-2	7.223677E-4	6.946717E-4	4.423429E-4
10/19/2017  17:43:20.290206	1.270205E-1	1.138521E-2	1.446037E-3	1.103094E-2	1.438526E-2	4.163050E-3	1.122627E-2	2.862296E-3
10/19/2017  17:43:20.291206	1.459112E+0	1.988139E-3	8.155188E-3	9.432300E-3	4.175772E-3	1.229004E-3	2.457525E-3	1.995281E-4
10/19/2017  17:43:20.292206	6.151500E-1	1.096299E-2	4.898572E-3	5.570947E-3	1.080720E-3	8.305431E-3	2.003941E-3	6.743942E-3
10/19/2017  17:43:20.293206	6.676779E-1	4.373314E-3	4.191060E-3	1.419736E-2	8.609154E-3	9.259372E-3	3.102060E-3	1.515586E-3
10/19/2017  17:43:20.294206	3.480140E+0	1.300337E-2	1.153999E-3	9.692189E-3	7.329863E-3	8.802152E-3	5.065138E-3	3.202433E-3
10/19/2017  17:43:20.295206	1.161810E+0	6.508820E-3	5.679778E-3	1.301633E-2	3.246325E-3	1.231041E-2	3.501219E-4	2.217127E-3
10/19/2017  17:43:20.296206	9.190571E-1	1.079348E-2	4.615196E-3	1.638966E-3	5.138816E-3	3.610744E-3	9.617684E-3	9.141965E-3
10/19/2017  17:43:20.297206	1.819620E+0	4.243934E-3	8.602126E-3	1.343329E-3	7.409996E-3	7.702245E-3	1.388805E-3	8.511325E-4
10/19/2017  17:43:20.298206	2.167929E+0	1.778191E-2	2.493533E-3	1.073068E-3	3.869053E-3	1.235928E-2	3.698084E-3	1.503871E-3
10/19/2017  17:43:20.299206	1.962473E+0	1.282639E-2	5.075619E-3	1.518303E-3	8.586601E-3	3.452940E-3	6.087433E-3	1.135873E-3
10/19/2017  17:43:20.300206	1.379718E+0	7.941896E-3	1.144501E-2	8.024222E-3	2.612546E-3	1.352422E-2	2.464315E-4	3.882388E-3
10/19/2017  17:43:20.301206	1.375488E-1	1.375188E-2	2.044096E-3	4.000646E-4	7.184426E-3	1.984311E-3	4.729571E-3	8.096753E-3
10/19/2017  17:43:20.302206	1.293716E+0	9.612950E-3	6.429053E-3	4.174527E-3	3.659560E-3	1.018070E-2	8.908809E-3	2.487287E-3
10/19/2017  17:43:20.303206	1.704923E+0	8.235635E-3	6.869223E-4	6.076036E-3	1.112923E-2	1.631551E-3	4.040850E-3	6.751751E-3
10/19/2017  17:43:20.304206	1.339897E+0	4.751714E-3	6.545838E-3	2.981556E-3	4.754038E-3	1.501825E-2	5.598645E-3	1.080568E-2
10/19/2017  17:43:20.305206	2.380016E+0	1.006249E-2	1.459955E-3	9.055820E-3	1.635045E-3	8.358874E-4	2.532739E-3	2.136489E-3
10/19/2017  17:43:20.306206	2.177384E+0	1.415840E-3	8.231001E-3	2.732923E-3	5.730831E-3	2.844154E-3	9.416348E-3	9.936618E-3
								
