Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 10	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406	10/19/2017  17:43:31.839406
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:43:31.824206	1.632846E-1	3.017961E-3	1.646291E-2	-1.014142E+1	1.202884E-2	1.946206E-2	8.222822E-2	3.673486E-2
10/19/2017  17:43:31.825206	-4.035809E-1	1.064948E-2	1.137250E-2	-1.013378E+1	2.477858E-2	1.691808E-2	7.968532E-2	3.673486E-2
10/19/2017  17:43:31.826206	5.143673E-2	2.082484E-2	2.155331E-2	-1.014142E+1	2.987847E-2	2.709402E-2	6.697081E-2	2.401527E-2
10/19/2017  17:43:31.827206	2.420866E-1	2.082484E-2	2.409852E-2	-1.013378E+1	2.222863E-2	2.709402E-2	8.222822E-2	2.655919E-2
10/19/2017  17:43:31.828206	2.471706E-1	1.064948E-2	2.409852E-2	-1.013378E+1	1.712873E-2	6.742135E-3	7.714242E-2	3.673486E-2
10/19/2017  17:43:31.829206	1.248718E+0	-4.613560E-3	1.137250E-2	-1.013378E+1	3.242842E-2	1.691808E-2	6.951371E-2	3.164702E-2
10/19/2017  17:43:31.830206	1.258886E+0	1.828100E-2	1.391770E-2	-1.014396E+1	2.732853E-2	3.726996E-2	6.951371E-2	2.655919E-2
10/19/2017  17:43:31.831206	5.967806E-4	5.561801E-3	2.409852E-2	-1.012869E+1	1.202884E-2	2.455003E-2	8.222822E-2	3.164702E-2
10/19/2017  17:43:31.832206	-8.103005E-1	8.105642E-3	1.900811E-2	-1.013887E+1	2.477858E-2	-3.433805E-3	7.459952E-2	2.147136E-2
10/19/2017  17:43:31.833206	-3.832449E-1	-4.613560E-3	1.391770E-2	-1.015160E+1	2.222863E-2	1.946206E-2	6.442791E-2	2.910311E-2
10/19/2017  17:43:31.834206	1.251547E-1	1.828100E-2	1.646291E-2	-1.014142E+1	2.222863E-2	2.963800E-2	7.714242E-2	2.910311E-2
10/19/2017  17:43:31.835206	9.385939E-1	1.573716E-2	1.646291E-2	-1.013632E+1	1.457878E-2	1.437409E-2	7.968532E-2	4.182269E-2
10/19/2017  17:43:31.836206	1.607426E-1	1.319332E-2	1.137250E-2	-1.013632E+1	2.732853E-2	1.946206E-2	6.697081E-2	3.164702E-2
10/19/2017  17:43:31.837206	-2.764810E-1	1.573716E-2	1.646291E-2	-1.013123E+1	1.712873E-2	1.946206E-2	7.205661E-2	2.655919E-2
10/19/2017  17:43:31.838206	-2.027630E-1	1.064948E-2	1.900811E-2	-1.014142E+1	1.967868E-2	1.946206E-2	7.459952E-2	2.910311E-2
10/19/2017  17:43:31.839206	-7.820515E-2	1.828100E-2	2.155331E-2	-1.013887E+1	2.987847E-2	1.946206E-2	6.951371E-2	3.419094E-2
10/19/2017  17:43:31.840206	-4.976348E-1	1.573716E-2	2.664372E-2	-1.013887E+1	1.967868E-2	3.218199E-2	7.205661E-2	2.147136E-2
10/19/2017  17:43:31.841206	-6.425286E-1	1.319332E-2	1.900811E-2	-1.012614E+1	1.712873E-2	1.437409E-2	7.968532E-2	2.147136E-2
10/19/2017  17:43:31.842206	1.353227E-1	5.561801E-3	1.137250E-2	-1.013123E+1	2.732853E-2	1.437409E-2	6.951371E-2	3.419094E-2
10/19/2017  17:43:31.843206	-3.171529E-1	2.082484E-2	3.736893E-3	-1.014142E+1	2.222863E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:43:31.844206	1.327807E-1	1.828100E-2	2.155331E-2	-1.013632E+1	1.457878E-2	1.946206E-2	9.239983E-2	3.419094E-2
10/19/2017  17:43:31.845206	7.937001E-1	1.319332E-2	2.409852E-2	-1.013632E+1	2.477858E-2	1.946206E-2	7.459952E-2	3.673486E-2
10/19/2017  17:43:31.846206	-1.973920E-2	8.105642E-3	1.391770E-2	-1.013887E+1	2.987847E-2	2.200605E-2	6.188501E-2	2.655919E-2
10/19/2017  17:43:31.847206	-3.501989E-1	1.828100E-2	3.682453E-2	-1.013887E+1	1.712873E-2	2.963800E-2	7.205661E-2	2.147136E-2
10/19/2017  17:43:31.848206	-1.671751E-1	2.336868E-2	2.155331E-2	-1.014142E+1	1.712873E-2	1.183011E-2	8.477112E-2	3.673486E-2
10/19/2017  17:43:31.849206	8.038681E-1	8.105642E-3	2.155331E-2	-1.012869E+1	3.497837E-2	2.709402E-2	7.459952E-2	4.182269E-2
10/19/2017  17:43:31.850206	1.596971E+0	3.017961E-3	8.827299E-3	-1.014396E+1	2.732853E-2	2.709402E-2	7.205661E-2	2.401527E-2
10/19/2017  17:43:31.851206	8.038681E-1	1.573716E-2	2.664372E-2	-1.014396E+1	1.457878E-2	2.200605E-2	8.477112E-2	2.401527E-2
10/19/2017  17:43:31.852206	-2.281830E-1	1.828100E-2	2.664372E-2	-1.013123E+1	4.378993E-3	1.437409E-2	7.968532E-2	3.927877E-2
10/19/2017  17:43:31.853206	5.827143E-1	1.064948E-2	1.137250E-2	-1.013632E+1	2.732853E-2	1.946206E-2	6.951371E-2	3.927877E-2
10/19/2017  17:43:31.854206	9.843499E-1	1.828100E-2	1.137250E-2	-1.013887E+1	1.457878E-2	2.455003E-2	7.205661E-2	2.147136E-2
10/19/2017  17:43:31.855206	2.802165E-1	1.319332E-2	2.155331E-2	-1.013632E+1	1.457878E-2	1.946206E-2	8.222822E-2	2.655919E-2
10/19/2017  17:43:31.856206	-5.103448E-1	8.105642E-3	1.900811E-2	-1.012359E+1	2.477858E-2	1.437409E-2	6.951371E-2	3.164702E-2
								
10/19/2017  17:43:31.857206	-1.044164E+0	1.319332E-2	2.155331E-2	-1.013378E+1	2.732853E-2	1.946206E-2	7.205661E-2	2.401527E-2
10/19/2017  17:43:31.858206	-1.186516E+0	2.082484E-2	1.900811E-2	-1.014651E+1	2.477858E-2	1.946206E-2	7.714242E-2	2.401527E-2
10/19/2017  17:43:31.859206	8.448270E-2	8.105642E-3	1.391770E-2	-1.012614E+1	1.967868E-2	2.455003E-2	7.205661E-2	3.927877E-2
10/19/2017  17:43:31.860206	4.378204E-1	1.064948E-2	8.827299E-3	-1.013887E+1	2.477858E-2	1.946206E-2	6.951371E-2	2.147136E-2
10/19/2017  17:43:31.861206	-5.662687E-1	1.828100E-2	2.155331E-2	-1.015669E+1	2.477858E-2	2.455003E-2	8.985693E-2	2.401527E-2
10/19/2017  17:43:31.862206	-1.722591E-1	1.319332E-2	3.173413E-2	-1.013632E+1	1.712873E-2	2.455003E-2	7.968532E-2	3.927877E-2
10/19/2017  17:43:31.863206	-2.078470E-1	8.105642E-3	2.155331E-2	-1.013632E+1	2.222863E-2	1.437409E-2	7.205661E-2	2.910311E-2
10/19/2017  17:43:31.864206	1.226127E-1	1.319332E-2	3.736893E-3	-1.014396E+1	2.732853E-2	2.963800E-2	6.951371E-2	2.655919E-2
10/19/2017  17:43:31.865206	3.513925E-1	2.082484E-2	2.664372E-2	-1.014651E+1	1.457878E-2	2.455003E-2	9.239983E-2	3.164702E-2
10/19/2017  17:43:31.866206	6.513482E-1	8.105642E-3	3.173413E-2	-1.013378E+1	1.202884E-2	1.691808E-2	7.968532E-2	3.927877E-2
10/19/2017  17:43:31.867206	9.309679E-1	1.319332E-2	2.155331E-2	-1.013632E+1	2.222863E-2	1.946206E-2	6.951371E-2	2.910311E-2
10/19/2017  17:43:31.868206	1.055526E+0	2.082484E-2	1.900811E-2	-1.014142E+1	1.967868E-2	1.946206E-2	7.205661E-2	2.401527E-2
10/19/2017  17:43:31.869206	-6.295316E-2	4.741205E-4	2.664372E-2	-1.014142E+1	1.457878E-2	2.455003E-2	8.222822E-2	3.164702E-2
10/19/2017  17:43:31.870206	-1.250066E+0	1.319332E-2	2.155331E-2	-1.013632E+1	2.222863E-2	3.472597E-2	7.205661E-2	3.673486E-2
10/19/2017  17:43:31.871206	-6.120247E-1	2.591253E-2	1.137250E-2	-1.013632E+1	3.497837E-2	1.691808E-2	7.205661E-2	3.419094E-2
10/19/2017  17:43:31.872206	8.448270E-2	1.319332E-2	1.900811E-2	-1.014905E+1	1.457878E-2	2.455003E-2	8.222822E-2	2.910311E-2
10/19/2017  17:43:31.873206	9.719269E-2	4.741205E-4	2.155331E-2	-1.014142E+1	1.829045E-3	2.200605E-2	7.205661E-2	3.673486E-2
10/19/2017  17:43:31.874206	-5.662687E-1	1.064948E-2	1.391770E-2	-1.013632E+1	2.732853E-2	2.200605E-2	6.951371E-2	3.419094E-2
10/19/2017  17:43:31.875206	-5.357647E-1	2.082484E-2	1.900811E-2	-1.012869E+1	3.752832E-2	2.709402E-2	7.968532E-2	3.419094E-2
10/19/2017  17:43:31.876206	4.276524E-1	1.064948E-2	1.137250E-2	-1.013123E+1	2.222863E-2	2.455003E-2	7.205661E-2	3.673486E-2
10/19/2017  17:43:31.877206	-6.730326E-1	1.319332E-2	1.137250E-2	-1.013887E+1	2.477858E-2	1.946206E-2	5.934210E-2	2.655919E-2
10/19/2017  17:43:31.878206	2.344606E-1	2.082484E-2	8.827299E-3	-1.015415E+1	2.222863E-2	1.691808E-2	7.205661E-2	2.401527E-2
10/19/2017  17:43:31.879206	1.050442E+0	1.573716E-2	2.918892E-2	-1.013632E+1	1.457878E-2	1.691808E-2	8.222822E-2	4.945444E-2
10/19/2017  17:43:31.880206	8.801280E-1	8.105642E-3	1.137250E-2	-1.011341E+1	2.732853E-2	2.455003E-2	6.442791E-2	2.910311E-2
10/19/2017  17:43:31.881206	5.852563E-1	2.082484E-2	1.137250E-2	-1.014396E+1	2.222863E-2	2.709402E-2	7.205661E-2	1.383961E-2
10/19/2017  17:43:31.882206	1.101282E+0	1.064948E-2	2.409852E-2	-1.014905E+1	1.457878E-2	9.286120E-3	7.205661E-2	4.182269E-2
10/19/2017  17:43:31.883206	2.192086E-1	4.741205E-4	1.900811E-2	-1.013887E+1	2.987847E-2	1.437409E-2	6.697081E-2	2.910311E-2
10/19/2017  17:43:31.884206	-5.306807E-1	1.828100E-2	1.646291E-2	-1.014396E+1	2.477858E-2	2.709402E-2	8.731403E-2	2.401527E-2
10/19/2017  17:43:31.885206	-1.671751E-1	1.319332E-2	3.173413E-2	-1.014396E+1	2.477858E-2	2.455003E-2	8.222822E-2	3.419094E-2
10/19/2017  17:43:31.886206	-5.993147E-1	3.017961E-3	1.391770E-2	-1.013887E+1	2.477858E-2	1.437409E-2	7.205661E-2	3.419094E-2
10/19/2017  17:43:31.887206	-8.992704E-1	1.064948E-2	1.391770E-2	-1.013887E+1	1.712873E-2	1.437409E-2	7.205661E-2	2.655919E-2
10/19/2017  17:43:31.888206	-6.272767E-1	1.828100E-2	2.155331E-2	-1.013887E+1	1.457878E-2	2.455003E-2	8.222822E-2	2.401527E-2
10/19/2017  17:43:31.889206	1.505746E-1	8.105642E-3	1.900811E-2	-1.013378E+1	2.477858E-2	9.286120E-3	7.459952E-2	3.927877E-2
								
10/19/2017  17:43:31.890206	1.045358E+0	4.741205E-4	1.137250E-2	-1.013887E+1	1.967868E-2	2.709402E-2	6.697081E-2	2.655919E-2
10/19/2017  17:43:31.891206	7.939871E-2	1.828100E-2	1.900811E-2	-1.014396E+1	1.967868E-2	9.286120E-3	7.205661E-2	1.892744E-2
10/19/2017  17:43:31.892206	-5.967727E-1	2.845637E-2	2.664372E-2	-1.012869E+1	1.457878E-2	1.437409E-2	7.968532E-2	3.927877E-2
10/19/2017  17:43:31.893206	-2.307250E-1	1.573716E-2	1.391770E-2	-1.013887E+1	2.732853E-2	1.946206E-2	6.951371E-2	3.419094E-2
10/19/2017  17:43:31.894206	6.894782E-1	1.573716E-2	1.646291E-2	-1.013378E+1	2.732853E-2	2.709402E-2	7.714242E-2	2.655919E-2
10/19/2017  17:43:31.895206	9.233419E-1	5.561801E-3	2.155331E-2	-1.013632E+1	1.712873E-2	1.691808E-2	7.459952E-2	3.164702E-2
10/19/2017  17:43:31.896206	5.115383E-1	1.828100E-2	1.900811E-2	-1.013632E+1	1.202884E-2	1.946206E-2	6.442791E-2	2.147136E-2
10/19/2017  17:43:31.897206	2.802165E-1	2.082484E-2	1.900811E-2	-1.013378E+1	2.222863E-2	3.218199E-2	7.205661E-2	2.147136E-2
10/19/2017  17:43:31.898206	1.454906E-1	1.828100E-2	1.900811E-2	-1.013632E+1	1.457878E-2	1.946206E-2	8.222822E-2	2.910311E-2
10/19/2017  17:43:31.899206	-5.993147E-1	8.105642E-3	6.282096E-3	-1.014142E+1	2.222863E-2	1.437409E-2	6.951371E-2	3.673486E-2
10/19/2017  17:43:31.900206	-1.278028E+0	8.105642E-3	2.155331E-2	-1.013887E+1	1.967868E-2	1.946206E-2	7.205661E-2	2.910311E-2
10/19/2017  17:43:31.901206	-3.044429E-1	1.573716E-2	2.664372E-2	-1.012614E+1	1.457878E-2	2.455003E-2	8.731403E-2	2.655919E-2
10/19/2017  17:43:31.902206	-5.840627E-1	1.828100E-2	2.155331E-2	-1.013123E+1	2.222863E-2	1.691808E-2	7.205661E-2	3.673486E-2
10/19/2017  17:43:31.903206	2.929265E-1	1.064948E-2	1.391770E-2	-1.013632E+1	2.732853E-2	2.963800E-2	7.205661E-2	2.910311E-2
10/19/2017  17:43:31.904206	2.344606E-1	1.319332E-2	1.137250E-2	-1.014142E+1	1.457878E-2	2.455003E-2	7.714242E-2	2.401527E-2
10/19/2017  17:43:31.905206	-1.163351E-1	1.064948E-2	2.409852E-2	-1.012869E+1	1.457878E-2	1.691808E-2	7.459952E-2	3.419094E-2
10/19/2017  17:43:31.906206	6.742262E-1	8.105642E-3	1.137250E-2	-1.013887E+1	3.497837E-2	1.946206E-2	6.697081E-2	3.164702E-2
10/19/2017  17:43:31.907206	7.682801E-1	1.064948E-2	2.155331E-2	-1.013887E+1	1.967868E-2	2.455003E-2	7.459952E-2	2.147136E-2
10/19/2017  17:43:31.908206	5.397873E-2	1.319332E-2	1.137250E-2	-1.013632E+1	1.457878E-2	6.742135E-3	7.968532E-2	2.655919E-2
10/19/2017  17:43:31.909206	-1.036251E-1	8.105642E-3	1.900811E-2	-1.013378E+1	1.967868E-2	1.691808E-2	7.459952E-2	3.673486E-2
10/19/2017  17:43:31.910206	6.668872E-2	1.319332E-2	1.391770E-2	-1.014142E+1	3.242842E-2	2.200605E-2	6.951371E-2	2.910311E-2
