Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 0	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924	10/19/2017  17:42:53.508924
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:42:53.508041	-6.959106E-1	1.319332E-2	1.900811E-2	-1.012869E+1	1.967868E-2	1.946206E-2	7.205661E-2	3.927877E-2
10/19/2017  17:42:53.509041	-6.247347E-1	5.561801E-3	1.391770E-2	-1.013378E+1	2.477858E-2	1.437409E-2	7.459952E-2	3.673486E-2
10/19/2017  17:42:53.510041	-7.566315E-2	1.573716E-2	1.391770E-2	-1.012869E+1	3.242842E-2	1.946206E-2	6.951371E-2	2.401527E-2
10/19/2017  17:42:53.511041	2.370026E-1	2.082484E-2	2.155331E-2	-1.013632E+1	1.967868E-2	2.963800E-2	7.205661E-2	3.164702E-2
10/19/2017  17:42:53.512041	4.454464E-1	1.064948E-2	2.409852E-2	-1.014142E+1	9.478889E-3	1.946206E-2	8.222822E-2	3.164702E-2
10/19/2017  17:42:53.513041	1.421573E+0	5.561801E-3	1.137250E-2	-1.013887E+1	1.967868E-2	9.286120E-3	7.205661E-2	3.927877E-2
10/19/2017  17:42:53.514041	4.403624E-1	1.319332E-2	1.900811E-2	-1.013632E+1	2.477858E-2	2.455003E-2	6.697081E-2	3.927877E-2
10/19/2017  17:42:53.515041	-3.756189E-1	2.082484E-2	2.409852E-2	-1.013887E+1	2.222863E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:42:53.516041	-3.603669E-1	1.319332E-2	1.900811E-2	-1.013632E+1	1.457878E-2	1.691808E-2	7.714242E-2	2.655919E-2
10/19/2017  17:42:53.517041	2.115826E-1	8.105642E-3	1.391770E-2	-1.014142E+1	1.967868E-2	9.286120E-3	6.951371E-2	3.927877E-2
10/19/2017  17:42:53.518041	1.190252E+0	8.105642E-3	1.391770E-2	-1.013887E+1	2.222863E-2	2.200605E-2	6.697081E-2	3.164702E-2
10/19/2017  17:42:53.519041	1.152122E+0	2.082484E-2	1.646291E-2	-1.013632E+1	2.222863E-2	2.963800E-2	7.968532E-2	2.655919E-2
10/19/2017  17:42:53.520041	-2.154730E-1	1.064948E-2	4.191494E-2	-1.012869E+1	2.222863E-2	1.437409E-2	7.714242E-2	3.673486E-2
10/19/2017  17:42:53.521041	-8.052165E-1	8.105642E-3	1.391770E-2	-1.012869E+1	2.987847E-2	1.437409E-2	6.951371E-2	3.164702E-2
10/19/2017  17:42:53.522041	-7.340406E-1	2.082484E-2	1.191689E-3	-1.014396E+1	1.967868E-2	2.963800E-2	6.951371E-2	2.147136E-2
10/19/2017  17:42:53.523041	-3.603669E-1	1.828100E-2	2.155331E-2	-1.013632E+1	1.712873E-2	2.455003E-2	7.968532E-2	3.164702E-2
10/19/2017  17:42:53.524041	-1.265031E-1	5.561801E-3	2.155331E-2	-1.012614E+1	2.477858E-2	2.200605E-2	7.205661E-2	4.182269E-2
10/19/2017  17:42:53.525041	1.839076E-2	1.064948E-2	1.391770E-2	-1.014142E+1	2.987847E-2	2.963800E-2	6.951371E-2	2.655919E-2
10/19/2017  17:42:53.526041	5.143673E-2	1.319332E-2	2.409852E-2	-1.013632E+1	1.712873E-2	6.742135E-3	7.714242E-2	1.892744E-2
10/19/2017  17:42:53.527041	2.039566E-1	-2.069720E-3	1.900811E-2	-1.013378E+1	1.712873E-2	2.200605E-2	7.205661E-2	3.164702E-2
10/19/2017  17:42:53.528041	3.310565E-1	1.064948E-2	2.155331E-2	-1.013887E+1	2.222863E-2	2.200605E-2	7.205661E-2	2.401527E-2
10/19/2017  17:42:53.529041	2.090406E-1	1.319332E-2	2.155331E-2	-1.012869E+1	2.732853E-2	1.437409E-2	8.222822E-2	3.164702E-2
10/19/2017  17:42:53.530041	-8.074715E-2	8.105642E-3	1.391770E-2	-1.013887E+1	1.967868E-2	1.946206E-2	7.205661E-2	3.927877E-2
10/19/2017  17:42:53.531041	-1.925950E-1	2.082484E-2	1.391770E-2	-1.013632E+1	2.222863E-2	2.200605E-2	6.188501E-2	3.164702E-2
10/19/2017  17:42:53.532041	-2.129310E-1	1.064948E-2	1.391770E-2	-1.013378E+1	2.222863E-2	2.200605E-2	7.968532E-2	2.910311E-2
10/19/2017  17:42:53.533041	-1.722591E-1	8.105642E-3	1.646291E-2	-1.013123E+1	1.967868E-2	1.437409E-2	7.968532E-2	1.892744E-2
10/19/2017  17:42:53.534041	-3.476569E-1	1.064948E-2	8.827299E-3	-1.013632E+1	2.477858E-2	2.455003E-2	7.205661E-2	2.401527E-2
10/19/2017  17:42:53.535041	1.378647E-1	8.105642E-3	1.137250E-2	-1.013632E+1	1.967868E-2	2.455003E-2	7.714242E-2	2.655919E-2
10/19/2017  17:42:53.536041	5.623783E-1	1.064948E-2	1.646291E-2	-1.012869E+1	2.477858E-2	1.691808E-2	7.968532E-2	3.164702E-2
10/19/2017  17:42:53.537041	9.538459E-1	1.828100E-2	1.900811E-2	-1.013632E+1	2.987847E-2	2.709402E-2	6.697081E-2	3.164702E-2
10/19/2017  17:42:53.538041	7.123561E-1	2.082484E-2	1.900811E-2	-1.014142E+1	1.967868E-2	1.946206E-2	7.714242E-2	3.419094E-2
10/19/2017  17:42:53.539041	-2.586870E-1	2.082484E-2	1.646291E-2	-1.013378E+1	1.457878E-2	1.691808E-2	7.968532E-2	3.419094E-2
10/19/2017  17:42:53.540041	-3.196949E-1	1.573716E-2	1.391770E-2	-1.013887E+1	2.477858E-2	2.455003E-2	7.714242E-2	3.164702E-2
								
10/19/2017  17:42:53.541041	-3.832449E-1	2.082484E-2	2.409852E-2	-1.014651E+1	2.477858E-2	3.218199E-2	6.951371E-2	3.164702E-2
10/19/2017  17:42:53.542041	-1.087091E-1	1.319332E-2	2.155331E-2	-1.013378E+1	1.457878E-2	2.200605E-2	7.714242E-2	3.164702E-2
10/19/2017  17:42:53.543041	-1.239611E-1	8.105642E-3	1.137250E-2	-1.013123E+1	2.222863E-2	-8.898203E-4	7.459952E-2	3.164702E-2
10/19/2017  17:42:53.544041	2.522546E-1	5.561801E-3	1.137250E-2	-1.013887E+1	2.477858E-2	1.946206E-2	6.951371E-2	3.164702E-2
10/19/2017  17:42:53.545041	4.126874E-2	1.319332E-2	2.155331E-2	-1.013887E+1	2.222863E-2	3.472597E-2	7.459952E-2	3.419094E-2
10/19/2017  17:42:53.546041	-4.515918E-2	2.591253E-2	2.155331E-2	-1.012614E+1	2.222863E-2	1.437409E-2	7.968532E-2	3.673486E-2
10/19/2017  17:42:53.547041	-7.057916E-2	8.105642E-3	6.282096E-3	-1.013123E+1	2.732853E-2	1.437409E-2	6.697081E-2	2.401527E-2
10/19/2017  17:42:53.548041	-8.074715E-2	3.017961E-3	1.900811E-2	-1.013887E+1	1.967868E-2	2.963800E-2	7.205661E-2	2.655919E-2
10/19/2017  17:42:53.549041	4.889474E-2	8.105642E-3	2.664372E-2	-1.012869E+1	1.712873E-2	2.455003E-2	8.222822E-2	2.910311E-2
10/19/2017  17:42:53.550041	2.093276E-2	8.105642E-3	1.900811E-2	-1.012614E+1	2.987847E-2	1.437409E-2	7.968532E-2	3.927877E-2
10/19/2017  17:42:53.551041	2.347476E-2	1.064948E-2	1.391770E-2	-1.013887E+1	2.732853E-2	1.946206E-2	6.697081E-2	2.910311E-2
10/19/2017  17:42:53.552041	-3.244919E-2	1.319332E-2	1.391770E-2	-1.013632E+1	1.712873E-2	2.709402E-2	7.205661E-2	3.164702E-2
10/19/2017  17:42:53.553041	-1.722591E-1	1.319332E-2	1.900811E-2	-1.014905E+1	1.967868E-2	1.691808E-2	7.459952E-2	2.910311E-2
10/19/2017  17:42:53.554041	-9.854113E-2	1.319332E-2	2.155331E-2	-1.012614E+1	3.242842E-2	2.455003E-2	6.951371E-2	4.691052E-2
10/19/2017  17:42:53.555041	1.836206E-1	2.082484E-2	2.664372E-2	-1.013123E+1	2.222863E-2	2.963800E-2	6.951371E-2	2.910311E-2
10/19/2017  17:42:53.556041	6.183022E-1	1.064948E-2	2.155331E-2	-1.013632E+1	1.967868E-2	2.455003E-2	7.968532E-2	2.147136E-2
10/19/2017  17:42:53.557041	7.784481E-1	8.105642E-3	1.900811E-2	-1.013632E+1	2.222863E-2	9.286120E-3	7.968532E-2	3.673486E-2
10/19/2017  17:42:53.558041	5.649203E-1	8.105642E-3	1.900811E-2	-1.013378E+1	2.987847E-2	2.455003E-2	6.951371E-2	3.164702E-2
10/19/2017  17:42:53.559041	-5.103448E-1	1.828100E-2	1.646291E-2	-1.014905E+1	2.222863E-2	2.709402E-2	8.477112E-2	2.401527E-2
10/19/2017  17:42:53.560041	-1.003492E+0	-4.613560E-3	1.646291E-2	-1.013887E+1	1.457878E-2	1.437409E-2	7.968532E-2	3.927877E-2
10/19/2017  17:42:53.561041	-1.875110E-1	5.561801E-3	1.137250E-2	-1.013378E+1	1.967868E-2	1.691808E-2	6.188501E-2	3.927877E-2
10/19/2017  17:42:53.562041	-2.739390E-1	2.082484E-2	1.137250E-2	-1.014905E+1	2.477858E-2	3.472597E-2	6.697081E-2	2.401527E-2
10/19/2017  17:42:53.563041	-1.112511E-1	2.082484E-2	2.409852E-2	-1.014396E+1	2.222863E-2	2.709402E-2	7.459952E-2	2.401527E-2
10/19/2017  17:42:53.564041	3.056365E-1	5.561801E-3	2.409852E-2	-1.013123E+1	1.457878E-2	1.946206E-2	7.968532E-2	3.419094E-2
10/19/2017  17:42:53.565041	6.767682E-1	-7.157401E-3	1.900811E-2	-1.013123E+1	1.967868E-2	1.691808E-2	6.951371E-2	3.673486E-2
