Parameters: 	Upper Cutoff: : 300	Lower Cutoff: : 30	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:45:55.981013	1.807303E-1	2.244205E-3	7.980371E-3	7.913376E-3	3.995452E-3	2.185885E-3	3.665079E-3	8.339880E-3
10/19/2017  17:45:55.982013	1.581918E-2	2.399440E-3	2.099676E-4	9.528853E-4	9.251356E-3	5.416231E-3	2.063915E-3	3.515710E-4
10/19/2017  17:45:55.983013	3.036628E-1	3.843038E-3	5.345222E-3	2.475774E-3	2.601676E-3	6.319262E-3	3.202057E-3	6.682004E-3
10/19/2017  17:45:55.984013	5.822294E-1	1.124652E-3	1.148870E-3	4.901459E-3	5.608556E-3	2.188336E-3	1.240148E-4	3.394816E-3
10/19/2017  17:45:55.985013	5.905750E-1	5.485409E-3	9.020390E-3	1.482457E-3	3.773232E-3	3.197886E-3	5.677473E-3	4.387359E-3
10/19/2017  17:45:55.986013	3.807188E-1	5.494727E-3	5.997438E-3	1.108959E-3	3.978832E-3	1.630227E-3	6.544179E-4	4.941112E-3
10/19/2017  17:45:55.987013	5.638151E-2	3.387696E-3	2.067035E-3	7.490339E-3	1.018781E-3	5.964705E-3	5.277545E-4	6.508089E-4
10/19/2017  17:45:55.988013	3.499358E-1	7.850410E-3	3.491259E-3	7.749502E-3	2.463661E-4	7.167146E-3	5.341111E-3	6.754864E-5
10/19/2017  17:45:55.989013	3.884725E-1	2.687683E-3	9.332459E-4	1.064812E-3	6.793085E-5	4.616245E-3	1.987810E-3	2.550538E-3
10/19/2017  17:45:55.990013	2.257937E-1	1.683990E-3	9.762999E-4	5.539449E-3	7.342386E-4	3.514086E-3	3.820313E-3	3.857806E-3
10/19/2017  17:45:55.991013	8.015286E-1	3.311383E-3	4.337040E-3	6.588674E-4	3.193153E-3	2.647938E-4	4.402322E-4	4.469201E-3
10/19/2017  17:45:55.992013	6.421937E-1	1.959331E-3	5.792887E-3	1.501751E-3	7.154449E-3	2.109570E-3	2.266473E-4	3.293428E-3
10/19/2017  17:45:55.993013	7.704602E-2	3.223216E-3	3.151057E-3	3.809237E-3	4.290497E-3	6.393779E-4	1.633063E-3	1.073554E-3
10/19/2017  17:45:55.994013	7.233870E-1	1.057294E-3	1.780485E-3	3.143164E-3	1.722403E-3	1.279442E-3	5.879796E-3	4.404759E-3
10/19/2017  17:45:55.995013	8.033372E-1	1.037610E-3	4.929702E-4	4.732601E-3	4.542349E-3	6.163302E-3	4.884931E-3	7.417406E-4
10/19/2017  17:45:55.996013	5.561375E-1	2.845330E-3	1.148425E-3	8.454168E-3	4.266097E-3	1.025152E-3	5.980678E-3	1.288763E-3
10/19/2017  17:45:55.997013	4.361946E-1	2.082666E-3	1.492098E-3	4.201498E-3	4.031513E-3	2.191157E-3	3.835328E-3	1.482314E-3
10/19/2017  17:45:55.998013	3.097837E-1	2.214879E-3	2.775470E-3	4.587026E-3	5.876719E-3	6.694977E-3	2.045254E-3	4.597533E-3
10/19/2017  17:45:55.999013	1.707816E-1	2.054101E-3	4.729096E-3	6.340838E-3	4.802142E-3	1.000605E-2	1.741611E-3	2.264683E-3
10/19/2017  17:45:56.000013	1.912825E-1	5.517903E-4	4.420127E-3	1.046108E-3	4.430115E-4	2.526816E-3	4.415374E-3	4.065268E-4
10/19/2017  17:45:56.001013	8.034335E-2	1.890596E-3	8.595939E-4	2.588574E-3	4.311663E-4	3.610344E-3	3.769690E-3	2.849860E-3
10/19/2017  17:45:56.002013	2.085841E-1	1.931909E-4	5.273214E-3	3.380005E-3	2.898245E-3	5.542397E-3	4.278723E-4	1.999440E-3
10/19/2017  17:45:56.003013	2.194613E-1	3.827688E-3	3.120170E-3	6.437795E-3	7.061798E-4	1.101865E-3	6.032974E-3	5.202209E-3
10/19/2017  17:45:56.004013	7.867390E-2	5.649032E-3	7.064218E-3	3.099133E-3	7.852337E-4	6.412091E-3	2.284028E-3	1.821790E-3
10/19/2017  17:45:56.005013	4.570081E-1	5.126788E-3	2.896855E-3	1.932904E-3	8.302630E-4	6.071680E-3	3.335733E-3	1.401904E-3
10/19/2017  17:45:56.006013	1.101097E+0	3.511680E-3	8.135815E-3	1.906468E-4	4.917150E-3	3.018205E-3	2.280049E-3	7.230931E-3
