Parameters: 	Upper Cutoff:  500	Lower Cutoff: 30	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812	10/19/2017  17:46:18.740812
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:46:18.734803	4.540980E-1	8.129970E-3	3.003258E-3	8.530147E-3	1.047156E-2	1.038635E-2	5.455426E-3	3.594526E-3
10/19/2017  17:46:18.735803	2.760109E-1	1.146081E-2	9.274427E-3	8.431855E-4	4.229044E-4	1.667051E-4	2.330927E-3	1.274357E-3
10/19/2017  17:46:18.736803	2.872168E-3	3.487939E-3	8.343288E-3	4.006968E-3	3.752463E-3	1.658541E-2	2.767208E-3	3.864362E-3
10/19/2017  17:46:18.737803	3.818063E-2	1.429672E-2	4.971669E-3	8.634953E-3	1.926260E-3	4.857479E-3	9.319445E-3	6.886579E-4
10/19/2017  17:46:18.738803	1.978240E-1	1.038468E-2	5.632847E-3	6.640504E-4	2.545249E-3	7.700342E-3	7.903380E-3	6.620099E-3
10/19/2017  17:46:18.739803	4.035416E-3	2.731203E-3	2.421252E-4	1.430443E-2	3.408616E-3	7.125790E-3	3.502985E-4	3.574278E-3
10/19/2017  17:46:18.740803	1.201511E-1	1.636389E-4	3.712699E-3	5.773905E-3	8.822220E-3	4.459581E-3	7.535792E-3	4.741878E-3
10/19/2017  17:46:18.741803	6.792163E-2	2.096545E-3	6.184310E-4	1.627970E-3	1.060174E-2	9.221246E-3	5.708858E-4	1.150972E-2
10/19/2017  17:46:18.742803	1.995199E-1	4.649516E-3	6.134231E-4	7.012535E-3	6.491420E-3	2.656284E-3	6.016622E-4	7.271494E-3
10/19/2017  17:46:18.743803	3.140138E-2	9.610129E-3	8.532528E-4	1.031896E-2	6.419734E-3	4.224780E-3	1.726636E-2	1.273213E-4
10/19/2017  17:46:18.744803	1.367975E-1	4.454999E-3	3.836524E-3	5.911635E-3	4.213681E-3	2.008247E-3	1.197426E-2	3.520311E-4
10/19/2017  17:46:18.745803	1.397040E-1	2.702625E-3	3.460385E-3	4.643216E-3	1.619297E-3	5.599580E-3	1.067426E-3	1.063467E-2
10/19/2017  17:46:18.746803	2.742219E-1	4.612797E-3	5.003004E-3	1.264851E-2	1.022821E-3	3.826630E-3	4.970017E-3	1.993763E-3
10/19/2017  17:46:18.747803	3.742316E-1	5.263897E-3	5.525256E-3	7.651210E-3	5.456177E-3	4.385213E-3	7.059738E-3	1.348925E-2
10/19/2017  17:46:18.748803	6.495798E-1	1.151897E-3	6.632423E-3	1.946333E-2	3.052314E-3	3.682898E-3	4.134618E-3	2.197990E-3
10/19/2017  17:46:18.749803	5.035029E-1	3.017714E-3	8.442503E-3	5.058767E-3	7.958367E-3	3.623014E-3	6.380285E-4	2.829085E-4
10/19/2017  17:46:18.750803	2.322007E-1	8.038312E-3	1.089047E-3	2.056345E-4	3.830556E-3	5.699182E-3	1.032644E-2	1.701043E-3
10/19/2017  17:46:18.751803	6.722338E-1	3.924921E-3	1.683505E-2	4.673491E-3	8.116776E-4	2.325941E-3	1.225385E-3	7.622305E-3
10/19/2017  17:46:18.752803	1.575401E+0	4.978887E-3	1.297936E-2	7.298392E-3	2.962936E-3	1.405638E-2	1.062207E-2	7.101889E-4
10/19/2017  17:46:18.753803	1.167265E+0	2.774613E-3	4.147960E-3	1.729831E-3	1.918179E-3	2.951040E-3	5.079819E-3	5.572095E-3
10/19/2017  17:46:18.754803	2.047498E-1	1.264819E-2	2.277133E-3	7.102902E-3	1.325112E-3	1.851222E-3	1.270905E-3	9.040913E-3
10/19/2017  17:46:18.755803	5.025704E-1	5.041009E-3	4.782602E-3	3.702415E-3	7.233914E-3	1.096126E-2	4.803075E-3	7.892727E-4
10/19/2017  17:46:18.756803	3.186415E-1	2.413929E-3	8.238191E-3	8.787066E-3	7.769023E-3	4.153120E-3	7.433173E-3	2.798248E-3
10/19/2017  17:46:18.757803	2.016753E-1	2.652740E-3	3.492331E-4	5.709674E-3	2.300403E-4	1.305592E-2	2.937687E-4	3.795208E-3
10/19/2017  17:46:18.758803	3.526622E-1	3.568723E-3	5.227764E-4	1.463380E-2	4.833953E-4	4.670019E-3	6.124580E-3	5.993975E-5
10/19/2017  17:46:18.759803	1.808645E-2	4.745589E-3	7.092864E-3	6.219155E-3	5.029035E-3	7.437201E-4	4.445870E-3	6.234721E-3
10/19/2017  17:46:18.760803	3.286597E-1	1.068148E-2	5.409552E-3	6.528206E-3	2.208464E-2	9.166779E-5	3.426456E-3	7.484533E-3
10/19/2017  17:46:18.761803	1.989109E-1	1.126930E-2	7.427582E-3	2.136941E-3	5.318386E-3	6.989787E-4	2.031374E-3	6.491074E-3
10/19/2017  17:46:18.762803	1.567812E-1	5.358998E-3	5.278392E-3	9.158431E-3	5.727468E-3	6.840102E-3	7.785856E-4	6.133572E-4
10/19/2017  17:46:18.763803	2.430854E-1	2.836148E-3	6.524754E-3	1.341591E-2	4.474012E-3	9.248132E-3	6.387996E-3	1.096265E-2
10/19/2017  17:46:18.764803	1.084763E-1	3.550680E-3	1.335063E-2	2.149325E-3	7.712336E-3	8.399992E-3	8.738344E-3	9.602497E-3
10/19/2017  17:46:18.765803	9.147863E-2	2.408691E-3	2.415633E-3	2.084717E-2	1.487750E-3	8.364897E-4	8.646338E-3	3.356100E-3
10/19/2017  17:46:18.766803	7.854846E-2	4.011954E-3	6.507049E-3	7.027193E-3	4.974790E-3	5.512843E-3	5.026321E-4	1.477844E-2
								
10/19/2017  17:46:18.767803	8.721637E-2	4.507507E-3	1.054115E-2	1.963959E-2	7.360461E-3	7.094981E-3	4.634871E-3	1.393654E-3
10/19/2017  17:46:18.768803	1.472942E-1	3.451002E-3	5.945668E-3	4.306308E-3	6.245829E-3	1.738667E-3	3.450418E-3	1.282031E-3
10/19/2017  17:46:18.769803	1.761551E-1	7.373795E-3	3.582254E-3	1.342651E-3	1.103883E-2	1.001517E-3	1.237616E-2	6.784932E-3
10/19/2017  17:46:18.770803	8.387292E-2	6.720959E-3	1.807991E-2	1.323488E-3	2.642289E-3	9.324360E-3	6.797611E-4	4.960250E-3
10/19/2017  17:46:18.771803	7.525648E-2	4.879448E-3	4.348170E-3	1.080364E-2	1.190634E-3	1.317750E-2	1.066666E-2	7.822868E-3
10/19/2017  17:46:18.772803	1.014688E-1	6.278429E-4	9.894967E-3	6.385374E-3	8.070832E-3	2.108128E-3	2.773338E-3	9.007326E-3
10/19/2017  17:46:18.773803	1.940659E-1	1.912166E-3	5.424208E-3	2.441335E-3	1.257159E-2	6.784578E-4	4.278807E-3	5.502269E-3
10/19/2017  17:46:18.774803	8.948596E-2	5.485541E-3	3.756383E-3	1.608277E-4	2.196729E-3	7.623728E-3	3.776966E-3	7.971515E-3
10/19/2017  17:46:18.775803	6.203852E-2	1.435055E-2	3.171406E-3	8.236158E-3	3.666496E-3	2.000842E-3	4.222640E-4	7.175892E-3
