Parameters: 	Upper Cutoff:  800	Lower Cutoff: 30	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
10/19/2017  17:46:56.663811	-4.007518E-2	1.319332E-2	1.900811E-2	-1.013632E+1	2.477858E-2	1.437409E-2	6.697081E-2	3.164702E-2
10/19/2017  17:46:56.664811	5.967806E-4	4.741205E-4	2.664372E-2	-1.013123E+1	1.967868E-2	1.946206E-2	7.459952E-2	3.927877E-2
10/19/2017  17:46:56.665811	2.601676E-2	1.573716E-2	1.391770E-2	-1.013632E+1	1.712873E-2	1.946206E-2	7.714242E-2	3.419094E-2
10/19/2017  17:46:56.666811	2.420866E-1	1.319332E-2	3.173413E-2	-1.013887E+1	2.732853E-2	1.691808E-2	7.459952E-2	2.655919E-2
10/19/2017  17:46:56.667811	2.522546E-1	4.741205E-4	1.900811E-2	-1.013378E+1	1.712873E-2	1.691808E-2	7.459952E-2	3.419094E-2
10/19/2017  17:46:56.668811	1.810786E-1	1.064948E-2	-1.353514E-3	-1.014142E+1	1.712873E-2	1.183011E-2	7.205661E-2	2.401527E-2
10/19/2017  17:46:56.669811	8.194071E-2	1.319332E-2	2.155331E-2	-1.015160E+1	1.712873E-2	2.709402E-2	7.714242E-2	2.147136E-2
10/19/2017  17:46:56.670811	1.327807E-1	8.105642E-3	2.409852E-2	-1.013123E+1	1.457878E-2	9.286120E-3	7.968532E-2	3.927877E-2
10/19/2017  17:46:56.671811	1.480326E-1	1.064948E-2	1.391770E-2	-1.013632E+1	2.222863E-2	2.200605E-2	6.697081E-2	3.164702E-2
10/19/2017  17:46:56.672811	6.668872E-2	2.082484E-2	1.137250E-2	-1.014142E+1	1.967868E-2	9.286120E-3	7.968532E-2	1.892744E-2
10/19/2017  17:46:56.673811	1.353227E-1	5.561801E-3	2.664372E-2	-1.013887E+1	1.457878E-2	1.691808E-2	7.714242E-2	3.927877E-2
10/19/2017  17:46:56.674811	6.923072E-2	8.105642E-3	1.900811E-2	-1.013632E+1	2.222863E-2	1.946206E-2	7.459952E-2	2.910311E-2
10/19/2017  17:46:56.675811	1.353227E-1	1.828100E-2	1.391770E-2	-1.013632E+1	3.242842E-2	2.455003E-2	7.968532E-2	2.401527E-2
10/19/2017  17:46:56.676811	7.431471E-2	5.561801E-3	2.409852E-2	-1.013632E+1	1.712873E-2	1.946206E-2	7.968532E-2	3.673486E-2
10/19/2017  17:46:56.677811	-2.205570E-1	5.561801E-3	1.137250E-2	-1.013123E+1	1.967868E-2	2.200605E-2	5.679920E-2	2.401527E-2
10/19/2017  17:46:56.678811	-1.010831E-1	1.828100E-2	1.900811E-2	-1.013887E+1	1.967868E-2	2.963800E-2	7.714242E-2	3.164702E-2
10/19/2017  17:46:56.679811	2.601676E-2	1.319332E-2	2.409852E-2	-1.013887E+1	1.712873E-2	1.946206E-2	7.968532E-2	2.910311E-2
10/19/2017  17:46:56.680811	1.785366E-1	5.561801E-3	6.282096E-3	-1.012614E+1	2.732853E-2	1.946206E-2	7.205661E-2	3.164702E-2
10/19/2017  17:46:56.681811	1.099027E-1	1.064948E-2	2.409852E-2	-1.013378E+1	2.222863E-2	1.946206E-2	7.714242E-2	1.129569E-2
10/19/2017  17:46:56.682811	-1.945217E-3	1.573716E-2	2.155331E-2	-1.014905E+1	1.712873E-2	9.286120E-3	8.222822E-2	2.910311E-2
10/19/2017  17:46:56.683811	4.126874E-2	8.105642E-3	1.646291E-2	-1.013378E+1	3.497837E-2	1.946206E-2	6.442791E-2	3.673486E-2
10/19/2017  17:46:56.684811	7.177272E-2	1.573716E-2	1.137250E-2	-1.014396E+1	3.242842E-2	3.472597E-2	7.205661E-2	2.401527E-2
10/19/2017  17:46:56.685811	5.652073E-2	1.319332E-2	2.155331E-2	-1.014142E+1	1.457878E-2	1.946206E-2	7.968532E-2	3.673486E-2
10/19/2017  17:46:56.686811	5.906273E-2	3.017961E-3	8.827299E-3	-1.013378E+1	1.967868E-2	1.183011E-2	6.951371E-2	3.673486E-2
10/19/2017  17:46:56.687811	1.048187E-1	1.828100E-2	8.827299E-3	-1.014396E+1	2.222863E-2	3.472597E-2	6.951371E-2	2.655919E-2
10/19/2017  17:46:56.688811	7.939871E-2	2.591253E-2	2.155331E-2	-1.013887E+1	1.202884E-2	2.455003E-2	8.222822E-2	3.164702E-2
10/19/2017  17:46:56.689811	4.381074E-2	8.105642E-3	1.646291E-2	-1.013123E+1	2.222863E-2	9.286120E-3	7.205661E-2	2.401527E-2
10/19/2017  17:46:56.690811	-6.041116E-2	4.741205E-4	1.137250E-2	-1.013632E+1	2.222863E-2	2.200605E-2	6.188501E-2	2.401527E-2
10/19/2017  17:46:56.691811	-4.770118E-2	1.828100E-2	1.900811E-2	-1.014651E+1	2.222863E-2	1.183011E-2	7.459952E-2	1.892744E-2
10/19/2017  17:46:56.692811	-1.112511E-1	2.336868E-2	2.664372E-2	-1.012614E+1	1.202884E-2	1.691808E-2	7.714242E-2	4.182269E-2
10/19/2017  17:46:56.693811	8.194071E-2	8.105642E-3	1.391770E-2	-1.012359E+1	2.987847E-2	1.946206E-2	6.697081E-2	3.673486E-2
10/19/2017  17:46:56.694811	2.014146E-1	1.828100E-2	1.646291E-2	-1.013632E+1	3.242842E-2	2.709402E-2	7.714242E-2	2.401527E-2
10/19/2017  17:46:56.695811	9.465070E-2	1.064948E-2	1.900811E-2	-1.014396E+1	1.712873E-2	1.946206E-2	7.459952E-2	3.164702E-2
								
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005	10/19/2017  17:46:56.696005
