Parameters: 	Upper Cutoff: : 300	Lower Cutoff: : 30	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:45:55.981013	-5.561007E-1	2.082484E-2	1.900811E-2	-1.013632E+1	2.222863E-2	1.437409E-2	6.188501E-2	3.164702E-2
10/19/2017  17:45:55.982013	-2.281830E-1	1.573716E-2	2.918892E-2	-1.014396E+1	2.732853E-2	9.286120E-3	7.205661E-2	2.910311E-2
10/19/2017  17:45:55.983013	9.210870E-2	1.573716E-2	1.646291E-2	-1.013632E+1	2.477858E-2	1.946206E-2	7.205661E-2	3.164702E-2
10/19/2017  17:45:55.984013	2.497126E-1	8.105642E-3	1.391770E-2	-1.013123E+1	2.222863E-2	4.198150E-3	7.459952E-2	3.927877E-2
10/19/2017  17:45:55.985013	4.276524E-1	4.741205E-4	1.137250E-2	-1.013887E+1	2.477858E-2	2.200605E-2	6.697081E-2	3.164702E-2
10/19/2017  17:45:55.986013	1.836206E-1	2.082484E-2	1.900811E-2	-1.013887E+1	2.222863E-2	1.183011E-2	7.459952E-2	2.910311E-2
10/19/2017  17:45:55.987013	-4.137488E-1	1.064948E-2	1.900811E-2	-1.014905E+1	2.477858E-2	2.200605E-2	7.968532E-2	3.927877E-2
10/19/2017  17:45:55.988013	-4.315428E-1	1.319332E-2	1.137250E-2	-1.013378E+1	2.732853E-2	1.946206E-2	6.697081E-2	3.164702E-2
10/19/2017  17:45:55.989013	3.590185E-1	2.082484E-2	1.646291E-2	-1.013378E+1	2.477858E-2	2.455003E-2	7.459952E-2	2.401527E-2
10/19/2017  17:45:55.990013	9.258839E-1	1.319332E-2	1.900811E-2	-1.014142E+1	2.222863E-2	1.691808E-2	7.459952E-2	3.164702E-2
10/19/2017  17:45:55.991013	1.485123E+0	1.064948E-2	1.900811E-2	-1.013378E+1	1.202884E-2	1.946206E-2	6.442791E-2	3.419094E-2
10/19/2017  17:45:55.992013	9.055480E-1	1.573716E-2	2.409852E-2	-1.013123E+1	1.712873E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:45:55.993013	3.183465E-1	1.319332E-2	1.900811E-2	-1.013378E+1	1.457878E-2	1.437409E-2	8.731403E-2	2.910311E-2
10/19/2017  17:45:55.994013	4.479884E-1	1.064948E-2	2.409852E-2	-1.013632E+1	1.967868E-2	1.946206E-2	6.951371E-2	2.910311E-2
10/19/2017  17:45:55.995013	3.110075E-2	1.064948E-2	1.646291E-2	-1.014651E+1	1.967868E-2	2.963800E-2	7.205661E-2	1.892744E-2
10/19/2017  17:45:55.996013	1.505746E-1	2.082484E-2	2.664372E-2	-1.014651E+1	1.457878E-2	2.200605E-2	7.968532E-2	3.673486E-2
10/19/2017  17:45:55.997013	1.429487E-1	8.105642E-3	1.137250E-2	-1.012869E+1	2.987847E-2	1.946206E-2	6.697081E-2	2.910311E-2
10/19/2017  17:45:55.998013	-2.990719E-2	1.828100E-2	2.155331E-2	-1.014142E+1	1.712873E-2	1.437409E-2	7.968532E-2	2.655919E-2
10/19/2017  17:45:55.999013	-3.349469E-1	1.319332E-2	8.827299E-3	-1.013887E+1	1.712873E-2	1.946206E-2	6.951371E-2	3.673486E-2
10/19/2017  17:45:56.000013	-2.129310E-1	1.573716E-2	1.391770E-2	-1.014142E+1	2.732853E-2	1.946206E-2	6.188501E-2	3.419094E-2
10/19/2017  17:45:56.001013	-2.078470E-1	2.082484E-2	2.918892E-2	-1.014142E+1	1.712873E-2	3.726996E-2	7.968532E-2	2.401527E-2
10/19/2017  17:45:56.002013	-3.501989E-1	5.561801E-3	1.391770E-2	-1.012869E+1	1.967868E-2	1.691808E-2	7.459952E-2	3.164702E-2
10/19/2017  17:45:56.003013	-8.662244E-1	1.573716E-2	3.736893E-3	-1.013887E+1	2.987847E-2	1.946206E-2	7.205661E-2	3.673486E-2
10/19/2017  17:45:56.004013	-4.261718E-2	4.741205E-4	2.155331E-2	-1.014142E+1	1.202884E-2	2.200605E-2	7.459952E-2	2.910311E-2
10/19/2017  17:45:56.005013	5.598363E-1	5.561801E-3	1.646291E-2	-1.013123E+1	1.967868E-2	1.654165E-3	6.697081E-2	2.655919E-2
10/19/2017  17:45:56.006013	7.733641E-1	8.105642E-3	1.137250E-2	-1.013887E+1	2.477858E-2	2.709402E-2	6.697081E-2	2.655919E-2
