Parameters: 	Upper Cutoff: : 1600	Lower Cutoff: : 30	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
10/19/2017  17:47:55.948497	6.923072E-2	1.319332E-2	1.900811E-2	1.013378E+1	6.928941E-3	2.200605E-2	7.968532E-2	2.910311E-2
10/19/2017  17:47:55.949497	3.618475E-2	1.319332E-2	1.900811E-2	1.013378E+1	2.477858E-2	2.455003E-2	7.459952E-2	3.164702E-2
10/19/2017  17:47:55.950497	9.599913E-2	1.064948E-2	1.900811E-2	1.013887E+1	2.987847E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:47:55.951497	6.803716E-2	1.064948E-2	2.155331E-2	1.013887E+1	9.478889E-3	2.200605E-2	7.968532E-2	2.910311E-2
10/19/2017  17:47:55.952497	1.163351E-1	8.105642E-3	1.646291E-2	1.013632E+1	2.477858E-2	1.437409E-2	7.205661E-2	3.164702E-2
10/19/2017  17:47:55.953497	5.786917E-2	8.105642E-3	1.646291E-2	1.014396E+1	3.242842E-2	2.200605E-2	6.188501E-2	2.655919E-2
10/19/2017  17:47:55.954497	2.064986E-1	1.828100E-2	2.664372E-2	1.013632E+1	1.457878E-2	2.709402E-2	7.968532E-2	2.655919E-2
10/19/2017  17:47:55.955497	1.073607E-1	8.105642E-3	2.409852E-2	1.012105E+1	2.987847E-2	1.183011E-2	8.222822E-2	3.164702E-2
10/19/2017  17:47:55.956497	2.485190E-1	5.561801E-3	1.137250E-2	1.012359E+1	2.732853E-2	1.946206E-2	6.697081E-2	3.164702E-2
10/19/2017  17:47:55.957497	3.883289E-1	1.828100E-2	1.646291E-2	1.014651E+1	6.928941E-3	2.963800E-2	6.697081E-2	1.383961E-2
10/19/2017  17:47:55.958497	1.773431E-1	1.319332E-2	1.391770E-2	1.013632E+1	2.222863E-2	1.946206E-2	8.222822E-2	2.655919E-2
10/19/2017  17:47:55.959497	5.680776E-3	8.105642E-3	1.900811E-2	1.013378E+1	2.222863E-2	2.455003E-2	7.459952E-2	4.436661E-2
10/19/2017  17:47:55.960497	2.725905E-1	1.573716E-2	2.664372E-2	1.013378E+1	2.222863E-2	2.963800E-2	7.459952E-2	2.655919E-2
10/19/2017  17:47:55.961497	2.395446E-1	8.105642E-3	2.155331E-2	1.013887E+1	1.457878E-2	1.691808E-2	8.222822E-2	2.655919E-2
10/19/2017  17:47:55.962497	3.451149E-1	8.105642E-3	1.646291E-2	1.014396E+1	1.967868E-2	9.286120E-3	7.459952E-2	3.673486E-2
10/19/2017  17:47:55.963497	1.519231E-1	5.561801E-3	1.900811E-2	1.013378E+1	2.477858E-2	2.455003E-2	6.951371E-2	3.164702E-2
10/19/2017  17:47:55.964497	5.906273E-2	2.336868E-2	1.646291E-2	1.013887E+1	1.457878E-2	2.963800E-2	7.714242E-2	2.147136E-2
10/19/2017  17:47:55.965497	4.889474E-2	1.319332E-2	3.936974E-2	1.013123E+1	2.222863E-2	9.286120E-3	7.714242E-2	3.673486E-2
10/19/2017  17:47:55.966497	5.572943E-1	8.105642E-3	1.137250E-2	1.012614E+1	2.477858E-2	1.437409E-2	6.697081E-2	3.164702E-2
10/19/2017  17:47:55.967497	3.590185E-1	2.082484E-2	1.391770E-2	1.013632E+1	2.987847E-2	1.946206E-2	7.459952E-2	2.147136E-2
10/19/2017  17:47:55.968497	3.844384E-1	1.064948E-2	2.409852E-2	1.013123E+1	1.457878E-2	1.946206E-2	8.222822E-2	3.164702E-2
10/19/2017  17:47:55.969497	1.226127E-1	3.017961E-3	2.155331E-2	1.014142E+1	2.477858E-2	2.200605E-2	7.205661E-2	2.910311E-2
10/19/2017  17:47:55.970497	2.217506E-1	2.082484E-2	1.646291E-2	1.013887E+1	2.477858E-2	1.946206E-2	6.951371E-2	3.164702E-2
