Parameters: 	Upper Cutoff:  1600	Lower Cutoff: 30	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707	10/19/2017  17:47:43.450707
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:47:43.441497	7.428601E-1	2.082484E-2	2.155331E-2	1.013378E+1	2.477858E-2	1.946206E-2	7.459952E-2	3.419094E-2
10/19/2017  17:47:43.442497	4.708664E-1	1.319332E-2	1.900811E-2	1.012869E+1	1.967868E-2	2.455003E-2	7.205661E-2	2.401527E-2
10/19/2017  17:47:43.443497	5.166223E-1	8.105642E-3	1.900811E-2	1.013632E+1	9.478889E-3	1.691808E-2	7.714242E-2	3.164702E-2
10/19/2017  17:47:43.444497	2.649645E-1	1.064948E-2	1.646291E-2	1.013632E+1	1.967868E-2	1.691808E-2	7.459952E-2	3.673486E-2
10/19/2017  17:47:43.445497	1.124447E-1	1.319332E-2	2.409852E-2	1.013632E+1	2.987847E-2	2.455003E-2	6.697081E-2	3.164702E-2
10/19/2017  17:47:43.446497	3.138778E-3	1.573716E-2	2.155331E-2	1.013887E+1	1.712873E-2	2.709402E-2	7.459952E-2	3.164702E-2
10/19/2017  17:47:43.447497	7.431471E-2	1.064948E-2	2.409852E-2	1.013632E+1	2.222863E-2	1.183011E-2	7.714242E-2	3.164702E-2
10/19/2017  17:47:43.448497	9.210870E-2	4.613560E-3	1.646291E-2	1.013378E+1	1.457878E-2	1.691808E-2	7.205661E-2	3.419094E-2
10/19/2017  17:47:43.449497	6.414672E-2	1.319332E-2	1.137250E-2	1.013887E+1	2.987847E-2	6.742135E-3	7.205661E-2	2.401527E-2
10/19/2017  17:47:43.450497	2.855876E-2	1.064948E-2	2.409852E-2	1.014905E+1	2.222863E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:47:43.451497	1.137931E-1	5.561801E-3	2.664372E-2	1.013123E+1	1.457878E-2	1.183011E-2	8.222822E-2	4.436661E-2
10/19/2017  17:47:43.452497	2.866490E-1	8.105642E-3	8.827299E-3	1.012359E+1	1.712873E-2	1.183011E-2	6.442791E-2	2.401527E-2
10/19/2017  17:47:43.453497	5.484747E-1	2.082484E-2	1.646291E-2	1.014142E+1	2.222863E-2	2.455003E-2	7.459952E-2	2.655919E-2
10/19/2017  17:47:43.454497	1.097546E+0	1.319332E-2	2.155331E-2	1.013632E+1	2.477858E-2	2.200605E-2	7.459952E-2	3.673486E-2
10/19/2017  17:47:43.455497	1.771176E+0	1.064948E-2	1.900811E-2	1.012359E+1	1.967868E-2	2.455003E-2	7.459952E-2	2.910311E-2
10/19/2017  17:47:43.456497	1.438174E+0	1.828100E-2	1.391770E-2	1.013887E+1	1.967868E-2	2.200605E-2	6.951371E-2	2.147136E-2
10/19/2017  17:47:43.457497	9.755303E-1	1.828100E-2	1.646291E-2	1.013123E+1	1.712873E-2	2.963800E-2	7.459952E-2	2.910311E-2
10/19/2017  17:47:43.458497	2.293766E-1	4.741205E-4	1.900811E-2	1.012614E+1	1.457878E-2	1.691808E-2	7.968532E-2	2.401527E-2
10/19/2017  17:47:43.459497	9.487619E-1	3.017961E-3	1.391770E-2	1.013632E+1	2.732853E-2	1.946206E-2	7.205661E-2	3.164702E-2
10/19/2017  17:47:43.460497	5.344163E-1	2.082484E-2	2.155331E-2	1.013887E+1	2.477858E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:47:43.461497	6.920202E-1	8.105642E-3	2.409852E-2	1.013632E+1	1.712873E-2	2.455003E-2	7.459952E-2	2.910311E-2
10/19/2017  17:47:43.462497	1.113992E+0	5.561801E-3	1.137250E-2	1.012869E+1	1.967868E-2	1.183011E-2	7.205661E-2	3.673486E-2
10/19/2017  17:47:43.463497	4.683244E-1	8.105642E-3	1.900811E-2	1.013887E+1	2.222863E-2	1.946206E-2	5.425630E-2	3.164702E-2
10/19/2017  17:47:43.464497	6.668872E-2	1.319332E-2	1.137250E-2	1.013887E+1	1.457878E-2	2.963800E-2	7.459952E-2	3.164702E-2
10/19/2017  17:47:43.465497	5.103448E-1	2.082484E-2	1.646291E-2	1.013632E+1	1.457878E-2	2.200605E-2	7.205661E-2	2.910311E-2
10/19/2017  17:47:43.466497	6.781166E-1	5.561801E-3	1.900811E-2	1.012869E+1	2.987847E-2	2.963800E-2	7.459952E-2	2.910311E-2
10/19/2017  17:47:43.467497	1.429487E-1	1.319332E-2	1.137250E-2	1.013378E+1	1.712873E-2	2.200605E-2	6.951371E-2	3.164702E-2
10/19/2017  17:47:43.468497	9.335099E-1	1.319332E-2	1.646291E-2	1.013378E+1	2.222863E-2	1.946206E-2	7.205661E-2	2.655919E-2
10/19/2017  17:47:43.469497	4.200264E-1	1.064948E-2	1.900811E-2	1.014396E+1	2.477858E-2	1.946206E-2	7.459952E-2	3.673486E-2
10/19/2017  17:47:43.470497	8.328914E-2	1.064948E-2	1.391770E-2	1.014142E+1	2.987847E-2	2.200605E-2	6.697081E-2	3.673486E-2
10/19/2017  17:47:43.471497	8.801280E-1	2.082484E-2	1.646291E-2	1.013632E+1	6.928941E-3	2.455003E-2	7.459952E-2	3.419094E-2
10/19/2017  17:47:43.472497	4.454464E-1	1.319332E-2	1.900811E-2	1.012614E+1	1.712873E-2	1.437409E-2	7.968532E-2	3.927877E-2
10/19/2017  17:47:43.473497	4.007518E-2	5.561801E-3	1.900811E-2	1.012869E+1	6.928941E-3	1.691808E-2	6.951371E-2	3.673486E-2
								
10/19/2017  17:47:43.474497	4.174844E-1	1.319332E-2	1.137250E-2	1.013887E+1	2.987847E-2	1.691808E-2	7.205661E-2	3.164702E-2
10/19/2017  17:47:43.475497	4.276524E-1	1.319332E-2	2.155331E-2	1.013632E+1	2.732853E-2	1.691808E-2	7.459952E-2	3.164702E-2
10/19/2017  17:47:43.476497	5.115383E-1	1.319332E-2	1.137250E-2	1.011596E+1	1.967868E-2	1.183011E-2	6.951371E-2	3.419094E-2
10/19/2017  17:47:43.477497	6.513482E-1	1.064948E-2	1.137250E-2	1.013632E+1	2.732853E-2	1.946206E-2	6.697081E-2	2.910311E-2
10/19/2017  17:47:43.478497	5.928822E-1	1.064948E-2	2.155331E-2	1.012869E+1	2.222863E-2	2.709402E-2	7.968532E-2	2.401527E-2
10/19/2017  17:47:43.479497	4.073164E-1	1.573716E-2	2.409852E-2	1.014142E+1	1.967868E-2	1.946206E-2	7.968532E-2	3.164702E-2
10/19/2017  17:47:43.480497	3.463085E-1	5.561801E-3	2.155331E-2	1.013123E+1	1.967868E-2	1.691808E-2	6.951371E-2	3.927877E-2
10/19/2017  17:47:43.481497	3.412245E-1	1.064948E-2	1.191689E-3	1.014142E+1	2.987847E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:47:43.482497	2.217506E-1	1.064948E-2	2.409852E-2	1.015160E+1	1.967868E-2	2.709402E-2	7.968532E-2	2.401527E-2
10/19/2017  17:47:43.483497	6.668872E-2	8.105642E-3	1.646291E-2	1.012869E+1	4.378993E-3	2.455003E-2	7.968532E-2	3.927877E-2
10/19/2017  17:47:43.484497	8.194071E-2	5.561801E-3	1.646291E-2	1.013378E+1	2.987847E-2	1.946206E-2	6.951371E-2	3.927877E-2
10/19/2017  17:47:43.485497	2.228120E-2	1.064948E-2	1.137250E-2	1.014142E+1	2.987847E-2	2.709402E-2	6.951371E-2	2.401527E-2
10/19/2017  17:47:43.486497	4.620468E-1	1.319332E-2	2.664372E-2	1.013887E+1	1.457878E-2	2.709402E-2	7.714242E-2	3.164702E-2
10/19/2017  17:47:43.487497	1.117882E+0	1.064948E-2	1.646291E-2	1.014142E+1	1.712873E-2	1.946206E-2	7.968532E-2	3.164702E-2
10/19/2017  17:47:43.488497	1.537312E+0	4.741205E-4	8.827299E-3	1.014396E+1	3.497837E-2	1.437409E-2	6.951371E-2	2.910311E-2
10/19/2017  17:47:43.489497	1.994871E+0	1.828100E-2	1.137250E-2	1.014651E+1	1.967868E-2	2.709402E-2	7.459952E-2	2.655919E-2
10/19/2017  17:47:43.490497	2.094009E+0	1.828100E-2	1.900811E-2	1.013632E+1	1.712873E-2	2.200605E-2	8.477112E-2	2.910311E-2
10/19/2017  17:47:43.491497	2.132139E+0	8.105642E-3	1.137250E-2	1.014142E+1	2.477858E-2	1.437409E-2	7.205661E-2	3.164702E-2
10/19/2017  17:47:43.492497	1.755924E+0	1.064948E-2	1.137250E-2	1.014142E+1	1.712873E-2	1.946206E-2	6.442791E-2	2.401527E-2
10/19/2017  17:47:43.493497	9.018124E-1	1.828100E-2	1.646291E-2	1.014651E+1	2.477858E-2	2.963800E-2	7.714242E-2	2.401527E-2
10/19/2017  17:47:43.494497	6.920202E-1	1.319332E-2	2.155331E-2	1.013887E+1	1.457878E-2	2.200605E-2	8.222822E-2	3.927877E-2
10/19/2017  17:47:43.495497	4.556144E-1	5.561801E-3	1.900811E-2	1.014905E+1	2.222863E-2	1.183011E-2	7.205661E-2	3.673486E-2
10/19/2017  17:47:43.496497	1.111450E+0	1.064948E-2	1.137250E-2	1.013378E+1	2.477858E-2	2.455003E-2	6.951371E-2	1.892744E-2
10/19/2017  17:47:43.497497	2.214677E+0	1.319332E-2	1.900811E-2	1.011596E+1	2.222863E-2	2.200605E-2	7.968532E-2	2.910311E-2
10/19/2017  17:47:43.498497	2.796794E+0	8.105642E-3	2.155331E-2	1.013123E+1	2.477858E-2	2.709402E-2	7.205661E-2	3.164702E-2
10/19/2017  17:47:43.499497	1.380902E+0	1.064948E-2	2.155331E-2	1.013887E+1	1.967868E-2	2.709402E-2	8.731403E-2	3.164702E-2
