Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)50	MVC Window Size (s): 50	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320	10/19/2017  17:20:16.632320
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:20:16.623055	4.183360E-1	2.166033E-3	1.394996E-3	1.411124E-3	6.944214E-3	5.523945E-3	2.851134E-4	4.867791E-3
10/19/2017  17:20:16.624055	5.728033E-2	3.827453E-3	9.870862E-4	2.652320E-3	1.175833E-2	2.427762E-4	9.555537E-3	3.637308E-3
10/19/2017  17:20:16.625055	8.159522E-2	5.225357E-4	2.788530E-3	1.225018E-3	2.628030E-3	2.096408E-3	1.151763E-2	6.039065E-3
10/19/2017  17:20:16.626055	2.289684E-1	4.575476E-3	1.118860E-2	1.286813E-2	4.234644E-3	5.842434E-3	4.863189E-3	8.394921E-3
10/19/2017  17:20:16.627055	1.530112E-1	7.251480E-3	7.324843E-3	3.005444E-3	8.802000E-4	3.815084E-4	5.663948E-3	7.611455E-3
10/19/2017  17:20:16.628055	1.627622E-1	4.165412E-3	8.762562E-4	7.517567E-5	1.575514E-3	8.074499E-3	2.653314E-3	3.729127E-3
10/19/2017  17:20:16.629055	1.619791E-1	1.658004E-2	4.891574E-4	4.421728E-3	5.384488E-3	3.527742E-3	6.371578E-3	7.926991E-4
10/19/2017  17:20:16.630055	1.443537E-1	1.040211E-3	1.999639E-3	8.344538E-4	9.331460E-3	1.609908E-2	1.152789E-4	5.138198E-3
10/19/2017  17:20:16.631055	9.534106E-2	5.846328E-4	5.885402E-3	8.966983E-3	4.350616E-3	2.847315E-3	4.210786E-3	4.912461E-3
10/19/2017  17:20:16.632055	1.138706E-1	1.057906E-2	6.694275E-3	5.696961E-3	8.121868E-3	9.001647E-3	4.562672E-4	5.440110E-3
10/19/2017  17:20:16.633055	9.987258E-2	1.380869E-2	4.632975E-3	3.508780E-3	2.718337E-3	1.427609E-4	6.632011E-3	7.410815E-3
10/19/2017  17:20:16.634055	6.041236E-2	8.302505E-3	1.421576E-3	1.009513E-2	4.351629E-4	1.901923E-3	3.635087E-3	9.873460E-3
10/19/2017  17:20:16.635055	8.811673E-2	1.312244E-2	3.603447E-3	4.972799E-3	2.706063E-3	1.047646E-3	2.118570E-3	1.769295E-3
10/19/2017  17:20:16.636055	1.516939E-1	3.405860E-3	1.431036E-3	6.097285E-3	9.603648E-5	9.842596E-4	1.885646E-3	2.849947E-3
10/19/2017  17:20:16.637055	3.238039E-1	4.347601E-3	1.524601E-3	1.171592E-2	1.291760E-2	9.543427E-3	5.976485E-3	2.624636E-3
10/19/2017  17:20:16.638055	2.522013E-1	4.828511E-4	6.997340E-4	2.005481E-3	8.774011E-3	4.166856E-3	4.345194E-3	2.166344E-3
10/19/2017  17:20:16.639055	1.989103E-1	4.517980E-3	6.551420E-3	3.361887E-3	1.105564E-2	5.231707E-3	1.353649E-3	1.118460E-2
10/19/2017  17:20:16.640055	5.258812E-1	6.927204E-4	2.548371E-3	1.538717E-3	7.836749E-4	7.175113E-4	1.096279E-3	3.511608E-3
10/19/2017  17:20:16.641055	1.174095E+0	2.085365E-3	1.120754E-2	6.490193E-4	5.858022E-3	6.605613E-4	5.188718E-3	1.400133E-2
10/19/2017  17:20:16.642055	3.814963E-1	2.465928E-3	6.166123E-3	4.373713E-3	1.687606E-3	7.072076E-3	5.049375E-3	5.835672E-3
10/19/2017  17:20:16.643055	4.416153E-1	3.450022E-3	4.226073E-3	7.307694E-3	7.241004E-4	7.036041E-3	7.873452E-3	4.636359E-3
10/19/2017  17:20:16.644055	6.860062E-1	8.984784E-3	1.151962E-2	1.930673E-3	2.105653E-3	4.148075E-3	1.271742E-3	9.763665E-4
10/19/2017  17:20:16.645055	3.546068E-1	2.438429E-3	9.701703E-3	4.216641E-3	3.551349E-3	1.267828E-3	3.527143E-3	1.014139E-2
10/19/2017  17:20:16.646055	4.110980E-1	4.086343E-3	7.290727E-3	1.218044E-2	7.524714E-3	5.139512E-3	5.025514E-3	3.959399E-4
10/19/2017  17:20:16.647055	4.797021E-1	1.408182E-3	3.056640E-3	6.412313E-3	7.365128E-4	1.328367E-3	3.734887E-3	1.747073E-2
10/19/2017  17:20:16.648055	3.393372E-1	1.007978E-3	6.638843E-3	1.287945E-2	2.294932E-3	5.986610E-3	1.031124E-2	2.842373E-3
10/19/2017  17:20:16.649055	3.122548E-1	3.621177E-3	6.099819E-3	2.188279E-4	7.542113E-3	2.638795E-3	3.798596E-3	4.414429E-3
