Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)1600	MVC Window Size (s): 1600	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:40:30.305632	2.962792E-2	3.614382E-4	9.987456E-4	5.072405E-4	5.765272E-3	1.176999E-2	1.251336E-3	4.288325E-3
10/19/2017  17:40:30.306632	5.310317E-1	2.205853E-3	8.064703E-3	7.011952E-3	5.374322E-4	8.724129E-3	5.797096E-3	1.929621E-3
10/19/2017  17:40:30.307632	2.467777E-1	1.475988E-2	3.061056E-3	4.895131E-3	1.155937E-2	1.485225E-3	1.979900E-3	2.060608E-3
10/19/2017  17:40:30.308632	1.043557E-1	2.803674E-3	4.467101E-3	3.357912E-3	8.137402E-3	1.029964E-2	7.344179E-3	4.361647E-3
10/19/2017  17:40:30.309632	1.514644E-1	8.895442E-3	5.523917E-3	4.853371E-3	9.898002E-3	9.687155E-3	2.932432E-3	9.049668E-5
10/19/2017  17:40:30.310632	2.315752E-1	2.208387E-3	1.663073E-3	1.397928E-3	7.334339E-3	6.343214E-3	4.715622E-3	1.601192E-2
10/19/2017  17:40:30.311632	5.922210E-2	2.863818E-3	5.530456E-3	7.636997E-3	1.430471E-2	2.527856E-3	7.638831E-4	1.179912E-2
10/19/2017  17:40:30.312632	7.190200E-2	4.394486E-3	3.316337E-4	9.981810E-3	3.231318E-3	4.624180E-3	2.505081E-3	6.907364E-3
10/19/2017  17:40:30.313632	1.068936E-1	5.083422E-3	4.536864E-3	7.092556E-3	2.010683E-2	8.922659E-4	2.847832E-3	7.142255E-3
10/19/2017  17:40:30.314632	5.444039E-2	7.644542E-3	3.452564E-3	3.986149E-3	5.084855E-3	1.884262E-3	2.274026E-3	1.027764E-2
10/19/2017  17:40:30.315632	1.341701E-1	2.932630E-3	4.213209E-4	1.019404E-3	7.836612E-3	1.687404E-3	2.551075E-3	7.222572E-3
10/19/2017  17:40:30.316632	3.654288E-2	3.910075E-3	6.093622E-3	5.451432E-3	1.394680E-3	7.122035E-3	5.735176E-4	8.314886E-3
10/19/2017  17:40:30.317632	5.791752E-2	6.401719E-3	3.125347E-4	5.304969E-3	8.026772E-3	4.189328E-3	9.282301E-3	1.269981E-2
10/19/2017  17:40:30.318632	1.016486E-1	4.938026E-3	2.783252E-3	2.149147E-2	5.176587E-4	1.652478E-2	2.171044E-3	4.140521E-3
