Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)1600	MVC Window Size (s): 1600	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086	10/19/2017  17:40:30.326086
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:40:30.305632	-1.973920E-2	1.064948E-2	1.646291E-2	-1.013887E+1	1.202884E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:40:30.306632	5.598363E-1	1.319332E-2	2.664372E-2	-1.013123E+1	1.712873E-2	9.286120E-3	7.968532E-2	2.910311E-2
10/19/2017  17:40:30.307632	4.073164E-1	2.845637E-2	1.646291E-2	-1.013123E+1	2.987847E-2	1.437409E-2	7.714242E-2	2.910311E-2
10/19/2017  17:40:30.308632	9.719269E-2	1.319332E-2	1.391770E-2	-1.013887E+1	2.987847E-2	2.709402E-2	6.697081E-2	2.147136E-2
10/19/2017  17:40:30.309632	2.601676E-2	5.561801E-3	2.409852E-2	-1.014142E+1	1.202884E-2	2.963800E-2	6.951371E-2	2.401527E-2
10/19/2017  17:40:30.310632	-1.061671E-1	1.573716E-2	2.155331E-2	-1.013887E+1	1.202884E-2	1.437409E-2	7.714242E-2	4.182269E-2
10/19/2017  17:40:30.311632	2.093276E-2	1.064948E-2	1.391770E-2	-1.012869E+1	3.497837E-2	1.691808E-2	7.205661E-2	4.182269E-2
10/19/2017  17:40:30.312632	1.531166E-1	1.828100E-2	1.900811E-2	-1.014651E+1	2.732853E-2	2.455003E-2	6.951371E-2	2.401527E-2
10/19/2017  17:40:30.313632	2.192086E-1	2.082484E-2	2.409852E-2	-1.014651E+1	1.829045E-3	2.200605E-2	7.459952E-2	2.147136E-2
10/19/2017  17:40:30.314632	7.177272E-2	8.105642E-3	1.646291E-2	-1.013632E+1	2.477858E-2	1.946206E-2	7.459952E-2	3.927877E-2
10/19/2017  17:40:30.315632	-3.499119E-2	1.828100E-2	1.900811E-2	-1.013887E+1	2.987847E-2	1.946206E-2	6.951371E-2	3.927877E-2
10/19/2017  17:40:30.316632	1.200707E-1	2.082484E-2	2.664372E-2	-1.014651E+1	2.222863E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:40:30.317632	2.093276E-2	1.064948E-2	2.155331E-2	-1.013632E+1	1.457878E-2	1.946206E-2	8.222822E-2	1.638352E-2
10/19/2017  17:40:30.318632	-5.278517E-2	1.064948E-2	1.900811E-2	-1.011596E+1	2.222863E-2	4.198150E-3	7.714242E-2	3.164702E-2
