Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)200	MVC Window Size (s): 200	Seconds To Acquire MVC: 3	Display Channel: 0
10/19/2017  17:33:54.717682	8.826700E-1	2.082484E-2	1.391770E-2	-1.013887E+1	2.477858E-2	2.455003E-2	7.714242E-2	2.655919E-2
10/19/2017  17:33:54.718682	1.078404E+0	1.319332E-2	2.155331E-2	-1.013378E+1	2.987847E-2	1.946206E-2	7.968532E-2	3.419094E-2
10/19/2017  17:33:54.719682	1.190252E+0	5.561801E-3	2.664372E-2	-1.013378E+1	1.457878E-2	1.437409E-2	7.968532E-2	3.419094E-2
10/19/2017  17:33:54.720682	1.052984E+0	8.105642E-3	1.137250E-2	-1.012869E+1	1.457878E-2	1.183011E-2	6.442791E-2	3.164702E-2
10/19/2017  17:33:54.721682	1.119076E+0	1.573716E-2	3.736893E-3	-1.015160E+1	2.732853E-2	2.455003E-2	6.697081E-2	2.910311E-2
10/19/2017  17:33:54.722682	2.062157E+0	2.082484E-2	2.155331E-2	-1.014651E+1	1.457878E-2	2.963800E-2	7.714242E-2	3.419094E-2
10/19/2017  17:33:54.723682	3.259725E-1	1.064948E-2	3.173413E-2	-1.011850E+1	1.457878E-2	2.455003E-2	8.222822E-2	3.673486E-2
10/19/2017  17:33:54.724682	-1.316158E+0	5.561801E-3	8.827299E-3	-1.014142E+1	1.712873E-2	1.437409E-2	7.205661E-2	3.673486E-2
10/19/2017  17:33:54.725682	-4.162908E-1	1.319332E-2	8.827299E-3	-1.015160E+1	2.732853E-2	1.183011E-2	6.697081E-2	2.655919E-2
10/19/2017  17:33:54.726682	4.606697E+0	2.082484E-2	1.900811E-2	-1.013632E+1	2.222863E-2	2.963800E-2	7.714242E-2	2.655919E-2
10/19/2017  17:33:54.727682	4.982912E+0	8.105642E-3	2.409852E-2	-1.012869E+1	1.457878E-2	2.455003E-2	7.459952E-2	2.910311E-2
10/19/2017  17:33:54.728682	1.464787E+0	-2.069720E-3	1.137250E-2	-1.012614E+1	1.712873E-2	1.691808E-2	7.205661E-2	3.164702E-2
10/19/2017  17:33:54.729682	-3.123518E+0	1.828100E-2	1.391770E-2	-1.014396E+1	2.732853E-2	2.455003E-2	7.205661E-2	3.164702E-2
10/19/2017  17:33:54.730682	-3.731056E+0	2.082484E-2	2.155331E-2	-1.015160E+1	2.732853E-2	3.472597E-2	6.951371E-2	2.910311E-2
10/19/2017  17:33:54.731682	-2.828647E+0	4.741205E-4	2.409852E-2	-1.014142E+1	1.457878E-2	2.455003E-2	7.714242E-2	3.164702E-2
10/19/2017  17:33:54.732682	-1.761008E+0	5.561801E-3	1.191689E-3	-1.013632E+1	2.477858E-2	6.742135E-3	7.459952E-2	3.164702E-2
10/19/2017  17:33:54.733682	-2.193147E+0	1.064948E-2	1.900811E-2	-1.014651E+1	2.987847E-2	1.946206E-2	7.205661E-2	3.164702E-2
10/19/2017  17:33:54.734682	-3.863240E+0	2.082484E-2	2.409852E-2	-1.014905E+1	1.967868E-2	3.726996E-2	7.714242E-2	3.164702E-2
10/19/2017  17:33:54.735682	-4.948673E+0	3.017961E-3	2.155331E-2	-1.014651E+1	1.202884E-2	1.437409E-2	7.968532E-2	3.927877E-2
10/19/2017  17:33:54.736682	-4.935963E+0	1.064948E-2	1.137250E-2	-1.013887E+1	2.987847E-2	-5.977790E-3	6.697081E-2	3.164702E-2
10/19/2017  17:33:54.737682	-4.330967E+0	3.100021E-2	1.646291E-2	-1.015924E+1	3.497837E-2	2.200605E-2	6.951371E-2	2.401527E-2
10/19/2017  17:33:54.738682	5.043920E+0	1.573716E-2	1.900811E-2	-1.013378E+1	2.222863E-2	2.963800E-2	7.205661E-2	2.655919E-2
10/19/2017  17:33:54.739682	5.000706E+0	-4.613560E-3	2.409852E-2	-1.013123E+1	1.202884E-2	1.437409E-2	8.222822E-2	3.164702E-2
10/19/2017  17:33:54.740682	3.907647E+0	1.064948E-2	1.137250E-2	-1.013123E+1	1.967868E-2	1.691808E-2	6.951371E-2	3.673486E-2
10/19/2017  17:33:54.741682	-3.499119E-2	1.319332E-2	1.391770E-2	-1.013887E+1	2.477858E-2	1.946206E-2	7.205661E-2	2.655919E-2
10/19/2017  17:33:54.742682	-1.278028E+0	1.828100E-2	1.900811E-2	-1.014905E+1	1.967868E-2	2.709402E-2	7.205661E-2	2.910311E-2
10/19/2017  17:33:54.743682	-1.407670E+0	1.064948E-2	2.155331E-2	-1.014142E+1	4.378993E-3	2.200605E-2	7.205661E-2	2.147136E-2
10/19/2017  17:33:54.744682	-1.178890E+0	1.064948E-2	1.391770E-2	-1.012869E+1	2.222863E-2	2.455003E-2	7.714242E-2	2.910311E-2
10/19/2017  17:33:54.745682	-4.239168E-1	1.573716E-2	1.900811E-2	-1.013632E+1	1.967868E-2	1.946206E-2	7.459952E-2	4.945444E-2
10/19/2017  17:33:54.746682	8.140360E-1	1.573716E-2	2.409852E-2	-1.015415E+1	1.967868E-2	3.472597E-2	7.205661E-2	3.164702E-2
10/19/2017  17:33:54.747682	7.987841E-1	8.105642E-3	1.900811E-2	-1.013123E+1	1.202884E-2	1.691808E-2	7.968532E-2	3.164702E-2
10/19/2017  17:33:54.748682	-1.468391E-1	8.105642E-3	1.391770E-2	-1.014905E+1	2.477858E-2	4.198150E-3	7.459952E-2	3.673486E-2
10/19/2017  17:33:54.749682	1.531166E-1	2.336868E-2	1.646291E-2	-1.014142E+1	2.987847E-2	2.963800E-2	6.951371E-2	2.655919E-2
								
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868	10/19/2017  17:33:54.747868
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:33:54.750682	-1.945217E-3	1.828100E-2	1.646291E-2	-1.014396E+1	1.457878E-2	3.726996E-2	8.222822E-2	2.401527E-2
10/19/2017  17:33:54.751682	-6.603226E-1	3.017961E-3	2.664372E-2	-1.013887E+1	1.457878E-2	2.455003E-2	8.222822E-2	3.927877E-2
10/19/2017  17:33:54.752682	4.632404E-1	1.319332E-2	1.900811E-2	-1.012614E+1	1.967868E-2	1.691808E-2	8.985693E-2	3.927877E-2
10/19/2017  17:33:54.753682	2.517175E+0	2.082484E-2	1.391770E-2	-1.013632E+1	3.242842E-2	2.200605E-2	6.951371E-2	3.419094E-2
10/19/2017  17:33:54.754682	1.975729E+0	1.064948E-2	2.155331E-2	-1.013887E+1	1.457878E-2	1.946206E-2	7.459952E-2	3.164702E-2
10/19/2017  17:33:54.755682	3.158045E-1	1.573716E-2	6.282096E-3	-1.013887E+1	4.378993E-3	1.437409E-2	7.459952E-2	2.655919E-2
10/19/2017  17:33:54.756682	-5.786917E-2	1.573716E-2	1.900811E-2	-1.013378E+1	2.222863E-2	1.946206E-2	7.714242E-2	3.164702E-2
10/19/2017  17:33:54.757682	-2.891910E-1	1.319332E-2	1.646291E-2	-1.013887E+1	1.967868E-2	3.218199E-2	7.205661E-2	3.927877E-2
10/19/2017  17:33:54.758682	-2.764810E-1	8.105642E-3	1.391770E-2	-1.014651E+1	1.202884E-2	2.200605E-2	7.205661E-2	3.164702E-2
10/19/2017  17:33:54.759682	4.174844E-1	1.828100E-2	1.900811E-2	-1.013632E+1	2.477858E-2	1.691808E-2	7.459952E-2	3.673486E-2
10/19/2017  17:33:54.760682	4.200264E-1	8.105642E-3	1.900811E-2	-1.013632E+1	2.222863E-2	1.946206E-2	7.459952E-2	2.910311E-2
10/19/2017  17:33:54.761682	-1.222104E+0	1.064948E-2	1.646291E-2	-1.014396E+1	1.967868E-2	1.946206E-2	7.459952E-2	3.164702E-2
10/19/2017  17:33:54.762682	-1.977077E+0	1.573716E-2	1.900811E-2	-1.015160E+1	4.378993E-3	2.200605E-2	7.205661E-2	3.673486E-2
10/19/2017  17:33:54.763682	-3.093014E+0	1.319332E-2	1.900811E-2	-1.014142E+1	1.457878E-2	1.946206E-2	6.951371E-2	3.164702E-2
10/19/2017  17:33:54.764682	-2.586870E-1	1.319332E-2	1.900811E-2	-1.013123E+1	3.752832E-2	1.437409E-2	7.968532E-2	2.655919E-2
10/19/2017  17:33:54.765682	1.902011E+0	1.064948E-2	1.137250E-2	-1.013632E+1	2.732853E-2	1.691808E-2	7.714242E-2	3.419094E-2
10/19/2017  17:33:54.766682	9.385939E-1	2.082484E-2	1.900811E-2	-1.013632E+1	2.222863E-2	1.946206E-2	7.205661E-2	3.164702E-2
10/19/2017  17:33:54.767682	4.454464E-1	1.319332E-2	2.409852E-2	-1.013632E+1	1.457878E-2	2.200605E-2	7.205661E-2	2.910311E-2
10/19/2017  17:33:54.768682	1.988726E-1	8.105642E-3	1.391770E-2	-1.013378E+1	2.222863E-2	1.183011E-2	6.951371E-2	3.927877E-2
10/19/2017  17:33:54.769682	-7.137046E-1	2.082484E-2	1.137250E-2	-1.015415E+1	2.477858E-2	2.455003E-2	6.442791E-2	2.401527E-2
10/19/2017  17:33:54.770682	-7.721705E-1	1.828100E-2	2.664372E-2	-1.014651E+1	1.712873E-2	2.963800E-2	7.714242E-2	2.147136E-2
10/19/2017  17:33:54.771682	3.110075E-2	1.319332E-2	2.664372E-2	-1.012869E+1	1.457878E-2	1.946206E-2	8.731403E-2	3.927877E-2
10/19/2017  17:33:54.772682	9.894339E-1	1.319332E-2	1.900811E-2	-1.012869E+1	1.967868E-2	1.183011E-2	7.459952E-2	3.673486E-2
10/19/2017  17:33:54.773682	1.413948E+0	1.573716E-2	1.391770E-2	-1.015160E+1	2.732853E-2	9.286120E-3	5.934210E-2	2.910311E-2
10/19/2017  17:33:54.774682	-6.425286E-1	8.105642E-3	2.664372E-2	-1.013887E+1	2.477858E-2	1.946206E-2	7.205661E-2	2.910311E-2
10/19/2017  17:33:54.775682	-2.058421E+0	1.064948E-2	1.900811E-2	-1.014905E+1	1.202884E-2	3.218199E-2	8.222822E-2	2.147136E-2
10/19/2017  17:33:54.776682	-1.677122E+0	-2.069720E-3	1.391770E-2	-1.014396E+1	1.202884E-2	1.946206E-2	8.222822E-2	2.910311E-2
10/19/2017  17:33:54.777682	2.601676E-2	8.105642E-3	1.900811E-2	-1.013887E+1	1.967868E-2	1.183011E-2	7.205661E-2	3.419094E-2
10/19/2017  17:33:54.778682	-5.332227E-1	1.573716E-2	2.664372E-2	-1.013123E+1	2.477858E-2	2.709402E-2	7.205661E-2	2.910311E-2
10/19/2017  17:33:54.779682	-2.289743E+0	2.845637E-2	1.646291E-2	-1.013887E+1	1.967868E-2	2.455003E-2	7.459952E-2	3.164702E-2
10/19/2017  17:33:54.780682	5.623783E-1	1.319332E-2	2.664372E-2	-1.013887E+1	1.457878E-2	1.183011E-2	7.968532E-2	3.164702E-2
10/19/2017  17:33:54.781682	4.258443E+0	4.741205E-4	1.900811E-2	-1.013378E+1	1.712873E-2	1.437409E-2	7.714242E-2	3.419094E-2
10/19/2017  17:33:54.782682	4.535521E+0	1.319332E-2	1.137250E-2	-1.012105E+1	3.242842E-2	3.472597E-2	6.951371E-2	3.673486E-2
								
10/19/2017  17:33:54.783682	4.766842E+0	2.082484E-2	1.137250E-2	-1.013123E+1	3.497837E-2	2.963800E-2	7.205661E-2	2.147136E-2
10/19/2017  17:33:54.784682	3.132625E-1	1.828100E-2	2.409852E-2	-1.014396E+1	1.202884E-2	1.437409E-2	7.968532E-2	2.655919E-2
10/19/2017  17:33:54.785682	-3.781896E+0	2.082484E-2	2.664372E-2	-1.015160E+1	1.457878E-2	2.200605E-2	7.968532E-2	3.673486E-2
