Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)200	MVC Window Size (s): 200	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467	10/19/2017  17:34:13.641467
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:34:13.626682	-5.103448E-1	1.319332E-2	2.409852E-2	-1.013632E+1	1.202884E-2	2.200605E-2	8.222822E-2	2.401527E-2
10/19/2017  17:34:13.627682	-1.570071E-1	8.105642E-3	1.646291E-2	-1.014142E+1	1.967868E-2	1.437409E-2	7.714242E-2	3.927877E-2
10/19/2017  17:34:13.628682	-7.312115E-2	1.573716E-2	1.391770E-2	-1.013378E+1	1.712873E-2	2.455003E-2	6.188501E-2	2.910311E-2
10/19/2017  17:34:13.629682	-1.137931E-1	2.082484E-2	2.155331E-2	-1.013887E+1	2.222863E-2	2.963800E-2	7.714242E-2	2.147136E-2
10/19/2017  17:34:13.630682	-7.057916E-2	1.319332E-2	2.664372E-2	-1.013378E+1	1.712873E-2	1.946206E-2	9.239983E-2	3.673486E-2
10/19/2017  17:34:13.631682	-3.753318E-2	8.105642E-3	2.918892E-2	-1.014396E+1	1.457878E-2	9.286120E-3	7.714242E-2	3.673486E-2
10/19/2017  17:34:13.632682	5.680776E-3	5.561801E-3	1.391770E-2	-1.011850E+1	2.987847E-2	1.183011E-2	6.697081E-2	3.164702E-2
10/19/2017  17:34:13.633682	3.618475E-2	1.828100E-2	1.391770E-2	-1.013632E+1	2.732853E-2	2.963800E-2	7.459952E-2	2.147136E-2
10/19/2017  17:34:13.634682	7.685671E-2	3.100021E-2	1.391770E-2	-1.014142E+1	1.457878E-2	2.709402E-2	7.714242E-2	2.910311E-2
10/19/2017  17:34:13.635682	2.347476E-2	1.064948E-2	2.409852E-2	-1.014651E+1	1.712873E-2	6.742135E-3	7.459952E-2	3.673486E-2
10/19/2017  17:34:13.636682	5.906273E-2	4.741205E-4	1.391770E-2	-1.013123E+1	1.712873E-2	2.200605E-2	7.205661E-2	3.164702E-2
10/19/2017  17:34:13.637682	1.022767E-1	1.319332E-2	1.646291E-2	-1.013632E+1	1.967868E-2	2.200605E-2	7.968532E-2	3.164702E-2
