Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345	10/19/2017  17:35:00.215345
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:35:00.212609	5.533237E-1	3.683715E-3	5.252934E-3	1.068522E-2	7.669657E-3	1.448376E-3	7.388506E-3	2.131727E-3
10/19/2017  17:35:00.213609	1.004700E+0	8.050331E-4	3.657585E-3	8.000001E-3	3.205381E-3	3.251606E-3	3.712954E-3	4.351692E-3
10/19/2017  17:35:00.214609	4.279799E-1	3.030566E-3	1.994141E-3	1.559913E-2	2.086711E-3	2.220326E-3	1.376436E-3	2.821408E-3
10/19/2017  17:35:00.215609	2.271724E-1	4.503583E-3	1.247036E-2	2.747642E-3	2.859074E-3	7.293455E-3	5.841652E-3	8.399091E-4
10/19/2017  17:35:00.216609	1.985522E+0	1.124840E-3	2.167399E-3	1.159850E-2	1.965433E-3	3.434627E-3	2.161450E-3	5.664932E-3
10/19/2017  17:35:00.217609	4.968463E-1	3.493191E-3	1.843857E-3	4.537679E-3	3.389159E-3	8.823154E-3	1.575109E-3	1.109455E-2
10/19/2017  17:35:00.218609	3.572036E-1	4.156155E-3	4.923630E-3	1.432883E-3	4.240012E-3	5.018033E-3	5.392093E-3	3.723893E-3
10/19/2017  17:35:00.219609	4.074213E-1	5.615199E-3	5.213195E-3	5.174585E-3	1.052353E-2	4.017604E-3	2.915520E-3	8.239338E-3
10/19/2017  17:35:00.220609	7.833227E-1	3.732457E-3	7.837035E-3	5.351242E-3	5.547443E-3	9.628812E-3	8.789105E-3	2.951204E-3
10/19/2017  17:35:00.221609	6.989496E-1	2.159462E-3	3.451040E-4	9.934700E-3	1.128287E-2	4.603459E-3	2.487462E-3	6.565062E-3
10/19/2017  17:35:00.222609	3.804004E-2	1.067298E-2	4.622853E-3	1.079515E-3	3.081981E-3	3.563387E-3	2.842317E-4	2.201117E-4
10/19/2017  17:35:00.223609	4.204117E-1	9.274849E-4	3.704987E-3	5.469467E-3	4.646121E-3	1.577890E-2	2.258700E-3	8.702293E-3
10/19/2017  17:35:00.224609	7.155691E-1	1.138772E-2	2.893678E-3	2.629448E-4	3.093812E-3	8.661621E-5	5.720170E-3	6.848430E-3
10/19/2017  17:35:00.225609	7.257131E-2	9.698614E-3	2.240986E-5	6.409258E-3	2.291947E-3	1.681852E-3	7.133055E-4	6.930230E-3
10/19/2017  17:35:00.226609	5.732819E-1	1.152329E-2	2.047212E-3	2.071399E-3	6.063301E-3	3.783688E-3	7.514747E-3	8.476567E-3
10/19/2017  17:35:00.227609	7.398103E-1	2.807280E-3	3.038049E-3	3.802124E-3	4.501361E-3	9.762206E-3	5.621694E-3	4.106494E-3
10/19/2017  17:35:00.228609	4.177272E-2	6.546621E-3	4.400008E-3	5.832220E-4	5.434159E-3	5.014685E-3	8.945151E-3	5.693299E-3
10/19/2017  17:35:00.229609	5.439224E-1	6.163597E-3	1.163997E-2	8.219352E-3	7.121773E-3	9.427616E-3	3.911288E-3	8.155659E-3
10/19/2017  17:35:00.230609	4.556521E-1	8.548800E-3	9.651460E-3	1.177638E-3	2.844883E-3	6.433171E-3	1.071605E-2	9.918490E-3
