Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996	10/19/2017  17:34:44.622996
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:34:44.603609	1.795326E+0	9.867521E-3	1.017157E-2	7.032279E-5	2.064125E-3	7.644537E-3	1.230107E-4	3.101585E-5
10/19/2017  17:34:44.604609	6.230301E-1	4.080709E-4	3.575916E-3	3.055838E-4	1.281164E-3	9.788669E-3	6.687911E-3	6.797958E-3
10/19/2017  17:34:44.605609	2.324721E-1	4.300202E-3	3.961291E-3	4.913003E-3	1.531393E-3	4.617849E-3	3.802240E-3	9.269579E-3
10/19/2017  17:34:44.606609	1.349725E+0	1.109686E-3	3.759547E-3	1.544320E-3	7.840443E-3	1.877947E-2	6.853699E-3	1.782155E-4
10/19/2017  17:34:44.607609	1.672970E+0	1.571892E-2	2.675445E-3	3.375340E-3	3.114874E-3	2.306113E-4	7.043665E-5	1.131888E-2
10/19/2017  17:34:44.608609	2.160385E+0	1.706100E-3	4.711584E-3	1.945807E-3	6.534010E-3	1.938718E-3	9.183199E-3	6.007270E-4
10/19/2017  17:34:44.609609	9.913322E-1	1.288596E-2	5.494702E-3	3.534403E-3	1.300323E-2	3.440422E-3	4.668617E-3	4.855275E-3
10/19/2017  17:34:44.610609	1.692102E+0	7.779527E-3	6.951369E-4	6.289653E-3	4.636856E-3	5.039556E-3	3.108073E-3	5.543226E-3
10/19/2017  17:34:44.611609	1.517341E+0	1.634118E-3	7.313648E-3	1.112989E-4	8.555511E-3	3.826903E-3	2.092116E-3	7.183584E-3
10/19/2017  17:34:44.612609	7.529143E-4	4.996431E-3	5.282307E-3	8.677629E-3	8.880875E-3	3.690181E-3	3.412102E-3	5.237619E-3
10/19/2017  17:34:44.613609	2.231016E+0	8.713077E-4	5.070014E-3	5.174854E-4	1.089473E-2	4.608233E-3	8.762372E-3	7.209465E-3
10/19/2017  17:34:44.614609	5.553641E-1	1.298045E-2	6.571678E-4	2.009580E-2	5.484443E-3	7.919618E-3	8.505130E-3	5.056507E-3
10/19/2017  17:34:44.615609	4.755366E-1	7.272336E-3	1.729207E-3	9.482319E-3	2.414217E-3	6.734549E-4	1.428471E-3	1.185254E-2
10/19/2017  17:34:44.616609	6.275947E-1	1.508280E-3	5.272181E-3	7.326289E-3	3.633781E-3	3.967873E-3	1.241454E-2	2.416839E-3
10/19/2017  17:34:44.617609	1.774357E+0	3.478649E-3	7.333622E-4	2.495544E-4	2.631344E-5	5.827398E-3	2.648777E-4	1.546344E-2
10/19/2017  17:34:44.618609	7.126696E-1	4.763415E-3	7.199322E-3	9.518415E-3	9.205252E-3	1.818493E-3	8.490277E-3	2.640969E-3
10/19/2017  17:34:44.619609	1.215525E+0	5.313340E-3	3.593704E-3	1.064796E-3	2.818658E-4	1.196122E-2	2.880077E-3	1.131579E-2
10/19/2017  17:34:44.620609	2.318286E-2	2.795964E-3	4.728871E-3	1.442234E-2	3.975056E-3	4.059395E-3	4.497371E-3	1.983587E-3
10/19/2017  17:34:44.621609	6.861486E-1	4.206247E-3	3.159861E-3	1.792722E-3	3.409134E-4	8.332477E-3	7.634633E-3	4.802364E-3
10/19/2017  17:34:44.622609	2.764916E-1	9.347850E-3	8.940284E-3	3.399878E-3	2.327323E-3	6.112148E-3	1.249797E-3	8.027695E-4
10/19/2017  17:34:44.623609	1.374331E+0	3.578495E-4	1.077810E-2	6.432354E-3	6.338259E-3	1.303222E-2	7.607475E-3	4.316104E-3
10/19/2017  17:34:44.624609	2.103771E+0	1.385289E-2	1.001718E-2	2.442575E-3	6.195201E-3	6.770838E-3	7.583297E-3	7.840887E-3
10/19/2017  17:34:44.625609	3.290250E-1	2.949628E-3	5.123262E-3	9.172572E-3	2.263979E-4	1.753855E-2	3.068170E-3	1.396121E-3
10/19/2017  17:34:44.626609	1.289789E+0	1.059880E-2	7.962232E-4	1.966262E-3	5.408171E-4	4.057541E-3	4.662167E-3	5.475509E-3
10/19/2017  17:34:44.627609	1.031483E+0	5.989991E-3	9.351592E-3	3.115452E-3	9.424851E-3	7.996518E-3	3.561692E-3	6.199588E-4
10/19/2017  17:34:44.628609	1.160050E+0	6.901677E-3	2.112938E-3	4.908249E-3	1.914147E-3	5.510286E-3	3.863360E-3	7.147222E-3
10/19/2017  17:34:44.629609	3.119011E-1	5.091106E-3	7.551919E-3	2.745813E-4	3.509113E-3	1.815254E-2	4.711949E-3	5.034124E-3
10/19/2017  17:34:44.630609	3.094606E-1	1.376735E-3	1.232760E-3	4.707030E-3	6.322453E-3	1.984114E-3	5.705096E-3	9.706071E-3
10/19/2017  17:34:44.631609	1.418565E+0	7.631890E-4	1.205164E-3	2.671026E-3	2.286233E-3	1.410167E-2	2.176852E-3	4.791599E-3
