Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)50	MVC Window Size (s): 50	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579	10/19/2017  17:20:38.587579
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:20:38.568055	1.184121E+0	6.994166E-3	6.210643E-3	4.427901E-3	1.957062E-4	5.916388E-3	1.255496E-2	9.716926E-3
10/19/2017  17:20:38.569055	9.029046E-1	5.800990E-3	1.070964E-2	1.637937E-3	1.727117E-3	1.350696E-2	4.044794E-3	4.521008E-3
10/19/2017  17:20:38.570055	6.498925E-1	8.258477E-3	6.034543E-3	5.991673E-3	1.028275E-2	7.453986E-3	1.312974E-2	8.099522E-3
10/19/2017  17:20:38.571055	7.420047E-1	3.346811E-3	7.082658E-3	1.537939E-2	9.836480E-3	8.074991E-3	3.372317E-3	6.053441E-3
10/19/2017  17:20:38.572055	3.880069E-1	9.447807E-3	3.234969E-3	2.327579E-3	8.255399E-3	3.811385E-3	4.845828E-3	1.077989E-2
10/19/2017  17:20:38.573055	1.309558E-1	6.963139E-3	6.141721E-3	2.363557E-2	1.443854E-3	5.896104E-3	9.414344E-3	3.615981E-3
10/19/2017  17:20:38.574055	5.059977E-1	5.343580E-4	1.258238E-2	9.663428E-3	5.122644E-3	6.120368E-3	1.851424E-4	5.233628E-3
10/19/2017  17:20:38.575055	1.725590E-3	8.455892E-3	7.184642E-3	3.014051E-3	3.302054E-3	5.209435E-4	7.123608E-3	4.035579E-3
10/19/2017  17:20:38.576055	2.358043E-1	5.910220E-3	1.253318E-2	2.447268E-3	4.912854E-3	5.339331E-3	7.497436E-3	8.460191E-4
10/19/2017  17:20:38.577055	1.664582E-1	7.013998E-3	9.374547E-3	4.114709E-3	5.853436E-3	6.455255E-3	7.692264E-3	1.482877E-3
10/19/2017  17:20:38.578055	5.325988E-2	1.386482E-2	6.290195E-3	5.660416E-3	1.916554E-3	9.147113E-3	7.604884E-3	3.083808E-3
10/19/2017  17:20:38.579055	6.647844E-1	5.601191E-3	4.332287E-3	1.619025E-3	7.533456E-3	1.354247E-4	5.310047E-3	4.557026E-3
10/19/2017  17:20:38.580055	4.979532E-2	6.446292E-3	7.031109E-3	5.720161E-3	3.291208E-3	1.793353E-3	3.101428E-3	7.705190E-3
10/19/2017  17:20:38.581055	4.557539E-1	2.970679E-4	6.503034E-3	2.192440E-3	4.230829E-3	3.410202E-3	2.591835E-3	9.717667E-4
10/19/2017  17:20:38.582055	1.084994E+0	1.986110E-3	7.767487E-3	1.287449E-3	3.511862E-3	7.032040E-3	6.484663E-3	1.042842E-2
10/19/2017  17:20:38.583055	1.677828E-1	1.216939E-2	1.795271E-3	7.028439E-3	4.580221E-3	5.782705E-3	2.432438E-3	5.219168E-3
10/19/2017  17:20:38.584055	1.956463E-1	4.835512E-3	6.496112E-3	2.170635E-3	5.715439E-3	1.783597E-3	6.644635E-3	5.267378E-3
10/19/2017  17:20:38.585055	2.649261E+0	1.690860E-2	7.464117E-3	1.091500E-2	2.083048E-3	5.519777E-3	1.371818E-3	6.121578E-3
10/19/2017  17:20:38.586055	2.116522E+0	3.228942E-3	7.829371E-3	5.942487E-3	1.556050E-3	6.725816E-3	1.584494E-3	4.294087E-3
10/19/2017  17:20:38.587055	1.372250E-2	1.328559E-2	7.708892E-3	2.233369E-3	1.186341E-2	4.418498E-3	2.797906E-3	8.037818E-3
10/19/2017  17:20:38.588055	6.324762E-1	2.636775E-3	2.887961E-3	3.708591E-3	6.928908E-4	6.127249E-3	2.844810E-3	1.009111E-2
10/19/2017  17:20:38.589055	6.286956E-1	5.593470E-3	5.123190E-3	2.799761E-4	3.273361E-3	2.691307E-3	8.974074E-3	4.023251E-3
