Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
10/19/2017  17:22:10.586404	1.787888E-1	4.044489E-3	3.840492E-3	3.645394E-4	6.652693E-3	3.238652E-3	1.227420E-2	5.119059E-4
10/19/2017  17:22:10.587404	2.105351E-1	4.646565E-3	8.965880E-3	1.001635E-2	6.029993E-4	8.873690E-3	2.089324E-3	1.941044E-3
10/19/2017  17:22:10.588404	1.722088E-1	1.459928E-2	2.930891E-3	1.440460E-2	2.718765E-3	8.188994E-3	1.184014E-2	5.793568E-3
10/19/2017  17:22:10.589404	1.533341E-1	4.061266E-3	4.957140E-3	6.108402E-3	6.700334E-3	2.946765E-3	2.433472E-4	2.490562E-3
10/19/2017  17:22:10.590404	1.032440E-1	5.825892E-4	6.248995E-3	1.847264E-4	1.831305E-4	7.522006E-3	6.154418E-3	1.871403E-3
10/19/2017  17:22:10.591404	4.102081E-2	4.141565E-3	1.556857E-2	4.762907E-3	4.112577E-3	8.315036E-3	1.815749E-3	1.212914E-2
10/19/2017  17:22:10.592404	4.613241E-2	7.381123E-3	2.201322E-3	7.888351E-3	1.936775E-3	8.548942E-3	3.599491E-3	1.654537E-3
10/19/2017  17:22:10.593404	6.507021E-2	7.453025E-4	1.925217E-2	5.322316E-3	1.916905E-3	4.015995E-3	9.539187E-3	3.871276E-3
10/19/2017  17:22:10.594404	1.166806E-1	2.372786E-4	4.032163E-4	5.929854E-3	6.175649E-3	5.478629E-4	4.527829E-4	1.261873E-3
10/19/2017  17:22:10.595404	5.109791E-2	8.788819E-3	2.787108E-4	1.037055E-2	4.647506E-3	1.711589E-2	2.520006E-3	5.857649E-3
10/19/2017  17:22:10.596404	3.076461E-3	6.246698E-3	9.448753E-3	6.527006E-3	5.327952E-3	3.141016E-3	9.061233E-3	2.465010E-3
10/19/2017  17:22:10.597404	4.964858E-2	2.244807E-4	7.012424E-3	9.626640E-3	3.617549E-3	4.954029E-3	4.031314E-3	6.540022E-3
10/19/2017  17:22:10.598404	1.473737E-2	1.355954E-2	5.863016E-3	1.445839E-2	4.429551E-5	8.442171E-3	6.282873E-3	1.894447E-3
10/19/2017  17:22:10.599404	1.603846E-1	1.180598E-3	8.389129E-3	2.092196E-3	9.041421E-3	1.058347E-2	4.820659E-3	1.454368E-2
10/19/2017  17:22:10.600404	2.004644E-2	5.527070E-3	5.321207E-3	7.379579E-3	4.349944E-3	3.495510E-3	1.396295E-3	1.621275E-4
10/19/2017  17:22:10.601404	3.210911E-1	9.335231E-3	4.184170E-3	2.767545E-5	7.425795E-4	7.037853E-3	1.140046E-3	4.365222E-3
10/19/2017  17:22:10.602404	1.865909E-1	6.659635E-3	7.507166E-3	1.193284E-2	1.491355E-2	6.522946E-4	7.644510E-4	5.252873E-3
10/19/2017  17:22:10.603404	6.714858E-1	2.079708E-3	9.049904E-4	4.904522E-3	2.612568E-3	8.286210E-3	2.621509E-3	5.177338E-3
10/19/2017  17:22:10.604404	7.699712E-1	4.003104E-3	3.980241E-4	1.261432E-2	1.512259E-2	5.683250E-3	1.678428E-3	1.032823E-2
10/19/2017  17:22:10.605404	1.148645E+0	1.238770E-3	8.659704E-3	4.021084E-3	1.771548E-3	2.983491E-3	5.561797E-3	1.541497E-3
10/19/2017  17:22:10.606404	3.290588E-1	6.111999E-4	3.143743E-4	2.877803E-3	9.320386E-3	2.675580E-3	1.891177E-3	5.712635E-3
10/19/2017  17:22:10.607404	5.426578E-1	2.256823E-3	8.918168E-3	2.384743E-3	5.240477E-3	8.862288E-3	3.462702E-3	1.975348E-3
10/19/2017  17:22:10.608404	5.274899E-1	3.177975E-3	1.722414E-3	2.590172E-3	1.991851E-2	2.148857E-3	8.537941E-3	9.966023E-3
10/19/2017  17:22:10.609404	2.283692E-1	6.984861E-3	1.425646E-3	1.121372E-2	3.664992E-3	4.932766E-3	1.699743E-3	6.372239E-3
10/19/2017  17:22:10.610404	9.465488E-2	2.948370E-3	6.413664E-4	3.319666E-3	1.707629E-3	5.472274E-3	1.148083E-3	2.005958E-2
10/19/2017  17:22:10.611404	1.556935E-1	2.062227E-3	1.113698E-4	6.907072E-3	3.332050E-3	9.052390E-4	1.163907E-3	5.540474E-3
10/19/2017  17:22:10.612404	2.508890E-1	7.319129E-3	1.366070E-2	1.101718E-3	4.336101E-3	7.664424E-3	8.018892E-3	1.079516E-2
10/19/2017  17:22:10.613404	1.990599E-1	5.107656E-3	1.218757E-3	4.041385E-3	5.028383E-4	7.895155E-3	3.008862E-3	7.601479E-3
10/19/2017  17:22:10.614404	2.024680E-1	1.058815E-3	3.481511E-3	7.612245E-3	8.812278E-3	3.094179E-3	4.358522E-3	9.222676E-3
10/19/2017  17:22:10.615404	1.777827E-1	1.165720E-3	1.930854E-3	2.066427E-2	2.156634E-3	1.087515E-2	8.209651E-4	7.389169E-3
10/19/2017  17:22:10.616404	1.957180E-1	7.693438E-3	5.739746E-3	1.628328E-2	1.593394E-3	1.309563E-3	1.768630E-3	8.312761E-3
10/19/2017  17:22:10.617404	1.240266E-1	3.416009E-3	3.882641E-3	1.135688E-3	3.221354E-3	5.745279E-3	7.870042E-3	2.185495E-3
10/19/2017  17:22:10.618404	9.385227E-2	2.323053E-3	2.328004E-3	3.334727E-3	4.271939E-3	4.384260E-3	1.063005E-3	6.351646E-3
								
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:22:10.619404	1.029965E-1	2.916511E-3	1.191094E-2	4.228406E-3	5.133647E-3	5.365961E-3	1.395293E-2	1.707021E-3
10/19/2017  17:22:10.620404	1.006454E-1	6.584352E-3	1.949193E-2	6.151872E-3	5.331277E-3	7.142820E-3	1.018628E-3	7.695097E-3
10/19/2017  17:22:10.621404	1.542367E-1	1.049295E-2	4.052057E-3	6.887520E-3	1.835633E-3	2.884397E-3	6.213123E-3	1.162390E-3
