Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
10/19/2017  17:22:10.586404	4.126874E-2	8.105642E-3	1.391770E-2	-1.012614E+1	2.732853E-2	2.200605E-2	6.188501E-2	3.164702E-2
10/19/2017  17:22:10.587404	-4.007518E-2	5.561801E-3	6.282096E-3	-1.013632E+1	2.222863E-2	2.963800E-2	6.951371E-2	2.910311E-2
10/19/2017  17:22:10.588404	-6.041116E-2	2.591253E-2	1.646291E-2	-1.014396E+1	2.477858E-2	3.218199E-2	8.477112E-2	2.401527E-2
10/19/2017  17:22:10.589404	-1.010831E-1	1.828100E-2	1.900811E-2	-1.013887E+1	1.457878E-2	2.963800E-2	7.459952E-2	3.164702E-2
10/19/2017  17:22:10.590404	-1.087091E-1	1.573716E-2	2.155331E-2	-1.013378E+1	1.967868E-2	1.946206E-2	8.222822E-2	3.164702E-2
10/19/2017  17:22:10.591404	3.138778E-3	1.064948E-2	3.427933E-2	-1.012869E+1	1.457878E-2	1.691808E-2	7.968532E-2	4.436661E-2
10/19/2017  17:22:10.592404	-1.945217E-3	5.561801E-3	1.900811E-2	-1.012359E+1	1.967868E-2	1.437409E-2	7.459952E-2	3.673486E-2
10/19/2017  17:22:10.593404	1.076477E-2	1.064948E-2	-1.353514E-3	-1.013632E+1	1.967868E-2	1.691808E-2	6.697081E-2	3.164702E-2
10/19/2017  17:22:10.594404	6.923072E-2	1.064948E-2	1.391770E-2	-1.013887E+1	2.477858E-2	1.946206E-2	7.459952E-2	3.419094E-2
10/19/2017  17:22:10.595404	1.076477E-2	2.082484E-2	1.391770E-2	-1.014651E+1	2.477858E-2	3.981394E-2	7.205661E-2	2.910311E-2
10/19/2017  17:22:10.596404	-4.770118E-2	2.082484E-2	2.409852E-2	-1.014651E+1	1.457878E-2	2.963800E-2	8.477112E-2	3.164702E-2
10/19/2017  17:22:10.597404	-1.211321E-2	1.573716E-2	2.409852E-2	-1.013123E+1	1.457878E-2	2.200605E-2	8.222822E-2	4.182269E-2
10/19/2017  17:22:10.598404	-9.091514E-2	4.741205E-4	1.137250E-2	-1.012359E+1	1.712873E-2	1.691808E-2	7.205661E-2	3.927877E-2
10/19/2017  17:22:10.599404	-2.891910E-1	1.319332E-2	6.282096E-3	-1.013887E+1	2.732853E-2	1.183011E-2	7.205661E-2	2.147136E-2
10/19/2017  17:22:10.600404	-1.620911E-1	5.561801E-3	1.900811E-2	-1.014651E+1	2.477858E-2	2.455003E-2	7.459952E-2	3.419094E-2
10/19/2017  17:22:10.601404	-5.916887E-1	2.082484E-2	1.900811E-2	-1.014142E+1	2.222863E-2	2.963800E-2	7.714242E-2	2.910311E-2
10/19/2017  17:22:10.602404	-5.942307E-1	2.082484E-2	2.409852E-2	-1.012869E+1	4.378993E-3	2.455003E-2	7.714242E-2	2.655919E-2
10/19/2017  17:22:10.603404	2.853005E-1	1.319332E-2	1.900811E-2	-1.013378E+1	1.967868E-2	1.437409E-2	7.968532E-2	3.673486E-2
10/19/2017  17:22:10.604404	5.852563E-1	1.064948E-2	1.900811E-2	-1.012359E+1	3.497837E-2	1.437409E-2	7.968532E-2	4.436661E-2
10/19/2017  17:22:10.605404	1.289390E+0	1.573716E-2	8.827299E-3	-1.013887E+1	2.477858E-2	2.200605E-2	7.205661E-2	3.419094E-2
10/19/2017  17:22:10.606404	7.733641E-1	1.573716E-2	1.646291E-2	-1.013887E+1	3.497837E-2	2.200605E-2	7.459952E-2	2.910311E-2
10/19/2017  17:22:10.607404	-4.770118E-2	1.828100E-2	2.664372E-2	-1.013378E+1	2.222863E-2	2.963800E-2	7.205661E-2	3.164702E-2
10/19/2017  17:22:10.608404	-1.315871E-1	1.319332E-2	2.155331E-2	-1.013887E+1	4.378993E-3	2.455003E-2	8.477112E-2	2.147136E-2
10/19/2017  17:22:10.609404	1.022767E-1	8.105642E-3	1.900811E-2	-1.012359E+1	1.712873E-2	1.691808E-2	7.968532E-2	3.673486E-2
10/19/2017  17:22:10.610404	4.556144E-1	1.064948E-2	2.155331E-2	-1.012869E+1	2.222863E-2	1.437409E-2	7.714242E-2	5.454227E-2
10/19/2017  17:22:10.611404	2.497126E-1	1.064948E-2	2.155331E-2	-1.013887E+1	2.477858E-2	1.946206E-2	7.968532E-2	3.164702E-2
10/19/2017  17:22:10.612404	1.404067E-1	2.082484E-2	6.282096E-3	-1.013123E+1	2.732853E-2	2.709402E-2	6.951371E-2	2.401527E-2
10/19/2017  17:22:10.613404	1.632846E-1	2.082484E-2	1.646291E-2	-1.013632E+1	2.477858E-2	2.963800E-2	7.968532E-2	2.401527E-2
10/19/2017  17:22:10.614404	1.302387E-1	1.573716E-2	2.155331E-2	-1.014142E+1	1.457878E-2	1.946206E-2	8.222822E-2	1.892744E-2
10/19/2017  17:22:10.615404	1.200707E-1	1.573716E-2	1.646291E-2	-1.015924E+1	1.967868E-2	9.286120E-3	7.968532E-2	3.419094E-2
10/19/2017  17:22:10.616404	5.906273E-2	8.105642E-3	1.137250E-2	-1.012359E+1	1.967868E-2	1.946206E-2	7.714242E-2	3.673486E-2
10/19/2017  17:22:10.617404	8.702470E-2	1.064948E-2	1.137250E-2	-1.013632E+1	2.477858E-2	2.455003E-2	6.951371E-2	3.164702E-2
10/19/2017  17:22:10.618404	8.194071E-2	1.064948E-2	1.137250E-2	-1.014142E+1	1.712873E-2	2.455003E-2	7.714242E-2	3.673486E-2
								
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712	10/19/2017  17:22:10.615712
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:22:10.619404	3.364275E-2	1.573716E-2	2.664372E-2	-1.014396E+1	1.457878E-2	2.709402E-2	9.239983E-2	2.910311E-2
10/19/2017  17:22:10.620404	-1.211321E-2	2.082484E-2	3.936974E-2	-1.013378E+1	2.477858E-2	1.437409E-2	8.222822E-2	3.927877E-2
10/19/2017  17:22:10.621404	-1.315871E-1	3.017961E-3	1.900811E-2	-1.013123E+1	2.222863E-2	1.691808E-2	7.459952E-2	3.419094E-2
10/19/2017  17:22:10.622404	-1.214191E-1	1.573716E-2	2.409852E-2	-1.013887E+1	2.732853E-2	2.963800E-2	6.951371E-2	3.419094E-2
10/19/2017  17:22:10.623404	-2.482320E-2	2.591253E-2	1.900811E-2	-1.013378E+1	2.222863E-2	1.946206E-2	7.205661E-2	2.401527E-2
10/19/2017  17:22:10.624404	9.210870E-2	1.573716E-2	1.900811E-2	-1.013632E+1	2.477858E-2	1.437409E-2	7.459952E-2	3.164702E-2
10/19/2017  17:22:10.625404	5.967806E-4	1.573716E-2	2.155331E-2	-1.013123E+1	1.457878E-2	1.691808E-2	7.968532E-2	4.182269E-2
10/19/2017  17:22:10.626404	2.855876E-2	8.105642E-3	1.391770E-2	-1.012869E+1	3.242842E-2	2.709402E-2	6.697081E-2	3.927877E-2
