Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383	10/19/2017  17:22:32.678383
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:22:32.663404	6.160473E-2	1.064948E-2	2.918892E-2	-1.012359E+1	1.457878E-2	1.437409E-2	8.477112E-2	3.927877E-2
10/19/2017  17:22:32.664404	1.836206E-1	8.105642E-3	1.391770E-2	-1.012614E+1	1.712873E-2	1.437409E-2	7.205661E-2	3.164702E-2
10/19/2017  17:22:32.665404	1.454906E-1	1.064948E-2	1.137250E-2	-1.014142E+1	2.987847E-2	1.691808E-2	7.205661E-2	2.910311E-2
10/19/2017  17:22:32.666404	2.675065E-1	2.845637E-2	1.900811E-2	-1.014651E+1	2.732853E-2	2.200605E-2	6.951371E-2	3.164702E-2
10/19/2017  17:22:32.667404	2.601676E-2	1.828100E-2	1.646291E-2	-1.012614E+1	1.712873E-2	2.963800E-2	7.205661E-2	2.655919E-2
10/19/2017  17:22:32.668404	-2.358090E-1	1.064948E-2	2.664372E-2	-1.013123E+1	1.457878E-2	2.200605E-2	7.968532E-2	1.638352E-2
10/19/2017  17:22:32.669404	6.668872E-2	1.319332E-2	2.155331E-2	-1.014905E+1	1.967868E-2	1.183011E-2	7.968532E-2	3.673486E-2
10/19/2017  17:22:32.670404	5.652073E-2	1.319332E-2	2.409852E-2	-1.013887E+1	2.222863E-2	1.437409E-2	7.205661E-2	2.910311E-2
10/19/2017  17:22:32.671404	-3.753318E-2	1.573716E-2	1.391770E-2	-1.015415E+1	2.987847E-2	9.286120E-3	6.188501E-2	3.164702E-2
10/19/2017  17:22:32.672404	1.582006E-1	2.845637E-2	1.391770E-2	-1.014396E+1	2.732853E-2	2.963800E-2	6.951371E-2	2.655919E-2
10/19/2017  17:22:32.673404	6.564322E-1	1.828100E-2	2.664372E-2	-1.014396E+1	2.222863E-2	2.963800E-2	6.951371E-2	2.401527E-2
