Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
10/19/2017  17:26:12.666977	9.545835E-2	4.602671E-3	2.239743E-3	1.656784E-4	4.750432E-4	1.751391E-3	1.487328E-3	2.392865E-3
10/19/2017  17:26:12.667977	2.097012E-1	1.594409E-3	1.638521E-3	2.388087E-3	1.134183E-2	1.444552E-3	7.665957E-3	5.075404E-3
10/19/2017  17:26:12.668977	9.633524E-2	3.700082E-3	3.274896E-3	4.143775E-3	9.485933E-3	3.333707E-3	5.265246E-3	1.597125E-3
10/19/2017  17:26:12.669977	4.971828E-1	7.221166E-3	4.385400E-5	5.570351E-3	1.056450E-2	1.927304E-3	1.082680E-3	7.458304E-3
10/19/2017  17:26:12.670977	6.102429E-1	3.533544E-3	1.851770E-3	1.491049E-3	3.623467E-3	3.012163E-3	4.208003E-3	3.642847E-3
10/19/2017  17:26:12.671977	2.389300E-1	3.386284E-4	1.230007E-3	6.136121E-4	2.880544E-3	2.114585E-3	1.436532E-2	6.941602E-4
10/19/2017  17:26:12.672977	1.165634E-1	8.442815E-3	1.423576E-2	8.434633E-5	4.263459E-3	1.361227E-3	5.275361E-4	2.866220E-3
10/19/2017  17:26:12.673977	4.123692E-1	1.003174E-2	7.967545E-4	1.358422E-2	1.624651E-3	5.737913E-3	6.909200E-3	4.300228E-3
10/19/2017  17:26:12.674977	5.858349E-1	1.488785E-4	1.358397E-3	1.071429E-3	5.813204E-3	4.514343E-3	3.934181E-3	8.037299E-4
10/19/2017  17:26:12.675977	6.136109E-1	5.410714E-3	7.968907E-3	2.950112E-3	8.570093E-3	1.271292E-3	5.676257E-3	4.697997E-3
10/19/2017  17:26:12.676977	5.998652E-1	2.565192E-3	3.524769E-3	4.463316E-3	3.646712E-3	5.393968E-3	5.831828E-3	7.694620E-4
10/19/2017  17:26:12.677977	1.262423E+0	6.950143E-3	4.176676E-3	7.700262E-3	1.179199E-4	6.993551E-3	3.011251E-3	6.466414E-3
10/19/2017  17:26:12.678977	1.976606E-1	5.528836E-3	1.247794E-3	1.412993E-2	2.886066E-3	1.683370E-3	9.304961E-3	7.107012E-3
10/19/2017  17:26:12.679977	3.503737E-1	2.125215E-3	7.615281E-4	1.068934E-3	6.969466E-3	1.395168E-3	4.818894E-3	1.375333E-3
10/19/2017  17:26:12.680977	3.199015E-1	1.751173E-3	3.562817E-4	3.376272E-3	9.747463E-4	1.135637E-3	7.850980E-3	3.097498E-3
10/19/2017  17:26:12.681977	1.663273E-1	7.225262E-3	6.503206E-3	1.550018E-3	3.362133E-3	3.062081E-3	9.763554E-3	6.339064E-3
10/19/2017  17:26:12.682977	4.580571E-1	3.930244E-3	2.079890E-4	7.981889E-3	1.904954E-4	2.147620E-3	1.338137E-2	2.446937E-3
10/19/2017  17:26:12.683977	8.713744E-2	1.015398E-3	3.552226E-3	3.711049E-3	6.136428E-4	5.693612E-3	4.082436E-3	8.706320E-3
10/19/2017  17:26:12.684977	2.685151E-1	7.519916E-3	4.767572E-3	6.955809E-3	9.275144E-4	7.157050E-3	3.579629E-3	2.043779E-3
10/19/2017  17:26:12.685977	2.169597E-1	5.412990E-3	4.125506E-3	4.002768E-3	3.181051E-3	1.000780E-3	3.096024E-3	3.628578E-3
10/19/2017  17:26:12.686977	7.205426E-2	5.850173E-3	1.000093E-2	9.292623E-4	1.135717E-2	8.533573E-4	6.949968E-3	2.724586E-4
10/19/2017  17:26:12.687977	1.321792E-2	3.722200E-3	5.151482E-3	7.326113E-3	8.344707E-3	5.034792E-3	7.254824E-3	6.496401E-3
10/19/2017  17:26:12.688977	1.186358E-1	8.810096E-3	5.070798E-3	1.372401E-3	1.445847E-3	9.457545E-3	4.958185E-3	2.447952E-3
10/19/2017  17:26:12.689977	9.856997E-2	6.662911E-3	7.426073E-4	5.431701E-3	1.467144E-3	1.513313E-2	7.765667E-3	2.746202E-3
10/19/2017  17:26:12.690977	3.060365E-1	1.246310E-2	1.594229E-3	1.630113E-3	7.840478E-4	7.439978E-3	5.832812E-3	1.076408E-4
10/19/2017  17:26:12.691977	6.754744E-1	1.103767E-2	1.107432E-3	1.191372E-3	4.169342E-3	1.263853E-2	4.433118E-3	2.154734E-3
10/19/2017  17:26:12.692977	2.881716E-1	1.882348E-2	5.152950E-3	3.179196E-3	5.395251E-3	9.365381E-3	5.125341E-3	2.953305E-3
10/19/2017  17:26:12.693977	1.098663E+0	8.871593E-3	1.326969E-3	2.014152E-3	1.168040E-3	4.221724E-3	1.028280E-3	2.544677E-5
10/19/2017  17:26:12.694977	7.931993E-1	4.291118E-4	1.527653E-3	5.139653E-3	1.064756E-2	5.196043E-3	2.029512E-3	6.401348E-3
10/19/2017  17:26:12.695977	2.698636E-1	7.351268E-3	2.924966E-3	1.405522E-3	1.402352E-3	8.157530E-4	2.041787E-3	7.133922E-5
10/19/2017  17:26:12.696977	5.323120E-1	8.980201E-4	9.167092E-3	3.530272E-3	7.460439E-3	2.956248E-3	1.064256E-2	2.597281E-3
10/19/2017  17:26:12.697977	5.567580E-1	4.593825E-3	8.847834E-3	2.620388E-3	1.033633E-2	8.678431E-3	5.586731E-3	4.319410E-3
10/19/2017  17:26:12.698977	2.135565E-1	4.827430E-3	9.069034E-3	4.011248E-3	1.068366E-3	5.784612E-4	4.788953E-3	3.264877E-3
								
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341	10/19/2017  17:26:12.615341
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:26:12.699977	2.420939E-1	3.941184E-3	8.598023E-3	3.820881E-3	7.810786E-3	7.872803E-4	3.417374E-3	2.223031E-3
10/19/2017  17:26:12.700977	3.428635E-1	5.843184E-3	2.969187E-3	2.813124E-3	5.648524E-3	3.106180E-3	6.579548E-3	1.762883E-3
10/19/2017  17:26:12.701977	2.190018E-1	9.171174E-3	4.731563E-3	1.316727E-2	4.287029E-3	6.831241E-3	1.078359E-4	5.125624E-3
10/19/2017  17:26:12.702977	1.238731E-1	1.767120E-3	7.977424E-3	2.872501E-4	5.278179E-3	5.845056E-4	9.279561E-3	9.491738E-4
10/19/2017  17:26:12.703977	2.291624E-1	5.569702E-3	1.317202E-3	8.232852E-3	7.586120E-4	3.810066E-4	3.934236E-3	3.136159E-3
10/19/2017  17:26:12.704977	3.805067E-2	2.341326E-3	7.870525E-3	1.617386E-3	2.934868E-3	1.057418E-2	1.853367E-3	6.731925E-3
10/19/2017  17:26:12.705977	7.292483E-1	1.448177E-3	5.484756E-3	4.403778E-3	6.552449E-3	2.841392E-3	2.673983E-3	3.621883E-4
10/19/2017  17:26:12.706977	5.535033E-1	1.222538E-2	3.484822E-3	1.492801E-2	2.035606E-4	1.154590E-2	3.628969E-3	6.431078E-3
10/19/2017  17:26:12.707977	2.411743E-2	8.546680E-3	1.112427E-2	4.577573E-3	6.231586E-5	8.460938E-3	1.530725E-2	2.546906E-4
10/19/2017  17:26:12.708977	6.852062E-1	5.345029E-3	2.587336E-3	3.393111E-3	1.108246E-2	2.787451E-3	6.674453E-3	2.278585E-3
10/19/2017  17:26:12.709977	3.168663E-1	1.301169E-2	2.796134E-3	8.438149E-3	1.187509E-3	6.458563E-3	6.355711E-3	7.159862E-3
10/19/2017  17:26:12.710977	5.118327E-2	5.015196E-3	6.562329E-3	1.459552E-3	1.252074E-2	2.327844E-3	6.853157E-3	7.137926E-3
10/19/2017  17:26:12.711977	6.950973E-1	9.787664E-4	3.986698E-3	3.640368E-3	2.358377E-3	5.091031E-3	2.592979E-3	1.051893E-2
10/19/2017  17:26:12.712977	7.498293E-1	9.482568E-4	3.710663E-3	1.491891E-3	3.571546E-3	8.055429E-3	6.018785E-4	7.678381E-3
10/19/2017  17:26:12.713977	4.713132E-1	1.168689E-2	4.351518E-4	5.681281E-3	2.240732E-3	5.489132E-3	5.045248E-3	1.193511E-3
10/19/2017  17:26:12.714977	1.151687E+0	5.604645E-4	8.836260E-3	4.092838E-3	6.357462E-3	5.289481E-3	8.013307E-3	7.539418E-3
10/19/2017  17:26:12.715977	3.857892E-1	1.586920E-2	3.640075E-3	4.887200E-3	1.121012E-2	8.537018E-3	1.122761E-3	5.281094E-3
10/19/2017  17:26:12.716977	2.755737E-1	2.681894E-4	8.977248E-3	5.622603E-3	9.779441E-4	1.050184E-2	6.098297E-3	9.385258E-4
10/19/2017  17:26:12.717977	1.858110E-1	1.316243E-2	2.594272E-3	2.187794E-3	7.590028E-3	1.540219E-3	4.043575E-3	1.101879E-3
10/19/2017  17:26:12.718977	7.607477E-2	1.514738E-3	6.557671E-3	2.502424E-3	5.540147E-3	1.549329E-3	6.141867E-3	1.212047E-3
10/19/2017  17:26:12.719977	2.863523E-1	1.203729E-2	6.970890E-3	5.718157E-3	3.811031E-3	1.524506E-3	6.757150E-3	1.275417E-3
10/19/2017  17:26:12.720977	9.948631E-1	4.685806E-3	1.699111E-3	3.096600E-3	4.119544E-3	1.471198E-3	1.730523E-3	7.773448E-3
10/19/2017  17:26:12.721977	7.181549E-2	5.737904E-3	1.405874E-3	2.895318E-3	9.659966E-3	1.002852E-2	1.289653E-3	7.794026E-3
10/19/2017  17:26:12.722977	4.370537E-1	1.912388E-3	1.146186E-3	5.224873E-4	2.135956E-4	4.940297E-3	9.074061E-4	5.518230E-3
10/19/2017  17:26:12.723977	8.380990E-1	1.208665E-3	7.396308E-3	1.010427E-3	4.466082E-3	1.137778E-3	4.894991E-3	8.398078E-3
10/19/2017  17:26:12.724977	2.428896E-1	5.857030E-3	2.910400E-3	1.001462E-2	7.490120E-3	1.184136E-3	5.359098E-3	7.115013E-4
10/19/2017  17:26:12.725977	1.539825E-1	6.377304E-3	1.675601E-3	5.272259E-3	4.902813E-3	7.675470E-3	7.556308E-3	5.100661E-3
10/19/2017  17:26:12.726977	1.788956E-1	2.355241E-5	7.971469E-3	7.022160E-3	1.574531E-3	5.539303E-3	8.549289E-3	4.914696E-3
10/19/2017  17:26:12.727977	5.514415E-2	4.652660E-3	3.783398E-3	6.904560E-3	1.056526E-2	2.738769E-3	9.044243E-3	7.572838E-3
10/19/2017  17:26:12.728977	5.177389E-1	7.784169E-3	5.999189E-4	1.294676E-2	7.946845E-3	8.589632E-3	9.029702E-3	1.032508E-2
10/19/2017  17:26:12.729977	1.657886E-1	3.191005E-3	8.202735E-3	2.821384E-3	5.112429E-3	5.924088E-3	4.335908E-3	2.061033E-2
10/19/2017  17:26:12.730977	3.809626E-1	2.461142E-3	5.512990E-3	2.279227E-2	5.622906E-3	4.941860E-3	9.449700E-3	3.185866E-3
10/19/2017  17:26:12.731977	3.721664E-1	4.330601E-3	1.183669E-2	5.448121E-4	7.843856E-4	1.790015E-3	4.587667E-3	9.455981E-3
								
10/19/2017  17:26:12.732977	2.245327E-1	1.261308E-2	5.924198E-5	4.286460E-3	3.235051E-3	1.026328E-2	1.020318E-2	4.954861E-3
10/19/2017  17:26:12.733977	3.045843E-1	4.840244E-3	8.859161E-3	1.083473E-3	4.880506E-3	3.528543E-3	2.992658E-3	3.668455E-3
10/19/2017  17:26:12.734977	1.609055E-1	3.140388E-3	3.446170E-4	7.351024E-3	1.526066E-3	2.511954E-3	4.520380E-3	4.201807E-4
10/19/2017  17:26:12.735977	7.535017E-2	1.522528E-2	6.990394E-3	7.953972E-3	5.529507E-3	5.977862E-3	5.431929E-3	6.258759E-3
10/19/2017  17:26:12.736977	1.992551E-1	4.865062E-3	4.996280E-3	2.954529E-3	2.679086E-3	9.092672E-3	2.786768E-3	8.655191E-3
10/19/2017  17:26:12.737977	1.070690E-1	6.211517E-3	7.645631E-3	4.160353E-3	2.325459E-3	2.273470E-3	2.103157E-3	3.889045E-3
10/19/2017  17:26:12.738977	2.025389E-1	4.771455E-3	5.948296E-3	1.692569E-3	5.024170E-3	1.568703E-3	1.503341E-3	2.548088E-4
10/19/2017  17:26:12.739977	7.009357E-2	3.526202E-3	1.981920E-2	5.938180E-4	5.036987E-3	9.605830E-3	5.297454E-3	1.104201E-2
10/19/2017  17:26:12.740977	3.200716E-1	1.325155E-2	1.356829E-3	1.080714E-2	3.369633E-3	6.678166E-3	3.039277E-3	5.729148E-3
10/19/2017  17:26:12.741977	1.201676E-1	1.719332E-4	1.483687E-3	1.276438E-3	1.943848E-4	1.598870E-2	3.151791E-4	7.017802E-3
10/19/2017  17:26:12.742977	1.729312E-1	2.856982E-3	8.043345E-3	3.469649E-3	9.296823E-3	3.940879E-3	4.851214E-3	1.371694E-3
10/19/2017  17:26:12.743977	4.140109E-1	6.676061E-4	1.637792E-3	4.547592E-3	6.804678E-3	1.381356E-2	5.765510E-3	5.614435E-3
10/19/2017  17:26:12.744977	5.902921E-1	1.208498E-2	7.348849E-3	2.916176E-3	3.954846E-3	3.002754E-3	6.780063E-3	6.072227E-3
10/19/2017  17:26:12.745977	4.616070E-1	4.689271E-3	4.810005E-3	6.095448E-4	5.033589E-3	5.819959E-3	4.703396E-3	1.332626E-2
10/19/2017  17:26:12.746977	1.384487E-1	1.320658E-3	1.619399E-3	1.614560E-2	1.237094E-3	1.192286E-2	7.993894E-4	7.859636E-4
10/19/2017  17:26:12.747977	3.782274E-1	5.309336E-3	1.056435E-2	6.972613E-4	8.073155E-3	1.126436E-2	4.254916E-3	3.320634E-4
10/19/2017  17:26:12.748977	1.016620E+0	7.126042E-4	5.768205E-3	6.142859E-3	1.154242E-2	1.656189E-3	1.205720E-2	4.354272E-3
10/19/2017  17:26:12.749977	1.423327E-1	5.042683E-3	8.541092E-3	2.180401E-3	3.016328E-3	5.348576E-3	2.289043E-3	1.072328E-3
10/19/2017  17:26:12.750977	5.540102E-1	5.786085E-3	9.311184E-3	7.035096E-3	8.232870E-3	1.516098E-3	3.894821E-3	1.331420E-3
10/19/2017  17:26:12.751977	1.080861E-1	4.743833E-3	1.604328E-4	2.520912E-3	7.506477E-4	5.640122E-3	2.714601E-3	1.325204E-3
10/19/2017  17:26:12.752977	4.182482E-1	5.641488E-3	2.203713E-3	9.532432E-3	6.914222E-3	6.217270E-3	2.589335E-3	1.192287E-2
10/19/2017  17:26:12.753977	1.134640E+0	8.173935E-3	5.728314E-3	1.348502E-2	1.218444E-2	2.004422E-3	6.303933E-3	2.863819E-3
10/19/2017  17:26:12.754977	1.793055E-1	3.373730E-3	1.145571E-2	1.022797E-2	8.957477E-3	1.166516E-3	4.368907E-3	1.774991E-2
10/19/2017  17:26:12.755977	1.005175E+0	7.273570E-3	8.194042E-3	1.173506E-2	2.856794E-4	3.446128E-3	5.884332E-3	1.761481E-3
10/19/2017  17:26:12.756977	7.542197E-1	3.308875E-3	9.681283E-3	2.861276E-3	6.966034E-3	9.288531E-3	6.550220E-3	3.088525E-3
10/19/2017  17:26:12.757977	7.295740E-1	1.841060E-3	4.861841E-3	1.544032E-2	4.990066E-3	6.608266E-3	4.572052E-3	6.935566E-3
10/19/2017  17:26:12.758977	4.555503E-1	3.181333E-3	9.887255E-4	4.292153E-3	9.886587E-4	6.436738E-3	1.401332E-3	5.238782E-3
10/19/2017  17:26:12.759977	1.033384E-1	6.290281E-3	8.427687E-4	3.277478E-3	3.092329E-3	9.077701E-3	3.512027E-3	3.790170E-3
10/19/2017  17:26:12.760977	3.679285E-1	6.621673E-3	7.015886E-4	2.246611E-3	8.791122E-3	4.560712E-3	9.208010E-3	1.749906E-3
10/19/2017  17:26:12.761977	8.213427E-2	4.837263E-3	4.885818E-3	6.146471E-3	3.807615E-3	3.401318E-3	1.072280E-2	5.669070E-3
10/19/2017  17:26:12.762977	1.898360E-1	1.162851E-3	7.456964E-3	8.680519E-3	6.504036E-3	6.734753E-3	1.030596E-2	3.908177E-3
10/19/2017  17:26:12.763977	6.712655E-2	5.990145E-4	5.211482E-3	9.359096E-3	7.193559E-3	1.982642E-3	5.180128E-3	4.041389E-3
10/19/2017  17:26:12.764977	5.246463E-2	1.065525E-2	1.178028E-2	2.498589E-3	3.430955E-3	1.466978E-2	5.530738E-3	9.730572E-4
								
10/19/2017  17:26:12.765977	1.717103E-3	9.642211E-3	1.881480E-3	2.557552E-3	6.574868E-3	2.781812E-3	2.068444E-3	8.959257E-4
10/19/2017  17:26:12.766977	4.920995E-2	8.834650E-3	1.121639E-3	3.975691E-4	4.488805E-3	1.309597E-2	9.300898E-4	1.344637E-3
10/19/2017  17:26:12.767977	1.629215E-1	1.313833E-2	1.670432E-3	2.508471E-3	1.229796E-2	2.654459E-3	8.612352E-3	5.038214E-3
10/19/2017  17:26:12.768977	1.879760E-2	1.640513E-3	5.797785E-3	4.123322E-4	4.388418E-3	1.365134E-2	6.490770E-3	9.593794E-4
10/19/2017  17:26:12.769977	2.091276E-2	5.762747E-3	1.160526E-4	2.506361E-3	5.856979E-3	1.129247E-3	4.667006E-3	8.542450E-3
10/19/2017  17:26:12.770977	1.178069E-1	6.325709E-3	4.277257E-3	4.737377E-3	2.976871E-6	3.373275E-3	1.199385E-3	1.070455E-2
10/19/2017  17:26:12.771977	1.055016E-1	1.290767E-2	5.715527E-3	1.075770E-3	4.451251E-3	2.198396E-3	5.400933E-3	1.192792E-3
10/19/2017  17:26:12.772977	8.163184E-2	8.899042E-3	3.114240E-4	7.390170E-3	9.574684E-4	3.390500E-4	2.589952E-3	1.103291E-3
10/19/2017  17:26:12.773977	5.875621E-2	1.561892E-2	3.302447E-4	5.116837E-3	1.136649E-2	8.667288E-3	1.735786E-3	1.018997E-3
10/19/2017  17:26:12.774977	2.090562E-2	2.482812E-3	2.500600E-3	5.422795E-3	7.666289E-3	3.493447E-4	3.172861E-3	1.219232E-3
