Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:25:31.763424	3.128852E-2	5.324835E-3	8.691077E-4	2.681419E-2	5.332070E-3	4.078935E-3	7.280812E-3	1.788141E-3
10/19/2017  17:25:31.764424	2.565321E-2	8.339321E-3	7.813248E-3	2.939825E-3	1.425065E-3	1.064747E-2	2.391007E-4	2.471320E-3
10/19/2017  17:25:31.765424	2.055960E-2	5.789566E-3	3.603917E-3	5.174967E-4	1.480487E-3	2.951181E-3	1.354965E-2	5.419768E-3
10/19/2017  17:25:31.766424	2.702304E-2	7.157698E-3	9.034475E-4	5.278993E-3	1.002324E-2	1.797023E-3	5.645082E-3	2.265317E-3
10/19/2017  17:25:31.767424	3.434571E-2	3.253594E-3	5.431447E-3	1.282263E-2	2.734858E-3	5.173658E-3	2.941209E-4	1.287296E-2
10/19/2017  17:25:31.768424	7.268869E-2	4.643910E-3	8.463695E-3	2.542348E-3	2.663520E-3	3.469152E-3	2.399919E-3	9.124893E-3
10/19/2017  17:25:31.769424	2.186593E-2	3.290847E-3	7.027264E-3	6.913051E-4	6.455119E-3	3.105368E-3	8.116254E-3	2.677706E-3
10/19/2017  17:25:31.770424	1.065154E-1	8.625426E-3	1.355064E-2	3.029836E-3	2.425715E-4	1.352930E-2	1.042430E-3	4.645149E-3
10/19/2017  17:25:31.771424	1.639059E-2	1.247802E-2	8.322323E-3	8.930476E-3	2.243662E-3	7.460596E-3	6.305831E-3	3.745691E-3
10/19/2017  17:25:31.772424	5.033134E-2	2.650331E-3	6.455856E-3	1.818634E-4	5.084741E-3	8.092338E-3	9.189261E-3	5.667952E-3
10/19/2017  17:25:31.773424	4.224038E-2	4.873270E-3	5.103773E-4	4.582260E-3	3.641979E-3	3.858303E-3	2.095433E-3	1.346513E-3
10/19/2017  17:25:31.774424	1.320946E-2	4.165684E-3	1.635596E-3	5.378180E-3	4.068671E-3	1.445030E-2	6.556260E-4	4.048646E-3
10/19/2017  17:25:31.775424	6.147156E-2	1.158654E-2	3.105317E-3	8.001002E-4	1.377391E-2	1.145127E-3	1.715879E-3	8.265081E-4
10/19/2017  17:25:31.776424	2.569185E-2	3.582288E-3	2.468163E-3	9.566727E-3	5.860052E-3	5.465489E-4	1.191802E-3	1.086669E-2
10/19/2017  17:25:31.777424	2.397260E-3	1.011883E-2	6.379028E-3	6.811462E-3	8.952346E-3	6.982174E-3	5.713940E-3	1.553386E-3
10/19/2017  17:25:31.778424	4.976056E-2	1.011378E-2	8.893459E-3	1.988515E-3	6.453231E-3	1.000003E-2	6.098350E-3	7.372876E-3
10/19/2017  17:25:31.779424	1.159192E-1	7.514800E-3	2.705518E-3	1.258816E-2	4.336187E-3	9.596888E-3	2.572318E-3	1.669945E-3
10/19/2017  17:25:31.780424	1.715226E-1	1.188460E-3	6.672395E-3	2.041388E-4	1.041570E-2	2.311879E-4	6.585716E-3	3.820910E-3
