Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601	10/19/2017  17:25:21.174601
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:25:21.170424	2.290585E-1	5.026159E-3	3.284111E-4	1.858712E-2	1.673243E-3	8.488407E-3	1.168035E-2	5.189375E-3
10/19/2017  17:25:21.171424	5.376336E-2	1.052372E-3	6.394230E-3	8.199356E-4	5.661195E-3	5.950162E-3	4.749052E-3	3.235860E-3
10/19/2017  17:25:21.172424	4.307875E-3	3.224918E-3	1.117757E-2	3.150102E-3	8.607203E-5	2.656977E-3	1.636723E-2	5.538225E-4
10/19/2017  17:25:21.173424	3.020448E-2	8.987220E-3	1.759967E-3	3.926145E-4	4.178975E-3	6.613030E-3	6.265255E-3	7.259014E-3
10/19/2017  17:25:21.174424	1.364329E-2	6.597184E-3	5.087292E-3	5.722450E-4	3.936830E-3	4.861609E-3	1.370383E-2	7.446773E-3
10/19/2017  17:25:21.175424	2.803323E-1	1.913094E-3	7.514449E-3	2.856304E-3	7.653961E-3	7.418695E-3	3.347458E-3	7.422787E-4
10/19/2017  17:25:21.176424	3.089602E-1	6.585793E-4	5.337528E-3	2.222763E-3	4.348022E-4	1.351267E-3	2.193888E-3	2.002391E-3
10/19/2017  17:25:21.177424	1.766105E-1	8.333875E-3	7.854226E-3	3.826604E-3	9.197948E-3	1.015467E-3	3.083128E-3	1.040365E-2
10/19/2017  17:25:21.178424	1.699338E-2	5.796986E-3	5.853287E-3	2.632962E-3	3.689112E-3	4.984233E-4	2.980983E-4	8.810509E-4
10/19/2017  17:25:21.179424	4.284576E-2	2.796615E-3	9.022009E-3	5.356687E-4	8.901769E-3	8.717479E-3	4.776520E-3	8.181727E-3
10/19/2017  17:25:21.180424	1.512060E-1	1.536371E-2	4.426377E-3	7.147424E-3	6.793509E-3	1.170951E-2	5.637757E-3	5.688819E-3
10/19/2017  17:25:21.181424	1.393022E-1	2.201201E-3	1.258997E-3	7.981933E-4	2.820715E-3	1.728004E-2	4.797789E-3	3.593245E-3
10/19/2017  17:25:21.182424	1.235366E-1	1.478161E-2	3.157131E-3	4.834306E-3	1.315126E-2	3.274166E-3	3.470786E-3	2.459938E-3
10/19/2017  17:25:21.183424	2.314079E-2	3.734026E-3	4.392750E-3	9.772192E-3	2.248577E-4	7.189093E-3	6.664047E-3	1.324827E-2
10/19/2017  17:25:21.184424	3.798284E-1	4.432532E-3	3.559466E-3	1.119635E-2	4.816426E-3	9.717386E-3	4.009850E-6	3.174711E-3
10/19/2017  17:25:21.185424	3.817793E-1	3.675070E-3	9.124360E-3	5.623353E-3	8.268167E-3	1.856024E-3	1.132410E-2	8.539993E-3
10/19/2017  17:25:21.186424	1.991471E-2	2.986442E-3	2.710876E-4	2.417977E-3	1.255234E-2	6.760004E-4	1.716502E-3	6.980760E-4
10/19/2017  17:25:21.187424	2.237088E-1	6.681560E-3	2.750449E-3	6.529882E-3	2.280243E-3	8.336711E-3	9.685808E-4	8.710866E-4
10/19/2017  17:25:21.188424	9.737094E-2	4.707649E-3	4.451744E-3	9.222526E-3	2.372892E-2	7.961916E-3	2.864046E-3	5.492344E-3
10/19/2017  17:25:21.189424	1.181121E-1	5.600216E-3	9.779604E-4	6.415339E-3	3.465337E-3	1.349445E-3	1.938238E-3	1.180200E-2
10/19/2017  17:25:21.190424	8.533694E-2	4.167428E-3	5.007539E-4	1.321871E-2	4.849914E-3	5.891149E-3	1.170676E-3	1.726096E-2
10/19/2017  17:25:21.191424	1.521256E-1	5.120040E-3	8.745881E-3	1.164956E-2	8.507855E-3	2.459860E-3	1.240073E-2	5.250020E-3
10/19/2017  17:25:21.192424	1.157726E-2	9.074161E-4	8.853783E-4	5.166996E-3	8.616870E-3	9.516037E-5	6.493264E-3	1.020560E-2
