Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790	10/19/2017  17:25:31.688790
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:25:31.763424	6.923072E-2	1.573716E-2	1.900811E-2	-1.016433E+1	2.732853E-2	1.437409E-2	6.697081E-2	2.910311E-2
10/19/2017  17:25:31.764424	6.923072E-2	2.082484E-2	8.827299E-3	-1.013887E+1	2.477858E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:25:31.765424	2.093276E-2	2.082484E-2	1.900811E-2	-1.014142E+1	2.222863E-2	1.691808E-2	8.731403E-2	3.164702E-2
10/19/2017  17:25:31.766424	3.138778E-3	8.105642E-3	1.646291E-2	-1.013632E+1	1.202884E-2	1.691808E-2	8.222822E-2	2.910311E-2
10/19/2017  17:25:31.767424	6.160473E-2	1.064948E-2	2.155331E-2	-1.012614E+1	1.712873E-2	1.183011E-2	7.714242E-2	4.182269E-2
10/19/2017  17:25:31.768424	1.149867E-1	8.105642E-3	2.664372E-2	-1.013378E+1	2.222863E-2	1.946206E-2	7.459952E-2	4.182269E-2
10/19/2017  17:25:31.769424	2.855876E-2	8.105642E-3	1.137250E-2	-1.013632E+1	2.732853E-2	1.946206E-2	6.697081E-2	3.164702E-2
10/19/2017  17:25:31.770424	-7.820515E-2	2.082484E-2	1.191689E-3	-1.013887E+1	2.222863E-2	3.218199E-2	7.205661E-2	2.910311E-2
10/19/2017  17:25:31.771424	2.601676E-2	2.845637E-2	2.155331E-2	-1.014651E+1	2.477858E-2	2.963800E-2	7.968532E-2	2.910311E-2
10/19/2017  17:25:31.772424	6.668872E-2	1.573716E-2	2.155331E-2	-1.013887E+1	1.712873E-2	1.437409E-2	8.477112E-2	3.927877E-2
10/19/2017  17:25:31.773424	7.177272E-2	1.319332E-2	1.646291E-2	-1.013378E+1	1.712873E-2	1.691808E-2	7.459952E-2	3.673486E-2
10/19/2017  17:25:31.774424	2.093276E-2	1.319332E-2	1.391770E-2	-1.013123E+1	2.477858E-2	3.726996E-2	7.714242E-2	3.164702E-2
10/19/2017  17:25:31.775424	1.048187E-1	3.100021E-2	1.137250E-2	-1.013632E+1	3.752832E-2	2.455003E-2	7.459952E-2	3.673486E-2
10/19/2017  17:25:31.776424	8.702470E-2	1.828100E-2	1.646291E-2	-1.014651E+1	1.967868E-2	2.709402E-2	7.459952E-2	2.401527E-2
10/19/2017  17:25:31.777424	7.431471E-2	1.064948E-2	2.155331E-2	-1.014651E+1	1.457878E-2	1.946206E-2	8.222822E-2	3.164702E-2
10/19/2017  17:25:31.778424	2.093276E-2	8.105642E-3	2.664372E-2	-1.013887E+1	1.457878E-2	1.437409E-2	8.477112E-2	4.182269E-2
10/19/2017  17:25:31.779424	-6.803716E-2	8.105642E-3	1.646291E-2	-1.012614E+1	1.457878E-2	1.183011E-2	7.714242E-2	3.419094E-2
10/19/2017  17:25:31.780424	-1.722591E-1	1.573716E-2	1.137250E-2	-1.013632E+1	2.987847E-2	1.946206E-2	7.205661E-2	3.164702E-2
