Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:27:33.858926	1.147174E-1	2.398377E-3	1.070733E-3	2.444107E-3	7.053279E-3	7.326844E-4	6.120102E-3	3.476585E-4
10/19/2017  17:27:33.859926	2.129357E-1	2.143748E-3	9.647368E-4	5.408438E-3	5.688705E-3	1.273782E-3	4.246978E-3	3.926201E-5
10/19/2017  17:27:33.860926	6.574604E-2	3.359158E-3	3.440489E-3	4.397742E-3	1.614846E-3	3.848260E-3	9.351042E-3	1.806344E-3
10/19/2017  17:27:33.861926	1.412224E-1	5.047588E-3	2.092924E-3	5.126604E-3	1.006694E-2	7.386908E-3	1.770679E-3	9.485718E-3
10/19/2017  17:27:33.862926	3.947383E-1	8.211403E-3	1.189289E-3	3.422351E-3	7.078755E-4	1.193800E-3	4.832432E-4	4.916488E-3
10/19/2017  17:27:33.863926	5.447868E-2	2.846258E-3	3.558711E-3	2.994481E-3	1.758047E-3	3.465539E-3	2.695264E-3	3.223262E-5
10/19/2017  17:27:33.864926	1.644579E-1	2.063686E-3	7.313751E-3	2.419312E-2	1.311043E-3	4.148514E-3	4.929530E-3	5.222978E-3
10/19/2017  17:27:33.865926	1.217719E-1	1.417213E-3	1.085721E-3	7.036510E-3	3.381542E-3	2.980163E-3	1.059133E-4	1.064032E-2
10/19/2017  17:27:33.866926	2.690100E-1	7.741899E-3	5.892309E-3	1.845255E-2	9.144142E-5	4.472174E-3	4.950405E-3	2.251442E-3
10/19/2017  17:27:33.867926	5.596942E-1	3.168248E-3	2.014465E-3	2.255111E-3	2.312888E-3	1.165504E-3	1.926966E-3	7.214380E-3
10/19/2017  17:27:33.868926	3.577899E-1	2.474287E-3	3.039913E-3	4.508743E-3	3.613136E-4	5.609237E-3	6.156475E-3	8.382284E-3
10/19/2017  17:27:33.869926	3.865800E-1	1.294814E-2	2.089904E-3	1.030976E-2	4.408178E-3	2.745713E-3	2.449516E-3	1.320740E-2
10/19/2017  17:27:33.870926	4.274581E-1	1.672104E-3	9.437764E-3	3.251311E-3	3.736055E-3	2.190182E-3	1.809369E-3	9.603942E-3
10/19/2017  17:27:33.871926	4.009067E-2	7.810352E-3	4.338039E-3	2.339032E-3	7.304691E-3	3.869844E-3	3.077630E-3	4.543145E-5
10/19/2017  17:27:33.872926	4.154066E-1	7.539205E-3	2.587832E-3	6.002849E-4	5.228743E-3	5.882209E-3	2.166476E-3	6.911255E-3
10/19/2017  17:27:33.873926	4.194163E-1	2.630787E-3	3.166471E-3	4.869024E-3	8.431507E-4	8.301763E-3	7.292673E-4	3.030634E-3
10/19/2017  17:27:33.874926	3.785225E-1	3.217431E-3	2.901915E-3	9.128433E-4	8.692587E-4	9.817677E-4	7.080170E-3	2.299906E-3
10/19/2017  17:27:33.875926	3.498048E-3	7.392368E-3	2.624031E-3	1.447991E-3	9.520408E-3	1.087830E-2	6.977544E-3	4.558211E-4
10/19/2017  17:27:33.876926	2.010223E-1	3.986259E-3	4.497911E-3	3.081195E-3	2.325326E-3	2.617692E-3	4.357348E-3	4.544799E-3
10/19/2017  17:27:33.877926	5.558515E-3	7.891419E-3	1.341055E-3	4.534885E-3	2.992770E-3	5.088473E-3	6.456968E-3	9.392525E-3
10/19/2017  17:27:33.878926	2.143897E-1	1.685635E-2	9.864291E-4	3.144510E-3	2.246046E-4	6.114921E-3	3.255486E-3	5.793320E-4
10/19/2017  17:27:33.879926	4.863559E-1	1.219946E-3	6.930259E-3	2.044599E-3	9.064782E-3	8.736530E-3	7.354238E-3	9.993752E-3
10/19/2017  17:27:33.880926	7.141927E-1	7.355896E-3	4.248740E-3	9.784174E-3	4.200304E-3	2.757307E-3	7.869494E-3	3.446448E-3
10/19/2017  17:27:33.881926	3.345560E-1	8.459564E-3	3.492805E-3	6.737004E-3	6.009773E-3	8.791038E-3	1.434110E-3	2.949814E-3
10/19/2017  17:27:33.882926	6.095978E-1	6.575381E-3	7.119921E-3	7.571741E-3	1.743309E-2	6.276282E-3	1.099474E-3	6.819855E-3
10/19/2017  17:27:33.883926	3.131360E-1	1.519692E-3	9.392655E-3	7.845611E-3	5.354220E-3	1.514394E-4	7.181477E-3	1.473732E-3
