Parameters: 	Upper Cutoff:  500	Lower Cutoff: 20	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196	10/19/2017  17:27:25.798196
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:27:25.773926	2.141246E-1	5.561801E-3	1.900811E-2	-1.012105E+1	2.222863E-2	1.946206E-2	7.968532E-2	2.910311E-2
10/19/2017  17:27:25.774926	-2.482320E-2	1.064948E-2	6.282096E-3	-1.013632E+1	2.477858E-2	1.946206E-2	6.951371E-2	1.892744E-2
10/19/2017  17:27:25.775926	-1.211321E-2	1.319332E-2	1.646291E-2	-1.015415E+1	2.987847E-2	1.946206E-2	6.188501E-2	2.655919E-2
10/19/2017  17:27:25.776926	1.607426E-1	1.828100E-2	2.918892E-2	-1.013887E+1	1.967868E-2	3.218199E-2	7.714242E-2	1.892744E-2
10/19/2017  17:27:25.777926	-2.990719E-2	1.064948E-2	1.900811E-2	-1.013887E+1	2.222863E-2	2.709402E-2	8.985693E-2	3.164702E-2
10/19/2017  17:27:25.778926	-3.908709E-1	1.573716E-2	1.646291E-2	-1.012869E+1	1.712873E-2	1.437409E-2	7.459952E-2	2.910311E-2
10/19/2017  17:27:25.779926	-4.261718E-2	1.064948E-2	1.646291E-2	-1.013123E+1	2.732853E-2	1.437409E-2	6.951371E-2	3.927877E-2
10/19/2017  17:27:25.780926	1.144496E+0	1.573716E-2	2.918892E-2	-1.013632E+1	3.497837E-2	2.963800E-2	6.697081E-2	3.419094E-2
10/19/2017  17:27:25.781926	9.465070E-2	2.082484E-2	1.900811E-2	-1.013378E+1	1.712873E-2	1.946206E-2	7.205661E-2	2.401527E-2
10/19/2017  17:27:25.782926	-7.569185E-1	2.082484E-2	1.391770E-2	-1.013887E+1	1.457878E-2	2.455003E-2	7.205661E-2	3.164702E-2
10/19/2017  17:27:25.783926	-9.551944E-1	1.828100E-2	2.409852E-2	-1.013887E+1	1.457878E-2	2.200605E-2	8.222822E-2	2.910311E-2
10/19/2017  17:27:25.784926	1.632846E-1	1.064948E-2	2.664372E-2	-1.013378E+1	1.712873E-2	4.198150E-3	7.968532E-2	3.419094E-2
10/19/2017  17:27:25.785926	2.766290E+0	-7.157401E-3	1.900811E-2	-1.012614E+1	1.457878E-2	1.437409E-2	6.442791E-2	3.673486E-2
10/19/2017  17:27:25.786926	2.489213E+0	1.319332E-2	1.137250E-2	-1.013378E+1	2.732853E-2	2.963800E-2	6.697081E-2	2.910311E-2
10/19/2017  17:27:25.787926	-1.524602E+0	2.336868E-2	1.391770E-2	-1.013887E+1	1.967868E-2	1.946206E-2	6.951371E-2	2.401527E-2
10/19/2017  17:27:25.788926	-2.116887E+0	1.828100E-2	1.646291E-2	-1.014905E+1	2.222863E-2	2.455003E-2	7.205661E-2	2.910311E-2
10/19/2017  17:27:25.789926	-5.281387E-1	3.017961E-3	1.391770E-2	-1.014651E+1	1.457878E-2	1.946206E-2	7.205661E-2	3.164702E-2
