Parameters: 	Upper Cutoff: : 500	Lower Cutoff: : 20	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)100	MVC Window Size (s): 100	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944	10/19/2017  17:27:33.763944
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:27:33.858926	-8.074715E-2	1.319332E-2	2.155331E-2	-1.014142E+1	1.712873E-2	1.946206E-2	8.222822E-2	3.164702E-2
10/19/2017  17:27:33.859926	2.776745E-1	8.105642E-3	2.155331E-2	-1.013378E+1	2.987847E-2	1.691808E-2	7.205661E-2	3.164702E-2
10/19/2017  17:27:33.860926	1.988726E-1	1.319332E-2	1.646291E-2	-1.013378E+1	2.732853E-2	2.200605E-2	6.442791E-2	2.910311E-2
10/19/2017  17:27:33.861926	8.222774E-3	1.573716E-2	1.646291E-2	-1.014396E+1	1.457878E-2	2.709402E-2	6.951371E-2	1.892744E-2
10/19/2017  17:27:33.862926	6.208442E-1	2.082484E-2	1.900811E-2	-1.013632E+1	2.222863E-2	1.946206E-2	6.951371E-2	3.164702E-2
10/19/2017  17:27:33.863926	2.751325E-1	1.064948E-2	2.155331E-2	-1.013632E+1	2.477858E-2	2.455003E-2	7.205661E-2	2.655919E-2
10/19/2017  17:27:33.864926	1.836206E-1	1.064948E-2	2.664372E-2	-1.011086E+1	2.477858E-2	1.691808E-2	7.459952E-2	3.164702E-2
10/19/2017  17:27:33.865926	5.191643E-1	1.064948E-2	1.900811E-2	-1.013887E+1	1.967868E-2	1.691808E-2	6.951371E-2	1.383961E-2
10/19/2017  17:27:33.866926	1.632846E-1	2.082484E-2	2.664372E-2	-1.015415E+1	2.222863E-2	2.455003E-2	7.459952E-2	2.401527E-2
10/19/2017  17:27:33.867926	-2.129310E-1	1.828100E-2	2.409852E-2	-1.013632E+1	2.477858E-2	1.946206E-2	7.205661E-2	2.910311E-2
10/19/2017  17:27:33.868926	-1.315871E-1	1.319332E-2	1.900811E-2	-1.014396E+1	2.222863E-2	2.709402E-2	7.714242E-2	3.164702E-2
10/19/2017  17:27:33.869926	-2.739390E-1	4.741205E-4	2.409852E-2	-1.012869E+1	1.712873E-2	1.946206E-2	7.459952E-2	3.927877E-2
10/19/2017  17:27:33.870926	-4.620468E-1	1.319332E-2	1.137250E-2	-1.013378E+1	2.477858E-2	1.946206E-2	7.459952E-2	3.927877E-2
10/19/2017  17:27:33.871926	-9.091514E-2	2.082484E-2	1.391770E-2	-1.013378E+1	2.987847E-2	1.691808E-2	6.951371E-2	3.164702E-2
10/19/2017  17:27:33.872926	3.234305E-1	2.336868E-2	1.391770E-2	-1.013632E+1	2.987847E-2	2.709402E-2	6.951371E-2	2.401527E-2
10/19/2017  17:27:33.873926	4.429044E-1	2.082484E-2	1.900811E-2	-1.014142E+1	2.477858E-2	3.218199E-2	7.205661E-2	2.655919E-2
10/19/2017  17:27:33.874926	5.318743E-1	2.336868E-2	1.900811E-2	-1.013632E+1	2.477858E-2	2.709402E-2	7.968532E-2	2.655919E-2
10/19/2017  17:27:33.875926	2.344606E-1	1.319332E-2	1.900811E-2	-1.013887E+1	1.457878E-2	1.437409E-2	8.222822E-2	2.910311E-2
10/19/2017  17:27:33.876926	1.584877E-2	1.573716E-2	2.155331E-2	-1.014142E+1	1.967868E-2	2.709402E-2	8.222822E-2	3.419094E-2
10/19/2017  17:27:33.877926	1.912466E-1	1.064948E-2	1.900811E-2	-1.013378E+1	2.477858E-2	1.946206E-2	7.205661E-2	4.182269E-2
10/19/2017  17:27:33.878926	-4.515918E-2	-2.069720E-3	1.646291E-2	-1.014142E+1	2.222863E-2	1.691808E-2	7.459952E-2	3.419094E-2
10/19/2017  17:27:33.879926	-4.366268E-1	1.319332E-2	8.827299E-3	-1.014142E+1	3.242842E-2	1.183011E-2	6.951371E-2	2.401527E-2
10/19/2017  17:27:33.880926	-8.941864E-1	3.017961E-3	1.900811E-2	-1.015160E+1	2.987847E-2	2.200605E-2	6.697081E-2	2.910311E-2
10/19/2017  17:27:33.881926	3.364275E-2	1.828100E-2	1.900811E-2	-1.013632E+1	1.967868E-2	2.963800E-2	7.205661E-2	2.910311E-2
10/19/2017  17:27:33.882926	4.073164E-1	1.828100E-2	2.409852E-2	-1.013378E+1	4.378993E-3	2.963800E-2	7.459952E-2	2.401527E-2
10/19/2017  17:27:33.883926	2.268346E-1	1.064948E-2	2.918892E-2	-1.013123E+1	1.202884E-2	2.455003E-2	8.222822E-2	3.164702E-2
