waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221	9/7/2017  18:09:26.453221
delta t	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
9/7/2017  18:09:26.427277	2.066272E-2	1.283077E-2	2.050890E-2	1.514966E-1	2.063217E-2	2.076999E-2	2.063620E-2	2.053520E-2
9/7/2017  18:09:26.427777	1.351249E-1	8.391131E-2	1.344947E-1	9.920258E-1	1.349998E-1	1.359781E-1	1.352151E-1	1.345537E-1
9/7/2017  18:09:26.428277	4.071539E-1	2.526834E-1	4.062828E-1	2.992576E+0	4.069664E-1	4.099585E-1	4.080185E-1	4.062871E-1
9/7/2017  18:09:26.428777	7.621883E-1	4.724246E-1	7.618563E-1	5.606221E+0	7.620854E-1	7.672748E-1	7.642732E-1	7.619618E-1
9/7/2017  18:09:26.429277	1.008941E+0	6.243706E-1	1.008925E+0	7.422190E+0	1.008871E+0	1.014598E+0	1.011388E+0	1.009640E+0
9/7/2017  18:09:26.429777	1.013868E+0	6.265291E-1	1.013104E+0	7.455209E+0	1.013339E+0	1.017853E+0	1.015584E+0	1.014327E+0
9/7/2017  18:09:26.430277	8.032037E-1	4.958538E-1	8.016771E-1	5.901951E+0	8.017146E-1	8.049168E-1	8.042895E-1	8.023672E-1
9/7/2017  18:09:26.430777	5.105354E-1	3.148952E-1	5.089164E-1	3.748588E+0	5.084346E-1	5.109838E-1	5.112913E-1	5.084728E-1
9/7/2017  18:09:26.431277	2.635016E-1	1.624009E-1	2.619984E-1	1.934176E+0	2.620930E-1	2.639000E-1	2.638102E-1	2.611008E-1
9/7/2017  18:09:26.431777	1.124381E-1	6.937001E-2	1.113702E-1	8.291688E-1	1.128567E-1	1.131793E-1	1.127101E-1	1.111833E-1
9/7/2017  18:09:26.432277	3.431864E-2	2.110252E-2	3.393016E-2	2.615011E-1	3.641504E-2	3.495105E-2	3.487758E-2	3.514527E-2
9/7/2017  18:09:26.432777	2.069543E-2	1.343556E-2	2.098170E-2	1.403239E-1	1.811511E-2	2.070198E-2	2.062964E-2	1.838204E-2
9/7/2017  18:09:26.433277	8.724210E-2	5.542179E-2	8.795446E-2	6.315297E-1	8.511531E-2	8.815753E-2	8.837727E-2	8.438346E-2
9/7/2017  18:09:26.433777	1.700387E-1	1.075787E-1	1.712371E-1	1.245379E+0	1.684785E-1	1.722443E-1	1.720457E-1	1.671942E-1
9/7/2017  18:09:26.434277	2.542554E-1	1.602331E-1	2.559024E-1	1.871693E+0	2.532591E-1	2.578466E-1	2.562630E-1	2.521195E-1
9/7/2017  18:09:26.434777	3.244766E-1	2.030316E-1	3.257330E-1	2.391886E+0	3.242310E-1	3.284859E-1	3.255385E-1	3.232409E-1
9/7/2017  18:09:26.435277	3.751063E-1	2.325259E-1	3.745641E-1	2.761184E+0	3.754421E-1	3.782045E-1	3.750855E-1	3.742578E-1
9/7/2017  18:09:26.435777	4.095223E-1	2.516005E-1	4.066326E-1	3.008256E+0	4.098813E-1	4.110781E-1	4.094072E-1	4.089398E-1
9/7/2017  18:09:26.436277	4.348618E-1	2.651580E-1	4.297954E-1	3.188611E+0	4.347940E-1	4.348706E-1	4.350051E-1	4.343899E-1
9/7/2017  18:09:26.436777	4.564380E-1	2.767819E-1	4.498115E-1	3.340984E+0	4.557300E-1	4.553229E-1	4.558973E-1	4.552781E-1
9/7/2017  18:09:26.437277	4.748128E-1	2.873020E-1	4.684351E-1	3.472591E+0	4.734661E-1	4.733156E-1	4.730239E-1	4.729328E-1
9/7/2017  18:09:26.437777	4.875781E-1	2.956201E-1	4.838554E-1	3.570839E+0	4.859467E-1	4.865482E-1	4.852110E-1	4.862597E-1
9/7/2017  18:09:26.438277	4.928261E-1	3.007654E-1	4.931002E-1	3.622811E+0	4.914923E-1	4.932600E-1	4.913828E-1	4.933059E-1
9/7/2017  18:09:26.438777	4.910311E-1	3.025058E-1	4.946458E-1	3.625945E+0	4.904292E-1	4.934236E-1	4.918009E-1	4.935515E-1
9/7/2017  18:09:26.439277	4.845175E-1	3.008077E-1	4.891279E-1	3.587116E+0	4.848036E-1	4.880276E-1	4.870800E-1	4.881536E-1
9/7/2017  18:09:26.439777	4.750483E-1	2.960568E-1	4.785011E-1	3.516533E+0	4.762509E-1	4.785311E-1	4.777950E-1	4.783060E-1
9/7/2017  18:09:26.440277	4.627305E-1	2.890472E-1	4.645412E-1	3.421826E+0	4.647873E-1	4.659501E-1	4.650297E-1	4.648977E-1
9/7/2017  18:09:26.440777	4.474330E-1	2.800756E-1	4.478763E-1	3.305955E+0	4.500593E-1	4.503628E-1	4.497509E-1	4.487710E-1
9/7/2017  18:09:26.441277	4.294186E-1	2.689443E-1	4.286458E-1	3.169661E+0	4.321361E-1	4.317901E-1	4.320098E-1	4.301473E-1
9/7/2017  18:09:26.441777	4.088219E-1	2.557563E-1	4.071498E-1	3.013971E+0	4.110843E-1	4.104994E-1	4.113313E-1	4.089447E-1
9/7/2017  18:09:26.442277	3.859814E-1	2.409614E-1	3.834597E-1	2.840878E+0	3.871537E-1	3.867606E-1	3.875059E-1	3.855552E-1
9/7/2017  18:09:26.442777	3.613581E-1	2.251516E-1	3.578212E-1	2.653817E+0	3.608905E-1	3.614388E-1	3.612131E-1	3.604008E-1
9/7/2017  18:09:26.443277	3.348812E-1	2.087217E-1	3.310801E-1	2.456631E+0	3.329021E-1	3.355520E-1	3.336013E-1	3.337677E-1
9/7/2017  18:09:26.443777	3.065830E-1	1.912561E-1	3.036204E-1	2.251770E+0	3.039976E-1	3.089398E-1	3.050772E-1	3.059662E-1
9/7/2017  18:09:26.444277	2.772363E-1	1.723217E-1	2.751484E-1	2.040558E+0	2.746230E-1	2.807134E-1	2.757053E-1	2.768891E-1
9/7/2017  18:09:26.444777	2.476555E-1	1.525952E-1	2.458750E-1	1.824248E+0	2.445579E-1	2.505055E-1	2.464319E-1	2.467622E-1
9/7/2017  18:09:26.445277	2.181835E-1	1.330850E-1	2.165459E-1	1.604486E+0	2.142183E-1	2.189772E-1	2.181541E-1	2.167710E-1
9/7/2017  18:09:26.445777	1.888123E-1	1.141724E-1	1.876198E-1	1.383511E+0	1.848279E-1	1.877675E-1	1.903191E-1	1.874418E-1
9/7/2017  18:09:26.446277	1.591850E-1	9.553439E-2	1.591936E-1	1.163233E+0	1.567249E-1	1.582311E-1	1.618694E-1	1.581101E-1
9/7/2017  18:09:26.446777	1.290692E-1	7.665426E-2	1.309214E-1	9.444062E-1	1.290935E-1	1.300371E-1	1.324437E-1	1.284797E-1
9/7/2017  18:09:26.447277	9.906879E-2	5.816941E-2	1.020845E-1	7.278073E-1	1.012907E-1	1.018998E-1	1.022544E-1	9.894935E-2
9/7/2017  18:09:26.447777	7.002183E-2	4.152393E-2	7.284786E-2	5.153088E-1	7.332560E-2	7.318748E-2	7.215002E-2	7.008697E-2
9/7/2017  18:09:26.448277	4.220339E-2	2.652056E-2	4.450871E-2	3.089888E-1	4.570339E-2	4.416683E-2	4.320507E-2	4.265651E-2
9/7/2017  18:09:26.448777	1.574806E-2	1.131109E-2	1.775780E-2	1.100525E-1	1.918393E-2	1.556068E-2	1.556659E-2	1.679950E-2
9/7/2017  18:09:26.449277	9.391853E-3	5.077460E-3	7.879989E-3	8.099583E-2	6.142026E-3	1.177623E-2	1.109555E-2	8.387409E-3
9/7/2017  18:09:26.449777	3.395593E-2	2.183895E-2	3.296208E-2	2.638376E-1	3.108292E-2	3.744953E-2	3.651816E-2	3.338105E-2
9/7/2017  18:09:26.450277	5.844163E-2	3.727096E-2	5.766906E-2	4.380165E-1	5.587563E-2	6.145148E-2	6.048249E-2	5.785766E-2
9/7/2017  18:09:26.450777	8.224823E-2	4.998886E-2	8.169600E-2	6.027754E-1	7.966008E-2	8.356031E-2	8.317481E-2	8.156955E-2
9/7/2017  18:09:26.451277	1.047078E-1	6.032342E-2	1.040375E-1	7.576971E-1	1.019956E-1	1.039511E-1	1.042789E-1	1.037827E-1
9/7/2017  18:09:26.451777	1.256662E-1	7.028575E-2	1.237306E-1	9.031635E-1	1.231810E-1	1.235021E-1	1.233987E-1	1.232781E-1
9/7/2017  18:09:26.452277	1.447487E-1	8.142779E-2	1.408594E-1	1.039233E+0	1.430130E-1	1.424377E-1	1.410677E-1	1.401285E-1
9/7/2017  18:09:26.452777	1.614166E-1	9.360689E-2	1.563354E-1	1.164972E+0	1.607833E-1	1.599027E-1	1.579837E-1	1.558665E-1
9/7/2017  18:09:26.453277	1.755152E-1	1.060217E-1	1.710809E-1	1.279578E+0	1.760814E-1	1.751415E-1	1.741413E-1	1.717048E-1
9/7/2017  18:09:26.453777	1.875280E-1	1.178038E-1	1.855310E-1	1.383167E+0	1.890260E-1	1.881617E-1	1.890417E-1	1.875019E-1
9/7/2017  18:09:26.454277	1.987370E-1	1.277158E-1	1.993947E-1	1.476338E+0	2.002579E-1	1.996119E-1	2.019505E-1	2.018684E-1
9/7/2017  18:09:26.454777	2.102980E-1	1.348958E-1	2.119667E-1	1.559505E+0	2.105388E-1	2.103843E-1	2.125060E-1	2.134010E-1
9/7/2017  18:09:26.455277	2.219045E-1	1.396409E-1	2.226521E-1	1.632356E+0	2.201645E-1	2.208563E-1	2.212627E-1	2.223800E-1
9/7/2017  18:09:26.455777	2.321487E-1	1.430957E-1	2.310781E-1	1.694025E+0	2.290129E-1	2.306309E-1	2.289958E-1	2.301010E-1
9/7/2017  18:09:26.456277	2.398496E-1	1.465902E-1	2.375456E-1	1.744247E+0	2.367124E-1	2.391920E-1	2.361408E-1	2.367962E-1
9/7/2017  18:09:26.456777	2.447467E-1	1.504753E-1	2.431097E-1	1.783624E+0	2.427671E-1	2.460615E-1	2.427777E-1	2.420225E-1
9/7/2017  18:09:26.457277	2.476019E-1	1.535901E-1	2.479892E-1	1.812651E+0	2.471111E-1	2.505188E-1	2.481507E-1	2.459067E-1
9/7/2017  18:09:26.457777	2.494008E-1	1.550247E-1	2.511894E-1	1.831999E+0	2.500616E-1	2.524689E-1	2.513039E-1	2.485084E-1
9/7/2017  18:09:26.458277	2.502568E-1	1.552551E-1	2.526113E-1	1.843062E+0	2.516161E-1	2.529535E-1	2.524920E-1	2.495798E-1
9/7/2017  18:09:26.458777	2.500793E-1	1.547932E-1	2.532550E-1	1.846542E+0	2.515281E-1	2.529132E-1	2.526097E-1	2.493492E-1
9/7/2017  18:09:26.459277	2.494215E-1	1.537448E-1	2.532282E-1	1.841758E+0	2.497719E-1	2.524220E-1	2.519287E-1	2.482511E-1
9/7/2017  18:09:26.459777	2.482275E-1	1.524337E-1	2.516985E-1	1.827939E+0	2.466455E-1	2.508240E-1	2.502531E-1	2.464261E-1
9/7/2017  18:09:26.460277	2.454105E-1	1.508202E-1	2.480789E-1	1.804942E+0	2.428978E-1	2.471770E-1	2.473038E-1	2.439289E-1
								
9/7/2017  18:09:26.465520	2.062503E-2	1.267990E-2	2.054664E-2	1.514211E-1	2.063217E-2	2.069455E-2	2.063620E-2	2.061064E-2
9/7/2017  18:09:26.466020	1.351042E-1	8.318734E-2	1.345532E-1	9.916824E-1	1.351133E-1	1.355595E-1	1.351397E-1	1.348591E-1
9/7/2017  18:09:26.466520	4.075509E-1	2.514316E-1	4.060569E-1	2.992036E+0	4.074823E-1	4.090375E-1	4.077132E-1	4.065803E-1
9/7/2017  18:09:26.467020	7.631904E-1	4.717543E-1	7.611421E-1	5.606087E+0	7.629164E-1	7.662404E-1	7.638294E-1	7.614638E-1
9/7/2017  18:09:26.467520	1.009713E+0	6.249996E-1	1.008154E+0	7.422876E+0	1.009121E+0	1.013927E+0	1.011049E+0	1.008186E+0
9/7/2017  18:09:26.468020	1.013309E+0	6.275625E-1	1.012703E+0	7.456326E+0	1.012243E+0	1.017489E+0	1.015084E+0	1.013083E+0
9/7/2017  18:09:26.468520	8.012501E-1	4.962366E-1	8.016892E-1	5.902962E+0	7.996885E-1	8.044564E-1	8.032527E-1	8.027460E-1
9/7/2017  18:09:26.469020	5.081490E-1	3.148297E-1	5.097961E-1	3.749516E+0	5.066203E-1	5.100923E-1	5.102668E-1	5.106321E-1
9/7/2017  18:09:26.469520	2.621121E-1	1.627845E-1	2.642232E-1	1.935521E+0	2.614211E-1	2.630551E-1	2.638595E-1	2.635160E-1
9/7/2017  18:09:26.470020	1.134110E-1	7.081682E-2	1.140714E-1	8.315017E-1	1.138412E-1	1.138702E-1	1.141937E-1	1.120029E-1
9/7/2017  18:09:26.470520	3.785761E-2	2.355034E-2	3.548538E-2	2.645397E-1	3.910256E-2	3.791126E-2	3.733262E-2	3.403539E-2
9/7/2017  18:09:26.471020	1.608881E-2	1.045191E-2	2.091174E-2	1.380887E-1	1.451011E-2	1.655866E-2	1.757100E-2	2.046343E-2
