waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672	9/7/2017  18:09:33.348672
delta t	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
9/7/2017  18:09:33.382824	1.383444E+0	8.577484E-1	1.390873E+0	-1.021525E+1	1.381351E+0	1.395758E+0	1.391823E+0	1.385011E+0
9/7/2017  18:09:33.383324	1.388528E+0	8.501168E-1	1.388327E+0	-1.021270E+1	1.386451E+0	1.388126E+0	1.389280E+0	1.392642E+0
9/7/2017  18:09:33.383824	1.391070E+0	8.653799E-1	1.383237E+0	-1.021779E+1	1.394101E+0	1.398302E+0	1.384194E+0	1.382467E+0
9/7/2017  18:09:33.384324	1.388528E+0	8.628360E-1	1.393418E+0	-1.021015E+1	1.383901E+0	1.390670E+0	1.396909E+0	1.385011E+0
9/7/2017  18:09:33.384824	1.385986E+0	8.526607E-1	1.390873E+0	-1.021015E+1	1.391551E+0	1.388126E+0	1.389280E+0	1.395186E+0
9/7/2017  18:09:33.385324	1.388528E+0	8.552045E-1	1.385782E+0	-1.021525E+1	1.389001E+0	1.393214E+0	1.394366E+0	1.382467E+0
9/7/2017  18:09:33.385824	1.383444E+0	8.602922E-1	1.393418E+0	-1.021015E+1	1.381351E+0	1.393214E+0	1.396909E+0	1.387555E+0
9/7/2017  18:09:33.386324	1.388528E+0	8.501168E-1	1.378147E+0	-1.021015E+1	1.391551E+0	1.385582E+0	1.391823E+0	1.392642E+0
9/7/2017  18:09:33.386824	1.385986E+0	8.577484E-1	1.390873E+0	-1.021779E+1	1.391551E+0	1.393214E+0	1.394366E+0	1.382467E+0
9/7/2017  18:09:33.387324	1.380902E+0	8.602922E-1	1.390873E+0	-1.021779E+1	1.386451E+0	1.393214E+0	1.394366E+0	1.387555E+0
9/7/2017  18:09:33.387824	1.385986E+0	8.526607E-1	1.380692E+0	-1.020252E+1	1.386451E+0	1.388126E+0	1.389280E+0	1.392642E+0
9/7/2017  18:09:33.388324	1.388528E+0	8.552045E-1	1.385782E+0	-1.021015E+1	1.391551E+0	1.395758E+0	1.394366E+0	1.382467E+0
9/7/2017  18:09:33.388824	1.383444E+0	8.577484E-1	1.390873E+0	-1.021525E+1	1.383901E+0	1.393214E+0	1.399452E+0	1.387555E+0
