Time (s), Percentage Displayed
0.006025, 9.166951
0.039156, 9.041674
0.072278, 8.661989
0.105346, 8.187065
0.139466, 8.036901
0.172556, 7.697199
0.205641, 7.450977
0.239732, 7.450977
0.271791, 7.351686
0.304917, 7.238055
0.337965, 7.428635
0.371079, 7.483666
0.404140, 7.594335
0.437256, 7.527473
0.470317, 7.643145
0.504435, 7.560755
0.537521, 7.680438
0.570583, 7.840694
0.603671, 7.951839
0.635784, 8.185854
0.668872, 8.992833
0.701959, 9.267071
0.735049, 9.461552
0.769140, 9.659147
0.802198, 9.870816
0.835314, 10.138856
0.868374, 10.169180
0.901491, 10.699660
0.934577, 11.035465
0.967667, 11.397625
1.000754, 11.606460
1.032838, 11.596598
1.065938, 11.749788
1.098988, 11.737904
1.132104, 11.558903
1.165191, 10.659137
1.198253, 10.356479
1.231367, 10.279827
1.264456, 10.124464
1.297516, 9.982323
1.330608, 9.903496
1.363693, 10.368173
1.396807, 10.060176
1.429869, 9.829623
1.462988, 9.340119
1.496046, 9.384142
1.529166, 9.310987
1.562221, 9.059107
1.596336, 8.912216
1.629430, 8.978003
1.662487, 9.085163
1.695576, 9.100223
1.728662, 8.993877
1.761760, 8.995188
1.794840, 9.039891
1.827929, 9.009451
1.861041, 8.782984
1.894102, 8.498808
1.927221, 8.654487
1.960278, 9.076486
1.993368, 9.169256
2.027484, 9.275082
2.060573, 9.715096
2.093660, 10.212419
2.126758, 10.212419
2.158837, 10.233410
2.191893, 10.301492
2.224981, 10.758628
2.258110, 10.965033
2.292191, 11.055310
2.325276, 11.242087
2.358368, 10.949023
2.391424, 10.909948
2.424538, 11.163973
2.457602, 11.407866
2.490714, 11.122723
2.522805, 10.884527
2.555904, 11.310590
2.588949, 11.342105
2.622037, 11.426042
2.656128, 11.712791
2.689248, 11.998863
2.722333, 11.703074
2.756427, 11.700725
2.789484, 12.090943
2.822573, 12.323084
2.855677, 12.461241
2.888764, 12.245326
2.920863, 12.366425
2.953951, 12.366425
2.987008, 12.571516
3.020096, 12.451818
3.053216, 12.066583
3.087306, 11.917438
3.120395, 11.788310
3.153476, 11.488914
3.187541, 11.286652
3.221632, 11.251950
3.254718, 10.672413
3.286804, 10.774837
3.319892, 10.578368
3.352980, 10.380192
3.386094, 10.367920
3.419183, 9.987038
3.453273, 9.428205
3.486367, 9.271742
3.519422, 9.204648
3.552515, 8.955321
3.586633, 8.572599
3.619730, 8.338154
3.651808, 8.188934
3.684864, 8.161420
3.717982, 8.152517
3.752069, 7.938404
3.785163, 7.924903
3.819251, 7.911713
3.852339, 8.077376
3.885423, 8.130243
3.919487, 8.175973
3.952608, 8.288766
3.985689, 8.747704
4.018750, 8.879445
4.050862, 9.213840
4.084926, 9.467925
4.118013, 9.793834
4.151102, 10.118286
4.185219, 10.353136
4.218313, 10.635219
4.252398, 11.069680
4.285485, 11.372452
4.318560, 11.339458
4.351636, 11.206910
4.384723, 11.271181
4.416836, 11.416711
4.449922, 11.488658
4.483016, 11.600528
4.516103, 11.505292
4.549198, 11.440696
4.582289, 11.644939
4.615377, 11.183467
4.648465, 11.078351
4.681540, 11.291377
4.714602, 11.280756
4.747689, 11.279631
4.779775, 11.353365
4.813890, 11.863188
4.846984, 11.555068
4.880068, 11.447348
4.913127, 11.219679
4.946259, 11.221047
4.980349, 10.992740
5.013396, 10.663413
5.046523, 10.697481
5.079611, 10.658061
5.112700, 10.686244
5.144794, 10.510294
5.177864, 10.014248
5.210961, 9.788265
5.244049, 9.652964
5.277136, 9.652753
5.310225, 9.383582
5.343311, 9.479853
5.376400, 9.435799
5.409491, 9.632123
5.442577, 9.338273
5.475641, 9.668515
5.508752, 9.795502
5.540840, 9.666658
5.573927, 9.458996
5.607014, 9.415046
5.641064, 9.540499
5.674152, 9.950450
5.707240, 9.942362
5.740328, 9.468806
5.773423, 9.185954
5.806536, 8.938713
5.839619, 8.795433
5.873724, 8.686473
5.906805, 8.443551
5.939905, 8.530884
5.973989, 8.399352
6.007037, 8.472374
6.040165, 8.534537
6.074256, 8.843674
6.107345, 8.912234
6.141437, 8.920290
6.174522, 8.928512
6.207613, 9.281718
6.241661, 9.524396
6.275752, 9.849755
6.307878, 10.117792
6.340965, 10.665180
6.374053, 11.028054
6.408102, 11.515763
6.442193, 11.650786
6.476283, 11.708804
6.509371, 11.567254
6.542487, 11.524061
6.575579, 11.123595
6.608635, 10.901374
6.641756, 10.840443
6.673808, 10.522604
6.706896, 10.222063
6.739985, 10.343176
6.773073, 10.431239
6.807162, 10.702218
6.840251, 10.423979
6.873338, 10.331732
6.906455, 9.924668
6.939547, 9.950150
6.972630, 9.758781
7.005713, 9.940213
7.037804, 9.955912
7.070864, 10.054705
7.103951, 10.343901
7.137071, 10.504995
7.171131, 10.478952
7.205223, 10.957277
7.238308, 10.906532
7.272400, 10.481028
7.305514, 10.344331
7.338576, 10.204372
7.371679, 10.125226
7.404758, 9.962566
7.436837, 9.738538
7.469944, 9.469668
7.503046, 9.219852
7.536100, 9.013357
7.569189, 8.936736
7.602278, 8.643229
7.635365, 8.467756
7.668485, 8.348759
7.701568, 8.016465
7.735675, 7.683038
7.768745, 7.683038
7.800804, 7.441280
7.833892, 7.468711
7.868025, 7.981449
7.901073, 8.211022
7.934200, 8.469452
7.967278, 8.469452
8.000382, 8.773250
8.033449, 8.773250
8.066512, 8.942122
8.099640, 9.467751
8.132730, 9.561117
8.164798, 9.561117
8.197860, 10.114025
8.230948, 10.187033
8.264070, 10.350881
8.297123, 10.392730
8.331256, 10.164219
8.365305, 10.164219
8.398433, 10.178290
8.431512, 10.178290
8.465572, 10.099958
8.498661, 10.071204
8.530771, 10.169598
