Time (s), Percentage Displayed
0.003063, 107.038535
0.036124, 106.766403
0.069215, 106.464065
0.102304, 104.851038
0.135414, 105.440732
0.168502, 101.683481
0.201571, 101.683481
0.234678, 105.233613
0.267746, 105.233613
0.300832, 105.691136
0.334929, 106.232347
0.367978, 106.734131
0.401101, 106.734131
0.434155, 105.108998
0.468246, 107.770578
0.501368, 109.118867
0.534455, 108.499548
0.567509, 107.585021
0.599596, 108.491203
0.632717, 109.295668
0.665772, 109.623414
0.698892, 111.572633
0.732986, 108.391668
0.766043, 110.327698
0.799153, 110.891670
0.833242, 107.684956
0.866307, 107.417464
0.899392, 108.936046
0.933483, 109.229928
0.965568, 107.893157
0.998657, 105.927770
1.031747, 104.403620
1.064859, 105.046075
1.097953, 104.294960
1.131040, 104.477260
1.164095, 103.436267
1.197210, 101.841531
1.230301, 101.884841
1.263391, 101.884841
1.296501, 99.552160
1.329586, 100.821119
1.362678, 99.682800
1.395765, 101.500802
1.428855, 101.630731
1.461941, 100.418329
1.495029, 99.101487
1.528117, 100.408951
1.561206, 97.923621
1.594241, 97.217817
1.627462, 96.511392
1.660550, 96.386586
1.692635, 97.283033
1.726704, 97.283033
1.759762, 94.735174
1.792876, 94.195470
1.826022, 93.941755
1.860139, 93.217198
1.893234, 93.876998
1.926322, 93.612584
1.959410, 93.255355
1.992507, 92.152823
2.024590, 91.407420
2.057671, 91.111637
2.090765, 91.798791
2.123816, 91.101763
2.156930, 90.335922
2.189994, 87.982721
2.223107, 86.963729
2.256193, 87.146137
2.289283, 89.197600
2.323343, 87.482359
2.357468, 86.289017
2.390522, 83.943293
2.422608, 80.184460
2.455696, 79.476969
2.488785, 80.367311
2.521906, 81.001050
2.556002, 82.139319
2.589081, 82.156796
2.622174, 83.607663
2.655227, 85.613353
2.689319, 88.545714
2.722439, 90.406915
2.755526, 89.690788
2.787581, 88.526070
2.821721, 90.180645
2.855792, 90.180645
2.888901, 95.397628
2.921988, 98.103637
2.956058, 99.731393
2.990149, 99.801667
3.023259, 98.862564
3.056325, 98.862564
3.089437, 100.486027
3.122526, 101.302961
3.155609, 101.856504
3.188672, 102.409583
3.221736, 102.409583
3.255861, 102.818585
3.288943, 105.467989
3.322033, 105.467989
3.355088, 104.731182
3.388206, 106.300729
3.421280, 106.901985
3.454351, 108.222007
3.487462, 108.635714
3.520527, 107.645757
3.552612, 108.958973
3.585728, 109.746096
3.618837, 107.138970
3.651905, 106.523174
3.684992, 107.029586
3.718088, 105.475786
3.751150, 106.428662
3.785264, 107.192445
3.818321, 107.936178
3.851424, 107.449648
3.885531, 105.404947
3.917616, 105.381459
3.950701, 104.614543
3.983790, 104.682057
4.016878, 105.406725
4.049969, 105.403975
4.083054, 104.336656
4.116111, 104.667351
4.149199, 103.266817
4.183320, 103.504941
4.216377, 105.793364
4.249492, 106.897919
4.283557, 105.692649
4.315672, 105.692649
4.348729, 106.956898
4.381816, 105.869672
4.414931, 107.498957
4.449034, 106.982144
4.482117, 105.676328
4.515199, 107.883120
4.548259, 108.574781
4.581375, 107.730860
4.614462, 108.215339
4.647557, 108.830798
4.679609, 108.312451
4.712730, 107.643389
4.745802, 107.170824
4.778908, 106.616884
4.811962, 106.648359
4.845049, 104.760059
4.878139, 105.751373
4.911256, 104.881304
4.944503, 105.967448
4.976575, 107.383753
5.009645, 105.767413
5.042761, 104.381663
5.075821, 105.416697
5.108938, 105.110920
5.142034, 106.913149
5.175116, 108.254159
5.209208, 107.785921
5.242291, 108.010874
5.275385, 108.625097
5.308488, 109.118337
5.341529, 111.164070
5.373640, 112.630732
5.406737, 113.878186
5.440827, 111.899152
5.474911, 112.374597
5.507998, 112.569930
5.541174, 113.494126
5.574262, 112.388853
5.607350, 110.907138
5.640438, 109.383090
5.674529, 110.264968
5.707617, 110.478667
5.740705, 112.403947
5.773790, 111.638365
5.807854, 112.678302
5.840967, 113.629241
5.874111, 111.304863
5.907230, 110.583295
5.940315, 111.535884
5.973406, 110.847781
