Time (s), Raw Data By Channel
-0.003182, 1.408499E+0, 1.398929E+0
-0.002182, 1.398297E+0, 1.398929E+0
-0.001182, 1.398297E+0, 1.398929E+0
-0.000182, 1.408499E+0, 1.409125E+0
0.000818, 1.408499E+0, 1.398929E+0
0.001818, 1.398297E+0, 1.398929E+0
0.002818, 1.408499E+0, 1.398929E+0
0.003818, 1.408499E+0, 1.398929E+0
0.004818, 1.408499E+0, 1.409125E+0
0.005818, 1.408499E+0, 1.398929E+0
0.006818, 1.398297E+0, 1.398929E+0
0.007818, 1.398297E+0, 1.409125E+0
0.008818, 1.408499E+0, 1.398929E+0
0.009818, 1.408499E+0, 1.398929E+0
0.010818, 1.398297E+0, 1.398929E+0
0.011818, 1.408499E+0, 1.409125E+0
0.012818, 1.408499E+0, 1.409125E+0
0.013818, 1.398297E+0, 1.398929E+0
0.014818, 1.398297E+0, 1.398929E+0
0.015818, 1.398297E+0, 1.398929E+0
0.016818, 1.398297E+0, 1.409125E+0
0.017818, 1.398297E+0, 1.398929E+0
0.018818, 1.398297E+0, 1.398929E+0
0.019818, 1.398297E+0, 1.398929E+0
0.020818, 1.398297E+0, 1.398929E+0
0.021818, 1.398297E+0, 1.409125E+0
0.022818, 1.398297E+0, 1.398929E+0
0.023818, 1.408499E+0, 1.398929E+0
0.024818, 1.408499E+0, 1.409125E+0
0.025818, 1.408499E+0, 1.398929E+0
0.026818, 1.408499E+0, 1.409125E+0
0.027818, 1.408499E+0, 1.398929E+0
0.028818, 1.408499E+0, 1.409125E+0
, , 
0.029818, 1.408499E+0, 1.409125E+0
0.030818, 1.408499E+0, 1.409125E+0
0.031818, 1.398297E+0, 1.398929E+0
0.032818, 1.398297E+0, 1.398929E+0
0.033818, 1.408499E+0, 1.409125E+0
0.034818, 1.408499E+0, 1.398929E+0
0.035818, 1.398297E+0, 1.409125E+0
0.036818, 1.398297E+0, 1.409125E+0
0.037818, 1.408499E+0, 1.398929E+0
0.038818, 1.408499E+0, 1.409125E+0
0.039818, 1.408499E+0, 1.409125E+0
0.040818, 1.398297E+0, 1.398929E+0
0.041818, 1.408499E+0, 1.398929E+0
0.042818, 1.408499E+0, 1.409125E+0
0.043818, 1.398297E+0, 1.398929E+0
0.044818, 1.398297E+0, 1.398929E+0
0.045818, 1.398297E+0, 1.398929E+0
0.046818, 1.408499E+0, 1.398929E+0
0.047818, 1.408499E+0, 1.398929E+0
0.048818, 1.398297E+0, 1.398929E+0
0.049818, 1.408499E+0, 1.398929E+0
0.050818, 1.398297E+0, 1.398929E+0
0.051818, 1.398297E+0, 1.409125E+0
0.052818, 1.408499E+0, 1.409125E+0
0.053818, 1.408499E+0, 1.398929E+0
0.054818, 1.408499E+0, 1.409125E+0
0.055818, 1.398297E+0, 1.409125E+0
0.056818, 1.398297E+0, 1.398929E+0
0.057818, 1.398297E+0, 1.398929E+0
0.058818, 1.398297E+0, 1.409125E+0
0.059818, 1.398297E+0, 1.409125E+0
0.060818, 1.408499E+0, 1.398929E+0
0.061818, 1.398297E+0, 1.398929E+0
, , 
0.062818, 1.398297E+0, 1.398929E+0
0.063818, 1.408499E+0, 1.398929E+0
0.064818, 1.408499E+0, 1.409125E+0
0.065818, 1.408499E+0, 1.409125E+0
