Time (s), Filtered Data By Channel
-0.003182, 3.706228E-3, 4.886411E-3
-0.002182, 5.949373E-3, 3.150742E-3
-0.001182, 3.952009E-3, 1.709653E-3
-0.000182, 6.365503E-3, 8.117175E-3
0.000818, 4.881666E-3, 2.435462E-3
0.001818, 5.054210E-3, 1.232829E-3
0.002818, 5.351793E-3, 2.642690E-4
0.003818, 3.953648E-3, 4.962471E-4
0.004818, 2.757352E-3, 9.724316E-3
0.005818, 1.745103E-3, 1.350074E-3
0.006818, 7.756742E-3, 5.970519E-4
0.007818, 5.609319E-3, 8.640186E-3
0.008818, 4.854577E-3, 2.410305E-3
0.009818, 3.513336E-3, 1.620567E-3
0.010818, 6.283956E-3, 9.867238E-4
0.011818, 4.256310E-3, 8.161568E-3
0.012818, 2.987742E-3, 5.700187E-3
0.013818, 6.740713E-3, 5.039095E-3
0.014818, 4.792226E-3, 3.947096E-3
0.015818, 3.158256E-3, 3.021706E-3
0.016818, 1.807356E-3, 6.405823E-3
0.017818, 7.097957E-4, 4.441098E-3
0.018818, 1.624539E-4, 3.438858E-3
0.019818, 8.357282E-4, 2.587610E-3
0.020818, 1.334686E-3, 1.871751E-3
0.021818, 1.682327E-3, 7.374318E-3
0.022818, 1.900011E-3, 3.628927E-3
0.023818, 1.066414E-2, 2.760607E-3
0.024818, 7.837832E-3, 6.627655E-3
0.025818, 5.411768E-3, 4.243925E-3
0.026818, 3.353039E-3, 5.396440E-3
0.027818, 1.629820E-3, 5.247025E-3
0.028818, 2.114168E-4, 4.598388E-3
, , 
0.029818, 9.316915E-4, 2.788938E-3
0.030818, 1.827799E-3, 1.305314E-3
0.031818, 1.116059E-2, 8.537873E-3
0.032818, 8.800716E-3, 6.631109E-3
0.033818, 1.910044E-3, 3.679711E-3
0.034818, 8.417045E-4, 6.379252E-3
0.035818, 8.664397E-3, 3.969917E-3
0.036818, 6.478404E-3, 2.588775E-3
0.037818, 4.058557E-3, 7.187688E-3
0.038818, 2.817226E-3, 3.404634E-3
0.039818, 1.796393E-3, 2.230308E-3
0.040818, 7.684941E-3, 7.372710E-3
0.041818, 3.162071E-3, 5.288467E-3
0.042818, 2.186954E-3, 5.143491E-3
0.043818, 7.264764E-3, 4.844458E-3
0.044818, 5.059039E-3, 3.119413E-3
0.045818, 3.189505E-3, 1.671982E-3
0.046818, 7.030340E-3, 4.768523E-4
0.047818, 5.474122E-3, 4.903147E-4
0.048818, 4.513284E-3, 1.252848E-3
0.049818, 5.858034E-3, 1.833025E-3
0.050818, 4.218192E-3, 2.252036E-3
0.051818, 2.584095E-3, 1.118100E-2
0.052818, 7.422325E-3, 8.496838E-3
0.053818, 5.674639E-3, 2.467446E-3
0.054818, 4.174141E-3, 7.049777E-3
0.055818, 5.758026E-3, 4.910104E-3
0.056818, 3.987903E-3, 5.551965E-3
0.057818, 2.509545E-3, 4.224389E-3
0.058818, 1.293856E-3, 5.548941E-3
0.059818, 3.132290E-4, 3.646724E-3
0.060818, 9.115098E-3, 6.596273E-3
0.061818, 1.795975E-3, 5.067711E-3
, , 
0.062818, 8.942511E-4, 3.762194E-3
0.063818, 8.476424E-3, 2.658634E-3
0.064818, 6.183631E-3, 6.913970E-3
0.065818, 4.222569E-3, 4.832437E-3
0.066818, 2.564876E-3, 5.570250E-3
0.067818, 1.183283E-3, 4.183447E-3
0.068818, 8.605024E-3, 3.003350E-3
0.069818, 6.670026E-3, 2.010369E-3
0.070818, 3.646994E-3, 7.465095E-3
0.071818, 6.440336E-3, 5.298559E-3
0.072818, 3.877724E-3, 3.472844E-3
0.073818, 6.209948E-3, 1.955477E-3
0.074818, 4.550336E-3, 7.935508E-3
0.075818, 3.142897E-3, 2.563612E-3
0.076818, 1.963718E-3, 7.334291E-3
0.077818, 7.666520E-3, 5.499073E-3
0.078818, 3.042447E-3, 3.924169E-3
0.079818, 6.715359E-3, 2.587114E-3
0.080818, 3.874824E-3, 1.466399E-3
0.081818, 5.993141E-3, 5.414708E-4
0.082818, 4.495327E-3, 2.072615E-4
0.083818, 5.466111E-3, 7.984205E-4
0.084818, 3.719757E-3, 9.900708E-3
0.085818, 2.260505E-3, 7.388791E-3
0.086818, 1.060039E-3, 3.406383E-3
0.087818, 9.146707E-5, 6.274956E-3
0.088818, 9.327319E-3, 4.358295E-3
0.089818, 1.591364E-3, 5.471050E-3
0.090818, 7.960820E-3, 3.623505E-3
0.091818, 5.827879E-3, 6.567285E-3
0.092818, 4.006124E-3, 3.661147E-3
0.093818, 2.468353E-3, 2.171455E-3
0.094818, 1.188499E-3, 9.504878E-4
, , 
0.095818, 8.515022E-3, 3.018310E-5
0.096818, 2.145715E-3, 9.448465E-3
0.097818, 1.019000E-3, 1.463417E-3
0.098818, 1.054936E-4, 8.077619E-3
0.099818, 9.274229E-3, 5.937419E-3
0.100818, 1.669974E-3, 4.105445E-3
0.101818, 7.886605E-4, 2.555320E-3
0.102818, 8.571846E-3, 1.261694E-3
0.103818, 2.379735E-3, 2.002636E-4
0.104818, 7.161534E-3, 6.522111E-4
0.105818, 3.620183E-3, 1.317881E-3
0.106818, 2.576522E-3, 1.817790E-3
0.107818, 6.945122E-3, 2.171853E-3
0.108818, 3.847581E-3, 1.104989E-2
0.109818, 2.807362E-3, 8.327523E-3
0.110818, 1.939323E-3, 2.663551E-3
0.111818, 1.225109E-3, 6.837019E-3
0.112818, 8.009140E-3, 4.689578E-3
0.113818, 5.624459E-3, 2.878472E-3
0.114818, 5.046768E-3, 7.278473E-3
0.115818, 4.773034E-3, 2.982078E-3
0.116818, 2.922136E-3, 7.127565E-3
0.117818, 1.391515E-3, 3.173063E-3
0.118818, 1.490659E-4, 6.903421E-3
