Time (s), Percentage Displayed
0.017045, 8.254644
0.046152, 8.332654
0.082254, 8.460951
0.113300, 7.664189
0.143414, 7.436651
0.173460, 7.544633
0.204569, 7.632105
0.234652, 7.162674
0.264759, 7.521455
0.294822, 7.703473
0.324889, 7.703473
0.354942, 7.081406
0.385052, 7.081406
0.415131, 7.052403
0.445209, 7.502895
0.475291, 7.347370
0.505342, 7.412447
0.535424, 7.472116
0.565529, 7.509528
0.595614, 7.355910
0.625702, 7.910438
0.655744, 7.910438
0.685863, 8.020834
0.716906, 8.020834
0.747026, 8.009414
0.777105, 8.336699
0.806168, 8.336699
0.837252, 8.677664
0.867336, 9.330182
0.898417, 8.503888
0.928496, 8.473070
0.958547, 8.845738
0.988667, 9.304900
1.018744, 9.304900
1.048815, 9.304900
1.079869, 9.371264
1.109976, 9.550796
1.141061, 9.362096
1.171112, 9.385911
1.200216, 9.304306
1.230301, 9.117800
1.260380, 9.297982
1.290461, 8.869353
1.320536, 8.834458
1.350594, 8.834458
1.380668, 8.217938
1.410750, 8.217938
1.440870, 7.554653
1.470909, 7.554653
1.501017, 7.127078
1.532073, 7.285542
1.561151, 7.350492
1.591255, 7.032757
1.621336, 7.483146
1.652407, 7.532456
1.682487, 8.452099
1.712583, 8.452099
1.742661, 8.414192
1.772739, 8.471627
1.802791, 8.601415
1.832904, 8.822680
1.863986, 8.862098
1.894064, 9.043375
1.924146, 9.586686
1.955225, 10.119790
1.985296, 10.231250
2.015358, 9.839997
2.046439, 9.839997
2.076547, 9.563076
2.106625, 10.178308
2.137710, 9.532522
2.167790, 9.139632
2.197848, 8.456916
2.227952, 8.110488
2.259005, 7.747868
2.289086, 7.747868
2.318162, 7.586073
2.348243, 7.235370
2.378321, 6.921054
2.408402, 6.759387
2.439483, 6.049544
2.469595, 5.474004
2.500646, 5.454720
2.530761, 5.226850
2.560835, 5.226850
2.590916, 4.923927
2.620966, 5.410207
2.651073, 5.881548
2.680151, 6.089399
2.710203, 6.455244
2.740315, 7.316027
2.771408, 7.436629
2.801476, 7.436629
2.832539, 7.705746
2.862609, 7.705746
2.892729, 9.069043
2.922800, 9.069043
2.953880, 9.317542
2.983932, 9.746284
3.014040, 10.733803
3.044123, 10.952000
3.073192, 11.350211
3.103257, 11.181305
3.134367, 11.181305
3.165428, 11.202730
3.195536, 11.323433
3.226605, 11.323433
3.256698, 10.968055
3.286736, 10.968055
3.316816, 11.035155
3.347899, 11.529409
3.378039, 10.811021
3.408060, 11.126245
3.437163, 11.499265
3.467222, 11.178130
3.497336, 10.331414
3.528405, 10.331414
3.558499, 10.820783
3.588571, 10.820783
3.618650, 10.238531
3.648739, 9.999226
3.678778, 9.544449
3.708885, 9.460923
3.738969, 9.244468
3.769050, 9.038637
3.799136, 8.206870
3.829186, 7.902613
3.859260, 8.215617
3.889365, 8.215617
3.919445, 7.287283
3.949532, 7.287283
3.979610, 7.502643
4.009690, 8.074615
4.039770, 7.301584
4.069849, 7.335925
4.099898, 7.675355
4.129980, 8.074234
4.161090, 7.967523
4.190170, 7.929286
4.221255, 8.216552
4.251329, 8.216552
4.281402, 8.995318
4.311514, 8.995318
4.341542, 9.101969
4.372622, 9.751203
4.403735, 9.351743
4.433815, 9.585041
4.464869, 9.755654
4.494947, 9.788396
4.524158, 9.336967
4.555214, 9.239574
4.585335, 9.302894
4.615376, 9.445552
4.646456, 9.412113
4.676536, 9.361939
4.706658, 8.753354
4.736728, 8.304190
4.766778, 8.483246
4.796890, 8.483246
4.826961, 8.178746
4.857048, 7.751572
4.887096, 7.648430
4.916216, 7.438825
4.946282, 7.459366
4.976363, 6.868258
5.006440, 6.884718
5.036535, 6.611889
5.066603, 6.077034
5.096653, 6.015160
5.126768, 6.414717
5.156836, 6.414717
5.186923, 5.776834
5.216973, 5.881720
5.248056, 6.204484
5.277176, 6.533108
5.307242, 6.343255
5.337293, 6.341396
5.367373, 6.341396
5.398488, 7.155397
5.428536, 7.265025
5.458648, 7.265025
5.489727, 7.573508
5.519811, 7.573508
5.549887, 8.156607
5.579967, 8.730453
5.611063, 8.753444
5.640140, 8.410544
5.670208, 9.470823
5.700311, 9.989747
5.730338, 9.824591
5.760458, 9.752656
5.790499, 10.194836
5.821620, 10.001967
5.852705, 9.556677
5.883770, 9.556677
5.913857, 9.613218
5.943937, 9.171695
5.974029, 9.278320
6.004094, 9.200406
6.033173, 8.969915
6.063264, 8.468866
6.093337, 8.536703
6.123424, 8.417675
6.153462, 7.572152
6.183543, 7.572152
6.213651, 7.472910
6.243731, 7.898940
6.273783, 7.743313
6.303905, 7.956805
6.333982, 8.294561
6.364043, 8.822073
6.393131, 8.822073
6.424224, 8.866098
6.454291, 9.037084
6.484366, 9.037084
6.514422, 9.251888
6.544503, 9.251888
6.574611, 9.679528
6.604691, 10.090469
6.635745, 10.711174
6.665866, 11.524946
6.696949, 11.571129
6.727016, 11.570117
6.757096, 11.645803
6.786177, 11.274291
6.816232, 11.367746
6.846305, 11.464276
6.876416, 11.464276
6.906464, 11.369308
6.937563, 11.559848
6.968655, 11.079109
6.999749, 10.468134
7.029835, 10.400710
7.060899, 10.007872
7.092000, 9.872361
7.123042, 9.291931
7.152146, 9.291931
7.182208, 8.966183
7.213281, 8.393185
7.244364, 7.802765
7.274472, 7.802765
7.304564, 7.536171
7.334615, 7.536171
7.365686, 6.990994
7.395797, 6.638995
7.425888, 6.926600
7.455933, 7.230093
7.486007, 7.097163
7.517129, 7.061267
7.547167, 7.530737
7.577247, 7.337460
7.607327, 6.938510
7.637407, 6.938510
7.668531, 6.773716
7.698570, 6.773716
7.728682, 7.537978
7.759755, 7.786296
7.790842, 8.109961
7.821898, 8.033595
7.851978, 8.423202
7.882062, 9.040490
7.911137, 8.943118
7.941256, 8.408311
7.971295, 9.379499
8.001377, 9.739205
8.031456, 9.476344
8.061567, 9.476344
8.092618, 9.839984
8.122719, 10.240606
8.152819, 10.409874
8.182899, 10.265819
8.212978, 9.728135
8.243058, 9.409724
8.273098, 8.982823
8.302201, 8.912389
8.332256, 8.739817
8.362335, 8.739817
8.392450, 8.530365
8.422494, 8.530365
8.452602, 8.425264
8.482697, 7.607681
8.512761, 7.695487
8.542815, 8.519192
8.572936, 7.932957
8.603006, 7.932957
8.634086, 7.598096
8.663175, 7.902810
8.693246, 7.786312
8.723326, 7.786312
8.753375, 7.963361
8.783485, 8.746028
8.814538, 8.500351
8.844659, 8.587873
8.874697, 8.476039
8.904777, 8.470059
8.935904, 8.847499
8.966984, 9.175820
8.997051, 9.534989
9.027107, 9.534989
9.056181, 9.102347
9.086287, 9.102347
9.116373, 10.062447
9.146451, 10.555750
9.177528, 9.947579
9.207624, 10.196868
9.238696, 10.550080
9.268771, 10.111432
9.298825, 10.541374
9.328938, 10.555340
9.360015, 10.238948
9.391070, 10.631433
9.420176, 10.958797
9.451230, 10.832455
9.481330, 10.832455
9.511390, 10.241388
9.541500, 9.961468
9.572552, 9.485610
9.602666, 8.780344
9.632746, 7.781132
9.662794, 7.455302
9.692914, 7.759145
9.723983, 7.108556
9.754062, 6.794954
9.783140, 6.794954
9.814195, 6.449336
9.844306, 6.449336
9.874386, 6.591179
9.904434, 7.016181
9.935518, 6.786228
9.966642, 6.974953
9.996722, 7.154770
