Time (s), Percentage Displayed
0.027087, 11.043898
0.060134, 11.043898
0.093249, 11.309937
0.127313, 12.458170
0.160433, 12.458170
0.193515, 12.683096
0.226616, 12.644178
0.260695, 12.756012
0.292752, 12.756012
0.325881, 13.878308
0.358956, 13.878308
0.392043, 13.961807
0.425150, 15.063651
0.458233, 15.411429
0.491323, 15.350827
0.524400, 15.350827
0.557488, 15.623091
0.590586, 15.674944
0.623678, 15.488297
0.656762, 14.892382
0.689808, 14.892382
0.722937, 15.361329
0.756024, 15.461244
0.789113, 15.255316
0.822201, 14.602520
0.855275, 14.950879
0.888335, 15.174121
0.921463, 14.113621
0.954553, 13.004154
0.987640, 13.363817
1.020720, 13.363817
1.052800, 12.725930
1.085860, 12.725930
1.118950, 12.758726
1.153056, 11.959200
1.186141, 12.177213
1.219216, 11.809849
1.252304, 10.795607
1.285427, 11.598001
1.318521, 11.848022
1.351608, 11.518697
1.384696, 11.258906
1.416782, 11.967717
1.449839, 12.784304
1.482918, 12.041843
1.516006, 12.690341
1.550122, 12.239455
1.583222, 12.808499
1.617307, 13.739858
1.650389, 14.075106
1.683491, 14.141635
1.716572, 14.342516
1.750670, 15.352107
1.782741, 15.352107
1.816845, 14.489577
1.849893, 15.933685
1.882979, 16.118751
1.917117, 15.077488
1.950202, 15.049713
1.983287, 16.336699
2.017363, 15.608492
2.050466, 16.761343
2.083514, 16.642081
2.116642, 15.929735
2.150733, 15.109315
2.183811, 15.725658
2.216899, 15.923201
2.249996, 14.609817
2.283043, 14.765934
2.317176, 15.052777
2.350263, 13.897097
2.384312, 13.196035
2.417433, 13.746199
2.451534, 13.460039
2.484586, 12.805814
2.518672, 12.979557
2.550756, 12.641783
2.583878, 11.944056
2.616953, 11.868700
2.651067, 12.147357
2.684124, 11.965753
2.717224, 10.521114
2.750287, 11.338855
2.784408, 12.350341
2.817465, 11.721193
2.850585, 11.721193
2.884676, 11.721193
2.917730, 12.748101
2.949815, 12.748101
2.982923, 12.748101
3.015992, 13.151508
3.049081, 13.151508
3.082169, 13.151508
3.115257, 12.900813
3.148344, 12.900813
3.181459, 13.018526
3.214551, 13.018526
3.247639, 13.018526
3.280725, 13.178138
3.312812, 13.178138
3.345900, 13.178138
3.378988, 13.447722
3.412077, 13.447722
3.445134, 12.892290
3.478253, 12.892290
3.511341, 12.892290
3.544424, 12.898664
3.577516, 12.898664
3.610603, 12.757822
3.643691, 13.034018
3.675772, 13.918176
3.709837, 12.697153
3.742924, 13.572148
3.776024, 13.221690
3.810134, 12.535691
3.844225, 12.886740
3.877282, 12.638076
3.910402, 12.507645
3.943458, 12.499687
3.976546, 13.175811
4.009667, 12.726983
4.042723, 12.419249
4.074834, 12.804682
4.107893, 13.445319
4.141010, 13.081437
4.174070, 12.877279
4.207173, 13.037468
4.240246, 13.707548
4.273334, 13.772180
4.306437, 13.765092
4.339510, 14.309136
4.372599, 14.743469
4.405686, 14.892178
4.438807, 14.266432
4.471862, 14.315642
4.504951, 14.042530
4.538040, 14.590685
4.572128, 14.851254
4.605243, 14.525939
4.638304, 13.963123
4.671392, 14.453312
4.704480, 13.341968
4.738573, 13.981205
4.771659, 14.731888
4.803773, 13.363237
4.836832, 13.317630
4.869921, 13.786924
4.903047, 13.210951
4.936098, 13.200648
4.969186, 13.207447
5.002272, 13.924979
5.035388, 14.019565
5.068448, 14.475680
5.101570, 15.008542
5.134656, 15.262033
5.166741, 15.253769
5.199828, 15.571816
5.232917, 15.519214
5.265973, 14.978307
5.300098, 15.247456
5.333152, 15.423301
5.366242, 15.722102
5.399328, 15.722102
5.433450, 15.987463
5.466506, 15.801247
5.499626, 15.406245
5.533685, 15.901267
5.565771, 15.246256
5.598880, 14.572814
5.631991, 14.876411
5.665034, 14.169558
5.698154, 13.730904
5.732213, 13.737458
5.766303, 13.912817
5.799392, 14.474570
5.832479, 13.948766
5.865569, 14.820297
5.898654, 15.086183
5.930740, 15.535473
5.963829, 15.791916
5.997946, 15.858760
6.031008, 15.725253
6.064097, 15.543319
6.097186, 16.313854
6.130308, 16.421962
6.163359, 15.929850
6.196463, 16.086519
6.229535, 15.797358
6.263626, 15.721832
6.295739, 15.358461
6.328844, 16.109160
6.361887, 15.933938
6.395015, 15.185124
6.428090, 14.586712
6.461156, 15.071886
6.494241, 15.817817
6.527328, 15.846695
6.560457, 16.105759
6.593503, 15.807767
