	Minimum	Maximum	Mean	Std Dev	Mean%	Std Dev %
Wfm1	0.000003	2.445429	1.222716	1.021506	16.059953	13.417127

waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950	7/26/2017  09:37:09.564950
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/26/2017  09:37:09.564950	5.188054E-4	2.710478E-4	3.195655E-4	1.514966E-1	1.783485E-4	3.262780E-4	1.256880E-3	1.660630E-5
7/26/2017  09:37:09.664950	5.168894E-3	1.737286E-3	2.205940E-3	9.919880E-1	1.016716E-3	2.174406E-3	8.381703E-3	3.331315E-5
7/26/2017  09:37:09.764950	2.332040E-2	5.183579E-3	6.677726E-3	2.992480E+0	2.646733E-3	6.693344E-3	2.566921E-2	1.281939E-4
7/26/2017  09:37:09.864950	6.556260E-2	9.744661E-3	1.193467E-2	5.606276E+0	4.243521E-3	1.282328E-2	4.866962E-2	5.909553E-4
7/26/2017  09:37:09.964950	1.315853E-1	1.317008E-2	1.450923E-2	7.422577E+0	4.830612E-3	1.731309E-2	6.500717E-2	1.061755E-3
7/26/2017  09:37:10.064950	2.013998E-1	1.382804E-2	1.339511E-2	7.455580E+0	4.375051E-3	1.745647E-2	6.554875E-2	1.119257E-3
7/26/2017  09:37:10.164950	2.375575E-1	1.192439E-2	1.045782E-2	5.901956E+0	3.589486E-3	1.348045E-2	5.154068E-2	7.598625E-4
7/26/2017  09:37:10.264950	1.944959E-1	8.825829E-3	7.671729E-3	3.748574E+0	2.952887E-3	8.258909E-3	3.182438E-2	5.396973E-4
7/26/2017  09:37:10.364950	3.255768E-2	5.782752E-3	5.773770E-3	1.934691E+0	2.194159E-3	4.484855E-3	1.540992E-2	1.144029E-3
7/26/2017  09:37:10.464950	2.521890E-1	3.234379E-3	4.413052E-3	8.305178E-1	1.054158E-3	2.526068E-3	5.883585E-3	2.432698E-3
7/26/2017  09:37:10.564950	5.899144E-1	8.082323E-4	2.737095E-3	2.636575E-1	2.246224E-4	1.217651E-3	1.054218E-3	3.233412E-3
7/26/2017  09:37:10.664950	8.436638E-1	1.743908E-3	2.418141E-4	1.379662E-1	4.241175E-4	1.652819E-4	3.172549E-3	2.578046E-3
7/26/2017  09:37:10.764950	8.873821E-1	3.542308E-3	2.916050E-3	6.295024E-1	1.261773E-3	1.264912E-3	8.809868E-3	4.871701E-4
7/26/2017  09:37:10.864950	6.903963E-1	3.346548E-3	6.053059E-3	1.243532E+0	1.939098E-3	1.593762E-3	1.474051E-2	2.456850E-3
7/26/2017  09:37:10.964950	3.265022E-1	1.518488E-3	8.094907E-3	1.870387E+0	1.882453E-3	1.282671E-3	1.885611E-2	5.005580E-3
7/26/2017  09:37:11.064950	8.922478E-2	2.080356E-4	8.335995E-3	2.393093E+0	4.285518E-4	1.223189E-3	2.100328E-2	5.474643E-3
7/26/2017  09:37:11.164950	4.686835E-1	1.082169E-3	7.256230E-3	2.767025E+0	2.782672E-3	2.836202E-3	2.265803E-2	3.747267E-3
7/26/2017  09:37:11.264950	7.737204E-1	1.150579E-3	5.876205E-3	3.018046E+0	6.570541E-3	6.482588E-3	2.433438E-2	1.775953E-3
7/26/2017  09:37:11.364950	9.871651E-1	4.388582E-4	4.614946E-3	3.198081E+0	8.423126E-3	1.042052E-2	2.562427E-2	1.069500E-3
7/26/2017  09:37:11.464950	1.071195E+0	4.147642E-3	3.593165E-3	3.345607E+0	7.100967E-3	1.246509E-2	2.669175E-2	1.242660E-3
7/26/2017  09:37:11.564950	9.749812E-1	8.584707E-3	3.398931E-3	3.471629E+0	4.201309E-3	1.200710E-2	2.784711E-2	1.263488E-3
7/26/2017  09:37:11.664950	6.926743E-1	1.189900E-2	4.341414E-3	3.567373E+0	2.296604E-3	1.004470E-2	2.878468E-2	7.574877E-4
7/26/2017  09:37:11.764950	3.008322E-1	1.331339E-2	5.499776E-3	3.620232E+0	2.390419E-3	8.028762E-3	2.918319E-2	6.808323E-5
7/26/2017  09:37:11.864950	6.972627E-2	1.318543E-2	5.738782E-3	3.625231E+0	3.544000E-3	7.008979E-3	2.914572E-2	3.838913E-4
7/26/2017  09:37:11.964950	3.032387E-1	1.234925E-2	5.080133E-3	3.586848E+0	4.495986E-3	7.242620E-3	2.867058E-2	6.907395E-4
7/26/2017  09:37:12.064950	3.578620E-1	1.140053E-2	4.434877E-3	3.514565E+0	4.988071E-3	8.302873E-3	2.756251E-2	1.081852E-3
7/26/2017  09:37:12.164950	2.778019E-1	1.048551E-2	4.622294E-3	3.417413E+0	5.064897E-3	9.636113E-3	2.600075E-2	1.372081E-3
7/26/2017  09:37:12.264950	1.567211E-1	9.574699E-3	5.737015E-3	3.300526E+0	4.259186E-3	1.080282E-2	2.469242E-2	1.542048E-3
7/26/2017  09:37:12.364950	8.202048E-2	8.522634E-3	7.170601E-3	3.165102E+0	2.386398E-3	1.158682E-2	2.444762E-2	1.890254E-3
7/26/2017  09:37:12.464950	9.955959E-2	7.131506E-3	8.053329E-3	3.011044E+0	2.532585E-4	1.182947E-2	2.541685E-2	2.033873E-3
7/26/2017  09:37:12.564950	2.134458E-1	5.834214E-3	7.804787E-3	2.839559E+0	9.593265E-4	1.079545E-2	2.668868E-2	9.783656E-4
7/26/2017  09:37:12.664950	3.958219E-1	5.583807E-3	6.595493E-3	2.654101E+0	8.764582E-4	7.578185E-3	2.680884E-2	1.303830E-3
7/26/2017  09:37:12.764950	5.886312E-1	6.429650E-3	5.138315E-3	2.459210E+0	1.152993E-4	2.956675E-3	2.479969E-2	3.175705E-3
7/26/2017  09:37:12.864950	7.184158E-1	7.229381E-3	4.349303E-3	2.257409E+0	6.758481E-4	9.537530E-5	2.107996E-2	2.918169E-3
7/26/2017  09:37:12.964950	7.341055E-1	6.983908E-3	4.970592E-3	2.047823E+0	1.112104E-3	5.896188E-4	1.730096E-2	7.050200E-4
7/26/2017  09:37:13.064950	6.315143E-1	5.871069E-3	6.553691E-3	1.829387E+0	7.110716E-4	3.637042E-3	1.477654E-2	1.577682E-3
7/26/2017  09:37:13.164950	4.362319E-1	5.036983E-3	7.473860E-3	1.604421E+0	5.115458E-4	5.803642E-3	1.340327E-2	2.338030E-3
7/26/2017  09:37:13.264950	1.725737E-1	5.097820E-3	6.645385E-3	1.377973E+0	1.467402E-3	5.472240E-3	1.233520E-2	1.627437E-3
7/26/2017  09:37:13.364950	1.407887E-1	5.089666E-3	4.420348E-3	1.154628E+0	1.166807E-3	3.704585E-3	1.087065E-2	5.981562E-4
7/26/2017  09:37:13.464950	4.636253E-1	3.673880E-3	1.998687E-3	9.366044E-1	5.224018E-5	2.523758E-3	8.710613E-3	2.342223E-4
7/26/2017  09:37:13.564950	7.131499E-1	8.220023E-4	6.659462E-4	7.241624E-1	5.883144E-4	2.649464E-3	6.201464E-3	7.145691E-4
7/26/2017  09:37:13.664950	8.004588E-1	2.233148E-3	7.045438E-4	5.166476E-1	1.606959E-4	2.857222E-3	4.088807E-3	1.555517E-3
7/26/2017  09:37:13.764950	7.053409E-1	4.142216E-3	1.068544E-3	3.133607E-1	8.099786E-4	1.679542E-3	2.613401E-3	2.004661E-3
7/26/2017  09:37:13.864950	5.016193E-1	4.407851E-3	8.493290E-4	1.145241E-1	1.512810E-3	7.956328E-4	1.166992E-3	1.754969E-3
7/26/2017  09:37:13.964950	2.979757E-1	3.737457E-3	1.556358E-5	7.841810E-2	1.605313E-3	3.135487E-3	6.775165E-4	1.562920E-3
7/26/2017  09:37:14.064950	1.566998E-1	3.422776E-3	1.286944E-3	2.635177E-1	1.271955E-3	3.701076E-3	2.441788E-3	2.000615E-3
7/26/2017  09:37:14.164950	6.986503E-2	4.156539E-3	2.702781E-3	4.392274E-1	8.920984E-4	2.096198E-3	3.783794E-3	2.241661E-3
7/26/2017  09:37:14.264950	2.959479E-4	5.399612E-3	3.104048E-3	6.047253E-1	7.546525E-4	3.588987E-5	4.985928E-3	1.667977E-3
7/26/2017  09:37:14.364950	7.112614E-2	5.938184E-3	1.503108E-3	7.596906E-1	8.979113E-4	3.219549E-4	6.055838E-3	7.487194E-4
7/26/2017  09:37:14.464950	1.344430E-1	5.707230E-3	1.088523E-3	9.043329E-1	1.022257E-3	1.437667E-3	6.716047E-3	4.437401E-4
7/26/2017  09:37:14.564950	1.692895E-1	6.541197E-3	2.265957E-3	1.039393E+0	8.340676E-4	4.117264E-3	7.128228E-3	2.361320E-3
7/26/2017  09:37:14.664950	1.679180E-1	9.400123E-3	1.237398E-3	1.165250E+0	5.375897E-4	6.140084E-3	7.832639E-3	4.680474E-3
7/26/2017  09:37:14.764950	1.441237E-1	1.187491E-2	4.793885E-4	1.281230E+0	6.145945E-4	6.447349E-3	9.120828E-3	6.108993E-3
7/26/2017  09:37:14.864950	1.242810E-1	1.067712E-2	1.487338E-3	1.386186E+0	1.186353E-3	5.215909E-3	1.066944E-2	5.602533E-3
7/26/2017  09:37:14.964950	1.292314E-1	5.795623E-3	2.120129E-3	1.479446E+0	1.842139E-3	3.956119E-3	1.175889E-2	3.538827E-3
7/26/2017  09:37:15.064950	1.607238E-1	5.318735E-4	3.364739E-3	1.561116E+0	2.001058E-3	4.304428E-3	1.206005E-2	1.467623E-3
7/26/2017  09:37:15.164950	2.025502E-1	1.999699E-3	5.135879E-3	1.631771E+0	1.402025E-3	6.299537E-3	1.210170E-2	6.153608E-4
7/26/2017  09:37:15.264950	2.343937E-1	1.236676E-3	6.448874E-3	1.691984E+0	3.177528E-4	8.015366E-3	1.255230E-2	8.200173E-4
7/26/2017  09:37:15.364950	2.456099E-1	1.208782E-3	6.704667E-3	1.742040E+0	6.452396E-4	7.570961E-3	1.356470E-2	1.209529E-3
7/26/2017  09:37:15.464950	2.382986E-1	3.091967E-3	6.092732E-3	1.781832E+0	8.219198E-4	5.442480E-3	1.489150E-2	1.083969E-3
7/26/2017  09:37:15.564950	2.213035E-1	3.170107E-3	5.227482E-3	1.811045E+0	1.403168E-4	3.666879E-3	1.596404E-2	4.833567E-5
7/26/2017  09:37:15.664950	2.037028E-1	1.946754E-3	4.766111E-3	1.829838E+0	1.752183E-3	3.252086E-3	1.634503E-2	1.442894E-3
7/26/2017  09:37:15.764950	1.892837E-1	9.502778E-4	5.191649E-3	1.839471E+0	2.768983E-3	3.649911E-3	1.638845E-2	2.185719E-3
7/26/2017  09:37:15.864950	1.682324E-1	1.209095E-3	6.257919E-3	1.841683E+0	2.576613E-3	4.041343E-3	1.689376E-2	1.686044E-3
7/26/2017  09:37:15.964950	1.170711E-1	2.015277E-3	6.817925E-3	1.837093E+0	2.366930E-3	3.869344E-3	1.792738E-2	9.492862E-4
7/26/2017  09:37:16.064950	2.122491E-2	1.811209E-3	6.232012E-3	1.824651E+0	3.362593E-3	2.633343E-3	1.839231E-2	1.150229E-3
7/26/2017  09:37:16.164950	1.008256E-1	6.866209E-4	5.033535E-3	1.803247E+0	4.401906E-3	8.770863E-4	1.732293E-2	1.944227E-3
7/26/2017  09:37:16.264950	4.531595E-3	2.710478E-4	2.440913E-4	1.514966E-1	1.783485E-4	4.771541E-4	1.219177E-3	9.654772E-5
7/26/2017  09:37:16.364950	2.975130E-2	1.737286E-3	1.787159E-3	9.920258E-1	9.789083E-4	2.936130E-3	8.097096E-3	4.436691E-4
7/26/2017  09:37:16.464950	8.900756E-2	5.145862E-3	5.944984E-3	2.992727E+0	2.399144E-3	8.267612E-3	2.482821E-2	8.988051E-4
7/26/2017  09:37:16.564950	1.612176E-1	9.535382E-3	1.202221E-2	5.607021E+0	3.572168E-3	1.439334E-2	4.736584E-2	1.065958E-3
7/26/2017  09:37:16.664950	1.938016E-1	1.263418E-2	1.667417E-2	7.423899E+0	3.812822E-3	1.780029E-2	6.394403E-2	7.195389E-4
7/26/2017  09:37:16.764950	1.453767E-1	1.289232E-2	1.686567E-2	7.456747E+0	3.462158E-3	1.709517E-2	6.541819E-2	1.983400E-6
7/26/2017  09:37:16.864950	1.346955E-2	1.059289E-2	1.267977E-2	5.901313E+0	3.183931E-3	1.350867E-2	5.228435E-2	6.827399E-4
7/26/2017  09:37:16.964950	1.744510E-1	7.228566E-3	6.636975E-3	3.745081E+0	2.985041E-3	9.095133E-3	3.279667E-2	1.115934E-3
