	Minimum	Maximum	Mean	Std Dev	Mean%	Std Dev %
Wfm1	0.000000	3.918041	1.959021	1.765600	25.731061	23.190550
Wfm2	0.000000	0.021334	0.010667	0.007212	53.732286	36.327776
Wfm3	0.000000	0.023061	0.011531	0.007782	54.021428	36.459390
Wfm4	0.069550	7.458796	3.764173	2.269140	50.466311	30.422389
Wfm5	0.000000	0.011645	0.005823	0.003920	49.225601	33.135736
Wfm6	0.000000	0.023132	0.011566	0.007492	52.443725	33.973406
Wfm7	0.000001	0.069425	0.034713	0.021358	49.054811	30.181368
Wfm8	0.000000	0.009025	0.004513	0.003057	49.687288	33.665470
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903	7/26/2017  09:40:52.121903
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/26/2017  09:40:52.121903	7.626394E-4	1.956140E-4	1.766888E-5	1.514966E-1	1.405411E-4	2.885590E-4	1.219177E-3	2.111171E-5
7/26/2017  09:40:52.221903	4.240482E-3	1.431879E-3	4.930784E-4	9.921013E-1	8.069348E-4	1.927397E-3	8.134799E-3	1.759716E-4
7/26/2017  09:40:52.321903	9.942829E-3	4.701896E-3	2.631679E-3	2.993108E+0	2.147353E-3	5.910403E-3	2.492431E-2	6.641106E-4
7/26/2017  09:40:52.421903	1.199122E-2	9.347068E-3	7.062892E-3	5.607847E+0	3.515331E-3	1.114228E-2	4.731164E-2	1.375836E-3
7/26/2017  09:40:52.521903	4.862153E-3	1.285747E-2	1.215449E-2	7.424989E+0	3.881878E-3	1.458525E-2	6.333069E-2	1.518433E-3
7/26/2017  09:40:52.621903	1.027413E-2	1.322002E-2	1.506268E-2	7.458145E+0	2.948417E-3	1.427438E-2	6.401898E-2	3.258974E-4
7/26/2017  09:40:52.721903	2.891190E-2	1.060200E-2	1.432360E-2	5.903707E+0	1.597915E-3	1.138192E-2	5.028246E-2	1.682438E-3
7/26/2017  09:40:52.821903	4.792182E-2	6.603009E-3	1.083691E-2	3.748664E+0	7.454636E-4	8.595584E-3	3.039176E-2	2.920106E-3
7/26/2017  09:40:52.921903	6.140115E-2	2.612101E-3	6.652303E-3	1.933180E+0	1.968476E-5	7.064173E-3	1.331486E-2	2.523216E-3
7/26/2017  09:40:53.021903	5.728090E-2	5.107984E-4	3.047985E-3	8.286628E-1	1.209493E-3	5.988117E-3	3.608395E-3	1.062924E-3
7/26/2017  09:40:53.121903	2.626039E-2	2.045289E-3	8.768442E-5	2.628387E-1	2.103536E-3	4.380885E-3	3.500339E-4	6.110059E-4
7/26/2017  09:40:53.221903	2.703678E-2	2.012092E-3	2.105095E-3	1.376427E-1	1.422925E-3	1.874628E-3	4.415670E-4	2.137055E-3
7/26/2017  09:40:53.321903	8.684907E-2	1.360456E-3	2.825851E-3	6.295399E-1	4.443655E-4	1.481733E-3	2.608976E-3	3.307144E-3
7/26/2017  09:40:53.421903	1.442649E-1	9.926592E-4	2.013357E-3	1.245710E+0	1.831404E-3	4.929009E-3	7.746526E-3	3.723436E-3
7/26/2017  09:40:53.521903	2.078560E-1	1.185764E-3	1.045671E-3	1.874601E+0	1.584735E-3	7.036662E-3	1.455695E-2	2.978882E-3
7/26/2017  09:40:53.621903	2.820350E-1	1.891894E-3	1.465248E-3	2.396546E+0	2.412997E-5	7.203528E-3	2.027516E-2	1.304356E-3
7/26/2017  09:40:53.721903	3.398659E-1	3.117687E-3	3.336288E-3	2.766428E+0	1.493706E-3	6.469040E-3	2.324725E-2	1.248798E-4
7/26/2017  09:40:53.821903	3.381260E-1	4.600949E-3	5.424105E-3	3.013348E+0	1.926385E-3	6.213515E-3	2.411896E-2	1.579465E-4
7/26/2017  09:40:53.921903	2.607561E-1	5.733299E-3	6.554141E-3	3.193147E+0	1.602817E-3	6.773069E-3	2.479417E-2	7.835885E-4
7/26/2017  09:40:54.021903	1.411969E-1	6.327211E-3	6.505074E-3	3.344417E+0	1.614877E-3	7.573522E-3	2.650713E-2	9.111304E-4
7/26/2017  09:40:54.121903	4.191298E-2	6.546358E-3	6.016950E-3	3.474550E+0	2.356853E-3	8.341337E-3	2.905838E-2	4.977372E-4
7/26/2017  09:40:54.221903	3.423900E-3	6.045046E-3	5.986674E-3	3.571446E+0	3.391676E-3	9.346045E-3	3.174529E-2	2.057285E-3
7/26/2017  09:40:54.321903	3.857943E-3	4.265631E-3	6.560865E-3	3.622169E+0	4.418738E-3	1.012028E-2	3.373468E-2	2.265550E-3
7/26/2017  09:40:54.421903	2.617739E-2	1.813446E-3	7.470916E-3	3.624035E+0	4.970580E-3	9.544312E-3	3.394100E-2	1.123636E-3
7/26/2017  09:40:54.521903	1.356409E-1	4.593029E-4	8.605182E-3	3.584421E+0	3.804501E-3	7.590039E-3	3.220595E-2	2.688733E-4
7/26/2017  09:40:54.621903	2.988195E-1	1.191018E-3	9.560055E-3	3.513933E+0	5.746491E-4	5.455568E-3	2.961070E-2	7.548583E-4
7/26/2017  09:40:54.721903	4.393682E-1	3.357843E-3	9.608943E-3	3.420181E+0	2.982641E-3	4.276019E-3	2.712999E-2	1.559795E-4
7/26/2017  09:40:54.821903	5.085783E-1	5.815091E-3	8.358779E-3	3.305801E+0	4.693217E-3	4.539795E-3	2.511511E-2	4.382897E-4
7/26/2017  09:40:54.921903	5.338409E-1	7.729413E-3	6.077524E-3	3.170357E+0	3.664680E-3	5.722277E-3	2.355931E-2	1.419442E-4
