	Minimum	Maximum	Mean	Std Dev	Mean%	Std Dev %
Wfm1	0.000009	3.064256	1.532133	1.348991	20.124034	17.718529
Wfm2	0.000000	0.020314	0.010157	0.006664	51.163873	33.566967
Wfm3	0.000000	0.022069	0.011035	0.007350	51.697303	34.432518
Wfm4	0.069327	7.458796	3.764061	2.269107	50.464815	30.421945
Wfm5	0.000000	0.011032	0.005516	0.003669	46.632004	31.020060
Wfm6	0.000000	0.023726	0.011863	0.007748	53.791539	35.131469
Wfm7	0.000001	0.069858	0.034929	0.021506	49.360362	30.391089
Wfm8	0.000000	0.009277	0.004638	0.003172	51.073589	34.929092
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128	7/26/2017  09:39:53.677128
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/26/2017  09:39:53.677128	4.908490E-3	3.464815E-4	3.950397E-4	1.514211E-1	1.068865E-5	3.639971E-4	1.332286E-3	1.674783E-4
7/26/2017  09:39:53.777128	3.116415E-2	2.231276E-3	2.436036E-3	9.916824E-1	8.123327E-5	2.270539E-3	8.686997E-3	7.572981E-4
7/26/2017  09:39:53.877128	8.837471E-2	6.598504E-3	7.042782E-3	2.992149E+0	6.279462E-4	6.488247E-3	2.626382E-2	1.312183E-3
7/26/2017  09:39:53.977128	1.456506E-1	1.211849E-2	1.285975E-2	5.606753E+0	1.904310E-3	1.163656E-2	4.946845E-2	9.371475E-4
7/26/2017  09:39:54.077128	1.407483E-1	1.575789E-2	1.644290E-2	7.424544E+0	3.915885E-3	1.512144E-2	6.548306E-2	9.536235E-5
7/26/2017  09:39:54.177128	3.285250E-2	1.549894E-2	1.487009E-2	7.458570E+0	6.235569E-3	1.521144E-2	6.462705E-2	7.022101E-4
7/26/2017  09:39:54.277128	1.545684E-1	1.172377E-2	8.818401E-3	5.904436E+0	7.464154E-3	1.199168E-2	4.897587E-2	7.534435E-4
7/26/2017  09:39:54.377128	3.327512E-1	6.412013E-3	2.453506E-3	3.749132E+0	6.071794E-3	7.459097E-3	2.913895E-2	8.281250E-4
7/26/2017  09:39:54.477128	3.984867E-1	1.592959E-3	6.208650E-4	1.933454E+0	2.541050E-3	4.055961E-3	1.431375E-2	1.007578E-3
7/26/2017  09:39:54.577128	3.099831E-1	1.486391E-3	2.756434E-4	8.291663E-1	6.679504E-4	2.502276E-3	6.522624E-3	9.743068E-4
7/26/2017  09:39:54.677128	1.225725E-1	2.570781E-3	1.197652E-3	2.637074E-1	1.809446E-3	1.762893E-3	2.566191E-3	6.365879E-4
7/26/2017  09:39:54.777128	5.056401E-2	2.646321E-3	1.714060E-3	1.365771E-1	1.252667E-3	8.232027E-4	1.085513E-3	2.767770E-4
7/26/2017  09:39:54.877128	1.182189E-1	3.406282E-3	8.962883E-4	6.282505E-1	2.104902E-4	6.030744E-4	5.695056E-3	3.280892E-4
7/26/2017  09:39:54.977128	6.642727E-2	5.463295E-3	2.694286E-4	1.244098E+0	3.437008E-4	2.597332E-3	1.069275E-2	7.646827E-4
7/26/2017  09:39:55.077128	4.794231E-2	7.313040E-3	9.467718E-4	1.872859E+0	9.274399E-5	4.878181E-3	1.506981E-2	9.219364E-4
7/26/2017  09:39:55.177128	1.492182E-1	7.094772E-3	1.413594E-3	2.394790E+0	1.072983E-3	6.665462E-3	1.846067E-2	5.976461E-4
7/26/2017  09:39:55.277128	1.898324E-1	5.168352E-3	2.214710E-3	2.764433E+0	1.678510E-3	7.650085E-3	2.138310E-2	5.124981E-4
7/26/2017  09:39:55.377128	1.605998E-1	3.609983E-3	3.468673E-3	3.011035E+0	1.804222E-3	8.249896E-3	2.455081E-2	1.001544E-3
7/26/2017  09:39:55.477128	7.912390E-2	3.691756E-3	5.293654E-3	3.191021E+0	2.126258E-3	8.594446E-3	2.805506E-2	1.374023E-3
7/26/2017  09:39:55.577128	2.402805E-2	5.118199E-3	7.429828E-3	3.343296E+0	3.056751E-3	8.283179E-3	3.129721E-2	9.459825E-4
7/26/2017  09:39:55.677128	1.199315E-1	6.824533E-3	8.995603E-3	3.475050E+0	4.310726E-3	7.201809E-3	3.368588E-2	3.696192E-5
7/26/2017  09:39:55.777128	1.910389E-1	7.759859E-3	9.568141E-3	3.573851E+0	5.316320E-3	5.769980E-3	3.485723E-2	7.236471E-4
7/26/2017  09:39:55.877128	2.321699E-1	7.495635E-3	9.498871E-3	3.626464E+0	5.519986E-3	4.486693E-3	3.431505E-2	4.768138E-4
7/26/2017  09:39:55.977128	2.489341E-1	6.402557E-3	8.881224E-3	3.629677E+0	4.415395E-3	3.748904E-3	3.208530E-2	7.394154E-4
7/26/2017  09:39:56.077128	2.531302E-1	5.210266E-3	7.346795E-3	3.590132E+0	2.162561E-3	3.778190E-3	2.933113E-2	2.222911E-3
7/26/2017  09:39:56.177128	2.530804E-1	4.422069E-3	5.172799E-3	3.518040E+0	6.984043E-6	4.445777E-3	2.717481E-2	2.942728E-3
7/26/2017  09:39:56.277128	2.472949E-1	4.092080E-3	3.496410E-3	3.421366E+0	6.373591E-4	5.276305E-3	2.570287E-2	2.332600E-3
7/26/2017  09:39:56.377128	2.290344E-1	3.939391E-3	3.197933E-3	3.304014E+0	7.555371E-4	5.718398E-3	2.456961E-2	4.265495E-4
7/26/2017  09:39:56.477128	1.952528E-1	3.566180E-3	4.365246E-3	3.167487E+0	2.995142E-3	5.714758E-3	2.370733E-2	2.171390E-3
7/26/2017  09:39:56.577128	1.499748E-1	2.366359E-3	6.411450E-3	3.012897E+0	3.962964E-3	5.568824E-3	2.332468E-2	4.301365E-3
7/26/2017  09:39:56.677128	1.031657E-1	2.560687E-5	8.156834E-3	2.841745E+0	2.860241E-3	5.138916E-3	2.351267E-2	5.011522E-3
7/26/2017  09:39:56.777128	6.644918E-2	2.081383E-3	8.701137E-3	2.656421E+0	1.292251E-3	4.203552E-3	2.368846E-2	4.290663E-3
7/26/2017  09:39:56.877128	4.566480E-2	9.478341E-4	8.356971E-3	2.459755E+0	1.152456E-3	3.357932E-3	2.287746E-2	2.767910E-3
7/26/2017  09:39:56.977128	3.766903E-2	3.642966E-3	7.748180E-3	2.253808E+0	2.074913E-3	3.476791E-3	2.097622E-2	1.167124E-3
7/26/2017  09:39:57.077128	3.420538E-2	8.140783E-3	6.783314E-3	2.040312E+0	2.334751E-3	4.370674E-3	1.865615E-2	2.330292E-4
7/26/2017  09:39:57.177128	2.891725E-2	9.161625E-3	5.621174E-3	1.821894E+0	1.481582E-3	4.875755E-3	1.603256E-2	3.157086E-4
7/26/2017  09:39:57.277128	2.358060E-2	6.599259E-3	4.957613E-3	1.601808E+0	3.608445E-4	4.651206E-3	1.285980E-2	8.933545E-4
7/26/2017  09:39:57.377128	2.718242E-2	2.446733E-3	4.544917E-3	1.382299E+0	5.684535E-4	4.667443E-3	9.524387E-3	1.131022E-3
7/26/2017  09:39:57.477128	4.701345E-2	9.479839E-4	3.332193E-3	1.163539E+0	1.414830E-3	5.435148E-3	6.911741E-3	6.033098E-4
7/26/2017  09:39:57.577128	7.831582E-2	1.549914E-3	1.128241E-3	9.449248E-1	2.011309E-3	6.247052E-3	5.637473E-3	6.478264E-4
7/26/2017  09:39:57.677128	1.012238E-1	1.085155E-3	1.457868E-3	7.275141E-1	1.859601E-3	6.410167E-3	5.452702E-3	2.168309E-3
7/26/2017  09:39:57.777128	9.426618E-2	4.835557E-3	3.947152E-3	5.145902E-1	8.989180E-4	5.976127E-3	5.421761E-3	2.973852E-3
7/26/2017  09:39:57.877128	5.632489E-2	6.398387E-3	5.371618E-3	3.095104E-1	4.031486E-4	5.057285E-3	4.702981E-3	2.103459E-3
7/26/2017  09:39:57.977128	1.159911E-2	4.042239E-3	4.443311E-3	1.130106E-1	1.832945E-3	3.438428E-3	3.002836E-3	7.590680E-5
7/26/2017  09:39:58.077128	1.062152E-2	9.995652E-4	1.770903E-3	7.671069E-2	3.158370E-3	1.242839E-3	6.134007E-4	2.011414E-3
7/26/2017  09:39:58.177128	4.613893E-4	5.459156E-3	2.771977E-4	2.608758E-1	3.391829E-3	6.937811E-4	1.828536E-3	2.715030E-3
7/26/2017  09:39:58.277128	3.152963E-2	6.601541E-3	5.330270E-4	4.380975E-1	1.844896E-3	1.409751E-3	3.806774E-3	2.445366E-3
7/26/2017  09:39:58.377128	5.699990E-2	4.375454E-3	3.426583E-5	6.058035E-1	5.695277E-4	8.643636E-4	5.176093E-3	1.828389E-3
7/26/2017  09:39:58.477128	6.055767E-2	8.425647E-4	8.410026E-5	7.624266E-1	2.285094E-3	1.168721E-4	6.097215E-3	1.141424E-3
