	Minimum	Maximum	Mean	Std Dev	Mean%	Std Dev %
Wfm1	0.000009	3.444172	1.722090	1.516594	22.619061	19.919939
Wfm2	0.000000	0.020366	0.010183	0.006763	51.293418	34.066454
Wfm3	0.000000	0.022733	0.011367	0.007568	53.252105	35.457127
Wfm4	0.069198	7.458796	3.763997	2.269002	50.463954	30.420543
Wfm5	0.000000	0.013198	0.006599	0.004629	55.787879	39.136891
Wfm6	0.000000	0.022162	0.011081	0.007090	50.246278	32.148493
Wfm7	0.000001	0.069126	0.034563	0.021148	48.842910	29.885379
Wfm8	0.000000	0.009560	0.004780	0.003346	52.632597	36.838183
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247	7/26/2017  09:36:28.703247
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/26/2017  09:36:28.703247	4.811159E-4	1.201803E-4	3.950397E-4	1.513834E-1	1.783485E-4	2.885590E-4	1.181474E-3	5.432430E-5
7/26/2017  09:36:28.803247	7.974932E-3	1.013322E-3	2.511510E-3	9.914729E-1	1.054523E-3	2.002835E-3	8.038707E-3	3.180339E-4
7/26/2017  09:36:28.903247	4.520616E-2	3.592378E-3	7.197404E-3	2.991537E+0	3.045551E-3	6.328984E-3	2.497850E-2	5.999843E-4
7/26/2017  09:36:29.003247	1.466223E-1	7.454924E-3	1.250413E-2	5.605473E+0	5.753999E-3	1.232730E-2	4.773647E-2	1.005078E-5
7/26/2017  09:36:29.103247	3.311590E-1	1.066726E-2	1.496012E-2	7.422633E+0	7.770306E-3	1.704696E-2	6.387241E-2	1.722763E-3
7/26/2017  09:36:29.203247	5.720229E-1	1.159772E-2	1.328106E-2	7.456817E+0	7.592108E-3	1.829830E-2	6.431296E-2	3.155741E-3
7/26/2017  09:36:29.303247	7.847575E-1	9.757100E-3	9.492287E-3	5.904039E+0	5.175202E-3	1.607295E-2	5.057221E-2	2.873322E-3
7/26/2017  09:36:29.403247	8.565095E-1	5.918690E-3	6.635964E-3	3.750715E+0	2.056578E-3	1.165626E-2	3.131805E-2	1.171750E-3
7/26/2017  09:36:29.503247	7.164023E-1	2.302804E-3	5.774684E-3	1.936481E+0	1.617959E-4	6.527417E-3	1.503041E-2	6.670929E-4
7/26/2017  09:36:29.603247	3.920097E-1	9.671683E-4	5.411551E-3	8.321542E-1	9.678651E-4	2.064596E-3	5.438199E-3	1.578037E-3
7/26/2017  09:36:29.703247	8.529199E-5	1.734742E-3	3.672520E-3	2.651117E-1	8.275541E-4	6.731000E-4	1.401349E-3	1.318286E-3
7/26/2017  09:36:29.803247	3.204877E-1	2.653930E-3	4.165557E-4	1.375653E-1	5.192532E-4	1.631061E-3	7.152851E-4	3.430042E-4
7/26/2017  09:36:29.903247	4.842863E-1	2.238756E-3	2.837908E-3	6.313954E-1	7.298751E-4	1.861383E-3	4.173999E-3	7.609688E-4
7/26/2017  09:36:30.003247	4.957620E-1	6.468456E-4	4.762167E-3	1.247824E+0	1.566210E-3	2.547473E-3	9.578577E-3	1.387384E-3
7/26/2017  09:36:30.103247	4.284252E-1	1.212624E-3	5.443389E-3	1.874923E+0	2.101922E-3	3.992686E-3	1.511342E-2	1.025850E-3
7/26/2017  09:36:30.203247	3.662466E-1	2.858669E-3	5.593088E-3	2.394521E+0	1.444250E-3	5.488245E-3	1.935174E-2	1.845575E-4
7/26/2017  09:36:30.303247	3.529119E-1	4.141439E-3	5.595539E-3	2.763625E+0	3.227167E-4	6.261760E-3	2.280824E-2	1.235578E-3
7/26/2017  09:36:30.403247	3.825224E-1	4.920748E-3	5.779691E-3	3.011717E+0	2.263538E-4	6.525008E-3	2.632021E-2	9.659796E-4
7/26/2017  09:36:30.503247	4.236381E-1	5.240245E-3	6.563601E-3	3.193249E+0	1.434402E-3	7.216985E-3	2.923339E-2	5.549624E-4
7/26/2017  09:36:30.603247	4.482566E-1	5.148814E-3	7.798286E-3	3.345783E+0	3.162705E-3	8.574338E-3	3.014733E-2	1.538327E-3
7/26/2017  09:36:30.703247	4.474514E-1	4.508089E-3	8.768776E-3	3.477036E+0	4.498766E-3	9.382466E-3	2.893943E-2	1.182371E-4
7/26/2017  09:36:30.803247	4.285656E-1	3.433235E-3	9.113560E-3	3.575546E+0	4.756920E-3	8.311546E-3	2.720613E-2	3.312704E-3
7/26/2017  09:36:30.903247	4.031335E-1	2.336965E-3	9.039492E-3	3.628177E+0	4.033052E-3	6.004259E-3	2.675721E-2	6.012465E-3
7/26/2017  09:36:31.003247	3.791789E-1	1.196424E-3	8.586830E-3	3.631054E+0	3.016453E-3	5.093139E-3	2.812765E-2	5.790464E-3
7/26/2017  09:36:31.103247	3.576124E-1	1.465770E-4	7.429870E-3	3.590195E+0	2.217528E-3	7.310723E-3	3.024340E-2	3.193079E-3
7/26/2017  09:36:31.203247	3.313803E-1	7.021627E-4	5.777246E-3	3.515979E+0	2.016807E-3	1.114165E-2	3.139148E-2	2.982491E-4
7/26/2017  09:36:31.303247	2.936016E-1	3.997820E-3	4.651560E-3	3.417219E+0	2.679643E-3	1.359242E-2	3.084294E-2	1.258505E-3
7/26/2017  09:36:31.403247	2.471033E-1	8.523612E-3	4.564528E-3	3.298560E+0	3.841442E-3	1.333391E-2	2.908323E-2	1.082334E-3
7/26/2017  09:36:31.503247	2.003043E-1	1.166106E-2	4.877207E-3	3.161572E+0	4.624166E-3	1.107288E-2	2.681856E-2	1.772720E-4
7/26/2017  09:36:31.603247	1.567439E-1	1.226033E-2	4.931583E-3	3.007189E+0	4.499762E-3	8.319024E-3	2.484229E-2	4.840970E-5
7/26/2017  09:36:31.703247	1.149289E-1	1.078613E-2	4.799270E-3	2.836948E+0	3.878623E-3	6.498406E-3	2.391031E-2	1.056884E-3
7/26/2017  09:36:31.803247	7.442948E-2	8.288179E-3	4.822696E-3	2.652572E+0	3.813826E-3	6.077300E-3	2.366989E-2	2.034381E-3
7/26/2017  09:36:31.903247	3.681159E-2	5.828646E-3	5.184639E-3	2.455734E+0	4.754067E-3	6.250630E-3	2.273037E-2	1.733433E-3
7/26/2017  09:36:32.003247	3.433526E-3	4.290615E-3	5.764311E-3	2.248809E+0	5.666413E-3	5.944989E-3	2.035005E-2	2.509357E-4
7/26/2017  09:36:32.103247	2.433519E-2	4.043487E-3	6.065084E-3	2.035163E+0	5.287874E-3	4.966020E-3	1.723249E-2	1.204395E-3
7/26/2017  09:36:32.203247	4.342986E-2	4.582668E-3	5.646318E-3	1.818106E+0	3.599799E-3	3.912563E-3	1.473158E-2	1.586779E-3
