	Minimum	Maximum	Mean	Std Dev	Mean%	Std Dev %
Wfm1	0.000001	1.861964	0.930983	0.766899	12.228138	10.072948
Wfm2	0.000001	0.022826	0.011413	0.007699	57.491534	38.781650
Wfm3	0.000000	0.023799	0.011900	0.007937	55.749699	37.184362
Wfm4	0.068085	7.458796	3.763441	2.268656	50.456495	30.415895
Wfm5	0.000000	0.012664	0.006332	0.004294	53.532120	36.297191
Wfm6	0.000000	0.023783	0.011891	0.007777	53.919746	35.265145
Wfm7	0.000000	0.071300	0.035650	0.021906	50.378757	30.956096
Wfm8	0.000001	0.012158	0.006079	0.004521	66.938903	49.784035
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920	7/26/2017  09:30:39.593920
delta t	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
7/26/2017  09:30:39.593920	9.958890E-3	1.956140E-4	3.950397E-4	1.514966E-1	6.492621E-5	2.885590E-4	1.256880E-3	2.111171E-5
7/26/2017  09:30:39.693920	6.578283E-2	1.394162E-3	2.398299E-3	9.919880E-1	5.764100E-4	1.965116E-3	8.230891E-3	2.509959E-5
7/26/2017  09:30:39.793920	1.995196E-1	4.568051E-3	6.720181E-3	2.992518E+0	2.084075E-3	6.081975E-3	2.490781E-2	2.861824E-4
7/26/2017  09:30:39.893920	3.722599E-1	9.229724E-3	1.177087E-2	5.606561E+0	4.380195E-3	1.161980E-2	4.686980E-2	9.807868E-4
7/26/2017  09:30:39.993920	4.791207E-1	1.303127E-2	1.476974E-2	7.423533E+0	6.228713E-3	1.585998E-2	6.229569E-2	1.153018E-3
7/26/2017  09:30:40.093920	4.373604E-1	1.374296E-2	1.442747E-2	7.457325E+0	6.377022E-3	1.694775E-2	6.270137E-2	8.359535E-5
7/26/2017  09:30:40.193920	2.472235E-1	1.124969E-2	1.170569E-2	5.903582E+0	4.713908E-3	1.494238E-2	4.964200E-2	1.329098E-3
7/26/2017  09:30:40.293920	1.977368E-2	7.447965E-3	8.418528E-3	3.748720E+0	2.505420E-3	1.120820E-2	3.168295E-2	1.848227E-3
7/26/2017  09:30:40.393920	2.669519E-1	4.327857E-3	5.616389E-3	1.933237E+0	1.158002E-3	7.435853E-3	1.701573E-2	1.419337E-3
7/26/2017  09:30:40.493920	4.176329E-1	2.430021E-3	3.332238E-3	8.287776E-1	8.700561E-4	4.415538E-3	8.353331E-3	7.178285E-4
7/26/2017  09:30:40.593920	4.448950E-1	1.217231E-3	1.247571E-3	2.626032E-1	9.220003E-4	1.712029E-3	3.474943E-3	3.955433E-4
7/26/2017  09:30:40.693920	3.772383E-1	2.536916E-4	9.397891E-4	1.387256E-1	6.832375E-4	1.109261E-3	7.489385E-4	6.598747E-4
7/26/2017  09:30:40.793920	2.749615E-1	3.740058E-4	3.353564E-3	6.309497E-1	2.384449E-5	3.646898E-3	5.681288E-3	1.090336E-3
7/26/2017  09:30:40.893920	1.914117E-1	5.633719E-4	5.605549E-3	1.246160E+0	6.964944E-4	5.331470E-3	1.102734E-2	1.097262E-3
7/26/2017  09:30:40.993920	1.502223E-1	7.733736E-4	6.893423E-3	1.873607E+0	1.190240E-3	6.091371E-3	1.591559E-2	5.223916E-4
7/26/2017  09:30:41.093920	1.501911E-1	1.784617E-3	6.983377E-3	2.394938E+0	1.839355E-3	6.313364E-3	1.961326E-2	3.577021E-4
7/26/2017  09:30:41.193920	1.784302E-1	3.805093E-3	6.552301E-3	2.765220E+0	3.156256E-3	6.497562E-3	2.175243E-2	1.268527E-3
7/26/2017  09:30:41.293920	2.175396E-1	6.030741E-3	6.125266E-3	3.012703E+0	4.952050E-3	6.713005E-3	2.248638E-2	2.017323E-3
7/26/2017  09:30:41.393920	2.511962E-1	7.340312E-3	5.621893E-3	3.192555E+0	6.409663E-3	6.615696E-3	2.266533E-2	2.464771E-3
7/26/2017  09:30:41.493920	2.661167E-1	7.394453E-3	5.020888E-3	3.343434E+0	6.653032E-3	6.378875E-3	2.359308E-2	2.721989E-3
7/26/2017  09:30:41.593920	2.471268E-1	6.821127E-3	4.661228E-3	3.473050E+0	5.388981E-3	6.886197E-3	2.621789E-2	2.702456E-3
7/26/2017  09:30:41.693920	1.799680E-1	6.342734E-3	4.859685E-3	3.569592E+0	3.490776E-3	8.334412E-3	2.995742E-2	1.884955E-3
7/26/2017  09:30:41.793920	6.823535E-2	6.114013E-3	5.451129E-3	3.620560E+0	2.376126E-3	9.710816E-3	3.272805E-2	4.175054E-4
7/26/2017  09:30:41.893920	5.925323E-2	5.967008E-3	5.764390E-3	3.623374E+0	2.276702E-3	1.023815E-2	3.308235E-2	5.285358E-4
7/26/2017  09:30:41.993920	1.681934E-1	5.870323E-3	5.137281E-3	3.584716E+0	2.164734E-3	1.004835E-2	3.152516E-2	2.167014E-4
7/26/2017  09:30:42.093920	2.448772E-1	5.899625E-3	3.747204E-3	3.514225E+0	1.574012E-3	9.474712E-3	2.946030E-2	8.494033E-4
7/26/2017  09:30:42.193920	2.968942E-1	5.992688E-3	2.901963E-3	3.419028E+0	1.112043E-3	8.900975E-3	2.803521E-2	1.657161E-3
7/26/2017  09:30:42.293920	3.302950E-1	6.056743E-3	3.831110E-3	3.302565E+0	1.145058E-3	8.750812E-3	2.766151E-2	1.449476E-3
7/26/2017  09:30:42.393920	3.357905E-1	6.070620E-3	6.224232E-3	3.166435E+0	1.229017E-3	8.884688E-3	2.782859E-2	2.241386E-4
7/26/2017  09:30:42.493920	3.002965E-1	6.009241E-3	8.565679E-3	3.011832E+0	9.141013E-4	8.677715E-3	2.774980E-2	1.202818E-3
7/26/2017  09:30:42.593920	2.252112E-1	6.007183E-3	9.616900E-3	2.840140E+0	3.492678E-4	7.715782E-3	2.712557E-2	1.981085E-3
7/26/2017  09:30:42.693920	1.277242E-1	6.532234E-3	9.117803E-3	2.653881E+0	7.289775E-5	5.940836E-3	2.589402E-2	1.950431E-3
7/26/2017  09:30:42.793920	2.647218E-2	8.038271E-3	7.504340E-3	2.456640E+0	4.172077E-4	3.790824E-3	2.385111E-2	1.619648E-3
7/26/2017  09:30:42.893920	6.736094E-2	9.972630E-3	5.527551E-3	2.251354E+0	1.098785E-3	2.312304E-3	2.100215E-2	1.453505E-3
7/26/2017  09:30:42.993920	1.454522E-1	1.057182E-2	4.061962E-3	2.039676E+0	1.747823E-3	2.082280E-3	1.777477E-2	1.310435E-3
7/26/2017  09:30:43.093920	1.965926E-1	8.657284E-3	3.516428E-3	1.823132E+0	2.697749E-3	2.399157E-3	1.468704E-2	1.049018E-3
7/26/2017  09:30:43.193920	2.064145E-1	5.076844E-3	3.214279E-3	1.603607E+0	4.016924E-3	2.365741E-3	1.220604E-2	1.032059E-3
7/26/2017  09:30:43.293920	1.613257E-1	1.707135E-3	2.340376E-3	1.382827E+0	4.266579E-3	1.906467E-3	1.070918E-2	1.444476E-3
7/26/2017  09:30:43.393920	6.209041E-2	6.408769E-5	1.533316E-3	1.162437E+0	2.188560E-3	1.495431E-3	9.924250E-3	1.787164E-3
7/26/2017  09:30:43.493920	6.232021E-2	1.286634E-4	2.456931E-3	9.441429E-1	1.246431E-3	1.529054E-3	8.899647E-3	1.416787E-3
7/26/2017  09:30:43.593920	1.657327E-1	1.417911E-3	5.361318E-3	7.293885E-1	3.942644E-3	1.651493E-3	7.256301E-3	4.486629E-4
7/26/2017  09:30:43.693920	2.127871E-1	2.158091E-3	8.221623E-3	5.194231E-1	4.725834E-3	9.118980E-4	5.619763E-3	2.201995E-4
7/26/2017  09:30:43.793920	1.955368E-1	1.349683E-3	9.137193E-3	3.152021E-1	3.805101E-3	8.802718E-4	4.553664E-3	1.100053E-4
7/26/2017  09:30:43.893920	1.333554E-1	3.130936E-4	7.838736E-3	1.169929E-1	2.072251E-3	2.636582E-3	3.981404E-3	1.247674E-3
7/26/2017  09:30:43.993920	5.754842E-2	1.008221E-3	4.768774E-3	7.492915E-2	2.675334E-4	3.221505E-3	3.267946E-3	2.239133E-3
7/26/2017  09:30:44.093920	1.133520E-2	9.811101E-5	7.244667E-4	2.594248E-1	1.160848E-3	2.566141E-3	1.530691E-3	2.155666E-3
7/26/2017  09:30:44.193920	6.730786E-2	1.348394E-3	3.076482E-3	4.352427E-1	2.108084E-3	1.297531E-3	1.534427E-3	1.005600E-3
7/26/2017  09:30:44.293920	1.041649E-1	2.377665E-4	5.676534E-3	6.018257E-1	3.080652E-3	2.334991E-5	5.279317E-3	4.082507E-4
7/26/2017  09:30:44.393920	1.131624E-1	3.384188E-3	6.974401E-3	7.585244E-1	4.014504E-3	5.237701E-4	8.454230E-3	1.442065E-3
7/26/2017  09:30:44.493920	9.440576E-2	6.929859E-3	7.361308E-3	9.041950E-1	3.244075E-3	2.935671E-4	9.763465E-3	1.723283E-3
7/26/2017  09:30:44.593920	5.698733E-2	8.057849E-3	7.113001E-3	1.038605E+0	3.466782E-4	2.159536E-3	8.918420E-3	8.494433E-4
7/26/2017  09:30:44.693920	9.044574E-3	6.813108E-3	6.622645E-3	1.162676E+0	4.864821E-3	4.122746E-3	7.155095E-3	7.173186E-4
7/26/2017  09:30:44.793920	4.313997E-2	4.515076E-3	6.155582E-3	1.276716E+0	7.360217E-3	5.278148E-3	6.175402E-3	1.357694E-3
7/26/2017  09:30:44.893920	8.923566E-2	2.003769E-3	5.459750E-3	1.380644E+0	7.655474E-3	5.063183E-3	7.015423E-3	3.445602E-4
7/26/2017  09:30:44.993920	1.169019E-1	2.431959E-4	4.733056E-3	1.474859E+0	7.422722E-3	4.077063E-3	9.559300E-3	1.232746E-3
7/26/2017  09:30:45.093920	1.205508E-1	1.273759E-3	4.436561E-3	1.558683E+0	7.029426E-3	3.546023E-3	1.232525E-2	2.225724E-3
7/26/2017  09:30:45.193920	1.069500E-1	1.173118E-4	3.994949E-3	1.630699E+0	6.297686E-3	3.594799E-3	1.386622E-2	2.484595E-3
7/26/2017  09:30:45.293920	9.149025E-2	3.825916E-3	2.616705E-3	1.691034E+0	5.467054E-3	3.476556E-3	1.441760E-2	2.449836E-3
7/26/2017  09:30:45.393920	8.471145E-2	7.305728E-3	7.623442E-4	1.740692E+0	4.225934E-3	2.789475E-3	1.477839E-2	2.438497E-3
7/26/2017  09:30:45.493920	8.448232E-2	7.497655E-3	4.818621E-4	1.780707E+0	2.669508E-3	1.795174E-3	1.511564E-2	1.976538E-3
7/26/2017  09:30:45.593920	8.705543E-2	4.173688E-3	8.101780E-4	1.812438E+0	1.643213E-3	1.311613E-3	1.560440E-2	4.971423E-4
7/26/2017  09:30:45.693920	9.966679E-2	1.451176E-4	5.603054E-4	1.835975E+0	1.024178E-3	1.861047E-3	1.624984E-2	1.261578E-3
7/26/2017  09:30:45.793920	1.326255E-1	1.744333E-3	1.816222E-4	1.849949E+0	2.713154E-4	2.789394E-3	1.668202E-2	1.708924E-3
7/26/2017  09:30:45.893920	1.806777E-1	5.991099E-4	1.356159E-3	1.853865E+0	4.412757E-4	3.057514E-3	1.718065E-2	3.644768E-4
7/26/2017  09:30:45.993920	2.196362E-1	3.002487E-3	2.523315E-3	1.848457E+0	1.353732E-3	2.567931E-3	1.851442E-2	1.673072E-3
7/26/2017  09:30:46.093920	2.228324E-1	7.541869E-3	3.493639E-3	1.834423E+0	3.426989E-3	1.994607E-3	2.053831E-2	3.634540E-3
7/26/2017  09:30:46.193920	1.768503E-1	1.078099E-2	4.607714E-3	1.811935E+0	6.651362E-3	1.667912E-3	2.191484E-2	5.567214E-3
7/26/2017  09:30:46.293920	1.008770E-3	1.578972E-4	2.063543E-4	1.514966E-1	3.673857E-4	2.885590E-4	1.294583E-3	9.654772E-5
7/26/2017  09:30:46.393920	6.493031E-3	1.147167E-3	1.502294E-3	9.919880E-1	2.027813E-3	2.040554E-3	8.553202E-3	5.568231E-4
7/26/2017  09:30:46.493920	2.058451E-2	3.860589E-3	4.914541E-3	2.992518E+0	5.009466E-3	6.575994E-3	2.599571E-2	1.413505E-3
7/26/2017  09:30:46.593920	4.435369E-2	8.155961E-3	9.821249E-3	5.606485E+0	7.464390E-3	1.292165E-2	4.895619E-2	2.121290E-3
7/26/2017  09:30:46.693920	7.264607E-2	1.230862E-2	1.395538E-2	7.423038E+0	7.692171E-3	1.760607E-2	6.488830E-2	2.186746E-3
7/26/2017  09:30:46.793920	9.137747E-2	1.414472E-2	1.573614E-2	7.456022E+0	5.939562E-3	1.807879E-2	6.494802E-2	1.688049E-3
7/26/2017  09:30:46.893920	8.325405E-2	1.281310E-2	1.511852E-2	5.901835E+0	3.452878E-3	1.494495E-2	5.126687E-2	7.416483E-4
7/26/2017  09:30:46.993920	4.359450E-2	9.487983E-3	1.242919E-2	3.747625E+0	1.254340E-3	1.041599E-2	3.292560E-2	7.659727E-4
