waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/12/2017  17:07:19.277588	1.583950E-2	2.499644E-2	2.286426E-2	1.428619E-2	1.070104E-2	1.937552E-2	1.780726E-2	8.016278E-3
10/12/2017  17:07:19.278588	1.618480E-3	8.320327E-3	1.106773E-2	8.793588E-3	3.022167E-3	2.883378E-2	2.975827E-2	3.348846E-2
10/12/2017  17:07:19.279588	3.638647E-2	4.348406E-2	3.386055E-2	6.269594E-2	6.177477E-3	2.329277E-2	1.950775E-2	1.984273E-2
10/12/2017  17:07:19.280588	1.198364E-2	2.027987E-2	2.977322E-2	6.598881E-2	2.102528E-2	3.081843E-2	2.814059E-2	1.737945E-2
10/12/2017  17:07:19.281588	8.729124E-3	1.069002E-2	1.389395E-2	4.753345E-2	4.058162E-3	1.101765E-2	1.938073E-3	3.549482E-3
10/12/2017  17:07:19.282588	8.645687E-3	7.019549E-3	2.148353E-2	2.831583E-2	9.186434E-3	2.178482E-2	3.916985E-2	3.732569E-2
10/12/2017  17:07:19.283588	5.737764E-2	4.115426E-2	4.588895E-2	3.956528E-2	1.916710E-2	4.849845E-2	3.446654E-2	2.883177E-2
10/12/2017  17:07:19.284588	6.385194E-2	4.257205E-2	4.011828E-2	3.105712E-2	6.166062E-3	3.352749E-2	2.122201E-2	3.902070E-2
10/12/2017  17:07:19.285588	9.647220E-3	1.372139E-2	1.702828E-2	2.369130E-2	7.457142E-3	3.871278E-2	4.116254E-2	5.341995E-2
10/12/2017  17:07:19.286588	3.271119E-2	2.255960E-2	4.287420E-2	1.736895E-2	2.976955E-2	4.290676E-2	3.647883E-2	3.545303E-2
10/12/2017  17:07:19.287588	2.181336E-2	1.271596E-2	1.030744E-3	1.199609E-2	9.615122E-3	1.226847E-2	7.465990E-3	1.598443E-2
10/12/2017  17:07:19.288588	1.532184E-2	1.668418E-2	1.765102E-2	7.483558E-3	3.542897E-3	1.982215E-4	1.504769E-2	1.007796E-2
10/12/2017  17:07:19.289588	9.278054E-3	1.622509E-3	5.195994E-3	2.733483E-3	2.828212E-2	2.337653E-2	1.706092E-2	2.150263E-2
10/12/2017  17:07:19.290588	4.738192E-3	4.816792E-3	1.121021E-2	1.444743E-2	4.433196E-3	1.996800E-2	1.798041E-2	2.404704E-2
10/12/2017  17:07:19.291588	7.940344E-3	1.582380E-2	1.983179E-5	5.730466E-3	4.385909E-3	4.959266E-3	1.143755E-2	7.637842E-3
10/12/2017  17:07:19.292588	2.733505E-2	1.446401E-2	1.786214E-2	4.305459E-4	6.670494E-3	2.049007E-2	1.918031E-2	1.496564E-2
10/12/2017  17:07:19.293588	1.213254E-2	1.499063E-2	4.015144E-3	1.386853E-3	9.588932E-3	3.178922E-3	1.061200E-4	6.620623E-3
10/12/2017  17:07:19.294588	5.675353E-2	4.916055E-2	3.701942E-2	6.974279E-2	4.997985E-3	2.517831E-2	1.002461E-2	1.538744E-2
10/12/2017  17:07:19.295588	6.459300E-2	5.187397E-2	6.327155E-2	1.179039E-1	2.598340E-2	4.646481E-2	4.680683E-2	4.896993E-2
10/12/2017  17:07:19.296588	1.943074E-2	1.361356E-3	5.315894E-3	4.479125E-3	1.220521E-2	9.714482E-3	6.173145E-3	2.102161E-2
10/12/2017  17:07:19.297588	1.241623E-2	1.044887E-3	5.512616E-3	2.361432E-3	1.771656E-2	9.094505E-3	1.078370E-2	1.341550E-2
10/12/2017  17:07:19.298588	3.325874E-2	4.301212E-2	3.498323E-2	7.057829E-2	4.936721E-3	8.598479E-3	7.764240E-3	5.650658E-3
10/12/2017  17:07:19.299588	4.083361E-2	5.387355E-2	5.005659E-2	6.087660E-2	1.805713E-2	3.624980E-2	3.578478E-2	2.395645E-2
10/12/2017  17:07:19.300588	4.052211E-2	3.150757E-2	3.084557E-2	4.709591E-2	2.090505E-2	3.531919E-2	3.515468E-2	4.071422E-2
10/12/2017  17:07:19.301588	5.163390E-2	3.139244E-2	5.028856E-2	3.509765E-2	2.201425E-2	4.176172E-2	5.045467E-2	5.761416E-2
10/12/2017  17:07:19.302588	5.947385E-2	4.716143E-2	4.465481E-2	2.474625E-2	8.568354E-3	3.396861E-3	5.127156E-3	1.102999E-2
10/12/2017  17:07:19.303588	1.330111E-2	1.949994E-2	2.100457E-2	1.591029E-2	2.161660E-2	3.803494E-2	3.676823E-2	2.648750E-2
10/12/2017  17:07:19.304588	3.812763E-2	1.563891E-2	2.580367E-3	8.462622E-3	7.562659E-3	5.978703E-3	7.197393E-3	8.099855E-3
10/12/2017  17:07:19.305588	6.145892E-3	1.417746E-2	1.563249E-2	2.280445E-3	2.917713E-4	5.401049E-3	2.252897E-3	1.574253E-2
10/12/2017  17:07:19.306588	3.061684E-2	1.385239E-2	2.637576E-2	2.754510E-3	4.393206E-4	8.637755E-3	7.468873E-3	3.626012E-3
10/12/2017  17:07:19.307588	2.165456E-2	6.911966E-3	5.264412E-3	6.755840E-3	3.581724E-3	3.649294E-3	2.731603E-2	3.296533E-2
