waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938	10/12/2017  17:07:19.294938
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/12/2017  17:07:19.277588	1.401238E+0	1.402130E+0	1.403599E+0	-1.019997E+1	1.371151E+0	1.398302E+0	1.394366E+0	1.387555E+0
10/12/2017  17:07:19.278588	1.391070E+0	1.371604E+0	1.373056E+0	-1.020252E+1	1.383901E+0	1.416110E+0	1.414709E+0	1.420625E+0
10/12/2017  17:07:19.279588	1.434283E+0	1.430112E+0	1.423960E+0	-1.013632E+1	1.389001E+0	1.421198E+0	1.414709E+0	1.418082E+0
10/12/2017  17:07:19.280588	1.421573E+0	1.419937E+0	1.434141E+0	-1.010832E+1	1.409400E+0	1.441550E+0	1.435052E+0	1.425713E+0
10/12/2017  17:07:19.281588	1.406322E+0	1.394499E+0	1.398508E+0	-1.021270E+1	1.389001E+0	1.408478E+0	1.414709E+0	1.420625E+0
10/12/2017  17:07:19.282588	1.429199E+0	1.399586E+0	1.390873E+0	-1.019997E+1	1.383901E+0	1.398302E+0	1.376565E+0	1.379923E+0
10/12/2017  17:07:19.283588	1.360566E+0	1.361429E+0	1.360330E+0	-1.021779E+1	1.371151E+0	1.365230E+0	1.374022E+0	1.382467E+0
10/12/2017  17:07:19.284588	1.337688E+0	1.348710E+0	1.355240E+0	-1.021779E+1	1.381351E+0	1.370318E+0	1.381651E+0	1.364659E+0
10/12/2017  17:07:19.285588	1.380902E+0	1.369060E+0	1.370511E+0	-1.021779E+1	1.378801E+0	1.355054E+0	1.353679E+0	1.336676E+0
10/12/2017  17:07:19.286588	1.350398E+0	1.353797E+0	1.334878E+0	-1.021779E+1	1.350752E+0	1.337246E+0	1.346051E+0	1.339220E+0
10/12/2017  17:07:19.287588	1.350398E+0	1.356341E+0	1.370511E+0	-1.021779E+1	1.386451E+0	1.385582E+0	1.384194E+0	1.385011E+0
10/12/2017  17:07:19.288588	1.383444E+0	1.384323E+0	1.388327E+0	-1.021779E+1	1.373701E+0	1.372862E+0	1.358765E+0	1.357028E+0
10/12/2017  17:07:19.289588	1.378360E+0	1.366516E+0	1.378147E+0	-1.021015E+1	1.409400E+0	1.398302E+0	1.389280E+0	1.387555E+0
10/12/2017  17:07:19.290588	1.373276E+0	1.371604E+0	1.385782E+0	-1.019743E+1	1.391551E+0	1.400846E+0	1.394366E+0	1.395186E+0
10/12/2017  17:07:19.291588	1.375818E+0	1.384323E+0	1.375601E+0	-1.021779E+1	1.383901E+0	1.377950E+0	1.391823E+0	1.382467E+0
10/12/2017  17:07:19.292588	1.398696E+0	1.386867E+0	1.395963E+0	-1.021525E+1	1.396651E+0	1.405934E+0	1.404537E+0	1.392642E+0
10/12/2017  17:07:19.293588	1.388528E+0	1.391955E+0	1.385782E+0	-1.021525E+1	1.381351E+0	1.385582E+0	1.389280E+0	1.387555E+0
10/12/2017  17:07:19.294588	1.444451E+0	1.437744E+0	1.426505E+0	-1.013632E+1	1.396651E+0	1.418654E+0	1.401994E+0	1.400274E+0
10/12/2017  17:07:19.295588	1.474955E+0	1.460639E+0	1.472319E+0	-1.005486E+1	1.424700E+0	1.454270E+0	1.450310E+0	1.446065E+0
10/12/2017  17:07:19.296588	1.449535E+0	1.425025E+0	1.418870E+0	-1.015160E+1	1.391551E+0	1.408478E+0	1.422338E+0	1.433345E+0
10/12/2017  17:07:19.297588	1.426657E+0	1.432656E+0	1.436686E+0	-1.014142E+1	1.383901E+0	1.411022E+0	1.409623E+0	1.405362E+0
10/12/2017  17:07:19.298588	1.406322E+0	1.389411E+0	1.398508E+0	-1.021270E+1	1.406850E+0	1.413566E+0	1.414709E+0	1.415538E+0
10/12/2017  17:07:19.299588	1.393612E+0	1.369060E+0	1.375601E+0	-1.021779E+1	1.383901E+0	1.383038E+0	1.384194E+0	1.397730E+0
10/12/2017  17:07:19.300588	1.385986E+0	1.381779E+0	1.385782E+0	-1.021779E+1	1.376251E+0	1.375406E+0	1.376565E+0	1.374835E+0
10/12/2017  17:07:19.301588	1.363108E+0	1.374148E+0	1.355240E+0	-1.021779E+1	1.368601E+0	1.357598E+0	1.348593E+0	1.344308E+0
10/12/2017  17:07:19.302588	1.337688E+0	1.346166E+0	1.345059E+0	-1.021779E+1	1.396651E+0	1.388126E+0	1.384194E+0	1.379923E+0
10/12/2017  17:07:19.303588	1.401238E+0	1.361429E+0	1.355240E+0	-1.021779E+1	1.363501E+0	1.344878E+0	1.343508E+0	1.357028E+0
10/12/2017  17:07:19.304588	1.342772E+0	1.356341E+0	1.365421E+0	-1.021779E+1	1.389001E+0	1.380494E+0	1.379108E+0	1.367203E+0
10/12/2017  17:07:19.305588	1.363108E+0	1.381779E+0	1.380692E+0	-1.021779E+1	1.381351E+0	1.365230E+0	1.371480E+0	1.351940E+0
10/12/2017  17:07:19.306588	1.398696E+0	1.381779E+0	1.393418E+0	-1.021779E+1	1.378801E+0	1.375406E+0	1.356222E+0	1.364659E+0
10/12/2017  17:07:19.307588	1.393612E+0	1.374148E+0	1.373056E+0	-1.021779E+1	1.381351E+0	1.367774E+0	1.389280E+0	1.395186E+0
