waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
12/31/1903  19:00:00.000000	2.085117E-2	1.061210E-4	2.054664E-2	1.513834E-1	2.048094E-2	2.061911E-2	2.082472E-2	2.098782E-2
12/31/1903  19:00:00.000500	1.371505E-1	6.195174E-4	1.353834E-1	9.894346E-1	1.345766E-1	1.360084E-1	1.372037E-1	1.381589E-1
12/31/1903  19:00:00.001000	4.155702E-1	1.564944E-3	4.108522E-1	2.979585E+0	4.073142E-1	4.131943E-1	4.162664E-1	4.188628E-1
12/31/1903  19:00:00.001500	7.816684E-1	2.191000E-3	7.735701E-1	5.573970E+0	7.653671E-1	7.789220E-1	7.835468E-1	7.879440E-1
12/31/1903  19:00:00.002000	1.038365E+0	1.663872E-3	1.027808E+0	7.372337E+0	1.015935E+0	1.036302E+0	1.040937E+0	1.046074E+0
12/31/1903  19:00:00.002500	1.045823E+0	1.689668E-4	1.034560E+0	7.401512E+0	1.022397E+0	1.044051E+0	1.047569E+0	1.051802E+0
12/31/1903  19:00:00.003000	8.296878E-1	1.217473E-3	8.197614E-1	5.860105E+0	8.096256E-1	8.262174E-1	8.285785E-1	8.309561E-1
12/31/1903  19:00:00.003500	5.268175E-1	1.521558E-3	5.197776E-1	3.728326E+0	5.122834E-1	5.198753E-1	5.212623E-1	5.219770E-1
12/31/1903  19:00:00.004000	2.677956E-1	5.315636E-4	2.643576E-1	1.938262E+0	2.605669E-1	2.586237E-1	2.588689E-1	2.586912E-1
12/31/1903  19:00:00.004500	1.052887E-1	9.209046E-4	1.053375E-1	8.548415E-1	1.071995E-1	9.879471E-2	9.713497E-2	9.689790E-2
12/31/1903  19:00:00.005000	1.839103E-2	1.404316E-3	2.122924E-2	3.015552E-1	2.926312E-2	1.950753E-2	1.445665E-2	1.457578E-2
12/31/1903  19:00:00.005500	4.200164E-2	3.376259E-4	3.682834E-2	9.547678E-2	2.491423E-2	3.283743E-2	4.208951E-2	4.239942E-2
12/31/1903  19:00:00.006000	1.120706E-1	1.394219E-3	1.041784E-1	5.895851E-1	9.144517E-2	9.905997E-2	1.105387E-1	1.134056E-1
12/31/1903  19:00:00.006500	2.003842E-1	2.683675E-3	1.884178E-1	1.209136E+0	1.755681E-1	1.876674E-1	1.975150E-1	2.049835E-1
12/31/1903  19:00:00.007000	2.946779E-1	3.330768E-3	2.767754E-1	1.840396E+0	2.618411E-1	2.820296E-1	2.884576E-1	3.004015E-1
12/31/1903  19:00:00.007500	3.752735E-1	3.420458E-3	3.511636E-1	2.364193E+0	3.330891E-1	3.602609E-1	3.648805E-1	3.782744E-1
