waveform	Voltage_0 (Filtered)	Voltage_1 (Filtered)	Voltage_2 (Filtered)	Voltage_3 (Filtered)	Voltage_4 (Filtered)	Voltage_5 (Filtered)	Voltage_6 (Filtered)	Voltage_7 (Filtered)
t0	9/5/2017  17:13:16.315492	9/5/2017  17:13:16.315513	9/5/2017  17:13:16.315534	9/5/2017  17:13:16.315555	9/5/2017  17:13:16.315576	9/5/2017  17:13:16.315596	9/5/2017  17:13:16.315617	9/5/2017  17:13:16.315638
delta t	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500

time	Voltage_0 (Filtered)	Voltage_1 (Filtered)	Voltage_2 (Filtered)	Voltage_3 (Filtered)	Voltage_4 (Filtered)	Voltage_5 (Filtered)	Voltage_6 (Filtered)	Voltage_7 (Filtered)
9/5/2017  17:13:16.315492	2.005969E-2	3.068721E-5	2.020701E-2	1.514966E-1	2.070778E-2	2.046823E-2	2.029688E-2	2.008258E-2
9/5/2017  17:13:16.315992	1.312512E-1	1.255267E-4	1.323290E-1	9.921013E-1	1.352304E-1	1.340397E-1	1.331438E-1	1.317782E-1
9/5/2017  17:13:16.316492	3.960725E-1	2.631696E-4	3.994222E-1	2.993146E+0	4.069918E-1	4.042815E-1	4.022266E-1	3.984666E-1
9/5/2017  17:13:16.316992	7.434253E-1	5.204425E-4	7.492148E-1	5.608056E+0	7.613132E-1	7.571723E-1	7.542356E-1	7.483428E-1
9/5/2017  17:13:16.317492	9.875120E-1	1.026890E-3	9.936849E-1	7.425487E+0	1.007476E+0	1.002179E+0	9.989074E-1	9.932267E-1
9/5/2017  17:13:16.317992	9.950955E-1	1.619035E-3	9.991769E-1	7.458796E+0	1.011654E+0	1.005362E+0	1.002273E+0	9.991189E-1
9/5/2017  17:13:16.318492	7.879408E-1	1.931492E-3	7.886514E-1	5.904235E+0	7.981033E-1	7.908429E-1	7.887921E-1	7.879863E-1
9/5/2017  17:13:16.318992	4.973394E-1	1.786322E-3	4.946489E-1	3.749129E+0	5.000140E-1	4.922013E-1	4.920647E-1	4.910829E-1
9/5/2017  17:13:16.319492	2.529940E-1	1.268801E-3	2.485059E-1	1.934000E+0	2.489661E-1	2.427385E-1	2.442399E-1	2.413317E-1
9/5/2017  17:13:16.319992	1.076397E-1	5.869243E-4	1.039155E-1	8.299275E-1	9.984504E-2	9.843131E-2	9.974011E-2	9.621182E-2
9/5/2017  17:13:16.320492	3.755213E-2	9.368898E-5	3.586214E-2	2.639059E-1	2.929277E-2	3.381552E-2	3.331047E-2	3.170874E-2
9/5/2017  17:13:16.320992	9.543591E-3	1.762213E-5	1.014147E-2	1.375068E-1	1.695952E-2	8.725426E-3	1.046863E-2	9.554879E-3
9/5/2017  17:13:16.321492	6.955048E-2	3.766240E-5	7.094642E-2	6.301081E-1	7.724743E-2	6.837444E-2	6.921656E-2	6.714283E-2
9/5/2017  17:13:16.321992	1.480635E-1	4.985087E-4	1.512997E-1	1.246192E+0	1.574683E-1	1.492526E-1	1.478956E-1	1.452699E-1
9/5/2017  17:13:16.322492	2.313307E-1	8.776709E-4	2.358227E-1	1.875591E+0	2.423796E-1	2.339807E-1	2.313332E-1	2.271838E-1
9/5/2017  17:13:16.322992	3.026252E-1	4.439834E-4	3.068426E-1	2.400319E+0	3.147333E-1	3.049904E-1	3.029637E-1	2.971882E-1
9/5/2017  17:13:16.323492	3.534709E-1	3.335758E-4	3.560260E-1	2.775547E+0	3.664893E-1	3.559401E-1	3.554642E-1	3.503165E-1
