Time (s), Filtered Data By Channel
0.033000, 3.010171E-1, 2.990678E-3
0.034000, 4.890868E-1, 6.986967E-3
0.035000, 5.139325E-1, 5.227075E-3
0.036000, 4.351009E-1, 3.722609E-3
0.037000, 5.481157E-1, 2.450727E-3
0.038000, 6.569979E-1, 1.389631E-3
0.039000, 1.280317E+0, 8.132485E-3
0.040000, 9.253117E-1, 5.993324E-3
0.041000, 1.282915E-1, 4.473189E-3
0.042000, 7.905212E-4, 3.155420E-3
0.043000, 1.458747E-1, 2.048558E-3
0.044000, 2.785960E-1, 7.519057E-3
0.045000, 2.486084E-1, 3.226078E-3
0.046000, 3.963593E-1, 2.157146E-3
0.047000, 3.871172E-1, 1.271004E-3
0.048000, 3.243422E-1, 5.487144E-4
0.049000, 2.244572E-1, 2.760600E-5
0.050000, 1.445651E-1, 9.125846E-3
0.051000, 1.165483E-1, 6.619796E-3
0.052000, 2.390917E-1, 4.160522E-3
0.053000, 3.077284E-1, 5.543700E-3
0.054000, 2.984587E-1, 3.591430E-3
0.055000, 4.311196E-1, 1.965805E-3
0.056000, 1.992073E-1, 6.346762E-4
0.057000, 1.119814E-1, 9.083582E-3
0.058000, 2.017932E-3, 7.075949E-3
0.059000, 1.286668E-3, 3.314925E-3
0.060000, 3.280396E-1, 6.681807E-3
0.061000, 3.157768E-1, 3.714504E-3
0.062000, 2.648284E-1, 2.367900E-3
0.063000, 2.392890E-1, 7.384385E-3
0.064000, 2.323054E-1, 5.427293E-3
0.065000, 1.861719E-1, 4.898582E-3
, , 
0.066000, 1.391233E-1, 5.175563E-3
0.067000, 1.102366E-1, 5.132943E-3
0.068000, 1.731456E-1, 4.960934E-3
0.069000, 1.254980E-1, 3.324990E-3
0.070000, 1.123003E-1, 1.950657E-3
0.071000, 1.585580E-1, 8.135483E-4
0.072000, 1.063095E-1, 8.760720E-3
0.073000, 8.873111E-2, 6.652401E-3
0.074000, 6.172910E-2, 3.802085E-3
0.075000, 6.332596E-2, 6.162379E-3
0.076000, 1.574281E-2, 4.240110E-3
0.077000, 1.433218E-1, 2.878380E-3
0.078000, 2.973213E-1, 6.906002E-3
0.079000, 2.579838E-1, 4.994083E-3
0.080000, 2.186383E-1, 5.277015E-3
0.081000, 4.345454E-1, 4.858437E-3
0.082000, 2.439294E-1, 5.384919E-3
0.083000, 1.109441E-1, 4.775629E-3
0.084000, 5.326425E-2, 5.445156E-3
0.085000, 2.492425E-2, 3.915504E-3
0.086000, 5.834404E-2, 2.627485E-3
0.087000, 4.807724E-2, 1.557541E-3
0.088000, 2.403663E-2, 7.967719E-3
0.089000, 6.039542E-2, 5.827410E-3
0.090000, 6.923614E-2, 4.643295E-3
0.091000, 1.096117E-1, 3.331683E-3
0.092000, 4.932857E-2, 2.232012E-3
0.093000, 5.756719E-2, 7.328162E-3
0.094000, 6.263017E-2, 3.424018E-3
0.095000, 9.957277E-2, 2.361214E-3
0.096000, 5.355345E-2, 1.479881E-3
0.097000, 6.212582E-2, 7.607826E-4
0.098000, 7.471461E-2, 8.465220E-3
, , 
0.099000, 1.152621E-1, 6.073079E-3
0.100000, 1.043630E-1, 4.044951E-3
0.101000, 7.369394E-2, 6.303457E-3
0.102000, 6.435138E-2, 4.861917E-3
0.103000, 5.307328E-2, 3.627031E-3
0.104000, 2.870604E-2, 6.071453E-3
0.105000, 5.377921E-2, 4.109706E-3
0.106000, 1.084310E-2, 2.471214E-3
0.107000, 6.804814E-2, 7.526883E-3
0.108000, 7.345366E-2, 2.878244E-3
0.109000, 1.103511E-1, 7.101421E-3
0.110000, 8.132601E-2, 3.314438E-3
0.111000, 2.311862E-2, 1.989520E-3
0.112000, 6.978663E-3, 7.739297E-3
0.113000, 2.182836E-2, 5.757307E-3
0.114000, 4.961272E-2, 4.056514E-3
0.115000, 2.723953E-2, 6.038043E-3
