Time (s), Raw Data By Channel
0.000000, 7.195862E-2, 1.398929E+0
0.001000, 6.175602E-2, 1.409125E+0
0.002000, 1.433768E-1, 1.409125E+0
0.003000, 1.025664E-1, 1.398929E+0
0.004000, 1.229716E-1, 1.398929E+0
0.005000, 1.943898E-1, 1.398929E+0
0.006000, 2.556055E-1, 1.398929E+0
0.007000, 3.372263E-1, 1.409125E+0
0.008000, 2.760107E-1, 1.409125E+0
0.009000, 1.535794E-1, 1.398929E+0
0.010000, 4.135082E-2, 1.398929E+0
0.011000, -5.047260E-2, 1.409125E+0
0.012000, -2.749298E-1, 1.409125E+0
0.013000, -6.067520E-2, 1.409125E+0
0.014000, 2.862133E-1, 1.409125E+0
0.015000, 6.175602E-2, 1.398929E+0
0.016000, 1.025664E-1, 1.409125E+0
0.017000, -7.087780E-2, 1.398929E+0
0.018000, -8.108041E-2, 1.398929E+0
0.019000, 9.236383E-2, 1.409125E+0
0.020000, 2.249977E-1, 1.398929E+0
0.021000, 2.964159E-1, 1.398929E+0
0.022000, 2.658081E-1, 1.398929E+0
0.023000, 1.943898E-1, 1.398929E+0
0.024000, 2.964159E-1, 1.409125E+0
0.025000, 2.556055E-1, 1.409125E+0
0.026000, -1.524986E-1, 1.398929E+0
0.027000, -2.341194E-1, 1.398929E+0
0.028000, 5.404097E-4, 1.398929E+0
0.029000, 1.025664E-1, 1.409125E+0
0.030000, 1.025664E-1, 1.409125E+0
0.031000, 1.025664E-1, 1.409125E+0
0.032000, -1.986479E-2, 1.398929E+0
, , 
0.033000, -2.035116E-1, 1.409125E+0
0.034000, 1.433768E-1, 1.398929E+0
0.035000, 1.229716E-1, 1.409125E+0
0.036000, 1.025664E-1, 1.409125E+0
0.037000, -6.067520E-2, 1.398929E+0
0.038000, -7.087780E-2, 1.398929E+0
0.039000, 1.433768E-1, 1.398929E+0
0.040000, 2.454029E-1, 1.409125E+0
0.041000, -9.662192E-3, 1.398929E+0
0.042000, -6.067520E-2, 1.409125E+0
0.043000, 8.216122E-2, 1.398929E+0
0.044000, 2.094561E-2, 1.398929E+0
0.045000, 1.127690E-1, 1.398929E+0
0.046000, -3.006740E-2, 1.398929E+0
