Time (s), Raw Data By Channel
0.033000, 1.433768E-1, 1.398929E+0
0.034000, 1.025664E-1, 1.409125E+0
0.035000, 7.195862E-2, 1.409125E+0
0.036000, 3.114822E-2, 1.409125E+0
0.037000, 4.135082E-2, 1.398929E+0
0.038000, 1.433768E-1, 1.398929E+0
0.039000, 1.433768E-1, 1.398929E+0
0.040000, 3.114822E-2, 1.398929E+0
0.041000, 2.094561E-2, 1.398929E+0
0.042000, 2.094561E-2, 1.409125E+0
0.043000, 5.155342E-2, 1.398929E+0
0.044000, 8.216122E-2, 1.409125E+0
0.045000, 4.135082E-2, 1.409125E+0
0.046000, 3.114822E-2, 1.409125E+0
0.047000, 3.114822E-2, 1.398929E+0
0.048000, 8.216122E-2, 1.398929E+0
0.049000, 9.236383E-2, 1.398929E+0
0.050000, 9.236383E-2, 1.398929E+0
0.051000, -1.986479E-2, 1.398929E+0
0.052000, 6.175602E-2, 1.398929E+0
0.053000, 1.331742E-1, 1.409125E+0
0.054000, 4.135082E-2, 1.398929E+0
0.055000, 8.216122E-2, 1.409125E+0
0.056000, 7.195862E-2, 1.409125E+0
0.057000, 1.127690E-1, 1.409125E+0
0.058000, 5.404097E-4, 1.409125E+0
0.059000, 4.135082E-2, 1.409125E+0
0.060000, 1.127690E-1, 1.398929E+0
0.061000, 1.025664E-1, 1.398929E+0
0.062000, 8.216122E-2, 1.398929E+0
0.063000, 6.175602E-2, 1.398929E+0
0.064000, 3.114822E-2, 1.398929E+0
0.065000, 5.404097E-4, 1.398929E+0
, , 
0.066000, 4.135082E-2, 1.409125E+0
0.067000, 5.155342E-2, 1.409125E+0
0.068000, 1.025664E-1, 1.409125E+0
0.069000, 1.331742E-1, 1.398929E+0
0.070000, 1.025664E-1, 1.409125E+0
0.071000, 7.195862E-2, 1.398929E+0
0.072000, 1.127690E-1, 1.409125E+0
0.073000, 1.943898E-1, 1.398929E+0
0.074000, 2.045924E-1, 1.398929E+0
0.075000, 1.331742E-1, 1.398929E+0
0.076000, 1.841872E-1, 1.398929E+0
0.077000, 2.094561E-2, 1.409125E+0
0.078000, 8.216122E-2, 1.398929E+0
0.079000, 2.352003E-1, 1.409125E+0
0.080000, 2.862133E-1, 1.409125E+0
0.081000, 2.045924E-1, 1.409125E+0
0.082000, -8.108041E-2, 1.409125E+0
0.083000, -1.422960E-1, 1.398929E+0
0.084000, -3.006740E-2, 1.398929E+0
0.085000, 2.094561E-2, 1.409125E+0
0.086000, 8.216122E-2, 1.398929E+0
0.087000, 1.074301E-2, 1.398929E+0
0.088000, -1.986479E-2, 1.398929E+0
0.089000, -9.662192E-3, 1.409125E+0
0.090000, 1.841872E-1, 1.409125E+0
0.091000, 1.535794E-1, 1.409125E+0
0.092000, 3.114822E-2, 1.409125E+0
0.093000, 8.216122E-2, 1.398929E+0
0.094000, 6.175602E-2, 1.398929E+0
0.095000, 1.331742E-1, 1.409125E+0
0.096000, 1.127690E-1, 1.398929E+0
0.097000, 1.229716E-1, 1.398929E+0
0.098000, 1.229716E-1, 1.409125E+0
, , 
0.099000, -9.128301E-2, 1.398929E+0
0.100000, -1.014856E-1, 1.398929E+0
0.101000, 5.404097E-4, 1.409125E+0
0.102000, 5.155342E-2, 1.409125E+0
0.103000, 8.216122E-2, 1.409125E+0
0.104000, 1.074301E-2, 1.398929E+0
0.105000, 5.404097E-4, 1.409125E+0
0.106000, 3.114822E-2, 1.398929E+0
0.107000, 1.229716E-1, 1.398929E+0
0.108000, 8.216122E-2, 1.398929E+0
0.109000, 1.433768E-1, 1.409125E+0
0.110000, 1.127690E-1, 1.398929E+0
0.111000, 1.127690E-1, 1.409125E+0
0.112000, 1.127690E-1, 1.398929E+0
0.113000, 5.155342E-2, 1.409125E+0
0.114000, -4.027000E-2, 1.409125E+0
0.115000, 2.094561E-2, 1.409125E+0
0.116000, 8.216122E-2, 1.409125E+0
0.117000, 7.195862E-2, 1.398929E+0
0.118000, 1.025664E-1, 1.398929E+0
0.119000, 1.025664E-1, 1.398929E+0
0.120000, 1.025664E-1, 1.398929E+0
0.121000, 1.025664E-1, 1.398929E+0
0.122000, 1.025664E-1, 1.398929E+0
0.123000, 1.025664E-1, 1.409125E+0
0.124000, 1.331742E-1, 1.398929E+0
0.125000, 1.637820E-1, 1.409125E+0
0.126000, 1.739846E-1, 1.409125E+0
0.127000, 1.331742E-1, 1.409125E+0
0.128000, 1.637820E-1, 1.398929E+0
0.129000, 5.155342E-2, 1.398929E+0
0.130000, 2.094561E-2, 1.398929E+0
0.131000, 6.175602E-2, 1.398929E+0
, , 
0.132000, 6.175602E-2, 1.409125E+0
0.133000, 1.074301E-2, 1.398929E+0
0.134000, -4.027000E-2, 1.398929E+0
0.135000, 2.094561E-2, 1.409125E+0
0.136000, 6.175602E-2, 1.409125E+0
0.137000, 6.175602E-2, 1.409125E+0
0.138000, 1.025664E-1, 1.409125E+0
0.139000, 1.127690E-1, 1.409125E+0
0.140000, 8.216122E-2, 1.398929E+0
0.141000, 7.195862E-2, 1.409125E+0
0.142000, 9.236383E-2, 1.398929E+0
0.143000, 1.331742E-1, 1.398929E+0
0.144000, 8.216122E-2, 1.409125E+0
0.145000, 2.147950E-1, 1.398929E+0
0.146000, 1.841872E-1, 1.409125E+0
0.147000, 1.025664E-1, 1.398929E+0
0.148000, 8.216122E-2, 1.409125E+0
0.149000, -7.087780E-2, 1.409125E+0
0.150000, 7.195862E-2, 1.409125E+0
0.151000, 2.045924E-1, 1.398929E+0
0.152000, 2.658081E-1, 1.398929E+0
0.153000, -7.087780E-2, 1.398929E+0
0.154000, -3.055376E-1, 1.398929E+0
0.155000, 2.094561E-2, 1.398929E+0
0.156000, 1.841872E-1, 1.409125E+0
0.157000, 8.216122E-2, 1.398929E+0
0.158000, 1.025664E-1, 1.409125E+0
0.159000, 5.404097E-4, 1.409125E+0
0.160000, 5.404097E-4, 1.409125E+0
0.161000, 9.236383E-2, 1.409125E+0
0.162000, 1.637820E-1, 1.409125E+0
0.163000, 1.127690E-1, 1.398929E+0
0.164000, 9.236383E-2, 1.398929E+0
, , 
0.165000, 5.155342E-2, 1.398929E+0
0.166000, -1.218908E-1, 1.398929E+0
0.167000, -1.627012E-1, 1.398929E+0
0.168000, -4.027000E-2, 1.398929E+0
0.169000, 5.155342E-2, 1.398929E+0
0.170000, 1.025664E-1, 1.409125E+0
0.171000, 6.175602E-2, 1.409125E+0
0.172000, 1.229716E-1, 1.409125E+0
0.173000, 3.066185E-1, 1.409125E+0
0.174000, 2.454029E-1, 1.398929E+0
0.175000, 1.943898E-1, 1.398929E+0
0.176000, 1.331742E-1, 1.398929E+0
0.177000, -1.627012E-1, 1.409125E+0
0.178000, -2.851324E-1, 1.409125E+0
0.179000, 5.155342E-2, 1.398929E+0
0.180000, 5.404097E-4, 1.398929E+0
0.181000, 6.175602E-2, 1.398929E+0
0.182000, 1.074301E-2, 1.409125E+0
0.183000, 1.074301E-2, 1.409125E+0
0.184000, 1.637820E-1, 1.409125E+0
0.185000, 2.556055E-1, 1.409125E+0
0.186000, 2.556055E-1, 1.398929E+0
0.187000, 5.155342E-2, 1.398929E+0
0.188000, -2.239168E-1, 1.398929E+0
0.189000, -9.662192E-3, 1.398929E+0
0.190000, 1.025664E-1, 1.398929E+0
0.191000, 6.175602E-2, 1.398929E+0
0.192000, -5.047260E-2, 1.398929E+0
0.193000, 6.175602E-2, 1.409125E+0
0.194000, 6.175602E-2, 1.409125E+0
0.195000, 5.404097E-4, 1.409125E+0
0.196000, 2.094561E-2, 1.398929E+0
0.197000, 1.331742E-1, 1.409125E+0
, , 
0.198000, 1.739846E-1, 1.398929E+0
0.199000, 1.331742E-1, 1.398929E+0
0.200000, 1.535794E-1, 1.398929E+0
0.201000, 2.249977E-1, 1.398929E+0
0.202000, 1.331742E-1, 1.398929E+0
0.203000, -1.014856E-1, 1.398929E+0
0.204000, 7.195862E-2, 1.398929E+0
0.205000, 3.474289E-1, 1.398929E+0
0.206000, 2.454029E-1, 1.398929E+0
0.207000, -1.933090E-1, 1.409125E+0
0.208000, -2.341194E-1, 1.409125E+0
0.209000, -1.320934E-1, 1.398929E+0
0.210000, -6.067520E-2, 1.409125E+0
0.211000, 6.175602E-2, 1.409125E+0
0.212000, 7.195862E-2, 1.398929E+0
0.213000, 3.114822E-2, 1.398929E+0
0.214000, 4.135082E-2, 1.398929E+0
0.215000, 6.175602E-2, 1.398929E+0
0.216000, 1.127690E-1, 1.398929E+0
0.217000, 1.637820E-1, 1.398929E+0
0.218000, 1.943898E-1, 1.409125E+0
0.219000, 2.964159E-1, 1.409125E+0
0.220000, 2.454029E-1, 1.409125E+0
0.221000, 7.195862E-2, 1.409125E+0
0.222000, 3.114822E-2, 1.409125E+0
0.223000, 1.637820E-1, 1.398929E+0
0.224000, 1.841872E-1, 1.398929E+0
0.225000, 2.454029E-1, 1.398929E+0
0.226000, 2.658081E-1, 1.398929E+0
0.227000, 2.094561E-2, 1.409125E+0
0.228000, -2.647272E-1, 1.398929E+0
0.229000, -5.047260E-2, 1.398929E+0
0.230000, -1.014856E-1, 1.398929E+0
, , 
0.231000, 1.943898E-1, 1.409125E+0
0.232000, -3.006740E-2, 1.409125E+0
0.233000, -6.067520E-2, 1.409125E+0
0.234000, 6.175602E-2, 1.409125E+0
0.235000, 2.249977E-1, 1.398929E+0
0.236000, 2.147950E-1, 1.398929E+0
0.237000, 4.135082E-2, 1.398929E+0
0.238000, 9.236383E-2, 1.409125E+0
0.239000, 3.114822E-2, 1.398929E+0
0.240000, -2.239168E-1, 1.409125E+0
0.241000, -2.647272E-1, 1.398929E+0
0.242000, -1.729038E-1, 1.409125E+0
0.243000, 3.066185E-1, 1.398929E+0
0.244000, -7.087780E-2, 1.409125E+0
0.245000, -2.851324E-1, 1.409125E+0
0.246000, 9.236383E-2, 1.409125E+0
0.247000, 4.494549E-1, 1.398929E+0
0.248000, 1.535794E-1, 1.398929E+0
0.249000, 1.433768E-1, 1.398929E+0
0.250000, 6.175602E-2, 1.398929E+0
0.251000, -9.662192E-3, 1.409125E+0
0.252000, -4.027000E-2, 1.398929E+0
0.253000, 1.943898E-1, 1.409125E+0
0.254000, 2.556055E-1, 1.398929E+0
0.255000, 2.658081E-1, 1.398929E+0
0.256000, 1.943898E-1, 1.409125E+0
0.257000, 2.556055E-1, 1.409125E+0
0.258000, 2.045924E-1, 1.409125E+0
0.259000, -1.627012E-1, 1.398929E+0
0.260000, -1.986479E-2, 1.398929E+0
0.261000, 1.074301E-2, 1.398929E+0
0.262000, -1.729038E-1, 1.398929E+0
0.263000, -3.055376E-1, 1.398929E+0
, , 
0.264000, -2.341194E-1, 1.398929E+0
0.265000, 5.155342E-2, 1.409125E+0
0.266000, 4.596575E-1, 1.398929E+0
0.267000, 1.739846E-1, 1.409125E+0
0.268000, 1.943898E-1, 1.409125E+0
0.269000, 7.195862E-2, 1.409125E+0
0.270000, -9.662192E-3, 1.409125E+0
0.271000, 4.800627E-1, 1.398929E+0
0.272000, 2.556055E-1, 1.398929E+0
0.273000, 2.094561E-2, 1.398929E+0
0.274000, 2.045924E-1, 1.398929E+0
0.275000, 5.412783E-1, 1.398929E+0
0.276000, 6.126965E-1, 1.398929E+0
0.277000, 4.086445E-1, 1.398929E+0
0.278000, -3.565507E-1, 1.398929E+0
0.279000, -3.055376E-1, 1.409125E+0
0.280000, 9.236383E-2, 1.409125E+0
0.281000, 1.739846E-1, 1.409125E+0
0.282000, 1.943898E-1, 1.409125E+0
0.283000, 3.474289E-1, 1.398929E+0
0.284000, 2.352003E-1, 1.398929E+0
0.285000, -3.973611E-1, 1.398929E+0
0.286000, -9.074912E-1, 1.398929E+0
0.287000, -6.830339E-1, 1.398929E+0
0.288000, -3.871585E-1, 1.398929E+0
0.289000, -2.647272E-1, 1.409125E+0
0.290000, 4.902653E-1, 1.409125E+0
0.291000, 2.094561E-2, 1.409125E+0
0.292000, -4.687793E-1, 1.398929E+0
0.293000, 3.882393E-1, 1.409125E+0
0.294000, 1.229716E-1, 1.398929E+0
0.295000, -6.116157E-1, 1.398929E+0
0.296000, -1.233974E+0, 1.409125E+0
, , 
0.297000, -6.524261E-1, 1.398929E+0
0.298000, 2.862133E-1, 1.398929E+0
0.299000, 4.698601E-1, 1.398929E+0
0.300000, -2.035116E-1, 1.398929E+0
0.301000, 4.494549E-1, 1.398929E+0
0.302000, 8.371538E-1, 1.398929E+0
0.303000, 8.065460E-1, 1.409125E+0
0.304000, 4.290497E-1, 1.409125E+0
0.305000, 2.147950E-1, 1.409125E+0
0.306000, 3.474289E-1, 1.398929E+0
0.307000, 3.474289E-1, 1.398929E+0
0.308000, 2.658081E-1, 1.398929E+0
0.309000, 2.964159E-1, 1.409125E+0
0.310000, 1.127690E-1, 1.398929E+0
0.311000, 3.114822E-2, 1.409125E+0
0.312000, 1.943898E-1, 1.398929E+0
0.313000, 2.045924E-1, 1.409125E+0
0.314000, 1.943898E-1, 1.409125E+0
0.315000, 3.114822E-2, 1.409125E+0
0.316000, 2.658081E-1, 1.409125E+0
0.317000, 9.236383E-2, 1.398929E+0
0.318000, 5.404097E-4, 1.398929E+0
0.319000, -6.067520E-2, 1.398929E+0
0.320000, -6.067520E-2, 1.398929E+0
0.321000, 6.175602E-2, 1.398929E+0
0.322000, 4.135082E-2, 1.409125E+0
0.323000, 1.739846E-1, 1.398929E+0
0.324000, 2.249977E-1, 1.409125E+0
0.325000, 1.127690E-1, 1.409125E+0
0.326000, 2.658081E-1, 1.409125E+0
0.327000, 2.352003E-1, 1.409125E+0
0.328000, 2.556055E-1, 1.398929E+0
0.329000, 8.216122E-2, 1.398929E+0
, , 
0.330000, -1.320934E-1, 1.398929E+0
0.331000, -1.986479E-2, 1.409125E+0
0.332000, -7.087780E-2, 1.409125E+0
0.333000, -1.320934E-1, 1.398929E+0
0.334000, -3.259428E-1, 1.398929E+0
0.335000, -2.647272E-1, 1.409125E+0
0.336000, 4.698601E-1, 1.409125E+0
0.337000, 2.147950E-1, 1.409125E+0
0.338000, 1.943898E-1, 1.409125E+0
