Time (s), Filtered Data By Channel
0.000000, 1.938044E-1, 4.070291E-3
0.001000, 4.625961E-1, 5.625717E-3
0.002000, 3.845950E-1, 3.668140E-3
0.003000, 4.988098E-1, 2.039677E-3
0.004000, 1.716646E-2, 7.077524E-4
0.005000, 1.419793E-1, 3.586147E-4
0.006000, 2.995877E-1, 1.188789E-3
0.007000, 2.933989E-2, 1.810504E-3
0.008000, 1.398817E-1, 2.249849E-3
0.009000, 1.049594E-1, 2.531262E-3
0.010000, 2.328557E-1, 2.677526E-3
0.011000, 4.960565E-1, 2.709774E-3
0.012000, 9.429809E-1, 2.647495E-3
0.013000, 9.530766E-1, 1.115961E-2
0.014000, 7.325652E-1, 8.120396E-3
0.015000, 2.555396E-1, 5.510872E-3
0.016000, 2.708674E-2, 3.296245E-3
0.017000, 4.773783E-1, 1.442795E-3
0.018000, 3.511411E-1, 8.207670E-5
0.019000, 3.855743E-1, 1.309787E-3
0.020000, 1.777707E-1, 2.270519E-3
0.021000, 6.946446E-2, 2.993163E-3
0.022000, 3.943019E-1, 3.505263E-3
0.023000, 5.224063E-1, 3.832963E-3
0.024000, 5.162285E-1, 4.000962E-3
0.025000, 5.191070E-1, 4.032471E-3
0.026000, 3.394469E-1, 3.949186E-3
0.027000, 2.295185E-1, 3.771258E-3
0.028000, 7.903439E-1, 3.517282E-3
0.029000, 1.883576E-1, 3.204294E-3
0.030000, 8.741592E-1, 1.149883E-2
0.031000, 4.767182E-1, 3.782241E-4
0.032000, 6.098305E-1, 3.061079E-4
, , 
0.033000, 4.811206E-1, 2.881588E-4
0.034000, 2.366529E-1, 8.338763E-3
0.035000, 2.720756E-1, 5.443369E-3
0.036000, 9.103346E-2, 5.649675E-3
0.037000, 5.999606E-2, 4.838195E-3
0.038000, 4.989963E-1, 4.126964E-3
0.039000, 3.304094E-1, 5.146041E-3
0.040000, 1.284841E-1, 2.848757E-3
0.041000, 1.847034E-1, 9.564806E-4
0.042000, 3.387300E-1, 5.706724E-4
0.043000, 2.317275E-1, 1.770854E-3
0.044000, 6.796595E-2, 2.680415E-3
0.045000, 7.364564E-1, 1.198491E-2
0.046000, 9.176260E-2, 9.574915E-3
0.047000, 8.493527E-2, 1.203656E-3
0.048000, 3.857699E-1, 2.281284E-4
0.049000, 8.585269E-1, 9.167453E-3
0.050000, 2.922559E-1, 6.870814E-3
0.051000, 7.685952E-1, 4.875981E-3
0.052000, 9.045701E-3, 3.160663E-3
0.053000, 3.444294E-1, 1.703121E-3
0.054000, 6.210045E-1, 4.821877E-4
0.055000, 4.018359E-1, 5.226984E-4
0.056000, 2.400189E-1, 9.982514E-3
0.057000, 3.890680E-1, 8.765543E-4
0.058000, 1.192867E-1, 7.233814E-5
0.059000, 1.606756E-1, 9.483704E-3
0.060000, 3.569165E-1, 7.235044E-3
0.061000, 7.911063E-1, 3.339722E-3
0.062000, 8.707606E-1, 2.128804E-3
0.063000, 2.430310E-1, 1.127112E-3
0.064000, 5.303043E-1, 3.136618E-4
0.065000, 2.040395E-1, 3.315348E-4
, , 
0.066000, 1.386370E-1, 8.274493E-4
0.067000, 3.078852E-2, 1.192011E-3
0.068000, 2.001356E-1, 1.442090E-3
0.069000, 9.983964E-3, 1.593484E-3
0.070000, 1.643474E-1, 1.660907E-3
0.071000, 3.908699E-1, 1.657992E-3
0.072000, 1.587104E-1, 1.597291E-3
0.073000, 2.551238E-1, 1.490284E-3
0.074000, 1.153154E-1, 9.998451E-3
0.075000, 1.919371E-1, 6.989181E-3
0.076000, 2.135930E-2, 4.437181E-3
0.077000, 3.343891E-2, 2.301884E-3
0.078000, 2.872778E-1, 5.443383E-4
0.079000, 1.158069E-1, 9.523812E-3
0.080000, 3.888913E-2, 7.796175E-3
0.081000, 1.465455E-1, 2.378099E-3
0.082000, 1.181691E-1, 8.728729E-4
0.083000, 3.920015E-1, 8.981474E-3
0.084000, 2.779050E-1, 1.574532E-3
