Time, Activation By Channel (% of MVC)
22.737000, 3.114822E-2, 1.409125E+0
22.738000, 6.175602E-2, 1.409125E+0
22.739000, 5.155342E-2, 1.398929E+0
22.740000, 5.155342E-2, 1.398929E+0
22.741000, 6.175602E-2, 1.398929E+0
22.742000, 7.195862E-2, 1.409125E+0
22.743000, 1.025664E-1, 1.398929E+0
22.744000, 1.331742E-1, 1.398929E+0
22.745000, 7.195862E-2, 1.398929E+0
22.746000, 4.135082E-2, 1.409125E+0
22.747000, 1.127690E-1, 1.398929E+0
22.748000, 1.433768E-1, 1.398929E+0
22.749000, 1.433768E-1, 1.398929E+0
22.750000, 1.841872E-1, 1.398929E+0
22.751000, -7.087780E-2, 1.409125E+0
22.752000, 5.404097E-4, 1.398929E+0
22.753000, -9.662192E-3, 1.409125E+0
22.754000, 4.135082E-2, 1.398929E+0
22.755000, 3.114822E-2, 1.409125E+0
22.756000, 7.195862E-2, 1.409125E+0
22.757000, 1.127690E-1, 1.398929E+0
22.758000, 1.229716E-1, 1.398929E+0
22.759000, 1.025664E-1, 1.398929E+0
22.760000, 3.114822E-2, 1.409125E+0
22.761000, 9.236383E-2, 1.398929E+0
22.762000, 9.236383E-2, 1.409125E+0
22.763000, 7.195862E-2, 1.398929E+0
22.764000, 5.155342E-2, 1.398929E+0
22.765000, 4.135082E-2, 1.409125E+0
22.766000, 7.195862E-2, 1.398929E+0
22.767000, 4.135082E-2, 1.398929E+0
22.768000, 7.195862E-2, 1.409125E+0
22.769000, 8.216122E-2, 1.409125E+0
, , 
22.770000, 7.195862E-2, 1.409125E+0
22.771000, 1.637820E-1, 1.398929E+0
22.772000, 8.216122E-2, 1.409125E+0
22.773000, -1.986479E-2, 1.398929E+0
22.774000, -1.986479E-2, 1.409125E+0
22.775000, 8.216122E-2, 1.398929E+0
22.776000, 2.352003E-1, 1.398929E+0
22.777000, 1.943898E-1, 1.398929E+0
22.778000, 1.739846E-1, 1.409125E+0
22.779000, -1.116882E-1, 1.409125E+0
22.780000, 1.074301E-2, 1.398929E+0
22.781000, 7.195862E-2, 1.398929E+0
22.782000, 3.114822E-2, 1.409125E+0
22.783000, 6.175602E-2, 1.409125E+0
22.784000, 6.175602E-2, 1.409125E+0
22.785000, 1.229716E-1, 1.398929E+0
22.786000, 1.433768E-1, 1.398929E+0
22.787000, 5.404097E-4, 1.409125E+0
22.788000, 1.074301E-2, 1.409125E+0
22.789000, 8.216122E-2, 1.398929E+0
22.790000, 1.433768E-1, 1.409125E+0
22.791000, 2.352003E-1, 1.398929E+0
22.792000, 1.739846E-1, 1.409125E+0
22.793000, 5.155342E-2, 1.409125E+0
22.794000, 2.094561E-2, 1.398929E+0
22.795000, 5.404097E-4, 1.398929E+0
22.796000, 1.739846E-1, 1.409125E+0
22.797000, 1.025664E-1, 1.409125E+0
22.798000, 2.094561E-2, 1.409125E+0
22.799000, 5.404097E-4, 1.398929E+0
22.800000, 5.404097E-4, 1.398929E+0
22.801000, 6.175602E-2, 1.398929E+0
22.802000, -1.986479E-2, 1.409125E+0
, , 
22.803000, 5.155342E-2, 1.409125E+0
22.804000, 2.094561E-2, 1.398929E+0
22.805000, 2.094561E-2, 1.398929E+0
22.806000, 9.236383E-2, 1.409125E+0
22.807000, 1.433768E-1, 1.409125E+0
22.808000, 1.025664E-1, 1.398929E+0
22.809000, 2.094561E-2, 1.398929E+0
22.810000, 1.229716E-1, 1.398929E+0
22.811000, 8.216122E-2, 1.409125E+0
22.812000, 2.094561E-2, 1.398929E+0
22.813000, -1.986479E-2, 1.398929E+0
22.814000, -1.986479E-2, 1.409125E+0
22.815000, 1.074301E-2, 1.409125E+0
22.816000, 7.195862E-2, 1.409125E+0
22.817000, 3.114822E-2, 1.398929E+0
22.818000, -4.027000E-2, 1.398929E+0
22.819000, 1.025664E-1, 1.398929E+0
22.820000, 9.236383E-2, 1.409125E+0
22.821000, 1.535794E-1, 1.409125E+0
22.822000, 8.216122E-2, 1.398929E+0
22.823000, 1.229716E-1, 1.409125E+0
22.824000, 1.229716E-1, 1.409125E+0
22.825000, 1.025664E-1, 1.409125E+0
22.826000, 2.556055E-1, 1.398929E+0
22.827000, 3.474289E-1, 1.398929E+0
22.828000, 2.862133E-1, 1.409125E+0
22.829000, -2.239168E-1, 1.398929E+0
