Time (s), Activation By Channel (% of MVC)
53.559000, 7.695753E-3, 7.481604E-3
53.560000, 9.141645E-3, 3.453282E-3
53.561000, 2.740569E-2, 2.529957E-3
53.562000, 4.821385E-2, 6.900567E-3
53.563000, 9.141080E-3, 3.940730E-3
53.564000, 2.384971E-2, 2.932237E-3
53.565000, 1.004394E-2, 2.075704E-3
53.566000, 1.681212E-2, 1.356770E-3
53.567000, 3.689331E-3, 7.618068E-4
53.568000, 4.606189E-2, 2.779199E-4
53.569000, 2.245144E-2, 8.758115E-3
53.570000, 4.450233E-3, 6.215748E-3
53.571000, 1.074743E-2, 4.072037E-3
53.572000, 5.066937E-3, 2.289034E-3
53.573000, 1.653561E-2, 7.820410E-3
53.574000, 6.999299E-3, 6.148531E-3
53.575000, 5.198925E-2, 4.694028E-3
53.576000, 4.747488E-2, 5.211617E-3
53.577000, 4.193205E-2, 3.443185E-3
53.578000, 1.065193E-3, 1.983093E-3
53.579000, 2.874684E-3, 7.987761E-4
53.580000, 6.038799E-3, 8.791525E-3
53.581000, 1.544770E-4, 1.976395E-3
53.582000, 4.522411E-3, 7.683855E-3
53.583000, 1.682183E-2, 3.009894E-3
53.584000, 2.536023E-2, 6.727670E-3
53.585000, 1.340913E-2, 3.886654E-3
53.586000, 4.496253E-3, 5.931460E-3
53.587000, 3.277630E-2, 4.602117E-3
53.588000, 8.547481E-3, 3.354977E-3
53.589000, 8.137108E-3, 6.332066E-3
53.590000, 7.541694E-3, 4.340375E-3
53.591000, 2.411650E-2, 2.658060E-3
, , 
53.592000, 8.380392E-3, 7.393656E-3
53.593000, 2.046856E-2, 2.951619E-3
53.594000, 2.286724E-2, 1.559999E-3
53.595000, 4.593374E-2, 4.213597E-4
53.596000, 4.160180E-2, 9.141145E-3
53.597000, 6.709789E-3, 1.640963E-3
53.598000, 1.528742E-2, 6.360357E-4
53.599000, 2.078761E-2, 1.636746E-4
53.600000, 6.423626E-3, 7.814607E-4
53.601000, 1.299114E-2, 1.239289E-3
53.602000, 1.679632E-2, 1.557786E-3
53.603000, 1.136805E-2, 1.756228E-3
53.604000, 6.735482E-3, 1.050359E-2
53.605000, 5.819789E-3, 7.674453E-3
53.606000, 6.203504E-3, 5.250372E-3
53.607000, 6.449309E-3, 5.453765E-3
53.608000, 6.567326E-3, 4.328759E-3
53.609000, 2.388185E-2, 3.372459E-3
53.610000, 1.653219E-2, 2.567103E-3
53.611000, 1.009448E-2, 1.896139E-3
53.612000, 2.984156E-2, 7.306867E-3
53.613000, 5.455803E-3, 4.914162E-3
53.614000, 1.371935E-2, 2.905223E-3
53.615000, 1.553031E-2, 1.244178E-3
53.616000, 7.470587E-3, 8.754359E-3
53.617000, 1.510909E-2, 6.981139E-3
53.618000, 6.026450E-3, 5.433620E-3
53.619000, 3.645218E-3, 4.093317E-3
53.620000, 1.737530E-3, 5.708440E-3
53.621000, 4.353115E-2, 3.846415E-3
53.622000, 6.427775E-3, 6.348179E-3
53.623000, 7.697308E-3, 3.884874E-3
53.624000, 1.711551E-2, 6.244879E-3
, , 
53.625000, 3.191755E-2, 4.610445E-3
53.626000, 4.115170E-2, 3.208229E-3
53.627000, 1.981650E-2, 6.632491E-3
53.628000, 1.193302E-2, 4.788606E-3
53.629000, 3.305502E-3, 5.406511E-3
53.630000, 1.452147E-2, 4.809535E-3
53.631000, 3.663479E-3, 5.351547E-3
53.632000, 3.572430E-2, 3.760639E-3
53.633000, 2.812877E-2, 2.412079E-3
53.634000, 4.752424E-2, 1.284213E-3
53.635000, 7.386184E-3, 8.294794E-3
53.636000, 4.017131E-3, 2.448230E-3
53.637000, 9.927200E-3, 1.385994E-3
53.638000, 1.242022E-2, 8.136286E-3
53.639000, 1.946161E-2, 5.996235E-3
53.640000, 1.952874E-2, 4.472232E-3
53.641000, 1.195144E-2, 3.157433E-3
53.642000, 3.753622E-2, 2.054465E-3
53.643000, 5.427792E-2, 7.508457E-3
53.644000, 1.184896E-2, 5.409030E-3
53.645000, 6.527852E-3, 3.632234E-3
53.646000, 4.542690E-2, 6.503353E-3
53.647000, 1.708034E-3, 3.766456E-3
53.648000, 1.303857E-2, 2.305966E-3
53.649000, 2.356103E-2, 1.103590E-3
53.650000, 4.781137E-2, 8.518672E-3
53.651000, 5.471725E-2, 6.444281E-3
53.652000, 3.994108E-2, 4.663544E-3
53.653000, 1.001935E-2, 3.150992E-3
53.654000, 5.070877E-3, 1.882243E-3
53.655000, 1.634882E-2, 7.817044E-3
53.656000, 1.400845E-2, 5.827058E-3
53.657000, 2.058835E-2, 4.135199E-3
, , 
53.658000, 1.590974E-2, 5.937602E-3
53.659000, 1.192467E-2, 4.275936E-3
53.660000, 9.189069E-5, 2.871299E-3
53.661000, 4.918600E-5, 1.699485E-3
53.662000, 1.733174E-2, 7.374461E-4
53.663000, 3.770239E-2, 3.670537E-5
53.664000, 1.431296E-3, 9.294740E-3
53.665000, 1.244063E-2, 6.914200E-3
53.666000, 2.675938E-3, 3.771282E-3
53.667000, 3.897505E-2, 2.650492E-3
53.668000, 2.877186E-2, 1.719162E-3
53.669000, 2.869215E-2, 9.573477E-4
53.670000, 7.513934E-3, 3.462724E-4
53.671000, 9.785872E-3, 8.782739E-3
53.672000, 4.460823E-3, 6.304158E-3
53.673000, 2.493858E-3, 4.199653E-3
53.674000, 1.024387E-2, 6.215579E-3
53.675000, 1.943080E-3, 4.831827E-3
53.676000, 1.248037E-2, 3.646229E-3
53.677000, 2.998281E-2, 2.640130E-3
53.678000, 1.619933E-2, 1.795914E-3
