Time (s), Percentage Displayed
72.856313, 15.996604
72.890388, 15.996604
72.923507, 15.894692
72.956582, 15.552947
72.989650, 16.539085
73.022738, 17.039459
73.055826, 15.843865
73.088935, 14.956998
73.122029, 15.302820
73.155118, 15.564300
73.187195, 14.950287
73.220280, 14.201931
73.253379, 14.247457
73.286465, 13.869025
73.319555, 13.231956
73.352642, 11.716425
73.385730, 12.049275
73.418791, 11.950964
73.451879, 11.784741
73.484969, 10.716676
73.518075, 11.437239
73.551170, 11.684037
73.583248, 11.967293
73.616343, 11.612130
73.649404, 11.675300
73.682503, 12.150974
73.715580, 11.704817
73.748669, 12.083815
73.781782, 12.178984
73.814871, 11.897983
73.847958, 12.983586
73.881020, 12.647563
73.914109, 12.595545
73.946225, 12.800957
73.979316, 12.192206
74.012403, 11.054078
74.045458, 10.913113
74.078545, 10.718861
74.111665, 11.220743
74.144721, 10.691675
74.177841, 9.721618
74.210897, 10.464056
74.243999, 10.623412
74.277104, 11.168456
74.310192, 11.901376
74.343249, 11.901376
74.376369, 11.197733
74.409425, 11.238217
74.442559, 11.662967
74.475601, 12.142252
74.508717, 12.011884
74.541778, 12.282963
74.574874, 11.637148
74.608955, 11.894130
74.642046, 11.711940
74.675153, 12.115119
74.707218, 11.538548
74.740337, 11.526948
74.773425, 11.565129
74.806493, 10.588702
74.839599, 11.010775
74.873690, 11.041527
74.906749, 11.272246
74.940839, 10.778699
74.973978, 10.823229
75.007013, 10.950979
75.040134, 11.399264
75.072219, 12.732507
75.105273, 12.220927
75.138363, 12.162811
75.171482, 12.135539
75.204570, 13.643674
75.237658, 13.823030
75.270745, 13.152851
75.303803, 13.674961
75.337893, 13.261973
75.371008, 13.687933
75.404070, 13.274069
75.437158, 12.869660
75.470283, 12.702492
75.503364, 13.517543
75.536452, 13.175742
75.569542, 13.107664
75.602597, 12.852215
75.636714, 12.504342
75.669802, 12.729474
75.702891, 12.023486
75.735983, 12.258891
75.769039, 12.301299
75.802158, 12.039024
75.834243, 13.450005
75.867340, 12.504537
75.900425, 12.497141
75.933516, 12.720440
75.966602, 12.598303
75.999661, 12.480826
76.032780, 11.944189
76.065868, 12.233318
76.098998, 11.172422
76.133098, 11.018688
76.167190, 11.769049
76.200236, 10.972529
76.233363, 10.838290
76.267446, 11.284417
76.300545, 11.056470
76.334632, 11.256281
76.367722, 10.539053
76.400810, 10.051953
76.433886, 10.051953
76.466944, 11.445384
76.500034, 11.349903
76.533147, 11.225909
76.565238, 11.225909
76.599329, 11.960867
76.633386, 12.695921
76.666475, 11.337320
76.699594, 11.200656
76.732650, 11.234369
76.765774, 11.273754
76.799862, 11.098086
76.832947, 11.098086
76.866047, 12.060242
76.899137, 12.719731
