Time (s), Filtered Data By Channel
0.000000, 5.157616E+0, 5.679555E-3
0.001000, 5.067952E+0, 3.834219E-3
0.002000, 3.489678E+0, 6.353431E-3
0.003000, 6.033645E+0, 3.878602E-3
0.004000, 4.301508E+0, 2.392558E-3
0.005000, 2.869446E+0, 1.174918E-3
0.006000, 1.695013E+0, 1.969430E-4
0.007000, 7.409545E-1, 9.219530E-3
0.008000, 3.716056E-1, 1.693074E-3
0.009000, 1.600748E+0, 8.025754E-4
0.010000, 2.178527E+0, 8.550024E-3
0.011000, 2.694409E+0, 2.405140E-3
0.012000, 3.555413E+0, 7.112917E-3
0.013000, 2.948823E+0, 3.683113E-3
0.014000, 1.419064E+0, 2.663851E-3
0.015000, 3.395285E-1, 1.824047E-3
0.016000, 1.298679E+0, 1.143079E-3
0.017000, 1.462540E+0, 8.049283E-3
0.018000, 1.461618E+0, 5.628810E-3
0.019000, 4.156394E-1, 5.072825E-3
0.020000, 1.246216E+0, 3.946515E-3
0.021000, 3.544349E+0, 5.660848E-3
0.022000, 1.382385E+0, 3.624931E-3
0.023000, 2.809869E-1, 1.928527E-3
0.024000, 1.210073E-1, 8.112072E-3
0.025000, 1.159950E+0, 6.386075E-3
0.026000, 1.497362E+0, 4.889535E-3
0.027000, 5.102618E-1, 5.048367E-3
0.028000, 7.767994E-1, 3.304391E-3
0.029000, 3.200356E+0, 6.788404E-3
0.030000, 4.099068E+0, 5.119148E-3
0.031000, 2.666546E+0, 4.967387E-3
0.032000, 2.827325E+0, 3.349316E-3
, , 
0.033000, 1.050979E+0, 6.638871E-3
0.034000, 4.807517E-1, 4.884815E-3
0.035000, 7.422054E-1, 3.382808E-3
0.036000, 3.154774E+0, 6.539879E-3
0.037000, 1.706495E+0, 3.889020E-3
0.038000, 7.963993E-1, 2.541283E-3
0.039000, 1.982498E+0, 1.412211E-3
0.040000, 2.257103E+0, 4.811676E-4
0.041000, 7.816030E-1, 8.922613E-3
0.042000, 2.549579E+0, 1.975150E-3
0.043000, 3.431645E+0, 1.048316E-3
0.044000, 1.344072E+0, 2.943263E-4
0.045000, 4.776496E+0, 8.956301E-3
0.046000, 3.066769E+0, 6.579007E-3
0.047000, 1.253576E+0, 4.556557E-3
0.048000, 1.854212E+0, 5.794636E-3
0.049000, 4.888474E+0, 4.363559E-3
0.050000, 6.966244E+0, 5.505077E-3
0.051000, 6.418739E+0, 3.689343E-3
0.052000, 4.991141E+0, 6.476428E-3
0.053000, 2.171602E+0, 4.880157E-3
0.054000, 5.716021E-1, 5.134512E-3
0.055000, 2.625340E-1, 3.446724E-3
0.056000, 5.760326E-1, 2.042942E-3
0.057000, 2.041862E+0, 7.756727E-3
0.058000, 2.459713E+0, 5.837571E-3
0.059000, 4.774042E+0, 4.459396E-3
0.060000, 3.012577E+0, 3.015947E-3
0.061000, 1.641868E+0, 1.821161E-3
0.062000, 1.624644E+0, 7.802254E-3
0.063000, 3.123089E+0, 5.737016E-3
0.064000, 6.893678E+0, 3.972655E-3
0.065000, 5.032228E+0, 6.168146E-3
, , 
0.066000, 3.019617E+0, 4.082476E-3
0.067000, 2.279619E+0, 6.058956E-3
0.068000, 6.567079E-1, 4.191915E-3
0.069000, 2.784990E+0, 5.948710E-3
0.070000, 5.075908E+0, 4.347809E-3
0.071000, 3.163606E+0, 5.654683E-3
0.072000, 3.373924E-1, 3.941259E-3
0.073000, 3.417264E+0, 6.149671E-3
0.074000, 1.448221E+0, 4.502273E-3
0.075000, 3.966358E-1, 3.107801E-3
0.076000, 7.972805E-1, 6.709095E-3
0.077000, 1.808027E+0, 4.829422E-3
0.078000, 3.836573E-1, 3.241240E-3
0.079000, 1.538810E-1, 6.734001E-3
0.080000, 9.489164E-1, 4.980492E-3
0.081000, 1.283869E+0, 5.161629E-3
0.082000, 2.179055E+0, 3.574789E-3
0.083000, 4.198247E+0, 6.402531E-3
0.084000, 3.438318E+0, 4.654302E-3
0.085000, 1.862082E+0, 5.479586E-3
0.086000, 1.845587E+0, 3.881838E-3
0.087000, 6.392661E+0, 2.542286E-3
0.088000, 1.511848E+0, 7.215784E-3
0.089000, 1.264962E+0, 5.274673E-3
0.090000, 4.768273E-1, 3.623649E-3
0.091000, 8.905894E-1, 6.414724E-3
0.092000, 7.691247E-1, 3.927432E-3
0.093000, 1.570291E+0, 2.517828E-3
0.094000, 6.656816E+0, 1.348011E-3
0.095000, 6.673923E+0, 3.939034E-4
0.096000, 4.188209E+0, 9.018396E-3
0.097000, 6.124628E-1, 1.882558E-3
0.098000, 4.921244E+0, 9.680725E-4
, , 
