Time (s), Percentage Displayed
225.463345, 9.040206
225.496457, 9.566317
225.529564, 9.180228
225.562647, 9.879104
225.595735, 8.778818
225.628824, 9.266878
225.661915, 9.634724
225.694962, 9.793114
225.728047, 9.747664
225.761138, 9.256573
225.793225, 9.615527
225.826312, 9.800768
225.859396, 9.670043
225.892524, 10.809631
225.926615, 10.240432
225.960709, 10.088225
225.994801, 10.258251
226.028888, 10.225292
226.061934, 10.225292
226.095067, 10.403368
226.128155, 10.225714
226.160221, 10.225714
226.193310, 9.996578
226.227418, 9.610595
226.261505, 10.493047
226.294595, 10.533463
226.327668, 10.533463
226.360731, 10.373432
226.393818, 10.373432
226.427913, 9.948301
226.461022, 9.900868
226.494085, 9.900868
226.528180, 9.995048
226.560285, 9.995048
226.593389, 10.206431
226.626469, 9.415703
226.659559, 9.637912
226.693656, 10.188005
226.726734, 10.188005
226.759833, 9.634392
226.792922, 9.319755
226.825966, 9.319755
226.859055, 9.846616
226.892141, 10.298483
226.924227, 10.298483
226.957315, 10.298483
226.990405, 9.914240
227.023491, 9.730698
227.056605, 9.308066
227.089711, 9.387197
227.122797, 10.037463
227.155844, 10.037463
227.188969, 9.035333
227.222046, 9.035333
227.255137, 9.096247
227.287231, 9.976658
227.320281, 9.976658
227.353369, 9.738541
227.386458, 8.985818
227.419543, 8.985818
227.452676, 9.633352
227.486724, 9.633352
227.520848, 9.863615
227.553903, 9.863615
227.587015, 9.677287
227.620108, 9.677287
227.653196, 9.677287
227.686284, 9.677287
227.719342, 9.736802
227.752460, 9.736802
227.785547, 9.736802
227.818636, 9.736802
227.851723, 9.736802
227.884812, 9.553372
227.917900, 9.553372
227.950988, 9.553372
227.985078, 9.553372
228.018136, 9.434564
228.050222, 9.434564
228.083309, 9.434564
228.116397, 9.434564
228.149484, 9.545665
228.183577, 9.545665
228.217703, 9.545665
228.250785, 9.545665
228.283873, 9.545665
228.316966, 9.526095
228.350055, 9.526095
228.383142, 9.526095
228.415221, 9.526095
228.448280, 9.694681
228.481405, 9.694681
228.515489, 9.694681
228.549579, 9.694681
228.583669, 9.694681
228.616764, 9.639786
228.649851, 9.639786
228.682940, 9.639786
228.717024, 9.639786
228.750115, 10.023961
228.782197, 10.023961
228.816289, 10.023961
228.850353, 10.023961
228.883454, 10.023961
228.916561, 9.617355
228.950641, 9.617355
228.983729, 9.617355
229.016822, 9.617355
229.049909, 9.808715
229.082965, 9.808715
229.116081, 9.808715
229.149174, 9.808715
229.182232, 10.303122
229.215351, 10.303122
229.248453, 10.303122
229.282527, 10.303122
229.315616, 10.303122
229.348704, 10.335429
229.381791, 10.335429
229.415882, 10.335429
229.448970, 10.335429
