Time (s), Activation By Channel (% of MVC)
658.911000, 1.684265E-1, 3.193565E-3
658.912000, 2.951783E-1, 2.149552E-3
658.913000, 2.168631E-1, 7.364959E-3
658.914000, 1.318290E-1, 5.227133E-3
658.915000, 1.901597E-2, 5.229728E-3
658.916000, 3.168411E-1, 3.894682E-3
658.917000, 5.203022E-1, 5.887391E-3
658.918000, 4.598387E-2, 4.656746E-3
658.919000, 1.426256E-1, 3.400034E-3
658.920000, 1.513374E-1, 2.339103E-3
658.921000, 1.853232E-1, 7.196263E-3
658.922000, 4.256268E-1, 5.082181E-3
658.923000, 2.393239E-1, 3.302056E-3
658.924000, 2.817755E-1, 6.827074E-3
658.925000, 3.361713E-1, 3.457481E-3
658.926000, 5.615983E-1, 2.018586E-3
658.927000, 3.957874E-1, 7.807762E-3
658.928000, 3.492066E-1, 5.907791E-3
658.929000, 5.249181E-1, 4.274476E-3
658.930000, 2.462243E-1, 5.766137E-3
658.931000, 8.018468E-2, 4.093975E-3
658.932000, 6.168535E-1, 2.696311E-3
658.933000, 9.671244E-1, 7.105914E-3
658.934000, 4.277421E-1, 3.453920E-3
658.935000, 9.005405E-2, 2.242609E-3
658.936000, 3.531780E-1, 1.251117E-3
658.937000, 2.211063E-1, 8.195965E-3
658.938000, 2.337572E-1, 5.979474E-3
658.939000, 2.193610E-1, 4.087075E-3
658.940000, 2.199332E-1, 6.160396E-3
658.941000, 1.697933E-1, 4.647944E-3
658.942000, 1.539015E-1, 5.283278E-3
658.943000, 2.059865E-1, 3.514514E-3
, , 
658.944000, 1.739593E-1, 2.033955E-3
658.945000, 1.338978E-1, 8.141483E-4
658.946000, 1.064365E-1, 1.711265E-4
658.947000, 1.405980E-1, 9.468298E-4
658.948000, 2.428341E-1, 1.536640E-3
658.949000, 1.459724E-1, 1.061399E-2
658.950000, 4.371839E-3, 8.057927E-3
658.951000, 1.462006E-1, 2.796549E-3
658.952000, 1.144625E-1, 1.837032E-3
658.953000, 1.257183E-1, 7.592827E-3
658.954000, 2.570978E-1, 3.279223E-3
658.955000, 1.957017E-1, 2.325391E-3
658.956000, 1.521000E-2, 1.541834E-3
658.957000, 2.953978E-1, 7.741887E-3
658.958000, 9.707222E-1, 5.401865E-3
658.959000, 9.746849E-1, 3.421247E-3
658.960000, 2.657797E-1, 6.883415E-3
658.961000, 8.239184E-3, 5.401176E-3
658.962000, 3.457766E-2, 4.128048E-3
658.963000, 1.720909E-1, 3.044355E-3
658.964000, 1.288669E-1, 2.131549E-3
658.965000, 4.158712E-1, 1.372183E-3
658.966000, 5.195404E-1, 7.901173E-3
658.967000, 3.633017E-1, 5.561848E-3
658.968000, 1.117433E-1, 3.590482E-3
658.969000, 5.529296E-1, 1.952424E-3
658.970000, 1.042097E+0, 6.146176E-4
658.971000, 2.881587E-1, 9.105439E-3
658.972000, 3.596662E-1, 7.095556E-3
658.973000, 3.214537E-1, 5.350218E-3
658.974000, 1.360888E-1, 3.847945E-3
658.975000, 6.886113E-2, 6.082922E-3
