Time, Activation By Channel (% of MVC)
1213.377000, 2.556055E-1, 1.409125E+0
1213.378000, 1.535794E-1, 1.398929E+0
1213.379000, 1.331742E-1, 1.409125E+0
1213.380000, 1.331742E-1, 1.398929E+0
1213.381000, 1.331742E-1, 1.409125E+0
1213.382000, 1.331742E-1, 1.398929E+0
1213.383000, 9.236383E-2, 1.398929E+0
1213.384000, 9.236383E-2, 1.398929E+0
1213.385000, 1.229716E-1, 1.398929E+0
1213.386000, 1.331742E-1, 1.398929E+0
1213.387000, 1.433768E-1, 1.398929E+0
1213.388000, 1.331742E-1, 1.398929E+0
1213.389000, 1.127690E-1, 1.398929E+0
1213.390000, 1.127690E-1, 1.409125E+0
1213.391000, 8.216122E-2, 1.398929E+0
1213.392000, 2.094561E-2, 1.409125E+0
1213.393000, 4.135082E-2, 1.398929E+0
1213.394000, 2.094561E-2, 1.409125E+0
1213.395000, 4.135082E-2, 1.398929E+0
1213.396000, 1.074301E-2, 1.409125E+0
1213.397000, 1.074301E-2, 1.398929E+0
1213.398000, -9.662192E-3, 1.409125E+0
1213.399000, 5.404097E-4, 1.398929E+0
1213.400000, 3.114822E-2, 1.409125E+0
1213.401000, 2.094561E-2, 1.398929E+0
1213.402000, 5.155342E-2, 1.409125E+0
1213.403000, 8.216122E-2, 1.398929E+0
1213.404000, 4.135082E-2, 1.398929E+0
1213.405000, 2.094561E-2, 1.398929E+0
1213.406000, 6.175602E-2, 1.398929E+0
1213.407000, 5.155342E-2, 1.398929E+0
1213.408000, 4.135082E-2, 1.398929E+0
1213.409000, 4.135082E-2, 1.398929E+0
, , 
1213.410000, 3.114822E-2, 1.398929E+0
1213.411000, 2.094561E-2, 1.398929E+0
1213.412000, 3.114822E-2, 1.398929E+0
1213.413000, 3.114822E-2, 1.409125E+0
1213.414000, 3.114822E-2, 1.398929E+0
1213.415000, 1.074301E-2, 1.409125E+0
1213.416000, 1.074301E-2, 1.409125E+0
1213.417000, 5.155342E-2, 1.409125E+0
1213.418000, 6.175602E-2, 1.398929E+0
1213.419000, 1.025664E-1, 1.409125E+0
1213.420000, 1.127690E-1, 1.398929E+0
1213.421000, 1.025664E-1, 1.409125E+0
1213.422000, 1.127690E-1, 1.398929E+0
1213.423000, 8.216122E-2, 1.398929E+0
1213.424000, 8.216122E-2, 1.398929E+0
1213.425000, -5.047260E-2, 1.409125E+0
1213.426000, -1.320934E-1, 1.398929E+0
1213.427000, -4.381715E-1, 1.409125E+0
1213.428000, -5.504001E-1, 1.398929E+0
1213.429000, -5.708053E-1, 1.409125E+0
1213.430000, -2.647272E-1, 1.398929E+0
1213.431000, 3.576315E-1, 1.398929E+0
1213.432000, 9.187746E-1, 1.409125E+0
1213.433000, 4.392523E-1, 1.398929E+0
1213.434000, 3.474289E-1, 1.409125E+0
1213.435000, 1.535794E-1, 1.398929E+0
1213.436000, 1.841872E-1, 1.398929E+0
1213.437000, -1.116882E-1, 1.409125E+0
1213.438000, -3.259428E-1, 1.409125E+0
1213.439000, -3.006740E-2, 1.398929E+0
1213.440000, 3.372263E-1, 1.409125E+0
1213.441000, -3.667533E-1, 1.398929E+0
1213.442000, -3.769559E-1, 1.409125E+0
, , 
1213.443000, -1.320934E-1, 1.398929E+0
1213.444000, -1.627012E-1, 1.398929E+0
1213.445000, -9.128301E-2, 1.398929E+0
1213.446000, -2.545246E-1, 1.398929E+0
1213.447000, -7.340469E-1, 1.398929E+0
1213.448000, -1.254380E+0, 1.398929E+0
1213.449000, -8.462755E-1, 1.409125E+0
1213.450000, 1.122827E+0, 1.398929E+0
1213.451000, 2.775648E+0, 1.409125E+0
1213.452000, 1.051408E+0, 1.398929E+0
1213.453000, 5.412783E-1, 1.409125E+0
1213.454000, 6.637095E-1, 1.398929E+0
1213.455000, 5.820887E-1, 1.409125E+0
1213.456000, 4.698601E-1, 1.398929E+0
1213.457000, 1.535794E-1, 1.409125E+0
1213.458000, -1.986479E-2, 1.398929E+0
1213.459000, -6.067520E-2, 1.409125E+0
1213.460000, -1.014856E-1, 1.398929E+0
1213.461000, -2.341194E-1, 1.409125E+0
1213.462000, -3.565507E-1, 1.398929E+0
1213.463000, -4.687793E-1, 1.409125E+0
1213.464000, -1.218908E-1, 1.398929E+0
1213.465000, 7.963434E-1, 1.398929E+0
1213.466000, 6.535069E-1, 1.398929E+0
1213.467000, 5.718861E-1, 1.398929E+0
1213.468000, 5.310757E-1, 1.398929E+0
1213.469000, 2.862133E-1, 1.409125E+0
1213.470000, 2.249977E-1, 1.409125E+0
1213.471000, 8.216122E-2, 1.398929E+0
1213.472000, 5.404097E-4, 1.409125E+0
1213.473000, 1.127690E-1, 1.409125E+0
1213.474000, 8.216122E-2, 1.409125E+0
1213.475000, 5.404097E-4, 1.398929E+0
, , 
1213.476000, -1.014856E-1, 1.409125E+0
1213.477000, -5.047260E-2, 1.398929E+0
1213.478000, -1.986479E-2, 1.409125E+0
1213.479000, 2.094561E-2, 1.398929E+0
1213.480000, 1.739846E-1, 1.398929E+0
1213.481000, 7.195862E-2, 1.398929E+0
1213.482000, 1.074301E-2, 1.398929E+0
1213.483000, 8.216122E-2, 1.398929E+0
1213.484000, 7.195862E-2, 1.398929E+0
1213.485000, 6.175602E-2, 1.398929E+0
1213.486000, 7.195862E-2, 1.398929E+0
1213.487000, 5.404097E-4, 1.398929E+0
1213.488000, -7.087780E-2, 1.409125E+0
1213.489000, -6.067520E-2, 1.409125E+0
1213.490000, -1.986479E-2, 1.398929E+0
1213.491000, 5.404097E-4, 1.409125E+0
1213.492000, 1.739846E-1, 1.398929E+0
1213.493000, 1.433768E-1, 1.409125E+0
1213.494000, -9.662192E-3, 1.398929E+0
1213.495000, 5.404097E-4, 1.409125E+0
1213.496000, 7.195862E-2, 1.398929E+0
1213.497000, 7.195862E-2, 1.409125E+0
1213.498000, 2.094561E-2, 1.398929E+0
1213.499000, 2.094561E-2, 1.409125E+0
1213.500000, -8.108041E-2, 1.398929E+0
1213.501000, -1.524986E-1, 1.409125E+0
1213.502000, -3.259428E-1, 1.398929E+0
1213.503000, -4.483741E-1, 1.409125E+0
1213.504000, -1.422960E-1, 1.398929E+0
1213.505000, -1.524986E-1, 1.398929E+0
1213.506000, 4.135082E-2, 1.398929E+0
1213.507000, 7.759382E-1, 1.398929E+0
