Time (s), Filtered Data By Channel
0.033000, 7.753626E-1, 7.058538E-3
0.034000, 3.490654E-1, 3.617644E-3
0.035000, 5.645447E-1, 2.481716E-3
0.036000, 6.544249E-2, 7.119766E-3
0.037000, 7.828437E-1, 3.587949E-3
0.038000, 1.250832E+0, 6.171873E-3
0.039000, 1.095599E-2, 4.391699E-3
0.040000, 2.385756E+0, 5.498742E-3
0.041000, 1.612493E-1, 3.703982E-3
0.042000, 1.859814E+0, 2.209040E-3
0.043000, 1.583409E+0, 9.836945E-4
0.044000, 1.309602E-1, 8.651722E-3
0.045000, 3.189089E+0, 6.582217E-3
0.046000, 3.361979E+0, 3.851535E-3
0.047000, 2.261385E+0, 6.119356E-3
0.048000, 1.295032E+0, 4.363371E-3
0.049000, 3.561260E-1, 5.778468E-3
0.050000, 1.595449E+0, 4.463106E-3
0.051000, 1.163708E+0, 5.694064E-3
0.052000, 8.048189E-1, 4.535608E-3
0.053000, 1.506134E+0, 3.020521E-3
0.054000, 9.994574E-1, 6.898309E-3
0.055000, 1.355925E+0, 3.548469E-3
0.056000, 2.147536E-1, 6.421137E-3
0.057000, 4.277000E-1, 4.672332E-3
0.058000, 2.446851E-1, 5.456684E-3
0.059000, 5.203982E-1, 3.850099E-3
0.060000, 5.660273E-1, 6.152028E-3
0.061000, 1.229760E+0, 4.218800E-3
0.062000, 3.170023E+0, 5.820171E-3
0.063000, 1.255866E+0, 4.516237E-3
0.064000, 1.351993E-1, 5.554875E-3
0.065000, 1.698396E+0, 3.899512E-3
, , 
0.066000, 1.116276E+0, 2.507625E-3
0.067000, 2.679625E-1, 1.353639E-3
0.068000, 2.515565E+0, 8.237761E-3
0.069000, 4.454630E-1, 6.147525E-3
0.070000, 3.083208E-1, 4.287433E-3
0.071000, 8.982394E-1, 5.698314E-3
0.072000, 5.315738E-4, 4.680977E-3
0.073000, 1.999086E+0, 1.400800E-2
0.074000, 1.687239E+0, 8.374833E-4
0.075000, 4.207382E-1, 8.746053E-3
0.076000, 7.585532E-1, 2.009786E-3
0.077000, 5.916712E-1, 9.741684E-4
0.078000, 2.910945E-1, 8.510872E-3
0.079000, 5.702245E-1, 2.325264E-3
0.080000, 4.275713E-1, 7.297946E-3
0.081000, 2.159392E-1, 3.407014E-3
0.082000, 1.097695E-2, 2.310737E-3
0.083000, 1.679964E-1, 7.243318E-3
0.084000, 2.411025E-1, 3.516865E-3
0.085000, 2.250898E-1, 6.187853E-3
0.086000, 8.399539E-2, 4.219662E-3
0.087000, 6.351482E-2, 2.564673E-3
0.088000, 2.411386E-1, 1.193461E-3
0.089000, 3.031669E-1, 8.573118E-3
0.090000, 7.263392E-2, 6.619805E-3
0.091000, 1.330995E-1, 3.712759E-3
0.092000, 1.363623E-1, 6.344494E-3
0.093000, 1.408656E-1, 3.990646E-3
0.094000, 1.836563E-1, 6.067483E-3
0.095000, 8.514021E-1, 4.387442E-3
0.096000, 2.877297E-1, 5.689515E-3
0.097000, 9.313404E-1, 4.606238E-3
0.098000, 1.309663E+0, 3.144064E-3
, , 
0.099000, 1.051632E+0, 6.733997E-3
0.100000, 8.095762E-1, 4.908588E-3
0.101000, 7.972298E-1, 3.367563E-3
0.102000, 4.203923E-1, 6.567690E-3
0.103000, 3.948160E-2, 4.781295E-3
0.104000, 2.270306E-1, 5.386783E-3
0.105000, 5.055239E-2, 4.831804E-3
0.106000, 6.043775E-1, 5.345885E-3
0.107000, 4.641755E-1, 3.785978E-3
0.108000, 7.945711E-1, 2.478626E-3
0.109000, 5.065765E-1, 1.398523E-3
0.110000, 6.836264E-1, 5.217487E-4
0.111000, 5.205204E-1, 8.825292E-3
0.112000, 3.401164E-1, 2.129275E-3
0.113000, 1.655808E+0, 7.393752E-3
0.114000, 1.464933E-1, 5.256567E-3
0.115000, 9.296098E-1, 3.445215E-3
0.116000, 1.751668E-1, 1.930142E-3
0.117000, 3.303049E+0, 7.967991E-3
0.118000, 6.176965E-1, 2.516881E-3
0.119000, 1.535614E+0, 7.400304E-3
0.120000, 1.260945E+0, 3.063455E-3
0.121000, 2.526120E-1, 6.876778E-3
0.122000, 1.780982E+0, 5.088895E-3
0.123000, 6.671557E-1, 5.086467E-3
0.124000, 9.945974E-3, 5.119746E-3
0.125000, 1.219282E-3, 3.576365E-3
0.126000, 5.245425E-1, 6.375069E-3
0.127000, 7.816187E-1, 4.615667E-3
0.128000, 2.409574E+0, 3.133731E-3
0.129000, 2.031893E+0, 1.902125E-3
0.130000, 9.186607E-1, 7.755920E-3
0.131000, 8.519403E-1, 2.928351E-3
, , 
0.132000, 3.677358E-1, 6.827330E-3
0.133000, 1.454709E+0, 4.888148E-3
0.134000, 1.882556E+0, 5.407986E-3
0.135000, 1.558644E+0, 3.945796E-3
0.136000, 2.484531E+0, 5.933906E-3
0.137000, 1.734379E-1, 4.538315E-3
0.138000, 1.797507E+0, 5.419187E-3
0.139000, 3.911841E-1, 4.980001E-3
0.140000, 6.524647E-1, 3.605386E-3
0.141000, 5.901306E-1, 2.450391E-3
0.142000, 9.089541E-1, 1.492877E-3
0.143000, 1.354173E+0, 7.119701E-4
0.144000, 1.552900E+0, 8.804665E-5
0.145000, 1.555738E-1, 3.972872E-4
0.146000, 2.830092E-1, 9.412267E-3
0.147000, 6.206018E-1, 1.820169E-3
0.148000, 1.801102E+0, 7.474179E-3
0.149000, 8.715457E-1, 5.152693E-3
0.150000, 1.568085E+0, 5.454244E-3
0.151000, 1.866294E-1, 4.412470E-3
0.152000, 1.003655E+0, 6.039005E-3
0.153000, 2.424704E-1, 3.967734E-3
0.154000, 4.459251E-1, 2.292407E-3
0.155000, 1.671255E-1, 7.732131E-3
0.156000, 1.064864E+0, 5.995225E-3
0.157000, 8.180156E-1, 4.492927E-3
0.158000, 2.716869E-1, 3.205360E-3
0.159000, 8.332887E-1, 2.113543E-3
0.160000, 8.170694E-1, 1.199392E-3
0.161000, 6.415132E-1, 4.456973E-4
0.162000, 7.002350E-2, 8.814933E-3
0.163000, 1.065438E+0, 2.195085E-3
0.164000, 8.825524E-1, 7.298236E-3
, , 
0.165000, 1.389709E+0, 5.152353E-3
0.166000, 1.031991E-1, 5.302017E-3
0.167000, 1.263085E+0, 3.956245E-3
0.168000, 5.539160E-1, 5.842724E-3
0.169000, 1.579128E-1, 4.680159E-3
0.170000, 3.725477E-1, 5.251638E-3
0.171000, 2.663969E-1, 5.152930E-3
0.172000, 7.624019E-2, 3.767532E-3
0.173000, 5.390015E-1, 2.589309E-3
0.174000, 5.290242E-1, 1.599408E-3
0.175000, 1.163690E+0, 7.798376E-4
