Time (s), Percentage Displayed
39.617683, 13.836314
39.654785, 13.836314
39.688912, 13.607380
39.721997, 14.084563
39.755085, 14.301331
39.789175, 14.173756
39.821261, 14.539962
39.855324, 14.524085
39.888439, 14.266148
39.921491, 14.000444
39.954599, 14.085432
39.988690, 14.264187
40.022755, 14.091387
40.056845, 13.991574
40.089953, 13.617268
40.123048, 14.146943
40.156136, 14.042855
40.188220, 14.476078
40.221309, 13.930064
40.254370, 13.683418
40.287458, 13.807716
40.320573, 13.712181
40.353660, 13.536292
40.386721, 13.991785
40.419836, 14.190148
40.452924, 14.190148
40.486012, 13.690078
40.519100, 13.879877
40.552162, 14.140282
40.584246, 13.994906
40.617338, 13.879227
40.651428, 14.089835
40.684514, 13.750492
40.717636, 13.616070
40.751725, 13.840469
40.784813, 14.109277
40.817902, 14.175485
40.850957, 13.957949
40.884062, 13.588898
40.917189, 14.477107
40.949217, 14.518493
40.982336, 14.933577
41.015425, 14.892794
41.048512, 14.892794
41.081604, 14.861463
41.115691, 14.892932
41.148771, 14.715380
41.181863, 14.776979
41.214923, 14.776979
41.248043, 14.935214
41.281134, 14.879726
41.313209, 14.965476
41.347307, 15.271638
41.381393, 15.438292
41.414455, 14.602377
41.447573, 14.613797
41.480655, 14.342158
41.513743, 14.215453
41.546832, 14.156440
41.579920, 13.765633
41.613014, 13.826924
41.646102, 13.891128
41.679158, 14.049572
41.711271, 14.094974
41.744370, 14.255333
41.777453, 14.078433
41.810539, 13.800679
41.843633, 13.525632
41.877718, 14.036152
41.910805, 13.905083
41.944891, 13.684280
41.977990, 13.731456
42.011073, 13.585019
42.044161, 13.948424
42.076214, 14.395525
42.109334, 14.320833
42.143392, 14.084504
42.176514, 14.023099
42.209569, 13.921826
42.243665, 14.044125
42.276779, 14.196685
42.309834, 14.511692
42.343926, 14.448579
42.377012, 13.905500
42.410103, 13.803085
42.443189, 14.198746
42.475308, 14.402618
42.508394, 14.444676
42.541450, 13.952934
42.574571, 13.744958
42.607657, 13.709115
42.640713, 13.896314
42.674805, 14.013118
42.707905, 13.815489
42.741019, 14.175499
42.774101, 14.141039
42.807158, 13.786683
42.839242, 13.877578
42.872362, 13.818666
42.905451, 14.069552
42.938540, 14.335279
42.972629, 14.140070
43.005715, 14.185763
43.038804, 14.067726
43.071862, 14.242011
43.105982, 14.396284
43.139069, 14.180968
43.172158, 14.016728
43.204239, 13.820787
43.237356, 13.419824
43.270387, 13.226199
43.303475, 13.554738
43.336563, 13.302691
43.369683, 13.614363
43.403775, 13.729264
43.436865, 13.629123
43.469918, 13.708700
43.503038, 13.461703
43.536103, 13.695351
43.568206, 13.688774
43.601293, 13.433058
43.634355, 13.851402
43.667476, 13.776376
43.700566, 13.640819
43.733637, 13.439245
43.766723, 13.865695
43.800830, 13.450634
43.833886, 13.329719
43.866989, 13.164060
43.901080, 12.553598
43.934157, 12.534565
43.966270, 12.534565
43.999358, 12.558925
44.033422, 12.124317
44.066504, 12.426376
44.099625, 12.426376
44.132712, 12.057282
44.165794, 12.134012
44.199859, 12.705775
44.233950, 12.705775
44.268073, 12.017749
44.301159, 12.237205
44.334250, 11.981357
44.368375, 12.497986
44.401394, 12.001151
44.434513, 11.959279
44.467598, 11.802181
44.501698, 12.527517
44.534781, 12.862606
44.567869, 12.579766
44.600957, 12.326935
44.634057, 18.448777
44.667102, 18.448777
44.700202, 18.448777
44.733278, 41.983829
44.766365, 50.775471
44.799452, 53.004272
44.833545, 53.689979
44.866631, 52.875983
44.899719, 53.504379
44.932839, 54.086584
44.965936, 53.407563
44.999026, 52.994963
45.032103, 52.994963
45.065196, 53.762572
45.098278, 54.014874
45.131376, 49.907578
45.164465, 49.907578
45.197553, 25.586869
45.230626, 25.586869
45.264731, 12.853134
45.297808, 12.853134
45.331919, 13.617742
45.364999, 13.235693
45.398076, 13.235693
45.432143, 12.729760
45.464247, 12.769448
45.497310, 12.769448
45.530403, 12.567434
45.563516, 12.567434
45.596572, 12.873695
45.629661, 12.873695
45.662753, 12.808910
45.695873, 12.808910
45.728966, 13.174936
45.763014, 13.174936
45.797132, 12.953733
45.829219, 12.821781
45.862278, 12.865676
45.895367, 13.198959
45.929489, 13.082773
45.962546, 13.401890
45.995690, 13.272790
46.028721, 13.157483
46.061810, 12.935661
46.095931, 13.262236
46.128987, 13.089763
46.162076, 13.221421
46.195163, 13.507012
46.227280, 13.250566
46.260378, 13.132660
46.293449, 13.278003
46.326543, 13.431068
46.360629, 13.148528
46.393690, 13.429664
46.427813, 13.101860
46.460869, 12.771554
46.493957, 13.158091
46.527045, 13.080143
46.560166, 13.116791
46.592250, 13.150738
46.626365, 13.123252
46.659429, 13.154671
46.692517, 13.054685
46.725605, 13.041837
46.758693, 13.064141
46.791781, 13.249711
46.824838, 13.359438
46.857957, 13.209613
46.891044, 12.943090
46.924100, 13.187101
46.956218, 13.709303
46.989306, 13.156086
47.022394, 12.875010
47.055475, 13.555670
47.088569, 13.326280
47.121652, 12.578929
47.154740, 12.809403
47.187822, 14.184578
47.220921, 13.946443
47.254010, 13.634628
47.287098, 16.183505
47.320187, 27.750212
47.352238, 39.500830
47.385359, 51.960638
47.418445, 63.635932
47.452537, 74.815847
47.485625, 86.917245
47.518681, 99.300618
47.551800, 110.806254
47.584883, 123.329690
47.617977, 135.890919
47.651065, 147.856952
47.684153, 158.570964
47.717241, 170.665271
47.750330, 183.348116
47.783400, 194.191676
