Time (s), Activation By Channel (% of MVC)
203.775000, 5.049207E-2, 6.443548E-3
203.776000, 8.382905E-3, 4.817523E-3
203.777000, 1.396125E-2, 5.232433E-3
203.778000, 2.971098E-2, 5.067669E-3
203.779000, 5.280710E-3, 3.591203E-3
203.780000, 4.918430E-3, 6.316118E-3
203.781000, 2.139911E-2, 4.119447E-3
203.782000, 1.276010E-2, 2.771046E-3
203.783000, 7.160314E-2, 1.635236E-3
203.784000, 3.279617E-2, 7.958518E-3
203.785000, 6.610726E-2, 2.764173E-3
203.786000, 2.187889E-2, 6.973892E-3
203.787000, 1.967244E-2, 5.033387E-3
203.788000, 1.411230E-2, 3.399287E-3
203.789000, 5.980930E-2, 6.609671E-3
203.790000, 2.362872E-2, 3.771006E-3
203.791000, 1.353342E-2, 2.406065E-3
203.792000, 3.385701E-3, 7.366566E-3
203.793000, 3.611682E-2, 3.219894E-3
203.794000, 6.745736E-2, 2.032429E-3
203.795000, 1.818489E-2, 7.588852E-3
203.796000, 5.304879E-4, 5.526097E-3
203.797000, 3.820711E-2, 3.768256E-3
203.798000, 2.205820E-2, 6.362563E-3
203.799000, 6.555312E-2, 3.900937E-3
203.800000, 6.505538E-2, 6.225273E-3
203.801000, 9.507427E-3, 4.608419E-3
203.802000, 5.733732E-2, 5.411309E-3
203.803000, 5.125272E-2, 3.716144E-3
203.804000, 1.025034E-1, 6.355766E-3
203.805000, 1.043416E-1, 3.962208E-3
203.806000, 9.146910E-2, 2.536565E-3
203.807000, 7.521485E-3, 7.293369E-3
, , 
203.808000, 2.711832E-1, 5.410781E-3
203.809000, 2.266229E-1, 4.845168E-3
203.810000, 4.552382E-2, 3.357869E-3
203.811000, 7.036391E-2, 6.533252E-3
203.812000, 8.202991E-2, 3.939820E-3
203.813000, 4.379479E-2, 2.645051E-3
203.814000, 8.081007E-2, 7.076682E-3
203.815000, 1.232714E-1, 3.544092E-3
203.816000, 4.299164E-2, 2.376805E-3
203.817000, 7.508710E-2, 1.414844E-3
203.818000, 7.815043E-2, 6.360754E-4
203.819000, 4.254429E-2, 1.968618E-5
203.820000, 5.838683E-2, 4.538251E-4
203.821000, 5.837460E-2, 8.026650E-4
203.822000, 3.801990E-2, 1.043757E-3
203.823000, 4.699973E-2, 1.192766E-3
203.824000, 6.204429E-2, 9.915174E-3
203.825000, 6.926382E-2, 1.568859E-3
203.826000, 6.318531E-2, 1.138971E-3
203.827000, 3.022403E-2, 7.852484E-3
203.828000, 2.943445E-2, 3.375217E-3
203.829000, 1.900791E-2, 2.702482E-3
203.830000, 2.419136E-2, 2.133377E-3
203.831000, 2.839749E-2, 6.994959E-3
203.832000, 1.288153E-2, 4.099668E-3
203.833000, 4.438245E-2, 3.298969E-3
203.834000, 3.901294E-2, 6.042926E-3
203.835000, 8.012403E-2, 4.856177E-3
203.836000, 9.730537E-2, 3.877867E-3
203.837000, 8.741158E-2, 5.623979E-3
203.838000, 7.180697E-2, 3.518588E-3
203.839000, 2.274096E-1, 1.782857E-3
203.840000, 3.920374E-4, 3.787628E-4
, , 
203.841000, 1.199230E-1, 7.297562E-4
203.842000, 1.972814E-1, 1.576784E-3
203.843000, 1.827815E-1, 1.084546E-2
203.844000, 3.315991E-2, 2.272036E-4
203.845000, 2.561613E-2, 9.146240E-3
203.846000, 5.966675E-2, 6.835543E-3
203.847000, 5.692215E-2, 3.817419E-3
203.848000, 7.089949E-2, 5.957064E-3
203.849000, 1.393206E-1, 4.027920E-3
203.850000, 8.753892E-2, 6.263720E-3
203.851000, 8.095365E-2, 4.799858E-3
203.852000, 4.034296E-2, 5.080956E-3
203.853000, 7.429179E-2, 3.262165E-3
203.854000, 3.491234E-2, 6.917260E-3
203.855000, 1.357457E-2, 5.341284E-3
203.856000, 4.583925E-2, 4.001285E-3
203.857000, 1.317728E-5, 2.873381E-3
203.858000, 7.042661E-3, 6.715829E-3
203.859000, 4.877064E-2, 4.645202E-3
