Time, Activation By Channel (% of MVC)
203.775000, 3.114822E-2, 1.398929E+0
203.776000, 6.175602E-2, 1.398929E+0
203.777000, 8.216122E-2, 1.409125E+0
203.778000, 1.025664E-1, 1.398929E+0
203.779000, 8.216122E-2, 1.398929E+0
203.780000, 8.216122E-2, 1.409125E+0
203.781000, 5.155342E-2, 1.398929E+0
203.782000, 8.216122E-2, 1.398929E+0
203.783000, 1.535794E-1, 1.398929E+0
203.784000, 1.331742E-1, 1.409125E+0
203.785000, 3.114822E-2, 1.398929E+0
203.786000, 6.175602E-2, 1.409125E+0
203.787000, 1.025664E-1, 1.409125E+0
203.788000, 1.025664E-1, 1.409125E+0
203.789000, 2.094561E-2, 1.398929E+0
203.790000, 4.135082E-2, 1.409125E+0
203.791000, 4.135082E-2, 1.409125E+0
203.792000, 5.155342E-2, 1.398929E+0
203.793000, 5.404097E-4, 1.409125E+0
203.794000, 1.025664E-1, 1.409125E+0
203.795000, 6.175602E-2, 1.398929E+0
203.796000, 4.135082E-2, 1.398929E+0
203.797000, 8.216122E-2, 1.398929E+0
203.798000, 2.094561E-2, 1.409125E+0
203.799000, 1.127690E-1, 1.398929E+0
203.800000, 1.331742E-1, 1.409125E+0
203.801000, 9.236383E-2, 1.409125E+0
203.802000, 2.094561E-2, 1.398929E+0
203.803000, 1.074301E-2, 1.398929E+0
203.804000, 1.739846E-1, 1.409125E+0
203.805000, 2.147950E-1, 1.398929E+0
203.806000, 2.454029E-1, 1.398929E+0
203.807000, 1.943898E-1, 1.409125E+0
, , 
203.808000, -1.116882E-1, 1.409125E+0
203.809000, -1.422960E-1, 1.398929E+0
203.810000, -9.662192E-3, 1.398929E+0
203.811000, 1.025664E-1, 1.409125E+0
203.812000, 1.331742E-1, 1.398929E+0
203.813000, 1.127690E-1, 1.398929E+0
203.814000, -1.986479E-2, 1.409125E+0
203.815000, -1.014856E-1, 1.398929E+0
203.816000, 4.135082E-2, 1.398929E+0
203.817000, 8.216122E-2, 1.398929E+0
203.818000, 1.025664E-1, 1.398929E+0
203.819000, 8.216122E-2, 1.398929E+0
203.820000, 1.127690E-1, 1.398929E+0
203.821000, 1.331742E-1, 1.398929E+0
203.822000, 1.331742E-1, 1.398929E+0
203.823000, 1.637820E-1, 1.398929E+0
203.824000, 6.175602E-2, 1.409125E+0
203.825000, 4.135082E-2, 1.398929E+0
203.826000, 3.114822E-2, 1.398929E+0
203.827000, 5.155342E-2, 1.409125E+0
203.828000, 1.127690E-1, 1.398929E+0
203.829000, 1.127690E-1, 1.398929E+0
203.830000, 7.195862E-2, 1.398929E+0
203.831000, 6.175602E-2, 1.409125E+0
203.832000, 7.195862E-2, 1.398929E+0
203.833000, 3.114822E-2, 1.398929E+0
203.834000, 1.127690E-1, 1.409125E+0
203.835000, 1.739846E-1, 1.398929E+0
203.836000, 2.249977E-1, 1.398929E+0
203.837000, 2.556055E-1, 1.409125E+0
203.838000, 1.127690E-1, 1.409125E+0
203.839000, -8.108041E-2, 1.409125E+0
203.840000, 1.127690E-1, 1.409125E+0
, , 
203.841000, 2.556055E-1, 1.409125E+0
203.842000, -7.087780E-2, 1.409125E+0
203.843000, -1.218908E-1, 1.398929E+0
203.844000, -1.986479E-2, 1.409125E+0
203.845000, 2.094561E-2, 1.398929E+0
203.846000, 5.155342E-2, 1.398929E+0
203.847000, 5.155342E-2, 1.409125E+0
203.848000, 7.195862E-2, 1.398929E+0
203.849000, 1.637820E-1, 1.398929E+0
203.850000, 1.433768E-1, 1.409125E+0
203.851000, 1.637820E-1, 1.409125E+0
203.852000, 5.155342E-2, 1.398929E+0
203.853000, 5.404097E-4, 1.398929E+0
203.854000, 2.094561E-2, 1.409125E+0
203.855000, 3.114822E-2, 1.409125E+0
203.856000, 9.236383E-2, 1.409125E+0
203.857000, 5.155342E-2, 1.409125E+0
203.858000, 4.135082E-2, 1.398929E+0
203.859000, 1.025664E-1, 1.398929E+0
203.860000, 1.433768E-1, 1.409125E+0
203.861000, 1.433768E-1, 1.409125E+0
203.862000, 9.236383E-2, 1.398929E+0
203.863000, -9.128301E-2, 1.398929E+0
203.864000, 3.114822E-2, 1.398929E+0
203.865000, 7.195862E-2, 1.398929E+0
203.866000, 1.025664E-1, 1.398929E+0
203.867000, 8.216122E-2, 1.409125E+0
203.868000, 8.216122E-2, 1.398929E+0
203.869000, 1.025664E-1, 1.398929E+0
203.870000, 1.433768E-1, 1.398929E+0
203.871000, 7.195862E-2, 1.398929E+0
203.872000, 5.155342E-2, 1.409125E+0
203.873000, 9.236383E-2, 1.409125E+0
, , 
203.874000, 6.175602E-2, 1.398929E+0
203.875000, 2.094561E-2, 1.398929E+0
203.876000, 4.135082E-2, 1.398929E+0
203.877000, 9.236383E-2, 1.409125E+0
203.878000, 1.331742E-1, 1.398929E+0
203.879000, 1.229716E-1, 1.398929E+0
203.880000, 1.943898E-1, 1.409125E+0
203.881000, 1.127690E-1, 1.398929E+0
203.882000, 2.147950E-1, 1.398929E+0
203.883000, 1.331742E-1, 1.409125E+0
203.884000, -9.128301E-2, 1.398929E+0
203.885000, 4.135082E-2, 1.398929E+0
203.886000, -4.027000E-2, 1.398929E+0
203.887000, 3.114822E-2, 1.398929E+0
203.888000, 1.074301E-2, 1.398929E+0
203.889000, -1.986479E-2, 1.398929E+0
203.890000, -9.662192E-3, 1.409125E+0
203.891000, 2.094561E-2, 1.398929E+0
203.892000, 9.236383E-2, 1.398929E+0
203.893000, 3.114822E-2, 1.409125E+0
203.894000, 6.175602E-2, 1.398929E+0
203.895000, 3.114822E-2, 1.409125E+0
