Time (s), Filtered Data By Channel
0.027575, 8.390937E-3, 5.528476E-3
0.028575, 6.143697E-3, 4.460388E-3
0.029575, 4.228823E-3, 5.895692E-3
0.030575, 2.616714E-3, 4.183096E-3
0.031575, 1.279034E-3, 6.091458E-3
0.032575, 1.887231E-4, 4.060473E-3
0.033575, 6.799789E-4, 6.149227E-3
0.034575, 1.000818E-2, 4.591617E-3
0.035575, 9.927108E-4, 5.389539E-3
0.036575, 8.484862E-3, 3.673157E-3
0.037575, 6.284203E-3, 6.405659E-3
0.038575, 4.401003E-3, 3.916943E-3
0.039575, 5.849140E-3, 2.504943E-3
0.040575, 4.337736E-3, 7.304587E-3
0.041575, 5.592445E-3, 3.254217E-3
0.042575, 4.846439E-3, 6.603675E-3
0.043575, 3.502763E-3, 4.746071E-3
0.044575, 2.377422E-3, 3.164415E-3
0.045575, 1.447999E-3, 6.816739E-3
0.046575, 7.963275E-3, 5.078758E-3
0.047575, 2.935471E-3, 3.610300E-3
0.048575, 6.660085E-3, 2.384678E-3
0.049575, 4.066526E-3, 7.274355E-3
0.050575, 5.689091E-3, 5.248519E-3
0.051575, 3.767237E-3, 5.124660E-3
0.052575, 2.160770E-3, 3.730332E-3
0.053575, 7.817348E-3, 6.090217E-3
0.054575, 6.041046E-3, 4.432954E-3
0.055575, 4.511928E-3, 5.481271E-3
0.056575, 3.208070E-3, 3.696982E-3
0.057575, 6.548026E-3, 6.448939E-3
0.058575, 4.035557E-3, 4.842159E-3
0.059575, 2.810982E-3, 5.175658E-3
, , 
0.060575, 1.782634E-3, 3.485380E-3
0.061575, 9.312957E-4, 2.074963E-3
0.062575, 2.387664E-4, 9.168443E-4
0.063575, 8.968801E-3, 8.666241E-3
0.064575, 6.552559E-3, 6.557134E-3
0.065575, 4.154876E-3, 4.745621E-3
0.066575, 3.032247E-3, 5.445254E-3
0.067575, 2.085829E-3, 4.752816E-3
0.068575, 1.298229E-3, 5.443139E-3
0.069575, 8.003642E-3, 4.751788E-3
0.070575, 5.680236E-3, 3.205426E-3
0.071575, 4.936478E-3, 1.909379E-3
0.072575, 3.725830E-3, 7.811493E-3
0.073575, 5.962034E-3, 2.812940E-3
0.074575, 4.667655E-3, 6.998450E-3
0.075575, 5.186904E-3, 3.541113E-3
0.076575, 3.363749E-3, 2.301360E-3
0.077575, 6.802866E-3, 7.375222E-3
0.078575, 5.189932E-3, 5.368751E-3
0.079575, 4.854805E-3, 3.666470E-3
0.080575, 5.460976E-3, 6.410923E-3
0.081575, 3.989635E-3, 4.748322E-3
0.082575, 2.735569E-3, 3.337588E-3
0.083575, 6.977263E-3, 2.154931E-3
0.084575, 5.012355E-3, 1.177754E-3
0.085575, 5.295202E-3, 3.846579E-4
0.086575, 3.821556E-3, 8.895623E-3
0.087575, 2.570281E-3, 6.540113E-3
0.088575, 7.135453E-3, 4.532980E-3
0.089575, 5.159894E-3, 2.842925E-3
0.090575, 3.495501E-3, 1.440039E-3
0.091575, 6.544905E-3, 2.958147E-4
0.092575, 3.821484E-3, 9.267897E-3
, , 
0.093575, 2.438292E-3, 7.134768E-3
0.094575, 1.301941E-3, 5.295364E-3
0.095575, 8.270833E-3, 4.926540E-3
0.096575, 6.150017E-3, 3.413008E-3
0.097575, 4.333140E-3, 2.153320E-3
0.098575, 2.794107E-3, 1.121356E-3
0.099575, 1.507849E-3, 2.924499E-4
0.100575, 8.206312E-3, 3.566230E-4
0.101575, 2.440364E-3, 8.476462E-4
0.102575, 7.359755E-3, 9.852029E-3
0.103575, 3.206343E-3, 1.404344E-3
0.104575, 6.669293E-3, 7.855446E-3
0.105575, 3.826070E-3, 5.491267E-3
0.106575, 2.540893E-3, 3.486811E-3
0.107575, 1.475999E-3, 6.840908E-3
0.108575, 8.047883E-3, 5.380558E-3
0.109575, 5.897127E-3, 4.127836E-3
0.110575, 4.590640E-3, 5.588238E-3
0.111575, 3.289383E-3, 3.644397E-3
0.112575, 6.455821E-3, 2.024542E-3
0.113575, 4.145039E-3, 6.971518E-4
0.114575, 2.942377E-3, 3.678323E-4
0.115575, 1.938996E-3, 1.198978E-3
0.116575, 7.542389E-3, 1.823334E-3
0.117575, 3.290480E-3, 2.266413E-3
0.118575, 6.366425E-3, 1.120322E-2
0.119575, 4.353082E-3, 1.369057E-4
0.120575, 5.994595E-3, 3.751654E-4
0.121575, 4.104443E-3, 9.395436E-3
0.122575, 6.164782E-3, 1.848917E-3
0.123575, 4.003734E-3, 1.230882E-3
0.124575, 6.204630E-3, 7.903457E-3
0.125575, 4.016515E-3, 5.430319E-3
, , 
0.126575, 6.147039E-3, 3.332782E-3
0.127575, 4.545116E-3, 7.072847E-3
0.128575, 3.179769E-3, 5.676037E-3
0.129575, 6.627200E-3, 4.473359E-3
0.130575, 3.915388E-3, 5.205232E-3
0.131575, 5.997727E-3, 5.415571E-3
0.132575, 4.207903E-3, 4.440168E-3
0.133575, 5.947432E-3, 2.631562E-3
0.134575, 4.342247E-3, 1.141797E-3
0.135575, 2.978085E-3, 6.129439E-5
0.136575, 1.832879E-3, 1.008344E-3
0.137575, 7.771071E-3, 1.037947E-2
0.138575, 2.957914E-3, 8.060132E-3
0.139575, 1.871736E-3, 6.042490E-3
0.140575, 9.745189E-4, 4.348292E-3
0.141575, 2.467942E-4, 2.993097E-3
0.142575, 8.986519E-3, 6.770810E-3
0.143575, 6.587763E-3, 4.828298E-3
0.144575, 4.109308E-3, 5.480152E-3
0.145575, 5.674295E-3, 4.614102E-3
0.146575, 4.878387E-3, 2.979250E-3
0.147575, 3.619908E-3, 7.044014E-3
0.148575, 2.555040E-3, 3.313227E-3
0.149575, 6.991710E-3, 1.919498E-3
0.150575, 3.773532E-3, 7.884094E-3
0.151575, 5.951816E-3, 5.979196E-3
0.152575, 4.650198E-3, 4.296342E-3
0.153575, 5.223579E-3, 2.827010E-3
0.154575, 3.412440E-3, 1.604187E-3
0.155575, 1.908451E-3, 6.035485E-4
0.156575, 7.976014E-3, 8.849117E-3
0.157575, 6.115276E-3, 2.017275E-3
0.158575, 4.511163E-3, 7.577417E-3
, , 
0.159575, 5.514845E-3, 5.496444E-3
0.160575, 4.828021E-3, 4.924053E-3
0.161575, 5.265991E-3, 3.570412E-3
0.162575, 3.638816E-3, 2.435977E-3
0.163575, 6.371469E-3, 7.152568E-3
0.164575, 4.018541E-3, 3.576808E-3
0.165575, 6.003611E-3, 6.155064E-3
0.166575, 4.370742E-3, 4.440603E-3
0.167575, 5.670243E-3, 3.235586E-3
0.168575, 3.973964E-3, 6.425565E-3
0.169575, 2.540012E-3, 4.230149E-3
0.170575, 1.344366E-3, 5.575523E-3
0.171575, 8.292609E-3, 3.703997E-3
0.172575, 2.418861E-3, 2.140715E-3
0.173575, 1.328814E-3, 7.795361E-3
0.174575, 4.395676E-4, 2.660281E-3
0.175575, 8.926741E-3, 1.372229E-3
0.176575, 6.635156E-3, 8.321891E-3
0.177575, 3.977950E-3, 2.344290E-3
0.178575, 2.787728E-3, 1.237255E-3
0.179575, 6.859626E-3, 3.476073E-4
0.180575, 4.829700E-3, 9.000451E-3
0.181575, 5.540613E-3, 6.688159E-3
0.182575, 4.125948E-3, 4.703581E-3
0.183575, 5.728012E-3, 5.632060E-3
0.184575, 3.887377E-3, 4.447646E-3
0.185575, 6.310422E-3, 5.842236E-3
0.186575, 4.739459E-3, 4.369853E-3
0.187575, 5.255169E-3, 5.523654E-3
0.188575, 5.116469E-3, 4.931512E-3
0.189575, 4.952057E-3, 3.605151E-3
0.190575, 5.353462E-3, 2.491035E-3
0.191575, 4.773770E-3, 1.567416E-3
, , 
0.192575, 5.480075E-3, 7.837204E-3
0.193575, 3.964467E-3, 5.599991E-3
0.194575, 2.681138E-3, 3.705182E-3
0.195575, 1.608263E-3, 2.121491E-3
0.196575, 7.250888E-4, 8.189886E-4
0.197575, 8.644724E-3, 2.308779E-4
0.198575, 2.291905E-3, 1.055256E-3
0.199575, 1.388315E-3, 1.033092E-2
0.200575, 6.500946E-4, 7.940152E-3
0.201575, 5.926482E-5, 5.872088E-3
0.202575, 9.057753E-3, 4.550948E-3
0.203575, 2.094865E-3, 5.438549E-3
0.204575, 7.283477E-3, 3.707785E-3
0.205575, 5.029464E-3, 6.403395E-3
0.206575, 5.524155E-3, 4.777855E-3
0.207575, 4.256018E-3, 5.245365E-3
0.208575, 3.172307E-3, 3.549569E-3
0.209575, 2.255554E-3, 6.526101E-3
0.210575, 1.489250E-3, 3.785888E-3
0.211575, 8.578307E-4, 2.352845E-3
0.212575, 3.466620E-4, 1.165866E-3
0.213575, 8.714635E-3, 8.450670E-3
0.214575, 2.472806E-3, 6.378125E-3
0.215575, 1.767923E-3, 4.046086E-3
0.216575, 1.181701E-3, 5.944032E-3
0.217575, 7.013343E-4, 4.214406E-3
0.218575, 3.148446E-4, 2.754882E-3
0.219575, 8.645599E-3, 1.539751E-3
0.220575, 6.035347E-3, 8.106465E-3
0.221575, 4.818561E-3, 6.064907E-3
0.222575, 4.856451E-3, 4.323765E-3
0.223575, 2.893981E-3, 2.855658E-3
0.224575, 1.280666E-3, 7.016564E-3
, , 
0.225575, 1.961446E-5, 3.475345E-3
0.226575, 9.697749E-3, 2.199547E-3
0.227575, 1.025629E-3, 7.502939E-3
0.228575, 8.665666E-3, 3.137463E-3
0.229575, 6.623018E-3, 1.990245E-3
0.230575, 3.807022E-3, 7.602237E-3
0.231575, 2.490197E-3, 3.130924E-3
0.232575, 1.420713E-3, 6.590506E-3
0.233575, 8.086620E-3, 4.629808E-3
0.234575, 5.903425E-3, 5.676898E-3
0.235575, 4.028592E-3, 4.215995E-3
0.236575, 2.437118E-3, 2.980891E-3
0.237575, 1.104777E-3, 6.701667E-3
0.238575, 8.154243E-6, 4.710650E-3
0.239575, 9.531969E-3, 3.032136E-3
0.240575, 1.274431E-3, 7.014345E-3
0.241575, 8.379154E-3, 5.314841E-3
0.242575, 6.335376E-3, 3.862343E-3
0.243575, 4.589623E-3, 2.634148E-3
0.244575, 5.542493E-3, 1.608699E-3
0.245575, 4.724470E-3, 7.885479E-3
0.246575, 5.420058E-3, 2.925367E-3
0.247575, 3.822345E-3, 1.914725E-3
0.248575, 6.175656E-3, 7.571251E-3
0.249575, 4.443743E-3, 5.409109E-3
