Time (s), Raw Data By Channel
0.034594, 1.398297E+0, 1.398929E+0
0.035594, 1.398297E+0, 1.398929E+0
0.036594, 1.398297E+0, 1.398929E+0
0.037594, 1.398297E+0, 1.409125E+0
0.038594, 1.398297E+0, 1.409125E+0
0.039594, 1.398297E+0, 1.398929E+0
0.040594, 1.408499E+0, 1.398929E+0
0.041594, 1.408499E+0, 1.398929E+0
0.042594, 1.398297E+0, 1.398929E+0
0.043594, 1.408499E+0, 1.409125E+0
0.044594, 1.398297E+0, 1.409125E+0
0.045594, 1.398297E+0, 1.398929E+0
0.046594, 1.398297E+0, 1.409125E+0
0.047594, 1.408499E+0, 1.398929E+0
0.048594, 1.408499E+0, 1.398929E+0
0.049594, 1.398297E+0, 1.398929E+0
0.050594, 1.408499E+0, 1.398929E+0
0.051594, 1.408499E+0, 1.409125E+0
0.052594, 1.408499E+0, 1.409125E+0
0.053594, 1.398297E+0, 1.409125E+0
0.054594, 1.398297E+0, 1.409125E+0
0.055594, 1.408499E+0, 1.398929E+0
0.056594, 1.398297E+0, 1.409125E+0
0.057594, 1.398297E+0, 1.398929E+0
0.058594, 1.408499E+0, 1.398929E+0
0.059594, 1.408499E+0, 1.398929E+0
0.060594, 1.398297E+0, 1.398929E+0
0.061594, 1.408499E+0, 1.398929E+0
0.062594, 1.408499E+0, 1.409125E+0
0.063594, 1.398297E+0, 1.398929E+0
0.064594, 1.398297E+0, 1.398929E+0
0.065594, 1.398297E+0, 1.398929E+0
0.066594, 1.408499E+0, 1.398929E+0
, , 
0.067594, 1.398297E+0, 1.398929E+0
0.068594, 1.408499E+0, 1.409125E+0
0.069594, 1.408499E+0, 1.409125E+0
0.070594, 1.408499E+0, 1.398929E+0
0.071594, 1.408499E+0, 1.409125E+0
0.072594, 1.398297E+0, 1.409125E+0
0.073594, 1.398297E+0, 1.398929E+0
0.074594, 1.398297E+0, 1.398929E+0
0.075594, 1.398297E+0, 1.409125E+0
0.076594, 1.398297E+0, 1.398929E+0
0.077594, 1.398297E+0, 1.409125E+0
0.078594, 1.408499E+0, 1.409125E+0
0.079594, 1.408499E+0, 1.409125E+0
0.080594, 1.398297E+0, 1.398929E+0
0.081594, 1.398297E+0, 1.398929E+0
0.082594, 1.398297E+0, 1.409125E+0
0.083594, 1.398297E+0, 1.398929E+0
0.084594, 1.398297E+0, 1.398929E+0
0.085594, 1.408499E+0, 1.409125E+0
0.086594, 1.408499E+0, 1.409125E+0
0.087594, 1.408499E+0, 1.409125E+0
0.088594, 1.398297E+0, 1.409125E+0
0.089594, 1.398297E+0, 1.398929E+0
0.090594, 1.408499E+0, 1.398929E+0
0.091594, 1.398297E+0, 1.409125E+0
0.092594, 1.408499E+0, 1.409125E+0
0.093594, 1.408499E+0, 1.398929E+0
0.094594, 1.398297E+0, 1.398929E+0
0.095594, 1.408499E+0, 1.398929E+0
0.096594, 1.398297E+0, 1.398929E+0
0.097594, 1.408499E+0, 1.409125E+0
0.098594, 1.408499E+0, 1.398929E+0
0.099594, 1.398297E+0, 1.398929E+0
, , 
0.100594, 1.398297E+0, 1.398929E+0
0.101594, 1.398297E+0, 1.398929E+0
0.102594, 1.398297E+0, 1.409125E+0
0.103594, 1.408499E+0, 1.398929E+0
0.104594, 1.408499E+0, 1.409125E+0
0.105594, 1.408499E+0, 1.398929E+0
0.106594, 1.408499E+0, 1.398929E+0
0.107594, 1.398297E+0, 1.398929E+0
0.108594, 1.408499E+0, 1.398929E+0
0.109594, 1.408499E+0, 1.409125E+0
0.110594, 1.408499E+0, 1.398929E+0
0.111594, 1.398297E+0, 1.398929E+0
0.112594, 1.408499E+0, 1.398929E+0
0.113594, 1.408499E+0, 1.398929E+0
0.114594, 1.408499E+0, 1.409125E+0
0.115594, 1.408499E+0, 1.409125E+0
0.116594, 1.398297E+0, 1.409125E+0
0.117594, 1.398297E+0, 1.398929E+0
0.118594, 1.408499E+0, 1.409125E+0
0.119594, 1.408499E+0, 1.398929E+0
0.120594, 1.408499E+0, 1.409125E+0
0.121594, 1.398297E+0, 1.409125E+0
0.122594, 1.408499E+0, 1.409125E+0
0.123594, 1.398297E+0, 1.398929E+0
0.124594, 1.408499E+0, 1.409125E+0
0.125594, 1.408499E+0, 1.409125E+0
0.126594, 1.408499E+0, 1.409125E+0
0.127594, 1.408499E+0, 1.398929E+0
0.128594, 1.398297E+0, 1.398929E+0
0.129594, 1.398297E+0, 1.409125E+0
0.130594, 1.398297E+0, 1.409125E+0
0.131594, 1.408499E+0, 1.398929E+0
0.132594, 1.408499E+0, 1.409125E+0
, , 
0.133594, 1.398297E+0, 1.409125E+0
0.134594, 1.408499E+0, 1.409125E+0
0.135594, 1.408499E+0, 1.409125E+0
0.136594, 1.408499E+0, 1.409125E+0
0.137594, 1.408499E+0, 1.398929E+0
0.138594, 1.398297E+0, 1.409125E+0
0.139594, 1.398297E+0, 1.409125E+0
0.140594, 1.408499E+0, 1.409125E+0
0.141594, 1.398297E+0, 1.398929E+0
0.142594, 1.398297E+0, 1.398929E+0
0.143594, 1.408499E+0, 1.409125E+0
0.144594, 1.408499E+0, 1.409125E+0
0.145594, 1.408499E+0, 1.398929E+0
0.146594, 1.398297E+0, 1.409125E+0
0.147594, 1.398297E+0, 1.398929E+0
0.148594, 1.408499E+0, 1.398929E+0
0.149594, 1.408499E+0, 1.398929E+0
0.150594, 1.408499E+0, 1.409125E+0
0.151594, 1.408499E+0, 1.398929E+0
0.152594, 1.398297E+0, 1.398929E+0
0.153594, 1.398297E+0, 1.398929E+0
0.154594, 1.408499E+0, 1.409125E+0
0.155594, 1.408499E+0, 1.409125E+0
0.156594, 1.398297E+0, 1.398929E+0
0.157594, 1.408499E+0, 1.409125E+0
0.158594, 1.408499E+0, 1.409125E+0
0.159594, 1.408499E+0, 1.398929E+0
0.160594, 1.398297E+0, 1.398929E+0
0.161594, 1.408499E+0, 1.398929E+0
0.162594, 1.398297E+0, 1.409125E+0
0.163594, 1.398297E+0, 1.398929E+0
0.164594, 1.398297E+0, 1.409125E+0
0.165594, 1.398297E+0, 1.409125E+0
, , 
0.166594, 1.408499E+0, 1.398929E+0
0.167594, 1.408499E+0, 1.398929E+0
