Time (s), Filtered Data By Channel
0.003384, 8.076846E-3, 4.988491E-3
0.004384, 2.754802E-3, 3.285556E-3
0.005384, 6.905700E-3, 6.788796E-3
0.006384, 3.759957E-3, 3.531516E-3
0.007384, 2.605508E-3, 2.112470E-3
0.008384, 7.019913E-3, 7.707109E-3
0.009384, 3.677424E-3, 5.810887E-3
0.010384, 2.551323E-3, 4.189541E-3
0.011384, 7.048993E-3, 2.818123E-3
0.012384, 4.986343E-3, 6.978151E-3
0.013384, 5.404895E-3, 5.079807E-3
0.014384, 4.655031E-3, 5.176559E-3
0.015384, 5.649943E-3, 4.974273E-3
0.016384, 4.171349E-3, 5.253541E-3
0.017384, 2.912827E-3, 4.922260E-3
0.018384, 6.802352E-3, 5.283968E-3
0.019384, 3.818359E-3, 4.910243E-3
0.020384, 6.029024E-3, 3.370518E-3
0.021384, 4.471986E-3, 2.086490E-3
0.022384, 5.483274E-3, 7.618728E-3
0.023384, 4.921011E-3, 5.627578E-3
0.024384, 5.120480E-3, 3.929443E-3
0.025384, 5.207420E-3, 2.498030E-3
0.026384, 3.755406E-3, 1.308224E-3
0.027384, 2.526327E-3, 8.314960E-3
0.028384, 7.157281E-3, 6.252262E-3
0.029384, 3.496452E-3, 4.159510E-3
0.030384, 6.317083E-3, 2.805991E-3
0.031384, 4.218036E-3, 6.971256E-3
0.032384, 2.953293E-3, 5.053249E-3
0.033384, 1.892360E-3, 5.222944E-3
0.034384, 1.015286E-3, 4.908335E-3
0.035384, 3.031362E-4, 5.338356E-3
, , 
0.036384, 2.620110E-4, 4.819598E-3
0.037384, 6.970582E-4, 3.247919E-3
0.038384, 1.017890E-3, 1.936276E-3
0.039384, 1.239376E-3, 8.588284E-4
0.040384, 1.375371E-3, 8.931824E-6
0.041384, 1.438731E-3, 6.901734E-4
0.042384, 1.009797E-2, 9.857782E-3
0.043384, 1.447730E-3, 1.260800E-3
0.044384, 1.059334E-3, 8.112971E-3
0.045384, 7.906718E-3, 5.840639E-3
0.046384, 5.306008E-3, 4.743443E-3
0.047384, 5.534313E-3, 3.527468E-3
0.048384, 4.498330E-3, 2.506681E-3
0.049384, 3.597509E-3, 6.990309E-3
0.050384, 2.819478E-3, 4.840592E-3
0.051384, 6.504024E-3, 5.622696E-3
0.052384, 4.228835E-3, 4.288863E-3
0.053384, 6.317452E-3, 5.496889E-3
0.054384, 3.638361E-3, 5.039050E-3
0.055384, 6.726083E-3, 3.770043E-3
0.056384, 5.268325E-3, 5.957877E-3
0.057384, 3.997695E-3, 4.021395E-3
0.058384, 5.757175E-3, 2.404458E-3
0.059384, 4.801275E-3, 7.575372E-3
0.060384, 3.530363E-3, 5.805943E-3
0.061384, 2.439157E-3, 4.369183E-3
0.062384, 7.143997E-3, 2.829252E-3
0.063384, 5.078492E-3, 1.560862E-3
0.064384, 3.352262E-3, 5.353500E-4
0.065384, 6.726072E-3, 2.743485E-4
0.066384, 3.622426E-3, 9.544756E-3
0.067384, 2.237836E-3, 1.493312E-3
0.068384, 7.543302E-3, 7.941804E-3
, , 
0.069384, 3.061183E-3, 2.936546E-3
0.070384, 6.762109E-3, 6.652710E-3
0.071384, 3.794821E-3, 4.573423E-3
0.072384, 6.080287E-3, 2.813099E-3
0.073384, 4.235011E-3, 7.307598E-3
0.074384, 5.987757E-3, 5.673855E-3
0.075384, 4.199424E-3, 4.372992E-3
0.076384, 2.644047E-3, 5.937044E-3
0.077384, 1.345691E-3, 4.473935E-3
0.078384, 2.802483E-4, 3.231602E-3
0.079384, 5.754117E-4, 6.462643E-3
0.080384, 1.243401E-3, 4.487170E-3
0.081384, 1.040144E-2, 5.823615E-3
0.082384, 7.914447E-3, 4.357753E-3
0.083384, 5.775368E-3, 5.540824E-3
0.084384, 3.953917E-3, 4.900226E-3
0.085384, 2.421210E-3, 5.098060E-3
0.086384, 7.506908E-3, 3.397865E-3
0.087384, 2.955127E-3, 6.665594E-3
0.088384, 7.003220E-3, 4.979410E-3
0.089384, 5.228247E-3, 3.537503E-3
0.090384, 4.938012E-3, 2.317981E-3
0.091384, 5.291406E-3, 7.351066E-3
0.092384, 4.892790E-3, 5.347471E-3
0.093384, 5.320857E-3, 4.994684E-3
0.094384, 4.877074E-3, 3.563574E-3
0.095384, 3.331910E-3, 2.354160E-3
0.096384, 2.041507E-3, 1.345563E-3
0.097384, 9.804296E-4, 5.179183E-4
0.098384, 8.532070E-3, 8.798679E-3
0.099384, 2.292947E-3, 6.480063E-3
0.100384, 7.351707E-3, 4.141673E-3
0.101384, 5.309009E-3, 2.956698E-3
, , 
0.102384, 3.574352E-3, 6.689094E-3
0.103384, 2.119740E-3, 3.978464E-3
0.104384, 7.738226E-3, 2.833171E-3
0.105384, 2.786665E-3, 6.778602E-3
0.106384, 7.115569E-3, 3.917780E-3
0.107384, 5.290741E-3, 2.796569E-3
0.108384, 4.919540E-3, 1.855635E-3
0.109384, 3.385347E-3, 7.574073E-3
0.110384, 6.552033E-3, 5.367566E-3
0.111384, 4.762932E-3, 5.143849E-3
0.112384, 5.411191E-3, 4.799980E-3
0.113384, 3.840580E-3, 5.591635E-3
0.114384, 2.523369E-3, 4.458951E-3
0.115384, 7.222263E-3, 5.838294E-3
0.116384, 3.391548E-3, 4.294943E-3
0.117384, 2.213191E-3, 5.930685E-3
0.118384, 7.413088E-3, 4.387228E-3
0.119384, 3.302000E-3, 3.070279E-3
0.120384, 6.448400E-3, 6.691549E-3
0.121384, 4.506958E-3, 3.875393E-3
0.122384, 2.868788E-3, 2.644298E-3
0.123384, 1.505645E-3, 1.611912E-3
0.124384, 3.905714E-4, 7.590609E-4
0.125384, 9.158748E-3, 6.750848E-5
